Date,RA,Dec,Delta,r,Elongation,Phase,V,Proper motion,Direction,Uncertainty 3sig,Unc. P.A.
2023-09-24 00:00:00.000,92.64791666666666,20.466944444444444,5.281,5.339,87.9,10.8,23.5,12.81,107.6,1,281.3
2023-09-29 00:00:00.000,93.04625,20.336388888888887,5.2,5.337,92.4,10.8,23.4,10.91,111.3,1,281.4
2023-10-04 00:00:00.000,93.36958333333332,20.202777777777776,5.119,5.334,97.0,10.7,23.4,8.98,116.8,1,281.5
2023-10-09 00:00:00.000,93.61458333333331,20.066944444444445,5.039,5.332,101.7,10.6,23.3,7.09,125.4,1,281.6
2023-10-14 00:00:00.000,93.77874999999999,19.929444444444446,4.96,5.329,106.5,10.3,23.3,5.39,140.2,1,281.7
2023-10-19 00:00:00.000,93.85874999999999,19.791111111111114,4.883,5.327,111.3,10.0,23.2,4.29,165.5,1,281.8
2023-10-24 00:00:00.000,93.85416666666666,19.652777777777775,4.808,5.324,116.3,9.6,23.2,4.35,197.8,1,281.8
2023-10-29 00:00:00.000,93.76458333333332,19.515,4.737,5.321,121.3,9.2,23.1,5.56,222.1,1,281.8
2023-11-03 00:00:00.000,93.59041666666666,19.378055555555555,4.669,5.319,126.5,8.6,23.1,7.36,236.3,1,281.8
2023-11-08 00:00:00.000,93.33291666666666,19.24277777777778,4.605,5.316,131.7,8.0,23.0,9.38,244.5,1,281.7
2024-02-01 00:00:00.000,83.68833333333332,17.664166666666667,4.556,5.271,132.4,7.9,23.0,9.0,265.0,1,280.1
2024-02-06 00:00:00.000,83.41541666666666,17.6425,4.614,5.269,127.1,8.6,23.0,6.64,265.6,1,280.1
2024-02-11 00:00:00.000,83.22666666666666,17.63,4.677,5.266,121.9,9.2,23.1,4.18,266.7,1,280.0
2024-02-16 00:00:00.000,83.12374999999999,17.62638888888889,4.744,5.263,116.8,9.6,23.1,1.69,270.4,1,280.0
2024-02-21 00:00:00.000,83.10791666666665,17.630555555555556,4.813,5.261,111.8,10.1,23.2,0.81,73.2,1,280.0
2024-02-26 00:00:00.000,83.1775,17.641666666666666,4.885,5.258,106.8,10.4,23.2,3.24,82.4,1,280.1
2024-03-02 00:00:00.000,83.33166666666665,17.65861111111111,4.959,5.255,102.0,10.6,23.3,5.62,84.0,1,280.1
2024-03-07 00:00:00.000,83.56833333333331,17.680833333333336,5.035,5.253,97.2,10.8,23.3,7.95,84.8,1,280.1
2024-03-12 00:00:00.000,83.88499999999999,17.706666666666667,5.111,5.25,92.6,10.9,23.3,10.2,85.4,1,280.2
2024-03-17 00:00:00.000,84.27874999999999,17.734722222222224,5.187,5.247,88.0,10.9,23.4,12.36,86.0,1,280.2
2024-10-28 00:00:00.000,125.76208333333331,10.493888888888888,5.043,5.126,89.2,11.2,23.3,14.15,128.0,2,289.4
2024-11-02 00:00:00.000,126.10374999999999,10.209166666666667,4.963,5.124,93.7,11.1,23.2,12.27,133.0,2,289.5
2024-11-07 00:00:00.000,126.36916666666664,9.936388888888889,4.882,5.121,98.4,11.0,23.2,10.43,139.9,2,289.6
2024-11-12 00:00:00.000,126.55708333333331,9.677777777777777,4.803,5.119,103.1,10.9,23.2,8.71,149.8,2,289.6
2024-11-17 00:00:00.000,126.66458333333331,9.434722222222222,4.725,5.116,107.9,10.6,23.1,7.31,164.2,2,289.6
2024-11-22 00:00:00.000,126.69083333333333,9.209444444444443,4.65,5.113,112.7,10.3,23.1,6.49,183.9,2,289.6
2024-11-27 00:00:00.000,126.63416666666667,9.00361111111111,4.577,5.111,117.7,9.8,23.0,6.55,206.4,2,289.6
2024-12-02 00:00:00.000,126.49458333333332,8.819166666666666,4.507,5.108,122.7,9.3,23.0,7.47,226.0,2,289.6
2024-12-07 00:00:00.000,126.27249999999998,8.657777777777778,4.442,5.106,127.8,8.8,22.9,8.97,240.1,2,289.6
2024-12-12 00:00:00.000,125.97124999999997,8.520833333333334,4.381,5.103,133.0,8.1,22.8,10.75,249.7,2,289.6
2025-03-02 00:00:00.000,116.98458333333332,9.387222222222222,4.316,5.062,134.7,8.0,22.8,10.46,295.3,2,288.8
2025-03-07 00:00:00.000,116.70541666666665,9.534444444444444,4.369,5.06,129.6,8.7,22.8,8.28,301.7,2,288.8
2025-03-12 00:00:00.000,116.50874999999998,9.676666666666666,4.427,5.057,124.6,9.3,22.9,6.19,312.3,2,288.7
2025-03-17 00:00:00.000,116.39625,9.811388888888889,4.489,5.055,119.6,9.9,22.9,4.43,332.1,2,288.7
2025-03-22 00:00:00.000,116.36833333333333,9.936944444444444,4.554,5.053,114.7,10.3,23.0,3.64,6.8,2,288.7
2025-03-27 00:00:00.000,116.42541666666665,10.051666666666668,4.623,5.05,109.9,10.7,23.0,4.38,42.0,2,288.6
2025-04-01 00:00:00.000,116.56624999999998,10.153333333333334,4.693,5.048,105.2,11.0,23.1,6.1,62.2,2,288.6
2025-04-06 00:00:00.000,116.78958333333331,10.240833333333333,4.765,5.045,100.5,11.2,23.1,8.14,72.9,2,288.6
2025-04-11 00:00:00.000,117.09166666666665,10.312777777777779,4.839,5.043,96.0,11.4,23.2,10.24,79.2,2,288.6
2025-04-16 00:00:00.000,117.46999999999998,10.368333333333334,4.913,5.04,91.5,11.5,23.2,12.32,83.4,2,288.6
2025-04-21 00:00:00.000,117.91999999999997,10.40638888888889,4.987,5.038,87.2,11.5,23.2,14.34,86.5,2,288.6
2025-12-02 00:00:00.000,159.0075,-3.684444444444445,4.882,4.943,87.7,11.5,23.1,15.93,134.1,2,291.0
2025-12-07 00:00:00.000,159.35416666666666,-4.043611111111111,4.803,4.941,92.2,11.5,23.1,13.98,138.3,2,290.9
2025-12-12 00:00:00.000,159.62875,-4.379166666666666,4.724,4.939,96.8,11.4,23.1,12.01,143.8,2,290.9
2025-12-17 00:00:00.000,159.8275,-4.688611111111111,4.646,4.937,101.5,11.3,23.0,10.07,151.6,2,290.9
2025-12-22 00:00:00.000,159.94791666666666,-4.969166666666667,4.569,4.935,106.2,11.0,23.0,8.31,163.1,2,290.9
2025-12-27 00:00:00.000,159.98916666666665,-5.218055555555556,4.495,4.934,111.0,10.7,22.9,6.96,179.8,2,290.8
2026-01-01 00:00:00.000,159.94958333333332,-5.432777777777778,4.422,4.932,115.9,10.3,22.9,6.37,201.8,3,290.8
2026-01-06 00:00:00.000,159.83083333333332,-5.6113888888888885,4.353,4.93,120.8,9.9,22.8,6.74,224.7,3,290.8
2026-01-11 00:00:00.000,159.63249999999996,-5.751388888888889,4.288,4.929,125.8,9.3,22.8,7.94,243.0,3,290.9
