Date,RA,Dec,Delta,r,Elongation,Phase,V,Proper motion,Direction,Uncertainty 3sig,Unc. P.A.
2023-09-29 00:00:00.000,98.27083333333333,24.340277777777775,4.934,4.996,87.7,11.6,22.5,13.71,108.9,0,283.4
2023-10-04 00:00:00.000,98.70541666666665,24.192222222222224,4.858,4.999,92.3,11.5,22.5,11.66,112.5,0,284.1
2023-10-09 00:00:00.000,99.05708333333331,24.043333333333337,4.782,5.001,96.9,11.4,22.4,9.57,117.8,0,284.7
2023-10-14 00:00:00.000,99.32166666666666,23.894444444444446,4.707,5.003,101.5,11.3,22.4,7.51,126.4,0,285.2
2023-10-19 00:00:00.000,99.49666666666667,23.746111111111112,4.633,5.006,106.3,11.0,22.4,5.69,141.4,0,285.7
2023-10-24 00:00:00.000,99.5795833333333,23.598333333333333,4.561,5.008,111.2,10.7,22.3,4.53,167.2,0,286.3
2023-10-29 00:00:00.000,99.56958333333331,23.451666666666664,4.492,5.01,116.2,10.2,22.3,4.66,199.6,0,286.9
2023-11-03 00:00:00.000,99.46583333333334,23.305833333333332,4.425,5.013,121.3,9.7,22.2,6.02,223.6,0,287.4
2023-11-08 00:00:00.000,99.26833333333333,23.160555555555554,4.362,5.015,126.5,9.1,22.2,8.01,237.2,0,288.0
2023-11-13 00:00:00.000,98.97874999999998,23.016111111111112,4.304,5.018,131.8,8.5,22.1,10.21,244.9,0,288.6
2024-02-06 00:00:00.000,88.5475,20.566111111111113,4.344,5.06,132.2,8.3,22.1,9.63,247.9,0,303.1
2024-02-11 00:00:00.000,88.27416666666664,20.448888888888888,4.408,5.062,126.9,9.0,22.2,7.25,242.0,0,303.6
2024-02-16 00:00:00.000,88.0925,20.33888888888889,4.476,5.065,121.7,9.6,22.2,4.98,230.1,0,304.0
2024-02-21 00:00:00.000,88.0025,20.235833333333336,4.547,5.067,116.6,10.1,22.3,3.24,202.5,0,304.3
2024-02-26 00:00:00.000,88.00416666666666,20.139166666666664,4.622,5.07,111.5,10.5,22.4,3.09,154.8,0,304.4
2024-03-02 00:00:00.000,88.09541666666667,20.049166666666668,4.699,5.072,106.6,10.8,22.4,4.63,124.4,0,304.3
