Date,RA,Dec,Delta,r,Elongation,Phase,V,Proper motion,Direction
2023-07-01 00:00:00.000,201.64041666666665,-14.836388888888889,19.843,20.161,106.8,2.8,27.6,1.22,339.2
2023-07-06 00:00:00.000,201.635,-14.801666666666668,19.939,20.176,102.1,2.8,27.6,0.94,7.7
2023-07-11 00:00:00.000,201.64916666666664,-14.774444444444445,20.036,20.191,97.3,2.9,27.6,0.98,44.2
2023-07-16 00:00:00.000,201.68249999999998,-14.754722222222222,20.134,20.206,92.6,2.9,27.6,1.33,69.1
2023-07-21 00:00:00.000,201.73499999999999,-14.742777777777777,20.233,20.221,87.9,2.9,27.7,1.82,82.2
2024-01-22 00:00:00.000,208.69041666666664,-17.01361111111111,20.769,20.766,88.5,2.7,27.8,1.38,126.4
2024-01-27 00:00:00.000,208.71874999999997,-17.0375,20.698,20.781,93.5,2.7,27.8,0.8,138.8
2024-02-01 00:00:00.000,208.7270833333333,-17.053611111111113,20.626,20.795,98.5,2.7,27.7,0.38,188.9
2024-02-06 00:00:00.000,208.7145833333333,-17.06277777777778,20.556,20.81,103.6,2.6,27.7,0.66,256.6
2024-02-11 00:00:00.000,208.6820833333333,-17.06388888888889,20.488,20.825,108.7,2.6,27.7,1.22,273.6
2024-02-16 00:00:00.000,208.62999999999997,-17.0575,20.422,20.839,113.8,2.5,27.7,1.81,279.7
2024-02-21 00:00:00.000,208.55833333333334,-17.04361111111111,20.359,20.854,118.8,2.4,27.7,2.38,282.9
2024-02-26 00:00:00.000,208.46874999999994,-17.022222222222222,20.3,20.868,123.9,2.3,27.7,2.93,284.9
2024-03-02 00:00:00.000,208.36166666666665,-16.993333333333336,20.245,20.883,129.0,2.1,27.7,3.45,286.3
2024-03-07 00:00:00.000,208.23791666666665,-16.9575,20.194,20.897,134.1,2.0,27.7,3.95,287.4
2024-06-05 00:00:00.000,205.14708333333328,-15.672222222222222,20.437,21.158,134.3,2.0,27.7,3.9,301.1
2024-06-10 00:00:00.000,205.03916666666663,-15.6075,20.514,21.173,129.4,2.1,27.7,3.44,302.9
2024-06-15 00:00:00.000,204.9475,-15.547777777777778,20.594,21.187,124.6,2.3,27.8,2.95,305.4
2024-06-20 00:00:00.000,204.87291666666667,-15.493611111111111,20.679,21.201,119.7,2.4,27.8,2.45,308.9
2024-06-25 00:00:00.000,204.8158333333333,-15.445277777777777,20.768,21.216,114.9,2.5,27.8,1.95,314.2
2024-06-30 00:00:00.000,204.77624999999998,-15.403055555555556,20.859,21.23,110.1,2.6,27.8,1.46,323.3
2024-07-05 00:00:00.000,204.75541666666666,-15.367222222222223,20.953,21.245,105.3,2.6,27.8,1.03,340.7
2024-07-10 00:00:00.000,204.75291666666664,-15.338333333333335,21.049,21.259,100.6,2.7,27.8,0.79,14.6
2024-07-15 00:00:00.000,204.76916666666665,-15.316111111111113,21.146,21.273,95.8,2.7,27.9,0.92,53.0
2024-07-20 00:00:00.000,204.80374999999998,-15.301111111111112,21.244,21.288,91.1,2.7,27.9,1.31,74.8
2024-07-25 00:00:00.000,204.85666666666665,-15.293333333333333,21.342,21.302,86.4,2.7,27.9,1.79,85.7
2025-01-21 00:00:00.000,211.38708333333332,-17.358333333333334,21.867,21.814,85.7,2.6,28.0,1.58,120.8
2025-01-26 00:00:00.000,211.42499999999998,-17.381944444444446,21.794,21.828,90.7,2.6,28.0,1.01,127.4
2025-01-31 00:00:00.000,211.44291666666663,-17.398888888888887,21.722,21.842,95.7,2.6,28.0,0.47,149.9
2025-02-05 00:00:00.000,211.44125,-17.40888888888889,21.651,21.857,100.8,2.5,28.0,0.38,238.9
2025-02-10 00:00:00.000,211.42041666666665,-17.411944444444444,21.58,21.871,105.9,2.5,27.9,0.88,270.8
2025-02-15 00:00:00.000,211.38041666666663,-17.408055555555553,21.512,21.885,110.9,2.4,27.9,1.43,278.9
2025-02-20 00:00:00.000,211.32166666666663,-17.397222222222222,21.447,21.899,116.0,2.3,27.9,1.99,282.5
2025-02-25 00:00:00.000,211.2445833333333,-17.379444444444445,21.385,21.913,121.1,2.2,27.9,2.53,284.6
