Date,RA,Dec,Delta,r,Elongation,Phase,V,Proper motion,Direction,Uncertainty 3sig,Unc. P.A.
2023-07-21 00:00:00.000,250.04333333333335,-24.40861111111111,17.168,17.89,134.1,2.3,24.0,3.84,285.7,469,271.1
2023-07-26 00:00:00.000,249.91791666666663,-24.375,17.243,17.903,129.3,2.5,24.0,3.28,287.4,469,271.2
2023-07-31 00:00:00.000,249.8141666666666,-24.343333333333334,17.324,17.917,124.4,2.7,24.0,2.7,289.8,469,271.2
2023-08-05 00:00:00.000,249.73249999999996,-24.31416666666667,17.408,17.93,119.5,2.8,24.1,2.1,293.5,470,271.2
2023-08-10 00:00:00.000,249.67416666666665,-24.28777777777778,17.495,17.943,114.7,2.9,24.1,1.49,300.5,470,271.3
2023-08-15 00:00:00.000,249.63916666666665,-24.26388888888889,17.586,17.956,109.9,3.0,24.1,0.91,317.0,471,271.3
2023-08-20 00:00:00.000,249.62874999999997,-24.243333333333336,17.679,17.969,105.0,3.1,24.1,0.58,5.0,471,271.3
2023-08-25 00:00:00.000,249.64291666666662,-24.22583333333333,17.774,17.982,100.2,3.2,24.1,0.87,56.6,472,271.3
2023-08-30 00:00:00.000,249.68166666666662,-24.211388888888887,17.871,17.995,95.5,3.2,24.2,1.45,74.7,472,271.3
2023-09-04 00:00:00.000,249.74499999999995,-24.200277777777778,17.968,18.008,90.7,3.2,24.2,2.08,82.1,473,271.4
2023-09-09 00:00:00.000,249.83249999999998,-24.192222222222224,18.065,18.021,85.9,3.2,24.2,2.73,86.0,474,271.4
2024-03-07 00:00:00.000,259.16249999999997,-24.772222222222222,18.526,18.491,86.4,3.1,24.3,2.37,93.5,479,270.3
2024-03-12 00:00:00.000,259.2366666666666,-24.77638888888889,18.454,18.504,91.3,3.1,24.3,1.68,93.2,478,270.3
2024-03-17 00:00:00.000,259.2858333333333,-24.77861111111111,18.382,18.517,96.3,3.1,24.3,1.0,92.4,477,270.3
2024-03-22 00:00:00.000,259.31,-24.779166666666665,18.31,18.53,101.2,3.0,24.3,0.32,87.7,476,270.3
2024-03-27 00:00:00.000,259.3091666666666,-24.77777777777778,18.24,18.543,106.2,3.0,24.2,0.37,280.6,475,270.3
2024-04-01 00:00:00.000,259.28375,-24.77472222222222,18.172,18.556,111.1,2.9,24.2,1.03,276.9,474,270.3
2024-04-06 00:00:00.000,259.2341666666666,-24.769444444444442,18.107,18.569,116.1,2.8,24.2,1.69,276.2,473,270.4
2024-04-11 00:00:00.000,259.16083333333324,-24.7625,18.045,18.582,121.1,2.6,24.2,2.32,276.0,472,270.4
2024-04-16 00:00:00.000,259.065,-24.753611111111113,17.986,18.595,126.1,2.5,24.2,2.92,275.9,471,270.4
2024-04-21 00:00:00.000,258.9483333333333,-24.7425,17.933,18.608,131.1,2.3,24.2,3.48,275.9,471,270.5
2024-07-25 00:00:00.000,255.2195833333333,-24.270555555555553,18.132,18.856,134.3,2.2,24.2,3.74,282.3,464,271.5
2024-07-30 00:00:00.000,255.0958333333333,-24.244722222222222,18.208,18.869,129.4,2.4,24.2,3.21,283.6,464,271.5
2024-08-04 00:00:00.000,254.99166666666667,-24.220277777777778,18.288,18.882,124.5,2.5,24.3,2.65,285.4,465,271.5
2024-08-09 00:00:00.000,254.90916666666664,-24.197777777777777,18.372,18.895,119.7,2.7,24.3,2.07,288.3,465,271.6
2024-08-14 00:00:00.000,254.8483333333333,-24.177222222222223,18.46,18.908,114.8,2.8,24.3,1.47,293.6,466,271.6
2024-08-19 00:00:00.000,254.81041666666667,-24.15861111111111,18.551,18.921,110.0,2.9,24.3,0.9,305.9,466,271.6
2024-08-24 00:00:00.000,254.79541666666665,-24.141944444444444,18.644,18.934,105.2,3.0,24.3,0.47,348.7,467,271.6
2024-08-29 00:00:00.000,254.80375,-24.12777777777778,18.74,18.947,100.3,3.0,24.4,0.68,54.5,468,271.6
2024-09-03 00:00:00.000,254.8358333333333,-24.115833333333335,18.836,18.96,95.5,3.0,24.4,1.24,75.0,468,271.7
2024-09-08 00:00:00.000,254.89124999999999,-24.10638888888889,18.933,18.973,90.7,3.0,24.4,1.86,82.2,469,271.7
2024-09-13 00:00:00.000,254.97,-24.099166666666665,19.031,18.986,85.9,3.0,24.4,2.48,85.8,470,271.7
2025-03-12 00:00:00.000,263.7125,-24.388333333333332,19.48,19.454,87.0,2.9,24.5,2.09,89.7,473,270.6
2025-03-17 00:00:00.000,263.7770833333333,-24.38722222222222,19.408,19.467,92.0,2.9,24.5,1.45,88.4,472,270.6
2025-03-22 00:00:00.000,263.81833333333327,-24.385555555555555,19.335,19.48,96.9,2.9,24.5,0.8,84.9,471,270.6
2025-03-27 00:00:00.000,263.8354166666666,-24.3825,19.264,19.493,101.8,2.9,24.5,0.18,54.8,470,270.6
2025-04-01 00:00:00.000,263.82874999999996,-24.378611111111113,19.194,19.506,106.8,2.8,24.5,0.52,284.8,470,270.7
2025-04-06 00:00:00.000,263.79875,-24.37388888888889,19.126,19.519,111.7,2.7,24.4,1.15,278.3,469,270.7
2025-04-11 00:00:00.000,263.74625,-24.36777777777778,19.061,19.532,116.7,2.6,24.4,1.76,276.5,468,270.7
2025-04-16 00:00:00.000,263.67124999999993,-24.360555555555557,19.0,19.545,121.7,2.5,24.4,2.35,275.7,467,270.8
2025-04-21 00:00:00.000,263.5754166666666,-24.352222222222224,18.942,19.558,126.6,2.4,24.4,2.91,275.2,466,270.8
2025-04-26 00:00:00.000,263.4595833333333,-24.342777777777776,18.888,19.571,131.6,2.2,24.4,3.45,275.0,465,270.8
2025-07-30 00:00:00.000,259.85625,-23.996944444444445,19.099,19.817,134.0,2.1,24.4,3.59,279.3,460,271.8
2025-08-04 00:00:00.000,259.73583333333335,-23.978055555555553,19.175,19.83,129.1,2.3,24.5,3.08,280.3,460,271.8
2025-08-09 00:00:00.000,259.635,-23.960277777777776,19.256,19.843,124.2,2.4,24.5,2.55,281.7,460,271.9
2025-08-14 00:00:00.000,259.5541666666667,-23.94361111111111,19.34,19.856,119.3,2.5,24.5,1.99,283.9,461,271.9
2025-08-19 00:00:00.000,259.4941666666667,-23.928333333333335,19.429,19.869,114.5,2.7,24.5,1.42,288.0,462,271.9
2025-08-24 00:00:00.000,259.4558333333333,-23.91444444444444,19.52,19.882,109.6,2.7,24.5,0.85,297.9,462,271.9
2025-08-29 00:00:00.000,259.43958333333336,-23.901944444444442,19.613,19.895,104.8,2.8,24.6,0.38,338.8,463,271.9
2025-09-03 00:00:00.000,259.4458333333333,-23.891111111111112,19.709,19.908,99.9,2.9,24.6,0.57,57.6,464,272.0
2025-09-08 00:00:00.000,259.4745833333333,-23.881666666666668,19.806,19.921,95.1,2.9,24.6,1.13,76.8,464,272.0
