Date,RA,Dec,Delta,r,Elongation,Phase,V,Proper motion,Direction,Uncertainty 3sig,Unc. P.A.
2023-11-13 00:00:00.000,150.90875,22.863611111111112,4.902,4.919,85.2,11.6,22.3,15.0,105.7,107,279.6
2023-11-18 00:00:00.000,151.39333333333332,22.74138888888889,4.828,4.923,89.7,11.6,22.2,12.78,104.8,107,278.7
2023-11-23 00:00:00.000,151.80083333333332,22.64638888888889,4.754,4.926,94.2,11.5,22.2,10.47,103.5,107,277.8
2023-11-28 00:00:00.000,152.12749999999997,22.578888888888887,4.68,4.93,98.9,11.4,22.2,8.07,101.5,107,276.8
2023-12-03 00:00:00.000,152.37041666666667,22.539166666666667,4.607,4.933,103.7,11.2,22.1,5.58,98.0,107,275.9
2023-12-08 00:00:00.000,152.5258333333333,22.52722222222222,4.535,4.937,108.5,10.9,22.1,3.07,89.0,108,274.9
2023-12-13 00:00:00.000,152.5908333333333,22.5425,4.466,4.941,113.4,10.5,22.0,1.01,31.5,108,274.0
2023-12-18 00:00:00.000,152.5633333333333,22.583888888888886,4.399,4.944,118.5,10.1,22.0,2.61,308.4,108,273.0
2023-12-23 00:00:00.000,152.4433333333333,22.649722222222223,4.336,4.948,123.5,9.5,21.9,5.16,296.7,109,272.1
2023-12-28 00:00:00.000,152.23083333333332,22.737222222222222,4.277,4.952,128.7,8.9,21.9,7.72,292.3,109,271.1
2024-01-02 00:00:00.000,151.92749999999998,22.843888888888888,4.222,4.955,134.0,8.2,21.8,10.22,289.7,110,270.2
2024-03-22 00:00:00.000,141.57999999999998,23.70611111111111,4.268,5.015,134.3,8.2,21.9,12.5,250.1,130,77.2
2024-03-27 00:00:00.000,141.19375,23.550555555555555,4.328,5.019,129.2,8.9,21.9,10.75,241.7,133,76.6
2024-04-01 00:00:00.000,140.89249999999996,23.36722222222222,4.393,5.023,124.2,9.5,22.0,9.22,230.3,135,76.1
2024-04-06 00:00:00.000,140.67874999999998,23.15833333333333,4.462,5.027,119.2,10.0,22.1,8.12,215.2,137,75.7
2024-04-11 00:00:00.000,140.5533333333333,22.925,4.534,5.031,114.3,10.5,22.1,7.68,196.9,139,75.4
2024-04-16 00:00:00.000,140.51708333333332,22.66916666666667,4.61,5.035,109.5,10.8,22.2,8.01,178.6,142,75.1
2024-04-21 00:00:00.000,140.56666666666666,22.391944444444444,4.687,5.038,104.8,11.1,22.2,8.98,163.5,144,74.9
2024-04-26 00:00:00.000,140.70041666666665,22.095277777777778,4.766,5.042,100.2,11.3,22.3,10.37,152.2,147,74.7
2024-05-01 00:00:00.000,140.91416666666663,21.780833333333334,4.846,5.046,95.7,11.5,22.3,11.99,144.0,149,74.7
2024-05-06 00:00:00.000,141.205,21.449444444444445,4.927,5.05,91.2,11.5,22.3,13.71,138.0,152,74.7
2024-05-11 00:00:00.000,141.56958333333333,21.101944444444445,5.008,5.054,86.8,11.5,22.4,15.45,133.6,154,74.8
2024-12-17 00:00:00.000,177.58749999999998,0.9702777777777778,5.17,5.226,87.8,10.8,22.5,12.91,131.1,120,70.6
2024-12-22 00:00:00.000,177.87791666666664,0.7,5.093,5.23,92.5,10.8,22.5,10.88,135.2,120,69.8
2024-12-27 00:00:00.000,178.09791666666666,0.45583333333333337,5.017,5.233,97.3,10.7,22.4,8.84,141.5,119,69.0
2025-01-01 00:00:00.000,178.24374999999998,0.23916666666666667,4.941,5.237,102.2,10.6,22.4,6.89,151.8,119,68.2
2025-01-06 00:00:00.000,178.31416666666664,0.051111111111111114,4.867,5.241,107.1,10.3,22.4,5.3,169.7,119,67.4
2025-01-11 00:00:00.000,178.3070833333333,-0.10833333333333334,4.794,5.245,112.2,10.0,22.3,4.55,197.6,119,66.6
2025-01-16 00:00:00.000,178.22208333333333,-0.23833333333333334,4.725,5.249,117.3,9.6,22.3,5.08,227.1,120,65.8
2025-01-21 00:00:00.000,178.05916666666664,-0.3386111111111111,4.658,5.253,122.5,9.1,22.2,6.58,247.1,120,65.1
2025-01-26 00:00:00.000,177.8183333333333,-0.4088888888888889,4.596,5.257,127.8,8.5,22.2,8.53,258.7,120,64.3
2025-01-31 00:00:00.000,177.50208333333333,-0.44972222222222225,4.538,5.26,133.1,7.9,22.1,10.62,265.7,121,63.6
2025-04-26 00:00:00.000,167.91749999999996,1.0041666666666667,4.59,5.324,132.7,8.0,22.2,9.48,275.9,142,53.9
2025-05-01 00:00:00.000,167.63916666666663,1.024722222222222,4.653,5.328,127.6,8.6,22.2,7.25,272.0,144,53.6
2025-05-06 00:00:00.000,167.4345833333333,1.0208333333333333,4.72,5.331,122.6,9.2,22.3,5.05,264.4,147,53.3
2025-05-11 00:00:00.000,167.30416666666665,0.9916666666666666,4.791,5.335,117.6,9.7,22.3,3.07,245.8,149,53.0
2025-05-16 00:00:00.000,167.24791666666664,0.9369444444444445,4.865,5.339,112.8,10.1,22.4,2.12,196.3,152,52.8
2025-05-21 00:00:00.000,167.26416666666665,0.8563888888888889,4.942,5.342,108.0,10.4,22.4,3.22,150.6,154,52.6
2025-05-26 00:00:00.000,167.35249999999996,0.7497222222222222,5.02,5.346,103.4,10.6,22.5,5.16,134.0,157,52.5
2025-05-31 00:00:00.000,167.51124999999996,0.6172222222222222,5.1,5.35,98.8,10.8,22.5,7.25,127.0,160,52.4
2025-06-05 00:00:00.000,167.73708333333332,0.45916666666666667,5.181,5.353,94.3,10.9,22.6,9.3,123.4,163,52.3
2025-06-10 00:00:00.000,168.02791666666664,0.2758333333333333,5.263,5.357,89.8,10.9,22.6,11.29,121.3,166,52.3
2025-06-15 00:00:00.000,168.37958333333333,0.06888888888888889,5.344,5.36,85.5,10.9,22.6,13.19,119.9,169,52.4
