Date,RA,Dec,Delta,r,Elongation,Phase,V,Proper motion,Direction,Uncertainty 3sig,Unc. P.A.
2023-07-01 00:00:00.000,13.525416666666665,-5.688611111111111,9.565,9.591,88.4,6.1,24.3,5.96,106.3,0,77.3
2023-07-06 00:00:00.000,13.698333333333332,-5.753055555555555,9.487,9.595,93.0,6.1,24.3,5.12,115.4,0,77.5
2023-07-11 00:00:00.000,13.834583333333331,-5.835,9.411,9.598,97.6,6.0,24.3,4.43,128.0,0,77.7
2023-07-16 00:00:00.000,13.932083333333331,-5.934722222222223,9.335,9.601,102.2,5.9,24.2,3.99,144.3,0,78.0
2023-07-21 00:00:00.000,13.990416666666665,-6.051111111111111,9.26,9.605,106.9,5.8,24.2,3.92,162.9,0,78.2
2023-07-26 00:00:00.000,14.009166666666665,-6.184166666666667,9.188,9.608,111.6,5.6,24.2,4.22,180.4,0,78.5
2023-07-31 00:00:00.000,13.988749999999998,-6.332222222222222,9.118,9.612,116.3,5.4,24.2,4.82,194.4,0,78.8
2023-08-05 00:00:00.000,13.928749999999997,-6.495,9.052,9.615,121.1,5.2,24.1,5.6,204.9,0,79.1
2023-08-10 00:00:00.000,13.830416666666665,-6.670833333333333,8.989,9.618,125.9,4.9,24.1,6.49,212.7,0,79.5
2023-08-15 00:00:00.000,13.69375,-6.85861111111111,8.93,9.621,130.7,4.6,24.1,7.41,218.5,0,79.8
2023-11-13 00:00:00.000,8.1825,-9.955555555555556,8.984,9.677,132.3,4.3,24.1,6.96,258.5,0,86.5
2023-11-18 00:00:00.000,7.968749999999999,-9.99111111111111,9.05,9.68,127.2,4.7,24.1,5.85,262.7,0,86.6
2023-11-23 00:00:00.000,7.790416666666666,-10.005277777777778,9.121,9.683,122.2,5.0,24.1,4.72,268.8,0,86.6
2023-11-28 00:00:00.000,7.649583333333333,-9.998055555555554,9.196,9.686,117.2,5.2,24.2,3.64,278.3,0,86.6
2023-12-03 00:00:00.000,7.5474999999999985,-9.970277777777778,9.274,9.689,112.2,5.4,24.2,2.69,295.1,0,86.5
2023-12-08 00:00:00.000,7.484999999999999,-9.922222222222222,9.355,9.692,107.2,5.6,24.2,2.14,324.6,0,86.4
2023-12-13 00:00:00.000,7.463749999999999,-9.854444444444445,9.438,9.695,102.2,5.7,24.3,2.32,359.4,0,86.2
2023-12-18 00:00:00.000,7.48375,-9.767777777777779,9.523,9.697,97.3,5.8,24.3,3.11,22.6,0,85.9
2023-12-23 00:00:00.000,7.544583333333333,-9.663333333333334,9.608,9.7,92.4,5.8,24.3,4.16,35.4,0,85.6
2023-12-28 00:00:00.000,7.645833333333332,-9.542222222222222,9.694,9.703,87.6,5.8,24.3,5.28,42.9,0,85.3
2024-07-10 00:00:00.000,23.97958333333333,-3.97,9.791,9.796,87.3,6.0,24.4,6.28,109.1,0,77.4
2024-07-15 00:00:00.000,24.15958333333333,-4.046666666666667,9.713,9.798,91.8,6.0,24.4,5.48,117.8,0,77.5
2024-07-20 00:00:00.000,24.30333333333333,-4.140277777777778,9.636,9.8,96.3,5.9,24.3,4.83,129.2,0,77.7
2024-07-25 00:00:00.000,24.40958333333333,-4.25,9.559,9.802,100.9,5.8,24.3,4.39,143.6,0,77.9
2024-07-30 00:00:00.000,24.4775,-4.375555555555555,9.483,9.804,105.5,5.7,24.3,4.25,160.1,0,78.1
2024-08-04 00:00:00.000,24.506249999999998,-4.516111111111111,9.409,9.805,110.2,5.6,24.3,4.44,176.5,0,78.2
2024-08-09 00:00:00.000,24.495416666666664,-4.670833333333333,9.338,9.807,114.9,5.4,24.2,4.93,190.6,0,78.4
2024-08-14 00:00:00.000,24.445416666666667,-4.838333333333333,9.27,9.809,119.6,5.2,24.2,5.61,201.7,1,78.7
2024-08-19 00:00:00.000,24.356666666666662,-5.017777777777778,9.205,9.811,124.3,4.9,24.2,6.4,210.1,1,78.9
2024-08-24 00:00:00.000,24.230416666666667,-5.207222222222223,9.145,9.813,129.0,4.6,24.2,7.25,216.6,1,79.1
2024-08-29 00:00:00.000,24.0675,-5.405277777777778,9.089,9.815,133.8,4.3,24.1,8.12,221.7,1,79.4
2024-11-22 00:00:00.000,18.732916666666664,-8.088611111111112,9.149,9.842,132.5,4.2,24.2,7.24,263.7,0,82.9
2024-11-27 00:00:00.000,18.506666666666664,-8.104166666666666,9.212,9.844,127.5,4.6,24.2,6.23,268.7,0,82.9
2024-12-02 00:00:00.000,18.31458333333333,-8.098333333333334,9.28,9.845,122.5,4.8,24.2,5.2,275.5,0,82.9
2024-12-07 00:00:00.000,18.158749999999998,-8.071111111111112,9.352,9.847,117.6,5.1,24.2,4.22,285.5,0,82.8
2024-12-12 00:00:00.000,18.041249999999998,-8.023333333333333,9.428,9.848,112.6,5.3,24.3,3.39,300.8,0,82.7
