Date,RA,Dec,Delta,r,Elongation,Phase,V,Proper motion,Direction,Uncertainty 3sig,Unc. P.A.
2023-11-13 00:00:00.000,150.8525,24.400277777777777,5.123,5.146,85.8,11.1,22.0,13.89,102.4,1,309.5
2023-11-18 00:00:00.000,151.31291666666664,24.314722222222223,5.046,5.147,90.3,11.1,22.0,11.78,100.6,1,309.7
2023-11-23 00:00:00.000,151.69791666666663,24.25583333333333,4.968,5.147,94.9,11.0,21.9,9.57,98.2,1,309.9
2023-11-28 00:00:00.000,152.00458333333333,24.223888888888887,4.891,5.148,99.6,10.9,21.9,7.31,94.3,1,310.0
2023-12-03 00:00:00.000,152.22999999999996,24.21944444444444,4.815,5.148,104.3,10.7,21.8,5.02,86.9,1,310.1
2023-12-08 00:00:00.000,152.36999999999998,24.241666666666667,4.74,5.148,109.1,10.4,21.8,2.85,68.0,1,310.2
2023-12-13 00:00:00.000,152.42249999999999,24.290277777777778,4.668,5.149,114.1,10.1,21.8,1.85,6.4,1,310.2
2023-12-18 00:00:00.000,152.38458333333332,24.36388888888889,4.599,5.149,119.1,9.6,21.7,3.41,318.5,1,310.1
2023-12-23 00:00:00.000,152.25666666666663,24.46,4.533,5.15,124.1,9.1,21.7,5.7,304.1,1,310.0
2023-12-28 00:00:00.000,152.03916666666663,24.57611111111111,4.471,5.15,129.3,8.5,21.6,8.08,297.7,1,309.9
2024-01-02 00:00:00.000,151.73333333333332,24.709166666666665,4.414,5.151,134.4,7.8,21.5,10.42,293.8,1,309.7
2024-03-22 00:00:00.000,141.43374999999997,25.63,4.424,5.159,133.3,8.1,21.6,12.62,248.3,1,304.9
2024-03-27 00:00:00.000,141.04125,25.459722222222222,4.482,5.16,128.3,8.7,21.6,11.01,239.8,1,304.7
2024-04-01 00:00:00.000,140.73208333333332,25.261388888888888,4.544,5.16,123.3,9.3,21.7,9.63,228.6,1,304.6
2024-04-06 00:00:00.000,140.50916666666666,25.03638888888889,4.61,5.161,118.3,9.8,21.7,8.64,214.4,1,304.5
2024-04-11 00:00:00.000,140.37374999999997,24.78638888888889,4.68,5.161,113.5,10.3,21.8,8.23,197.6,1,304.5
2024-04-16 00:00:00.000,140.32583333333332,24.51388888888889,4.752,5.162,108.7,10.6,21.8,8.51,180.9,1,304.5
2024-04-21 00:00:00.000,140.36333333333332,24.22,4.826,5.162,104.0,10.9,21.9,9.37,166.5,1,304.6
2024-04-26 00:00:00.000,140.48416666666665,23.90694444444444,4.902,5.163,99.4,11.1,21.9,10.63,155.4,1,304.6
2024-05-01 00:00:00.000,140.685,23.575833333333332,4.979,5.164,94.9,11.2,21.9,12.13,147.1,1,304.8
2024-05-06 00:00:00.000,140.96249999999998,23.22861111111111,5.057,5.164,90.4,11.3,22.0,13.75,140.8,1,304.9
2024-05-11 00:00:00.000,141.3133333333333,22.865833333333335,5.135,5.165,86.0,11.3,22.0,15.41,136.1,1,305.0
2024-12-17 00:00:00.000,177.18041666666667,2.7725,5.116,5.191,88.9,10.9,22.0,12.65,129.4,1,313.7
2024-12-22 00:00:00.000,177.47208333333333,2.517777777777778,5.036,5.192,93.6,10.9,22.0,10.58,133.3,1,313.7
2024-12-27 00:00:00.000,177.69291666666663,2.2891666666666666,4.957,5.193,98.4,10.8,21.9,8.48,139.4,1,313.6
2025-01-01 00:00:00.000,177.8395833333333,2.0883333333333334,4.878,5.193,103.3,10.6,21.9,6.48,149.9,1,313.6
2025-01-06 00:00:00.000,177.90916666666664,1.9158333333333333,4.801,5.194,108.2,10.4,21.8,4.83,169.0,1,313.5
2025-01-11 00:00:00.000,177.9008333333333,1.7722222222222221,4.726,5.194,113.3,10.0,21.8,4.14,200.3,1,313.5
2025-01-16 00:00:00.000,177.8133333333333,1.6572222222222222,4.654,5.195,118.4,9.6,21.7,4.85,231.6,1,313.4
2025-01-21 00:00:00.000,177.64666666666665,1.571388888888889,4.586,5.196,123.6,9.1,21.7,6.54,250.9,1,313.3
