Date,RA,Dec,Delta,r,Elongation,Phase,V,Proper motion,Direction,Uncertainty 3sig,Unc. P.A.
2023-07-16 00:00:00.000,24.97583333333333,12.706388888888888,15.222,15.17,85.2,3.8,26.5,2.5,54.9,60,61.2
2023-07-21 00:00:00.000,25.033333333333328,12.75,15.152,15.183,89.9,3.8,26.5,1.75,48.4,60,61.2
2023-07-26 00:00:00.000,25.064999999999994,12.783888888888889,15.082,15.197,94.6,3.8,26.5,1.04,32.4,60,61.2
2023-07-31 00:00:00.000,25.071249999999996,12.808055555555557,15.012,15.21,99.4,3.8,26.4,0.62,341.3,61,61.2
2023-08-05 00:00:00.000,25.05166666666666,12.822777777777777,14.944,15.224,104.2,3.7,26.4,0.99,287.2,61,61.2
2023-08-10 00:00:00.000,25.006249999999994,12.827777777777778,14.878,15.237,109.0,3.6,26.4,1.7,270.0,61,61.2
2023-08-15 00:00:00.000,24.93541666666666,12.822777777777777,14.813,15.251,113.8,3.5,26.4,2.46,263.1,62,61.2
2023-08-20 00:00:00.000,24.83958333333333,12.808055555555557,14.752,15.264,118.7,3.3,26.4,3.22,259.5,62,61.2
2023-08-25 00:00:00.000,24.71958333333333,12.783888888888889,14.694,15.278,123.7,3.2,26.4,3.95,257.3,62,61.1
2023-08-30 00:00:00.000,24.57666666666666,12.750277777777777,14.64,15.291,128.6,3.0,26.4,4.65,255.8,63,61.1
2023-09-04 00:00:00.000,24.411666666666665,12.7075,14.591,15.304,133.6,2.7,26.3,5.32,254.6,63,61.0
2023-12-03 00:00:00.000,20.191666666666663,11.226666666666667,14.859,15.543,132.6,2.7,26.4,4.95,247.1,62,60.0
2023-12-08 00:00:00.000,20.047916666666666,11.16638888888889,14.938,15.556,127.4,2.9,26.4,4.23,246.6,61,60.0
2023-12-13 00:00:00.000,19.92833333333333,11.114722222222222,15.022,15.569,122.2,3.1,26.5,3.47,245.9,61,59.9
2023-12-18 00:00:00.000,19.833333333333332,11.072222222222223,15.111,15.582,117.0,3.2,26.5,2.67,244.9,61,59.9
2023-12-23 00:00:00.000,19.764166666666664,11.039166666666667,15.202,15.595,111.8,3.4,26.5,1.86,243.1,60,59.9
2023-12-28 00:00:00.000,19.721249999999998,11.016111111111112,15.297,15.608,106.7,3.5,26.5,1.04,238.5,60,59.9
2024-01-02 00:00:00.000,19.704166666666662,11.003333333333334,15.394,15.621,101.6,3.5,26.5,0.26,204.5,60,59.9
2024-01-07 00:00:00.000,19.71375,11.000555555555556,15.492,15.634,96.5,3.6,26.6,0.67,83.6,59,59.9
2024-01-12 00:00:00.000,19.74958333333333,11.008333333333333,15.591,15.647,91.4,3.6,26.6,1.49,75.0,59,59.9
2024-01-17 00:00:00.000,19.811666666666664,11.02638888888889,15.691,15.66,86.4,3.6,26.6,2.31,72.4,59,59.9
2024-07-20 00:00:00.000,28.482916666666664,14.61111111111111,16.171,16.129,85.8,3.6,26.7,2.18,52.5,61,62.1
2024-07-25 00:00:00.000,28.53041666666666,14.651388888888889,16.099,16.141,90.5,3.6,26.7,1.49,43.8,61,62.1
2024-07-30 00:00:00.000,28.553749999999994,14.682777777777778,16.028,16.153,95.3,3.6,26.7,0.88,21.5,62,62.1
2024-08-04 00:00:00.000,28.552499999999995,14.705555555555556,15.958,16.166,100.1,3.5,26.7,0.68,324.0,62,62.1
2024-08-09 00:00:00.000,28.526666666666664,14.719166666666666,15.888,16.178,104.9,3.5,26.7,1.15,283.9,62,62.1
2024-08-14 00:00:00.000,28.47583333333333,14.723888888888888,15.821,16.19,109.7,3.4,26.7,1.82,270.2,63,62.1
2024-08-19 00:00:00.000,28.401249999999994,14.719722222222222,15.756,16.203,114.6,3.3,26.7,2.52,264.0,63,62.0
2024-08-24 00:00:00.000,28.303333333333327,14.706388888888888,15.694,16.215,119.5,3.1,26.6,3.23,260.5,63,62.0
2024-08-29 00:00:00.000,28.18208333333333,14.684444444444445,15.635,16.227,124.4,2.9,26.6,3.91,258.3,64,62.0
2024-09-03 00:00:00.000,28.03958333333333,14.653611111111111,15.581,16.239,129.4,2.8,26.6,4.58,256.7,64,61.9
2024-09-08 00:00:00.000,27.87583333333333,14.614166666666666,15.531,16.252,134.4,2.5,26.6,5.2,255.5,64,61.9
2024-12-07 00:00:00.000,23.81,13.226944444444445,15.796,16.469,131.8,2.6,26.7,4.67,246.6,63,60.7
2024-12-12 00:00:00.000,23.67458333333333,13.16861111111111,15.876,16.481,126.6,2.7,26.7,3.99,245.8,63,60.7
2024-12-17 00:00:00.000,23.561666666666664,13.118055555555555,15.959,16.493,121.4,2.9,26.7,3.27,244.8,62,60.7
2024-12-22 00:00:00.000,23.47208333333333,13.075833333333334,16.047,16.505,116.2,3.1,26.7,2.53,243.2,62,60.7
2024-12-27 00:00:00.000,23.4075,13.042222222222222,16.138,16.517,111.0,3.2,26.7,1.76,240.3,62,60.6
2025-01-01 00:00:00.000,23.3675,13.017777777777779,16.232,16.529,105.9,3.3,26.8,0.99,233.2,61,60.6
2025-01-06 00:00:00.000,23.352916666666665,13.002777777777778,16.328,16.541,100.8,3.3,26.8,0.31,189.4,61,60.6
2025-01-11 00:00:00.000,23.364166666666662,12.997222222222222,16.426,16.553,95.7,3.4,26.8,0.69,91.9,61,60.6
