Date,RA,Dec,Delta,r,Elongation,Phase,V,Proper motion,Direction,Uncertainty 3sig,Unc. P.A.
2023-12-23 00:00:00.000,189.98499999999999,15.686388888888889,3.377,3.483,87.9,16.4,26.9,13.88,40.6,17741,301.3
2023-12-28 00:00:00.000,190.24291666666664,16.06972222222222,3.323,3.509,92.7,16.3,26.9,13.75,25.0,18060,301.8
2024-01-02 00:00:00.000,190.38583333333332,16.5175,3.269,3.535,97.5,16.0,26.9,14.59,9.4,18443,302.4
2024-01-07 00:00:00.000,190.40624999999997,17.029166666666665,3.216,3.561,102.5,15.6,26.9,16.35,355.6,18890,302.9
2024-01-12 00:00:00.000,190.29666666666665,17.603611111111114,3.165,3.586,107.5,15.2,26.8,18.83,344.4,19401,303.3
2024-01-17 00:00:00.000,190.05041666666665,18.237222222222222,3.115,3.61,112.7,14.6,26.8,21.8,335.6,19974,303.7
2024-01-22 00:00:00.000,189.6633333333333,18.924722222222222,3.068,3.634,117.9,13.9,26.7,25.02,328.7,20604,304.0
2024-01-27 00:00:00.000,189.1320833333333,19.659444444444443,3.025,3.657,123.1,13.0,26.7,28.37,323.0,21286,304.2
2024-02-01 00:00:00.000,188.45583333333332,20.43305555555556,2.987,3.68,128.4,12.1,26.6,31.7,318.4,22011,304.3
2024-02-06 00:00:00.000,187.63416666666666,21.235277777777778,2.953,3.703,133.6,11.1,26.6,34.89,314.3,22771,304.4
2024-04-11 00:00:00.000,170.33249999999998,28.25138888888889,3.189,3.949,133.8,10.6,26.9,30.01,271.9,28329,61.6
2024-04-16 00:00:00.000,169.25833333333333,28.245555555555555,3.258,3.965,128.9,11.4,27.0,26.77,267.2,27989,62.3
2024-04-21 00:00:00.000,168.31125,28.16583333333333,3.331,3.98,123.9,12.1,27.0,23.58,261.7,27544,62.9
2024-04-26 00:00:00.000,167.495,28.02,3.409,3.995,119.0,12.7,27.1,20.56,255.1,27011,63.5
2024-05-01 00:00:00.000,166.81125,27.815555555555555,3.49,4.01,114.2,13.2,27.2,17.79,247.0,26406,64.0
2024-05-06 00:00:00.000,166.25958333333332,27.559166666666666,3.574,4.024,109.4,13.7,27.3,15.42,237.0,25745,64.4
2024-05-11 00:00:00.000,165.83749999999998,27.2575,3.661,4.037,104.7,14.0,27.3,13.59,224.7,25047,64.8
2024-05-16 00:00:00.000,165.54125,26.916944444444447,3.749,4.051,100.1,14.2,27.4,12.46,210.4,24326,65.1
2024-05-21 00:00:00.000,165.36416666666665,26.543055555555558,3.838,4.063,95.6,14.4,27.5,12.09,195.4,23597,65.3
2024-05-26 00:00:00.000,165.29958333333335,26.141666666666666,3.927,4.076,91.2,14.4,27.5,12.42,181.4,22872,65.5
2024-05-31 00:00:00.000,165.34,25.71638888888889,4.017,4.088,86.8,14.3,27.6,13.3,169.4,22161,65.5
2025-01-01 00:00:00.000,197.89541666666662,11.471388888888889,4.136,4.228,88.6,13.4,27.7,11.74,51.9,45282,299.8
2025-01-06 00:00:00.000,198.16624999999996,11.739166666666666,4.05,4.222,93.3,13.4,27.6,11.04,37.0,48640,299.3
2025-01-11 00:00:00.000,198.3458333333333,12.059722222222224,3.964,4.217,98.1,13.3,27.6,11.1,20.5,52386,298.6
2025-01-16 00:00:00.000,198.42874999999998,12.432777777777778,3.879,4.211,103.0,13.2,27.5,12.02,4.5,56583,298.0
2025-01-21 00:00:00.000,198.4083333333333,12.858611111111111,3.796,4.204,107.9,12.9,27.5,13.72,350.9,61309,297.3
2025-01-26 00:00:00.000,198.2783333333333,13.335833333333333,3.715,4.198,112.9,12.5,27.4,16.03,340.1,66659,296.5
2025-01-31 00:00:00.000,198.0333333333333,13.862499999999999,3.636,4.19,118.0,12.0,27.3,18.74,331.7,72755,295.7
2025-02-05 00:00:00.000,197.66791666666663,14.434722222222222,3.562,4.183,123.1,11.4,27.3,21.68,325.2,79752,294.8
2025-02-10 00:00:00.000,197.1808333333333,15.0475,3.491,4.175,128.3,10.7,27.2,24.72,320.0,87854,293.9
2025-02-15 00:00:00.000,196.57041666666663,15.694444444444445,3.426,4.166,133.4,9.9,27.1,27.76,315.6,97335,292.8
2025-04-26 00:00:00.000,180.23791666666665,22.738055555555558,3.269,4.007,131.4,10.9,27.0,29.95,274.0,184900,85.2
2025-05-01 00:00:00.000,179.20916666666665,22.77,3.311,3.992,126.4,11.7,27.0,27.01,269.7,166867,83.4
2025-05-06 00:00:00.000,178.28833333333333,22.730277777777776,3.358,3.977,121.3,12.5,27.1,24.01,264.7,151226,81.8
2025-05-11 00:00:00.000,177.48291666666663,22.624166666666667,3.408,3.962,116.4,13.2,27.1,21.07,258.7,137670,80.5
2025-05-16 00:00:00.000,176.79666666666665,22.45722222222222,3.462,3.946,111.4,13.8,27.2,18.32,251.3,125896,79.4
2025-05-21 00:00:00.000,176.23124999999996,22.235,3.519,3.929,106.6,14.3,27.2,15.87,242.0,115632,281.6
2025-05-26 00:00:00.000,175.78666666666666,21.962777777777777,3.577,3.913,101.8,14.7,27.3,13.89,230.3,106651,282.5
2025-05-31 00:00:00.000,175.4620833333333,21.645555555555553,3.637,3.895,97.2,15.0,27.3,12.56,216.2,98768,283.4
2025-06-05 00:00:00.000,175.2533333333333,21.28888888888889,3.697,3.878,92.6,15.2,27.3,12.02,200.7,91831,284.2
2025-06-10 00:00:00.000,175.15666666666664,20.897777777777776,3.758,3.86,88.1,15.2,27.3,12.27,185.6,85715,285.1
2026-01-26 00:00:00.000,222.68124999999998,0.47805555555555557,2.269,2.406,85.8,24.1,25.5,35.91,84.7,30207,44.9
2026-01-31 00:00:00.000,223.85124999999996,0.6252777777777778,2.148,2.356,89.6,24.7,25.4,34.85,80.9,29730,25.8
2026-02-05 00:00:00.000,224.97249999999997,0.8494444444444444,2.026,2.305,93.4,25.3,25.2,33.78,76.3,31224,9.1
2026-02-10 00:00:00.000,226.03666666666663,1.1605555555555556,1.903,2.253,97.3,25.8,25.0,32.75,70.9,33938,4.2
2026-02-15 00:00:00.000,227.03166666666664,1.5697222222222222,1.782,2.199,101.2,26.1,24.9,31.86,64.2,37068,14.6
2026-02-20 00:00:00.000,227.94416666666666,2.0908333333333333,1.66,2.144,105.2,26.4,24.7,31.29,56.1,40034,336.9
2026-02-25 00:00:00.000,228.75874999999996,2.7391666666666667,1.54,2.087,109.2,26.6,24.4,31.35,46.6,42508,329.8
