Date,RA,Dec,Delta,r,Elongation,Phase,V,Proper motion,Direction,Uncertainty 3sig,Unc. P.A.
2023-07-16 00:00:00.000,241.29999999999995,-42.19499999999999,4.187,4.915,131.0,9.0,28.4,21.89,299.7,7028,315.1
2023-07-21 00:00:00.000,240.51291666666665,-41.83277777777778,4.258,4.928,126.2,9.6,28.4,19.4,304.1,6945,315.8
2023-07-26 00:00:00.000,239.8620833333333,-41.473055555555554,4.334,4.94,121.5,10.1,28.5,16.91,309.2,6847,316.4
2023-07-31 00:00:00.000,239.3458333333333,-41.121944444444445,4.413,4.953,116.7,10.6,28.6,14.52,315.5,6738,317.0
2023-08-05 00:00:00.000,238.95958333333328,-40.784166666666664,4.496,4.965,111.9,10.9,28.6,12.31,323.5,6619,317.5
2023-08-10 00:00:00.000,238.69916666666666,-40.46388888888889,4.581,4.977,107.2,11.2,28.7,10.37,334.0,6494,317.9
2023-08-15 00:00:00.000,238.55916666666664,-40.16416666666667,4.668,4.988,102.6,11.4,28.7,8.86,347.9,6365,318.3
2023-08-20 00:00:00.000,238.5345833333333,-39.8875,4.757,4.999,98.0,11.6,28.8,7.97,5.1,6233,318.5
2023-08-25 00:00:00.000,238.6183333333333,-39.63527777777778,4.846,5.01,93.5,11.6,28.8,7.84,23.6,6101,318.8
2023-08-30 00:00:00.000,238.80416666666662,-39.40888888888889,4.936,5.021,89.0,11.6,28.9,8.4,40.3,5971,318.9
2024-03-22 00:00:00.000,272.95666666666665,-44.43194444444444,5.144,5.228,89.3,11.0,29.0,12.27,163.8,6687,292.8
2024-03-27 00:00:00.000,273.0616666666666,-44.831388888888895,5.065,5.227,93.9,11.0,29.0,12.22,175.1,6856,292.8
2024-04-01 00:00:00.000,273.05208333333326,-45.24333333333333,4.986,5.227,98.4,10.9,29.0,12.6,186.7,7026,292.9
2024-04-06 00:00:00.000,272.9208333333333,-45.665,4.908,5.226,103.1,10.8,28.9,13.42,197.7,7195,293.1
