Date,RA,Dec,Delta,r,Elongation,Phase,V,Proper motion,Direction,Uncertainty 3sig,Unc. P.A.
2023-08-20 00:00:00.000,54.95583333333333,18.110555555555557,6.217,6.29,89.5,9.3,25.5,7.37,247.0,106651,281.8
2023-08-25 00:00:00.000,54.679583333333326,18.004722222222224,6.112,6.275,94.6,9.2,25.4,9.64,249.0,107246,281.9
2023-08-30 00:00:00.000,54.32416666666666,17.879444444444445,6.009,6.26,99.8,9.1,25.4,12.01,250.2,107893,282.0
2023-09-04 00:00:00.000,53.88666666666666,17.733333333333334,5.906,6.245,105.1,9.0,25.3,14.48,251.0,108587,282.1
2023-09-09 00:00:00.000,53.36458333333332,17.56527777777778,5.806,6.23,110.4,8.7,25.3,17.04,251.6,109325,282.1
2023-09-14 00:00:00.000,52.75541666666666,17.37388888888889,5.709,6.215,115.9,8.4,25.2,19.66,251.9,110102,282.2
2023-09-19 00:00:00.000,52.05916666666666,17.15888888888889,5.616,6.2,121.5,7.9,25.2,22.29,252.2,110913,282.3
2023-09-24 00:00:00.000,51.27541666666666,16.91916666666667,5.527,6.184,127.1,7.4,25.1,24.89,252.3,111752,282.3
2023-09-29 00:00:00.000,50.40708333333333,16.654999999999998,5.443,6.169,132.9,6.8,25.0,27.43,252.4,112614,282.4
2023-12-13 00:00:00.000,32.88833333333333,10.958333333333332,5.206,5.933,134.0,6.9,24.9,30.56,250.5,121701,280.9
2023-12-18 00:00:00.000,31.950416666666666,10.631388888888889,5.26,5.916,127.9,7.5,24.9,28.06,250.4,121419,280.7
2023-12-23 00:00:00.000,31.095833333333335,10.332777777777778,5.32,5.9,122.0,8.1,25.0,25.43,250.4,120933,280.4
2023-12-28 00:00:00.000,30.327499999999997,10.06388888888889,5.385,5.884,116.1,8.6,25.0,22.72,250.4,120234,280.1
2024-01-02 00:00:00.000,29.64666666666667,9.825833333333334,5.453,5.867,110.3,9.0,25.0,19.97,250.5,119312,279.7
2024-01-07 00:00:00.000,29.054166666666664,9.619166666666667,5.525,5.851,104.6,9.4,25.1,17.21,250.6,118161,279.4
2024-01-12 00:00:00.000,28.54916666666666,9.443888888888889,5.6,5.834,98.9,9.6,25.1,14.47,250.7,116781,279.0
2024-01-17 00:00:00.000,28.13041666666666,9.3,5.675,5.818,93.4,9.7,25.1,11.8,250.9,115177,278.6
2024-01-22 00:00:00.000,27.794583333333332,9.186111111111112,5.752,5.801,88.0,9.8,25.2,9.24,251.2,113362,278.2
2024-07-30 00:00:00.000,35.773333333333326,10.945555555555556,5.031,5.131,89.9,11.4,24.7,10.96,238.0,72033,275.9
2024-08-04 00:00:00.000,35.41083333333333,10.733888888888888,4.921,5.112,95.1,11.4,24.6,13.93,240.3,72499,276.1
2024-08-09 00:00:00.000,34.95083333333332,10.484444444444444,4.812,5.094,100.4,11.3,24.5,17.09,241.9,72997,276.2
2024-08-14 00:00:00.000,34.387499999999996,10.195833333333333,4.705,5.075,105.8,11.1,24.5,20.41,243.0,73525,276.4
2024-08-19 00:00:00.000,33.717083333333335,9.866111111111111,4.6,5.057,111.3,10.7,24.4,23.88,243.8,74079,276.5
2024-08-24 00:00:00.000,32.936249999999994,9.493333333333332,4.498,5.038,117.0,10.3,24.3,27.47,244.5,74655,276.6
2024-08-29 00:00:00.000,32.04124999999999,9.07638888888889,4.4,5.019,122.7,9.7,24.3,31.14,245.0,75250,276.8
2024-09-03 00:00:00.000,31.031249999999996,8.614444444444445,4.308,5.0,128.7,9.1,24.2,34.85,245.3,75860,276.9
2024-09-08 00:00:00.000,29.906666666666666,8.107222222222221,4.221,4.982,134.7,8.3,24.1,38.5,245.6,76481,276.9
2024-11-17 00:00:00.000,8.422083333333333,-1.0286111111111111,3.992,4.716,132.4,8.9,23.9,42.57,248.4,82177,275.9
2024-11-22 00:00:00.000,7.155416666666666,-1.524722222222222,4.047,4.697,126.0,9.8,23.9,39.0,248.8,81956,275.6
2024-11-27 00:00:00.000,5.999583333333333,-1.968888888888889,4.109,4.678,119.8,10.6,24.0,35.24,249.2,81585,275.3
2024-12-02 00:00:00.000,4.959583333333333,-2.3594444444444447,4.175,4.658,113.6,11.2,24.0,31.38,249.6,81054,275.0
2024-12-07 00:00:00.000,4.0370833333333325,-2.6969444444444446,4.246,4.639,107.6,11.7,24.1,27.5,250.2,80353,274.6
2024-12-12 00:00:00.000,3.2325,-2.9825,4.319,4.62,101.6,12.0,24.1,23.7,250.8,79478,274.2
2024-12-17 00:00:00.000,2.5424999999999995,-3.218611111111111,4.395,4.601,95.8,12.3,24.2,20.02,251.5,78426,273.7
2024-12-22 00:00:00.000,1.9633333333333332,-3.407222222222222,4.472,4.581,90.2,12.4,24.2,16.49,252.4,77199,273.3
2025-06-25 00:00:00.000,7.785416666666667,-1.8394444444444447,3.793,3.875,86.9,15.2,23.6,16.6,232.1,41599,88.8
2025-06-30 00:00:00.000,7.284166666666666,-2.211388888888889,3.679,3.856,92.3,15.3,23.5,20.91,234.4,41896,89.1
2025-07-05 00:00:00.000,6.646249999999999,-2.6516666666666664,3.565,3.838,97.8,15.2,23.4,25.62,236.2,42220,89.3
2025-07-10 00:00:00.000,5.86,-3.1644444444444444,3.452,3.82,103.5,15.0,23.3,30.73,237.5,42567,89.5
2025-07-15 00:00:00.000,4.911666666666666,-3.7544444444444443,3.342,3.801,109.3,14.6,23.2,36.25,238.6,42935,89.8
