Date,RA,Dec,Delta,r,Elongation,Phase,V,Proper motion,Direction,Uncertainty 3sig,Unc. P.A.
2023-08-20 00:00:00.000,56.85083333333333,16.718888888888888,18.469,18.462,88.1,3.1,27.9,1.17,084.7,41,63.5
2023-08-25 00:00:00.000,56.87999999999999,16.720277777777778,18.4,18.477,92.8,3.1,27.9,0.51,094.3,41,63.5
2023-08-30 00:00:00.000,56.88624999999999,16.71638888888889,18.331,18.493,97.7,3.1,27.9,0.23,219.3,41,63.5
2023-09-04 00:00:00.000,56.869583333333324,16.708055555555553,18.263,18.508,102.5,3.1,27.9,0.87,248.2,42,63.5
2023-09-09 00:00:00.000,56.83041666666666,16.695,18.197,18.523,107.4,3.0,27.8,1.53,252.5,42,63.5
2023-09-14 00:00:00.000,56.76791666666666,16.677500000000002,18.133,18.538,112.3,2.9,27.8,2.2,254.3,42,63.5
2023-09-19 00:00:00.000,56.68333333333333,16.655555555555555,18.071,18.553,117.2,2.8,27.8,2.85,255.3,42,63.4
2023-09-24 00:00:00.000,56.57666666666666,16.629444444444445,18.013,18.568,122.2,2.6,27.8,3.47,255.9,42,63.4
2023-09-29 00:00:00.000,56.449166666666656,16.599444444444444,17.959,18.583,127.2,2.5,27.8,4.07,256.4,42,63.3
2023-10-04 00:00:00.000,56.30208333333333,16.565833333333334,17.91,18.598,132.3,2.3,27.8,4.63,256.8,42,63.2
2024-01-02 00:00:00.000,52.375833333333325,15.845555555555556,18.179,18.865,133.2,2.2,27.8,4.59,263.4,39,60.7
2024-01-07 00:00:00.000,52.22708333333333,15.830555555555556,18.259,18.88,127.9,2.4,27.9,4.02,264.8,39,60.6
2024-01-12 00:00:00.000,52.098749999999995,15.821111111111112,18.344,18.894,122.7,2.5,27.9,3.41,266.6,39,60.5
2024-01-17 00:00:00.000,51.99166666666666,15.817222222222222,18.434,18.909,117.6,2.6,27.9,2.78,269.3,39,60.4
2024-01-22 00:00:00.000,51.906666666666666,15.819166666666666,18.527,18.924,112.4,2.8,27.9,2.14,273.7,38,60.3
2024-01-27 00:00:00.000,51.84416666666666,15.826666666666666,18.623,18.938,107.3,2.8,27.9,1.51,281.9,38,60.2
2024-02-01 00:00:00.000,51.804583333333326,15.839722222222223,18.721,18.953,102.2,2.9,28.0,0.94,300.7,38,60.2
2024-02-06 00:00:00.000,51.78791666666667,15.858611111111111,18.821,18.968,97.1,3.0,28.0,0.67,347.8,38,60.1
2024-02-11 00:00:00.000,51.79458333333333,15.883055555555556,18.922,18.982,92.0,3.0,28.0,0.97,032.9,38,60.1
2024-02-16 00:00:00.000,51.82458333333333,15.913055555555555,19.023,18.997,87.0,3.0,28.0,1.54,050.6,38,60.1
2024-08-19 00:00:00.000,59.01708333333333,17.845555555555553,19.58,19.528,85.6,3.0,28.1,1.37,080.9,45,64.1
2024-08-24 00:00:00.000,59.05416666666667,17.850833333333334,19.51,19.542,90.3,3.0,28.1,0.75,083.2,45,64.2
2024-08-29 00:00:00.000,59.06916666666666,17.85138888888889,19.439,19.556,95.1,2.9,28.1,0.13,108.3,45,64.2
2024-09-03 00:00:00.000,59.0625,17.848055555555554,19.37,19.57,100.0,2.9,28.1,0.53,251.5,45,64.2
2024-09-08 00:00:00.000,59.034166666666664,17.840277777777775,19.301,19.584,104.8,2.9,28.1,1.17,255.4,46,64.2
2024-09-13 00:00:00.000,58.98333333333333,17.828333333333333,19.235,19.598,109.8,2.8,28.1,1.8,256.6,46,64.1
2024-09-18 00:00:00.000,58.911666666666655,17.8125,19.171,19.612,114.7,2.7,28.1,2.42,257.3,46,64.1
2024-09-23 00:00:00.000,58.81874999999999,17.79277777777778,19.11,19.626,119.7,2.5,28.0,3.02,257.6,46,64.0
2024-09-28 00:00:00.000,58.70541666666666,17.769444444444442,19.053,19.64,124.7,2.4,28.0,3.6,257.9,46,64.0
2024-10-03 00:00:00.000,58.57249999999999,17.74277777777778,19.0,19.654,129.7,2.2,28.0,4.16,258.1,46,63.9
