Date,RA,Dec,Delta,r,Elongation,Phase,V,Proper motion,Direction,Uncertainty 3sig,Unc. P.A.
2023-07-01 00:00:00.000,352.97833333333324,-6.789166666666667,18.145,18.479,107.7,3.0,21.0,0.44,210.4,0.0,63.1
2023-07-06 00:00:00.000,352.96083333333326,-6.805833333333333,18.062,18.475,112.5,2.9,20.9,1.02,232.7,0.0,63.2
2023-07-11 00:00:00.000,352.92375,-6.830555555555556,17.982,18.47,117.3,2.8,20.9,1.64,238.6,0.0,63.3
2023-07-16 00:00:00.000,352.8670833333333,-6.862777777777778,17.905,18.466,122.1,2.7,20.9,2.25,241.3,0.0,63.4
2023-07-21 00:00:00.000,352.79124999999993,-6.902222222222223,17.833,18.462,127.0,2.5,20.9,2.83,242.9,0.0,63.4
2023-07-26 00:00:00.000,352.69791666666663,-6.948888888888889,17.764,18.457,131.8,2.4,20.9,3.39,243.9,0.0,63.5
2023-10-29 00:00:00.000,349.53999999999996,-8.148333333333333,17.692,18.373,132.1,2.3,20.8,3.49,256.3,0.0,44.1
2023-11-03 00:00:00.000,349.43416666666667,-8.171666666666667,17.754,18.369,127.0,2.5,20.9,2.93,258.6,0.0,37.9
2023-11-08 00:00:00.000,349.34708333333333,-8.186666666666667,17.821,18.365,122.0,2.6,20.9,2.33,262.1,0.0,31.9
2023-11-13 00:00:00.000,349.27916666666664,-8.192777777777778,17.892,18.36,116.9,2.8,20.9,1.72,268.3,0.0,21.3
2023-11-18 00:00:00.000,349.2316666666666,-8.19,17.966,18.356,111.8,2.9,20.9,1.13,281.5,0.0,17.3
2023-11-23 00:00:00.000,349.2049999999999,-8.177777777777777,18.043,18.352,106.8,3.0,20.9,0.69,316.7,0.0,0.0
2023-11-28 00:00:00.000,349.19958333333324,-8.156666666666666,18.122,18.347,101.7,3.0,20.9,0.8,012.0,0.0,0.0
2023-12-03 00:00:00.000,349.21624999999995,-8.126111111111111,18.202,18.343,96.7,3.1,21.0,1.33,037.5,0.0,0.0
2023-12-08 00:00:00.000,349.25416666666666,-8.086388888888889,18.284,18.339,91.7,3.1,21.0,1.97,047.7,0.0,0.0
2023-12-13 00:00:00.000,349.3141666666666,-8.037777777777778,18.365,18.334,86.7,3.1,21.0,2.64,052.8,0.0,9.3
2024-06-15 00:00:00.000,357.37833333333333,-4.321111111111111,18.181,18.177,88.2,3.2,20.9,2.41,071.2,,
2024-06-20 00:00:00.000,357.44458333333324,-4.299444444444444,18.094,18.173,92.9,3.2,20.9,1.76,073.0,,
2024-06-25 00:00:00.000,357.4908333333333,-4.286666666666666,18.007,18.169,97.6,3.2,20.9,1.1,076.7,,
2024-06-30 00:00:00.000,357.51624999999996,-4.2825,17.92,18.165,102.3,3.1,20.9,0.46,091.0,,
2024-07-05 00:00:00.000,357.52124999999995,-4.287222222222222,17.836,18.161,107.1,3.1,20.9,0.31,210.2,,
2024-07-10 00:00:00.000,357.50583333333327,-4.300277777777778,17.753,18.157,111.9,3.0,20.9,0.93,235.8,,
2024-07-15 00:00:00.000,357.4704166666666,-4.321944444444444,17.673,18.152,116.7,2.9,20.9,1.56,240.7,,
