Date,RA,Dec,Delta,r,Elongation,Phase,V,Proper motion,Direction,Uncertainty 3sig,Unc. P.A.
2023-08-05 00:00:00.000,277.7799999999999,-52.92444444444444,15.716,16.439,134.2,2.5,25.9,9.03,290.4,6,308.4
2023-08-10 00:00:00.000,277.3279166666667,-52.81333333333333,15.776,16.453,130.5,2.7,26.0,8.64,293.9,6,308.7
2023-08-15 00:00:00.000,276.9095833333333,-52.69083333333333,15.842,16.466,126.6,2.8,26.0,8.23,297.7,6,309.0
2023-08-20 00:00:00.000,276.52708333333334,-52.55833333333333,15.912,16.479,122.6,3.0,26.0,7.79,301.8,6,309.2
2023-08-25 00:00:00.000,276.18375,-52.41722222222222,15.987,16.493,118.5,3.1,26.0,7.35,306.3,6,309.5
2023-08-30 00:00:00.000,275.88083333333327,-52.26861111111111,16.065,16.506,114.3,3.2,26.0,6.9,311.3,6,309.7
2023-09-04 00:00:00.000,275.61875,-52.11416666666667,16.146,16.519,110.1,3.3,26.1,6.48,316.8,6,309.9
2023-09-09 00:00:00.000,275.39916666666664,-51.95472222222222,16.23,16.533,105.8,3.4,26.1,6.07,322.9,6,310.1
2023-09-14 00:00:00.000,275.2224999999999,-51.791666666666664,16.317,16.546,101.5,3.4,26.1,5.71,329.7,6,310.3
2023-09-19 00:00:00.000,275.08916666666664,-51.62638888888889,16.405,16.559,97.1,3.5,26.1,5.4,337.3,6,310.5
2023-09-24 00:00:00.000,274.9983333333333,-51.46027777777778,16.493,16.572,92.8,3.5,26.1,5.16,345.4,6,310.6
2023-09-29 00:00:00.000,274.9495833333333,-51.29416666666666,16.583,16.586,88.4,3.5,26.1,5.0,353.9,6,310.7
2024-03-27 00:00:00.000,283.9579166666667,-49.87916666666667,17.075,17.049,86.8,3.4,26.2,3.19,177.9,5,307.8
2024-04-01 00:00:00.000,283.945,-49.98722222222222,17.01,17.061,91.3,3.4,26.2,3.35,190.7,5,307.7
2024-04-06 00:00:00.000,283.8929166666666,-50.09861111111111,16.946,17.074,95.7,3.3,26.2,3.65,202.2,5,307.7
