Date,RA,Dec,Delta,r,Elongation,Phase,V,Proper motion,Direction,Uncertainty 3sig,Unc. P.A.
2023-08-30 00:00:00.000,63.65124999999999,41.92944444444444,17.077,17.052,86.9,3.4,27.2,3.23,19.1,8733,275.0
2023-09-04 00:00:00.000,63.682916666666664,42.029444444444444,17.007,17.061,91.4,3.4,27.1,2.96,6.8,8779,275.0
2023-09-09 00:00:00.000,63.68249999999999,42.125277777777775,16.938,17.071,95.9,3.4,27.1,2.83,352.5,8823,274.9
2023-09-14 00:00:00.000,63.649583333333325,42.21666666666667,16.869,17.08,100.5,3.3,27.1,2.87,337.6,8865,274.9
2023-09-19 00:00:00.000,63.58416666666667,42.30222222222222,16.802,17.09,105.0,3.3,27.1,3.07,323.8,8906,274.8
2023-09-24 00:00:00.000,63.486666666666665,42.38138888888889,16.736,17.099,109.6,3.2,27.1,3.39,312.1,8944,274.7
2023-09-29 00:00:00.000,63.357499999999995,42.45333333333333,16.674,17.109,114.2,3.1,27.1,3.79,302.6,8980,274.6
2023-10-04 00:00:00.000,63.19833333333332,42.5175,16.614,17.118,118.8,2.9,27.1,4.25,295.0,9013,274.4
2023-10-09 00:00:00.000,63.00958333333333,42.573055555555555,16.558,17.128,123.4,2.8,27.1,4.74,288.8,9042,274.3
2023-10-14 00:00:00.000,62.792916666666656,42.619166666666665,16.506,17.137,127.9,2.6,27.0,5.23,283.7,9068,274.1
2023-10-19 00:00:00.000,62.55041666666667,42.655277777777776,16.459,17.146,132.4,2.5,27.0,5.7,279.4,9090,273.9
2024-01-07 00:00:00.000,57.63333333333333,41.78638888888889,16.59,17.294,134.6,2.3,27.0,5.95,233.9,8869,271.1
2024-01-12 00:00:00.000,57.43249999999999,41.66861111111111,16.655,17.303,130.0,2.5,27.1,5.49,229.6,8830,271.0
2024-01-17 00:00:00.000,57.26083333333332,41.54944444444444,16.725,17.313,125.3,2.7,27.1,5.02,224.5,8789,271.0
2024-01-22 00:00:00.000,57.11999999999999,41.430277777777775,16.799,17.322,120.6,2.8,27.1,4.55,218.4,8749,270.9
2024-01-27 00:00:00.000,57.01041666666666,41.31222222222222,16.878,17.331,115.9,2.9,27.1,4.1,211.0,8708,270.9
2024-02-01 00:00:00.000,56.9325,41.19611111111111,16.96,17.34,111.2,3.0,27.2,3.71,202.0,8668,270.9
2024-02-06 00:00:00.000,56.887499999999996,41.083333333333336,17.045,17.349,106.4,3.1,27.2,3.39,191.1,8630,271.0
2024-02-11 00:00:00.000,56.87499999999999,40.974722222222226,17.131,17.358,101.7,3.2,27.2,3.19,178.4,8592,271.0
2024-02-16 00:00:00.000,56.895416666666655,40.87083333333334,17.22,17.367,96.9,3.2,27.2,3.14,164.7,8556,271.1
2024-02-21 00:00:00.000,56.94749999999999,40.77305555555555,17.309,17.376,92.2,3.3,27.2,3.24,151.5,8522,271.2
