Date,RA,Dec,Delta,r,Elongation,Phase,V,Proper motion,Direction,Uncertainty 3sig,Unc. P.A.
2023-09-19 00:00:00.000,90.75666666666666,-17.93166666666667,20.709,20.661,85.9,2.8,22.6,4.5,153.1,6189,61.9
2023-09-24 00:00:00.000,90.8175,-18.066111111111113,20.643,20.659,89.5,2.8,22.6,4.3,160.4,6206,62.0
2023-09-29 00:00:00.000,90.85749999999999,-18.20138888888889,20.577,20.656,93.1,2.8,22.5,4.15,168.3,6224,62.0
2023-10-04 00:00:00.000,90.87624999999998,-18.336388888888887,20.512,20.654,96.8,2.8,22.5,4.04,176.7,6245,62.0
2023-10-09 00:00:00.000,90.87374999999999,-18.47,20.448,20.651,100.4,2.7,22.5,3.99,185.4,6267,62.0
2023-10-14 00:00:00.000,90.85,-18.601111111111113,20.385,20.649,104.0,2.7,22.5,4.0,194.2,6290,62.1
2023-10-19 00:00:00.000,90.80499999999999,-18.728055555555553,20.324,20.646,107.5,2.6,22.5,4.06,202.9,6314,62.1
2023-10-24 00:00:00.000,90.73916666666665,-18.85,20.265,20.644,111.1,2.6,22.5,4.16,211.1,6340,62.1
2023-10-29 00:00:00.000,90.65374999999999,-18.96527777777778,20.209,20.641,114.5,2.5,22.5,4.31,218.9,6366,62.1
2023-11-03 00:00:00.000,90.54916666666665,-19.073055555555555,20.157,20.638,117.8,2.4,22.5,4.48,226.1,6394,62.1
2023-11-08 00:00:00.000,90.42625,-19.172222222222224,20.108,20.636,121.0,2.4,22.5,4.68,232.8,6422,62.1
2023-11-13 00:00:00.000,90.28625,-19.261388888888888,20.063,20.633,124.1,2.3,22.5,4.89,239.0,6451,62.1
2023-11-18 00:00:00.000,90.13083333333333,-19.33972222222222,20.022,20.631,126.9,2.2,22.4,5.09,244.7,6479,62.1
2023-11-23 00:00:00.000,89.96166666666666,-19.40611111111111,19.986,20.628,129.5,2.1,22.4,5.29,250.1,6508,62.1
2023-11-28 00:00:00.000,89.78041666666667,-19.459444444444443,19.955,20.626,131.8,2.0,22.4,5.47,255.1,6537,62.1
2023-12-03 00:00:00.000,89.58874999999999,-19.499444444444446,19.93,20.623,133.7,2.0,22.4,5.63,259.8,6565,62.1
2024-01-07 00:00:00.000,88.14083333333333,-19.366388888888892,19.908,20.606,134.2,2.0,22.4,6.03,290.8,6731,62.1
2024-01-12 00:00:00.000,87.94583333333333,-19.28777777777778,19.928,20.603,132.3,2.0,22.4,5.97,295.5,6747,62.0
2024-01-17 00:00:00.000,87.76041666666664,-19.19527777777778,19.953,20.601,130.1,2.1,22.4,5.89,300.3,6761,62.0
2024-01-22 00:00:00.000,87.58708333333333,-19.08972222222222,19.983,20.598,127.6,2.2,22.4,5.8,305.3,6772,62.0
2024-01-27 00:00:00.000,87.42708333333331,-18.971944444444443,20.018,20.595,124.8,2.3,22.4,5.7,310.6,6780,62.0
2024-02-01 00:00:00.000,87.28249999999998,-18.842777777777776,20.058,20.593,121.7,2.3,22.5,5.6,316.1,6785,61.9
2024-02-06 00:00:00.000,87.15416666666665,-18.703333333333333,20.102,20.59,118.5,2.4,22.5,5.5,321.9,6788,61.9
2024-02-11 00:00:00.000,87.04374999999999,-18.554722222222225,20.149,20.588,115.1,2.5,22.5,5.41,328.0,6787,61.9
2024-02-16 00:00:00.000,86.95291666666665,-18.397777777777776,20.201,20.585,111.6,2.6,22.5,5.34,334.4,6784,61.8
2024-02-21 00:00:00.000,86.88208333333333,-18.234444444444446,20.255,20.583,108.1,2.6,22.5,5.29,340.9,6778,61.8
2024-02-26 00:00:00.000,86.83166666666666,-18.06527777777778,20.311,20.58,104.4,2.7,22.5,5.26,347.6,6769,61.8
2024-03-02 00:00:00.000,86.80291666666665,-17.891944444444444,20.37,20.578,100.8,2.7,22.5,5.28,354.3,6757,61.7
2024-03-07 00:00:00.000,86.79499999999999,-17.715555555555554,20.43,20.575,97.0,2.7,22.5,5.33,1.0,6743,61.7
2024-03-12 00:00:00.000,86.80958333333332,-17.537222222222223,20.491,20.573,93.3,2.8,22.5,5.41,7.6,6726,61.7
2024-03-17 00:00:00.000,86.84541666666667,-17.358333333333334,20.553,20.57,89.6,2.8,22.5,5.53,14.0,6708,61.6
2024-03-22 00:00:00.000,86.90291666666666,-17.18,20.615,20.568,85.9,2.8,22.5,5.67,20.1,6687,61.6
2024-09-23 00:00:00.000,94.68583333333332,-16.370555555555555,20.529,20.477,85.6,2.8,22.5,4.33,153.5,6217,62.6
2024-09-28 00:00:00.000,94.74249999999999,-16.50027777777778,20.462,20.474,89.3,2.8,22.5,4.12,161.2,6234,62.6
2024-10-03 00:00:00.000,94.77791666666666,-16.630277777777778,20.394,20.472,93.0,2.8,22.5,3.96,169.6,6254,62.6
2024-10-08 00:00:00.000,94.79208333333332,-16.759444444444444,20.327,20.469,96.8,2.8,22.5,3.84,178.6,6274,62.6
2024-10-13 00:00:00.000,94.78458333333332,-16.88611111111111,20.261,20.467,100.5,2.7,22.5,3.79,187.8,6297,62.7
2024-10-18 00:00:00.000,94.75624999999998,-17.009444444444444,20.197,20.464,104.2,2.7,22.5,3.81,197.1,6320,62.7
2024-10-23 00:00:00.000,94.70666666666665,-17.128611111111113,20.134,20.462,107.9,2.7,22.5,3.89,206.2,6345,62.7
2024-10-28 00:00:00.000,94.63666666666666,-17.241944444444446,20.074,20.459,111.5,2.6,22.5,4.02,214.8,6371,62.7
2024-11-02 00:00:00.000,94.54666666666665,-17.348333333333333,20.017,20.457,115.1,2.5,22.4,4.2,222.8,6398,62.8
2024-11-07 00:00:00.000,94.43791666666665,-17.446666666666665,19.963,20.455,118.5,2.4,22.4,4.4,230.2,6426,62.8
2024-11-12 00:00:00.000,94.31083333333332,-17.535833333333336,19.912,20.452,121.9,2.4,22.4,4.62,236.9,6455,62.8
2024-11-17 00:00:00.000,94.16749999999999,-17.614722222222223,19.866,20.45,125.1,2.3,22.4,4.85,243.0,6484,62.8
2024-11-22 00:00:00.000,94.00916666666664,-17.6825,19.824,20.447,128.0,2.2,22.4,5.09,248.6,6513,62.8
2024-11-27 00:00:00.000,93.83666666666664,-17.738333333333333,19.787,20.445,130.7,2.1,22.4,5.31,253.8,6542,62.8
2024-12-02 00:00:00.000,93.65291666666666,-17.78111111111111,19.755,20.443,133.2,2.0,22.4,5.52,258.7,6571,62.8
2025-01-16 00:00:00.000,91.81833333333331,-17.520555555555553,19.727,20.421,133.9,2.0,22.4,6.06,297.5,6780,62.7
2025-01-21 00:00:00.000,91.63541666666666,-17.420833333333334,19.753,20.418,131.5,2.1,22.4,5.98,302.1,6793,62.6
2025-01-26 00:00:00.000,91.46499999999997,-17.308611111111112,19.784,20.416,128.9,2.2,22.4,5.88,307.0,6803,62.6
