Date,RA,Dec,Delta,r,Elongation,Phase,V,Proper motion,Direction,Uncertainty 3sig,Unc. P.A.
2023-09-24 00:00:00.000,97.12041666666666,48.20611111111111,15.136,15.092,85.6,3.8,21.4,4.62,48.7,17,289.8
2023-09-29 00:00:00.000,97.27416666666666,48.30916666666666,15.066,15.098,89.9,3.8,21.4,4.12,40.5,17,289.6
2023-10-04 00:00:00.000,97.38791666666665,48.414722222222224,14.996,15.105,94.3,3.8,21.4,3.7,30.3,17,289.3
2023-10-09 00:00:00.000,97.46083333333331,48.52194444444444,14.927,15.111,98.7,3.7,21.4,3.39,17.8,17,289.1
2023-10-14 00:00:00.000,97.49208333333331,48.62972222222222,14.859,15.117,103.2,3.7,21.4,3.23,3.5,17,288.8
2023-10-19 00:00:00.000,97.48083333333332,48.736666666666665,14.793,15.124,107.6,3.6,21.4,3.26,348.7,17,288.5
2023-10-24 00:00:00.000,97.42791666666666,48.842222222222226,14.729,15.13,112.0,3.5,21.4,3.45,335.0,17,288.2
2023-10-29 00:00:00.000,97.33333333333333,48.94472222222222,14.668,15.137,116.5,3.4,21.4,3.77,323.2,17,287.9
2023-11-03 00:00:00.000,97.19874999999999,49.043055555555554,14.61,15.143,120.9,3.2,21.3,4.19,313.4,17,287.6
2023-11-08 00:00:00.000,97.02499999999999,49.13611111111111,14.556,15.15,125.3,3.1,21.3,4.65,305.4,17,287.3
2023-11-13 00:00:00.000,96.81333333333333,49.222500000000004,14.507,15.156,129.6,2.9,21.3,5.14,298.8,17,287.1
2023-11-18 00:00:00.000,96.56625,49.30083333333333,14.462,15.163,133.8,2.7,21.3,5.61,293.3,17,286.8
2024-02-01 00:00:00.000,91.33833333333332,48.96416666666667,14.566,15.261,133.5,2.7,21.3,6.26,234.9,15,286.7
2024-02-06 00:00:00.000,91.09499999999998,48.83972222222222,14.624,15.267,129.2,2.9,21.3,5.91,229.1,14,287.1
2024-02-11 00:00:00.000,90.88666666666666,48.70666666666667,14.688,15.274,124.9,3.0,21.4,5.57,222.4,14,287.5
2024-02-16 00:00:00.000,90.71624999999999,48.56638888888889,14.756,15.28,120.5,3.2,21.4,5.25,214.9,14,288.0
2024-02-21 00:00:00.000,90.58458333333333,48.419999999999995,14.828,15.287,116.0,3.3,21.4,4.98,206.4,14,288.5
2024-02-26 00:00:00.000,90.49333333333331,48.26916666666666,14.903,15.294,111.5,3.5,21.4,4.8,197.2,14,289.0
2024-03-02 00:00:00.000,90.44291666666666,48.11472222222223,14.981,15.3,107.0,3.6,21.4,4.71,187.3,14,289.5
2024-03-07 00:00:00.000,90.43374999999999,47.95805555555556,15.062,15.307,102.5,3.6,21.5,4.73,177.2,14,290.0
2024-03-12 00:00:00.000,90.46583333333332,47.8,15.144,15.313,98.0,3.7,21.5,4.87,167.4,14,290.5
2024-03-17 00:00:00.000,90.53874999999998,47.641666666666666,15.227,15.32,93.5,3.7,21.5,5.1,158.3,14,291.0
2024-03-22 00:00:00.000,90.65208333333332,47.48444444444444,15.311,15.327,89.0,3.7,21.5,5.42,150.2,14,291.5
2024-10-03 00:00:00.000,106.17541666666665,45.68555555555555,15.596,15.592,87.9,3.7,21.6,3.84,50.6,24,295.8
2024-10-08 00:00:00.000,106.29874999999998,45.76861111111111,15.526,15.599,92.4,3.7,21.6,3.36,40.5,24,295.6
2024-10-13 00:00:00.000,106.38374999999999,45.85527777777778,15.455,15.606,96.9,3.6,21.6,2.98,27.6,24,295.5
2024-10-18 00:00:00.000,106.43083333333331,45.94444444444444,15.386,15.613,101.4,3.6,21.5,2.77,12.1,24,295.3
2024-10-23 00:00:00.000,106.43916666666665,46.035555555555554,15.318,15.62,105.9,3.5,21.5,2.76,355.3,24,295.1
2024-10-28 00:00:00.000,106.40874999999998,46.12722222222222,15.252,15.627,110.5,3.4,21.5,2.94,339.4,24,294.9
2024-11-02 00:00:00.000,106.33999999999999,46.21888888888889,15.188,15.634,115.0,3.3,21.5,3.29,326.2,24,294.8
2024-11-07 00:00:00.000,106.23291666666665,46.30916666666666,15.128,15.641,119.6,3.2,21.5,3.73,315.7,24,294.6
2024-11-12 00:00:00.000,106.08874999999999,46.39666666666667,15.072,15.648,124.1,3.0,21.5,4.23,307.5,24,294.4
2024-11-17 00:00:00.000,105.90916666666665,46.480000000000004,15.02,15.655,128.5,2.8,21.5,4.74,301.0,24,294.2
2024-11-22 00:00:00.000,105.69624999999999,46.558611111111105,14.972,15.662,132.9,2.6,21.4,5.24,295.6,24,294.0
2025-02-10 00:00:00.000,100.52499999999999,46.39361111111111,15.097,15.775,132.0,2.7,21.5,5.87,237.5,22,293.9
2025-02-15 00:00:00.000,100.30124999999998,46.284166666666664,15.16,15.782,127.6,2.8,21.5,5.5,231.6,21,294.1
2025-02-20 00:00:00.000,100.11,46.16611111111111,15.228,15.789,123.1,3.0,21.5,5.15,224.7,21,294.4
2025-02-25 00:00:00.000,99.95333333333333,46.04055555555556,15.3,15.796,118.5,3.2,21.5,4.83,216.8,21,294.7
2025-03-02 00:00:00.000,99.83291666666666,45.90861111111111,15.375,15.803,113.9,3.3,21.6,4.57,207.8,21,295.0
2025-03-07 00:00:00.000,99.74958333333332,45.771388888888886,15.454,15.81,109.4,3.4,21.6,4.4,197.8,21,295.3
2025-03-12 00:00:00.000,99.70416666666665,45.62972222222222,15.535,15.817,104.8,3.5,21.6,4.34,187.4,21,295.7
2025-03-17 00:00:00.000,99.69624999999998,45.485,15.618,15.825,100.2,3.5,21.6,4.39,176.9,21,296.0
