Date,RA,Dec,Delta,r,Elongation,Phase,V,Proper motion,Direction,Uncertainty 3sig,Unc. P.A.
2023-07-01 00:00:00.000,190.98416666666665,-16.398333333333333,11.771,11.952,97.8,4.8,23.8,3.35,46.5,5.0,277.1
2023-07-06 00:00:00.000,191.0845833333333,-16.328611111111112,11.86,11.959,93.2,4.9,23.8,3.83,60.6,5.0,277.0
2023-07-11 00:00:00.000,191.21583333333328,-16.272777777777776,11.948,11.966,88.6,4.9,23.8,4.47,71.0,5.0,276.9
2024-01-17 00:00:00.000,204.35625,-20.272222222222222,12.256,12.229,86.1,4.6,23.9,3.72,129.4,,
2024-01-22 00:00:00.000,204.44166666666666,-20.345,12.178,12.235,91.0,4.6,23.9,2.76,136.3,,
2024-01-27 00:00:00.000,204.4920833333333,-20.405277777777776,12.1,12.242,96.0,4.6,23.9,1.87,150.0,,
2024-02-01 00:00:00.000,204.50791666666663,-20.4525,12.023,12.248,100.9,4.5,23.9,1.22,182.2,,
2024-02-06 00:00:00.000,204.48874999999998,-20.48611111111111,11.947,12.255,105.9,4.4,23.8,1.3,232.0,,
2024-02-11 00:00:00.000,204.435,-20.50583333333333,11.874,12.261,111.0,4.3,23.8,2.03,259.5,,
2024-02-16 00:00:00.000,204.3470833333333,-20.510833333333334,11.803,12.268,116.0,4.1,23.8,2.94,271.4,,
2024-02-21 00:00:00.000,204.22666666666663,-20.50111111111111,11.735,12.274,121.1,4.0,23.8,3.87,277.6,,
2024-02-26 00:00:00.000,204.075,-20.476388888888888,11.671,12.281,126.1,3.7,23.8,4.79,281.6,,
2024-03-02 00:00:00.000,203.89333333333332,-20.436944444444446,11.612,12.287,131.2,3.5,23.7,5.67,284.3,,
2024-05-31 00:00:00.000,199.04125,-18.051944444444445,11.676,12.402,134.0,3.4,23.8,6.39,313.3,,
2024-06-05 00:00:00.000,198.8920833333333,-17.91,11.743,12.408,129.1,3.6,23.8,5.64,317.2,,
2024-06-10 00:00:00.000,198.77291666666665,-17.77638888888889,11.814,12.414,124.3,3.9,23.8,4.88,322.4,,
2024-06-15 00:00:00.000,198.6841666666666,-17.6525,11.889,12.42,119.5,4.1,23.8,4.14,329.6,,
2024-06-20 00:00:00.000,198.62624999999997,-17.53888888888889,11.968,12.427,114.7,4.3,23.9,3.45,339.7,,
2024-06-25 00:00:00.000,198.60041666666663,-17.436666666666667,12.05,12.433,109.9,4.4,23.9,2.91,354.2,,
2024-06-30 00:00:00.000,198.6058333333333,-17.34611111111111,12.134,12.439,105.2,4.5,23.9,2.61,13.6,,
2024-07-05 00:00:00.000,198.64291666666665,-17.267777777777777,12.22,12.445,100.5,4.6,23.9,2.64,35.2,,
2024-07-10 00:00:00.000,198.71166666666664,-17.202222222222222,12.307,12.451,95.8,4.7,24.0,3.0,53.8,,
2024-07-15 00:00:00.000,198.81166666666664,-17.149722222222223,12.395,12.457,91.2,4.7,24.0,3.58,67.4,,
2024-07-20 00:00:00.000,198.9420833333333,-17.110277777777778,12.483,12.463,86.5,4.7,24.0,4.28,76.7,,
2025-01-26 00:00:00.000,211.56166666666664,-20.67027777777778,12.654,12.683,89.4,4.5,24.0,2.77,124.4,,
2025-01-31 00:00:00.000,211.6258333333333,-20.716666666666665,12.575,12.689,94.4,4.4,24.0,1.8,132.5,,
2025-02-05 00:00:00.000,211.65624999999997,-20.75111111111111,12.496,12.694,99.4,4.4,24.0,0.94,156.8,,
