Date,RA,Dec,Delta,r,Elongation,Phase,V,Proper motion,Direction,Uncertainty 3sig,Unc. P.A.
2023-10-29 00:00:00.000,131.52041666666665,16.293333333333337,4.815,4.838,85.4,11.8,28.8,5.52,115.6,6,283.8
2023-11-03 00:00:00.000,131.65125,16.223888888888887,4.728,4.836,90.3,11.8,28.8,3.09,124.8,6,283.8
2023-11-08 00:00:00.000,131.695,16.17638888888889,4.64,4.833,95.3,11.8,28.7,1.09,182.7,6,283.9
2023-11-13 00:00:00.000,131.64625,16.151666666666664,4.553,4.83,100.3,11.6,28.7,2.81,262.4,6,283.8
2023-11-18 00:00:00.000,131.50041666666667,16.151944444444442,4.467,4.826,105.5,11.4,28.6,5.65,273.9,6,283.8
2023-11-23 00:00:00.000,131.25416666666663,16.177500000000002,4.383,4.823,110.8,11.0,28.6,8.64,277.7,6,283.7
2023-11-28 00:00:00.000,130.905,16.229444444444443,4.302,4.819,116.2,10.6,28.5,11.72,279.6,7,283.6
2023-12-03 00:00:00.000,130.45083333333332,16.3075,4.223,4.814,121.7,10.0,28.5,14.85,280.6,7,283.5
2023-12-08 00:00:00.000,129.89083333333332,16.411944444444444,4.149,4.81,127.3,9.4,28.4,17.99,281.3,7,283.4
2023-12-13 00:00:00.000,129.22541666666666,16.541666666666668,4.079,4.805,133.0,8.6,28.3,21.07,281.7,7,283.2
2024-03-02 00:00:00.000,112.55749999999999,19.760277777777777,3.99,4.684,129.6,9.4,28.2,20.86,281.0,7,277.9
2024-03-07 00:00:00.000,111.88583333333332,19.884444444444444,4.047,4.674,123.9,10.1,28.3,17.77,281.3,7,277.7
2024-03-12 00:00:00.000,111.32291666666666,19.9925,4.108,4.663,118.4,10.8,28.4,14.6,281.8,7,277.5
2024-03-17 00:00:00.000,110.87208333333332,20.084166666666665,4.173,4.652,113.0,11.4,28.4,11.42,282.7,7,277.3
2024-03-22 00:00:00.000,110.53208333333332,20.160555555555554,4.24,4.641,107.7,11.8,28.5,8.29,284.4,7,277.2
2024-03-27 00:00:00.000,110.30083333333332,20.221944444444443,4.31,4.63,102.5,12.1,28.5,5.26,288.0,6,277.1
2024-04-01 00:00:00.000,110.17541666666665,20.26888888888889,4.381,4.618,97.5,12.4,28.5,2.39,300.2,6,277.1
2024-04-06 00:00:00.000,110.15291666666664,20.301944444444445,4.452,4.606,92.5,12.5,28.6,1.1,44.6,6,277.0
2024-04-11 00:00:00.000,110.22916666666664,20.32111111111111,4.524,4.593,87.7,12.6,28.6,3.51,83.8,6,277.1
2024-11-12 00:00:00.000,144.9908333333333,11.811944444444444,3.639,3.711,86.4,15.4,27.8,11.4,117.0,8,287.3
2024-11-17 00:00:00.000,145.28958333333333,11.652777777777779,3.527,3.681,91.1,15.6,27.7,8.54,120.5,8,287.4
2024-11-22 00:00:00.000,145.48833333333332,11.523611111111112,3.414,3.651,95.9,15.6,27.6,5.46,128.4,8,287.4
2024-11-27 00:00:00.000,145.57749999999996,11.428055555555554,3.302,3.62,100.9,15.5,27.5,2.49,158.9,9,287.4
2024-12-02 00:00:00.000,145.5458333333333,11.370000000000001,3.19,3.589,105.9,15.3,27.4,3.02,247.7,9,287.4
2024-12-07 00:00:00.000,145.38374999999996,11.353055555555555,3.08,3.557,111.2,15.0,27.3,6.79,271.2,9,287.4
2024-12-12 00:00:00.000,145.08166666666665,11.380555555555556,2.973,3.524,116.5,14.5,27.2,11.15,277.9,10,287.3
2024-12-17 00:00:00.000,144.62999999999997,11.455555555555556,2.868,3.491,122.0,13.8,27.1,15.85,280.9,10,287.3
2024-12-22 00:00:00.000,144.01958333333332,11.580555555555556,2.767,3.458,127.7,13.0,26.9,20.86,282.6,10,287.1
2024-12-27 00:00:00.000,143.24166666666665,11.758333333333333,2.671,3.424,133.6,12.0,26.8,26.09,283.6,11,287.0
2025-03-07 00:00:00.000,120.10499999999998,17.537222222222223,2.117,2.879,132.2,14.8,26.0,44.87,283.7,11,281.2
2025-03-12 00:00:00.000,118.66791666666666,17.87027777777778,2.136,2.835,125.8,16.5,26.1,39.61,283.7,10,280.8
2025-03-17 00:00:00.000,117.41416666666665,18.16361111111111,2.16,2.79,119.6,18.1,26.1,34.02,284.0,10,280.3
2025-03-22 00:00:00.000,116.35458333333332,18.418055555555558,2.188,2.744,113.6,19.4,26.1,28.24,284.5,10,280.0
2025-03-27 00:00:00.000,115.49374999999999,18.635277777777777,2.218,2.697,107.9,20.6,26.2,22.41,285.4,9,279.7
2025-04-01 00:00:00.000,114.83416666666666,18.81638888888889,2.25,2.649,102.3,21.6,26.2,16.64,287.2,9,279.4
2025-04-06 00:00:00.000,114.3725,18.96361111111111,2.283,2.6,96.9,22.5,26.2,11.07,290.7,9,279.2
2025-04-11 00:00:00.000,114.10166666666665,19.078611111111112,2.316,2.551,91.7,23.1,26.2,5.86,300.6,8,279.1
2025-04-16 00:00:00.000,114.0133333333333,19.163055555555555,2.348,2.5,86.7,23.6,26.2,2.09,0.2,8,279.0
2025-11-02 00:00:00.000,133.54749999999999,17.280277777777776,0.967,1.365,88.3,46.6,23.6,63.68,283.0,4,283.8
