Date,RA,Dec,Delta,r,Elongation,Phase,V,Proper motion,Direction,Uncertainty 3sig,Unc. P.A.
2023-07-01 00:00:00.000,205.52249999999998,-18.58138888888889,12.179,12.588,111.6,4.3,25.3,3.97,276.6,744,8.3
2023-07-06 00:00:00.000,205.39999999999998,-18.57111111111111,12.265,12.596,106.7,4.4,25.3,3.01,272.9,739,8.4
2023-07-11 00:00:00.000,205.31125,-18.57138888888889,12.354,12.603,101.9,4.5,25.4,2.06,265.4,734,8.4
2023-07-16 00:00:00.000,205.25541666666666,-18.5825,12.444,12.611,97.2,4.6,25.4,1.22,245.9,729,8.4
2023-07-21 00:00:00.000,205.23291666666663,-18.604722222222225,12.535,12.619,92.4,4.6,25.4,0.85,192.1,725,8.5
2023-07-26 00:00:00.000,205.24291666666664,-18.638055555555557,12.627,12.627,87.7,4.6,25.4,1.39,148.1,720,8.4
2024-01-27 00:00:00.000,213.86749999999998,-24.63888888888889,12.923,12.898,86.4,4.4,25.5,4.52,183.2,738,2.9
2024-02-01 00:00:00.000,213.84041666666664,-24.784722222222225,12.844,12.905,91.3,4.4,25.5,4.4,196.0,744,2.9
2024-02-06 00:00:00.000,213.77791666666664,-24.920833333333334,12.766,12.912,96.3,4.4,25.5,4.5,209.2,749,2.9
2024-02-11 00:00:00.000,213.67874999999995,-25.04638888888889,12.688,12.919,101.3,4.3,25.5,4.8,221.5,755,3.0
2024-02-16 00:00:00.000,213.54374999999996,-25.160833333333333,12.612,12.926,106.4,4.2,25.4,5.28,231.9,760,3.0
2024-02-21 00:00:00.000,213.37291666666667,-25.263333333333332,12.539,12.932,111.4,4.1,25.4,5.87,240.5,765,3.1
2024-02-26 00:00:00.000,213.16749999999996,-25.353333333333335,12.468,12.939,116.5,3.9,25.4,6.54,247.3,771,3.2
2024-03-02 00:00:00.000,212.9283333333333,-25.430833333333336,12.4,12.946,121.5,3.7,25.4,7.24,252.9,776,3.4
2024-03-07 00:00:00.000,212.6570833333333,-25.49527777777778,12.337,12.953,126.6,3.5,25.4,7.96,257.5,780,3.5
2024-03-12 00:00:00.000,212.35541666666663,-25.546111111111113,12.279,12.96,131.6,3.3,25.3,8.66,261.2,785,3.7
2024-06-10 00:00:00.000,205.44041666666664,-24.673055555555557,12.378,13.078,131.9,3.3,25.4,7.6,288.9,787,7.9
2024-06-15 00:00:00.000,205.19166666666663,-24.593888888888888,12.447,13.084,127.1,3.6,25.4,6.76,289.9,783,8.1
2024-06-20 00:00:00.000,204.97458333333333,-24.52027777777778,12.519,13.09,122.3,3.8,25.4,5.88,291.0,779,8.2
2024-06-25 00:00:00.000,204.78999999999996,-24.453611111111112,12.596,13.097,117.5,3.9,25.5,4.98,292.3,775,8.3
2024-06-30 00:00:00.000,204.6375,-24.39472222222222,12.676,13.103,112.7,4.1,25.5,4.05,293.8,770,8.4
2024-07-05 00:00:00.000,204.51874999999998,-24.345,12.759,13.109,108.0,4.2,25.5,3.1,295.9,766,8.5
2024-07-10 00:00:00.000,204.4333333333333,-24.304722222222225,12.845,13.116,103.3,4.3,25.5,2.15,299.3,761,8.5
2024-07-15 00:00:00.000,204.38124999999997,-24.275,12.932,13.122,98.6,4.4,25.5,1.22,307.0,756,8.6
2024-07-20 00:00:00.000,204.36208333333332,-24.25611111111111,13.019,13.128,93.9,4.4,25.6,0.4,348.1,751,8.6
2024-07-25 00:00:00.000,204.37499999999997,-24.248611111111114,13.108,13.134,89.3,4.4,25.6,0.79,86.3,747,8.6
2025-01-26 00:00:00.000,213.03791666666663,-29.95138888888889,13.397,13.349,85.1,4.2,25.6,5.32,183.5,763,2.3
2025-01-31 00:00:00.000,213.00749999999996,-30.12388888888889,13.319,13.355,90.0,4.2,25.6,5.2,194.1,769,2.3
2025-02-05 00:00:00.000,212.94041666666664,-30.287222222222223,13.241,13.36,94.8,4.2,25.6,5.24,205.0,774,2.3
2025-02-10 00:00:00.000,212.8370833333333,-30.44,13.164,13.365,99.7,4.2,25.6,5.43,215.4,780,2.3
2025-02-15 00:00:00.000,212.6970833333333,-30.581944444444446,13.088,13.371,104.6,4.1,25.6,5.77,225.0,785,2.4
2025-02-20 00:00:00.000,212.52124999999998,-30.711666666666666,13.014,13.376,109.5,4.0,25.6,6.22,233.5,791,2.5
2025-02-25 00:00:00.000,212.30999999999997,-30.828333333333333,12.942,13.381,114.4,3.9,25.6,6.75,240.7,796,2.7
2025-03-02 00:00:00.000,212.0645833333333,-30.93138888888889,12.874,13.387,119.3,3.7,25.5,7.33,246.9,801,2.8
2025-03-07 00:00:00.000,211.78666666666666,-31.02,12.81,13.392,124.1,3.5,25.5,7.94,252.1,806,3.0
2025-03-12 00:00:00.000,211.47791666666666,-31.093888888888888,12.75,13.397,129.0,3.3,25.5,8.53,256.5,811,3.2
2025-03-17 00:00:00.000,211.14124999999996,-31.15222222222222,12.695,13.403,133.7,3.1,25.5,9.11,260.4,815,3.4
2025-06-10 00:00:00.000,204.4620833333333,-30.185555555555556,12.789,13.488,131.9,3.2,25.5,7.6,295.4,816,8.1
2025-06-15 00:00:00.000,204.2133333333333,-30.078611111111112,12.853,13.493,127.4,3.4,25.5,6.83,297.6,812,8.3
2025-06-20 00:00:00.000,203.9958333333333,-29.975277777777777,12.921,13.498,122.8,3.6,25.6,6.04,300.1,807,8.5
2025-06-25 00:00:00.000,203.81125,-29.8775,12.994,13.503,118.2,3.8,25.6,5.2,303.1,803,8.6
2025-06-30 00:00:00.000,203.6608333333333,-29.78638888888889,13.069,13.508,113.5,4.0,25.6,4.35,306.9,799,8.7
2025-07-05 00:00:00.000,203.54416666666665,-29.703333333333333,13.148,13.513,108.9,4.1,25.6,3.51,312.3,794,8.8
2025-07-10 00:00:00.000,203.46166666666664,-29.629444444444445,13.229,13.517,104.4,4.2,25.6,2.69,320.4,789,8.9
2025-07-15 00:00:00.000,203.4125,-29.56527777777778,13.312,13.522,99.8,4.2,25.7,1.96,334.4,785,8.9
2025-07-20 00:00:00.000,203.39666666666665,-29.511944444444445,13.396,13.527,95.2,4.3,25.7,1.43,0.7,780,8.9
2025-07-25 00:00:00.000,203.41375,-29.47,13.481,13.532,90.7,4.3,25.7,1.38,38.8,775,8.9
2025-07-30 00:00:00.000,203.46291666666664,-29.440277777777776,13.566,13.536,86.2,4.3,25.7,1.83,67.3,771,8.9
2026-01-31 00:00:00.000,212.22124999999997,-35.15416666666667,13.685,13.696,88.6,4.1,25.7,5.93,192.8,797,1.8
2026-02-05 00:00:00.000,212.14916666666664,-35.342222222222226,13.608,13.7,93.3,4.1,25.7,5.93,202.0,802,1.8
2026-02-10 00:00:00.000,212.0395833333333,-35.52027777777778,13.531,13.703,98.0,4.1,25.7,6.05,211.2,808,1.9
2026-02-15 00:00:00.000,211.89249999999996,-35.68694444444444,13.455,13.707,102.8,4.0,25.7,6.29,220.0,813,2.0
2026-02-20 00:00:00.000,211.70791666666665,-35.84111111111111,13.382,13.711,107.5,3.9,25.7,6.63,228.1,819,2.1
2026-02-25 00:00:00.000,211.48666666666665,-35.981944444444444,13.31,13.715,112.2,3.8,25.7,7.05,235.4,824,2.3
2026-03-02 00:00:00.000,211.23041666666666,-36.10805555555556,13.242,13.719,116.9,3.7,25.6,7.52,241.7,829,2.5
2026-03-07 00:00:00.000,210.94083333333333,-36.219166666666666,13.177,13.723,121.6,3.5,25.6,8.02,247.3,834,2.7
2026-03-12 00:00:00.000,210.6195833333333,-36.31388888888888,13.117,13.726,126.1,3.4,25.6,8.53,252.3,839,2.9
2026-03-17 00:00:00.000,210.26916666666665,-36.391666666666666,13.061,13.73,130.7,3.2,25.6,9.04,256.7,843,3.2
2026-06-10 00:00:00.000,203.3720833333333,-35.38388888888889,13.098,13.791,131.5,3.2,25.6,7.7,301.0,846,8.6
2026-06-15 00:00:00.000,203.11874999999998,-35.2525,13.157,13.795,127.2,3.4,25.6,7.0,304.0,843,8.8
2026-06-20 00:00:00.000,202.89833333333334,-35.12361111111111,13.22,13.798,122.8,3.5,25.6,6.27,307.4,839,9.0
2026-06-25 00:00:00.000,202.71291666666664,-34.99888888888889,13.288,13.801,118.5,3.7,25.7,5.52,311.5,834,9.1
2026-06-30 00:00:00.000,202.56166666666664,-34.88,13.359,13.805,114.0,3.9,25.7,4.77,316.6,830,9.3
2026-07-05 00:00:00.000,202.4458333333333,-34.76833333333333,13.433,13.808,109.6,4.0,25.7,4.04,323.2,825,9.4
2026-07-10 00:00:00.000,202.36499999999998,-34.664722222222224,13.51,13.811,105.2,4.1,25.7,3.35,332.2,820,9.4
2026-07-15 00:00:00.000,202.3191666666666,-34.57083333333334,13.588,13.815,100.8,4.1,25.7,2.75,345.2,816,9.5
2026-07-20 00:00:00.000,202.3083333333333,-34.48777777777778,13.668,13.818,96.4,4.2,25.8,2.33,3.6,811,9.5
2026-07-25 00:00:00.000,202.33083333333332,-34.41611111111111,13.749,13.821,92.0,4.2,25.8,2.19,26.2,806,9.5
2026-07-30 00:00:00.000,202.38624999999996,-34.356944444444444,13.83,13.824,87.6,4.2,25.8,2.38,48.0,802,9.4
2027-01-31 00:00:00.000,211.45583333333332,-39.9775,13.943,13.93,87.2,4.1,25.8,6.63,191.8,828,1.5
2027-02-05 00:00:00.000,211.3770833333333,-40.189166666666665,13.867,13.932,91.7,4.1,25.8,6.61,200.0,833,1.5
2027-02-10 00:00:00.000,211.25833333333333,-40.39083333333333,13.792,13.935,96.3,4.0,25.8,6.68,208.3,839,1.6
2027-02-15 00:00:00.000,211.10041666666666,-40.58111111111111,13.717,13.937,100.9,4.0,25.8,6.85,216.3,845,1.7
2027-02-20 00:00:00.000,210.90291666666664,-40.75833333333333,13.645,13.94,105.4,3.9,25.8,7.1,223.9,850,1.9
2027-02-25 00:00:00.000,210.66791666666663,-40.92166666666667,13.574,13.942,109.9,3.8,25.7,7.42,230.9,856,2.1
2027-03-02 00:00:00.000,210.39541666666665,-41.07,13.506,13.945,114.4,3.7,25.7,7.8,237.4,861,2.3
2027-03-07 00:00:00.000,210.08749999999998,-41.20194444444445,13.441,13.947,118.8,3.6,25.7,8.21,243.2,866,2.6
2027-03-12 00:00:00.000,209.74666666666664,-41.316111111111105,13.381,13.949,123.2,3.4,25.7,8.64,248.6,871,2.8
2027-03-17 00:00:00.000,209.37499999999997,-41.41222222222222,13.325,13.952,127.4,3.2,25.7,9.06,253.4,876,3.1
2027-03-22 00:00:00.000,208.9758333333333,-41.48916666666667,13.273,13.954,131.5,3.1,25.6,9.47,257.7,880,3.5
2027-06-05 00:00:00.000,202.41999999999996,-40.5225,13.257,13.986,134.4,3.0,25.6,8.44,302.5,885,9.1
