Date,RA,Dec,Delta,r,Elongation,Phase,V,Proper motion,Direction,Uncertainty 3sig,Unc. P.A.
2023-09-19 00:00:00.000,313.66458333333327,-31.71611111111111,13.306,13.976,130.3,3.1,28.9,6.51,259.6,214,316.3
2023-09-24 00:00:00.000,313.42749999999995,-31.749166666666667,13.375,13.981,125.4,3.4,28.9,5.74,261.9,212,316.6
2023-09-29 00:00:00.000,313.21999999999997,-31.77027777777778,13.449,13.985,120.5,3.5,28.9,4.93,264.7,211,316.9
2023-10-04 00:00:00.000,313.04291666666666,-31.779444444444444,13.526,13.989,115.7,3.7,28.9,4.11,268.4,210,317.1
2023-10-09 00:00:00.000,312.8983333333333,-31.77777777777778,13.607,13.993,110.8,3.8,29.0,3.27,273.8,208,317.3
2023-10-14 00:00:00.000,312.7875,-31.76527777777778,13.691,13.997,105.9,3.9,29.0,2.46,282.5,207,317.4
2023-10-19 00:00:00.000,312.7104166666666,-31.7425,13.776,14.001,101.1,4.0,29.0,1.73,298.6,205,317.5
2023-10-24 00:00:00.000,312.66874999999993,-31.710277777777776,13.863,14.005,96.2,4.0,29.0,1.27,330.2,204,317.5
2023-10-29 00:00:00.000,312.66125,-31.669444444444444,13.951,14.009,91.4,4.1,29.0,1.38,10.5,203,317.5
2023-11-03 00:00:00.000,312.6883333333333,-31.62027777777778,14.038,14.013,86.5,4.1,29.0,1.94,35.3,202,317.4
2024-05-01 00:00:00.000,323.1504166666667,-30.267777777777777,14.185,14.138,85.3,4.1,29.1,4.2,136.7,228,305.2
2024-05-06 00:00:00.000,323.24625000000003,-30.375,14.106,14.141,89.9,4.1,29.1,3.98,148.5,230,305.2
2024-05-11 00:00:00.000,323.31083333333333,-30.49361111111111,14.027,14.144,94.6,4.1,29.1,3.92,161.3,232,305.2
2024-05-16 00:00:00.000,323.3433333333333,-30.6225,13.949,14.147,99.3,4.0,29.0,4.04,174.0,234,305.3
2024-05-21 00:00:00.000,323.34375,-30.761388888888888,13.872,14.15,103.9,4.0,29.0,4.33,185.5,236,305.4
2024-05-26 00:00:00.000,323.31125,-30.909444444444443,13.797,14.153,108.6,3.9,29.0,4.74,195.3,238,305.5
2024-05-31 00:00:00.000,323.24625000000003,-31.065833333333334,13.724,14.156,113.3,3.8,29.0,5.25,203.5,239,305.7
2024-06-05 00:00:00.000,323.14874999999995,-31.229999999999997,13.654,14.158,118.0,3.6,29.0,5.81,210.2,241,305.9
2024-06-10 00:00:00.000,323.01874999999995,-31.400555555555552,13.587,14.161,122.7,3.5,29.0,6.41,215.6,242,306.1
2024-06-15 00:00:00.000,322.85749999999996,-31.576666666666668,13.525,14.164,127.3,3.3,28.9,7.0,220.2,244,306.4
2024-06-20 00:00:00.000,322.6658333333333,-31.756666666666668,13.467,14.167,132.0,3.1,28.9,7.58,224.0,245,306.7
2024-09-18 00:00:00.000,316.7883333333333,-34.18083333333333,13.525,14.211,131.5,3.0,28.9,6.77,261.3,239,314.7
2024-09-23 00:00:00.000,316.5316666666667,-34.208333333333336,13.589,14.213,126.8,3.2,29.0,6.06,264.1,237,315.1
2024-09-28 00:00:00.000,316.3033333333332,-34.22277777777778,13.658,14.215,122.0,3.4,29.0,5.31,267.5,236,315.3
2024-10-03 00:00:00.000,316.1045833333333,-34.223888888888894,13.731,14.217,117.2,3.6,29.0,4.54,271.9,234,315.6
2024-10-08 00:00:00.000,315.93791666666664,-34.21277777777778,13.808,14.219,112.4,3.7,29.0,3.76,277.8,233,315.8
2024-10-13 00:00:00.000,315.8041666666667,-34.19,13.887,14.221,107.6,3.8,29.0,3.02,286.5,231,315.9
2024-10-18 00:00:00.000,315.7045833333333,-34.15611111111111,13.969,14.223,102.8,3.9,29.1,2.36,299.9,230,316.0
2024-10-23 00:00:00.000,315.63958333333335,-34.111666666666665,14.052,14.225,98.0,4.0,29.1,1.89,321.1,228,316.1
2024-10-28 00:00:00.000,315.6091666666666,-34.058055555555555,14.136,14.227,93.3,4.0,29.1,1.78,349.6,227,316.1
2024-11-02 00:00:00.000,315.61375,-33.99527777777778,14.221,14.229,88.5,4.0,29.1,2.08,15.3,225,316.0
2025-05-06 00:00:00.000,326.23625,-32.501666666666665,14.281,14.283,88.0,4.0,29.1,4.47,144.0,257,303.2
2025-05-11 00:00:00.000,326.3245833333333,-32.62777777777778,14.202,14.283,92.6,4.1,29.1,4.37,155.1,259,303.2
2025-05-16 00:00:00.000,326.38124999999997,-32.765277777777776,14.122,14.284,97.2,4.0,29.1,4.41,166.5,261,303.3
2025-05-21 00:00:00.000,326.40625,-32.913333333333334,14.044,14.285,101.8,4.0,29.1,4.6,177.4,263,303.3
2025-05-26 00:00:00.000,326.3979166666666,-33.07138888888889,13.967,14.286,106.4,3.9,29.1,4.92,187.3,265,303.5
2025-05-31 00:00:00.000,326.3566666666666,-33.23833333333334,13.893,14.287,111.0,3.8,29.0,5.34,195.8,267,303.6
2025-06-05 00:00:00.000,326.28208333333333,-33.413333333333334,13.82,14.288,115.6,3.7,29.0,5.82,203.0,269,303.8
2025-06-10 00:00:00.000,326.1745833333333,-33.59527777777778,13.752,14.288,120.1,3.5,29.0,6.35,209.1,271,304.1
2025-06-15 00:00:00.000,326.03499999999997,-33.782777777777774,13.687,14.289,124.7,3.4,29.0,6.89,214.2,272,304.4
2025-06-20 00:00:00.000,325.8641666666666,-33.974722222222226,13.626,14.29,129.2,3.2,29.0,7.44,218.6,274,304.7
2025-06-25 00:00:00.000,325.66249999999997,-34.16972222222222,13.57,14.291,133.7,2.9,28.9,7.97,222.4,275,305.0
2025-09-18 00:00:00.000,319.97166666666664,-36.5375,13.6,14.298,132.5,3.0,28.9,7.08,262.2,268,313.1
2025-09-23 00:00:00.000,319.69291666666663,-36.56222222222222,13.66,14.298,127.9,3.2,29.0,6.41,265.4,266,313.4
2025-09-28 00:00:00.000,319.44166666666666,-36.57194444444445,13.724,14.298,123.3,3.4,29.0,5.71,269.2,265,313.8
2025-10-03 00:00:00.000,319.21999999999997,-36.5675,13.793,14.298,118.6,3.5,29.0,4.99,273.9,263,314.0
2025-10-08 00:00:00.000,319.0291666666666,-36.54944444444444,13.864,14.299,113.9,3.7,29.0,4.27,280.0,261,314.2
2025-10-13 00:00:00.000,318.8712499999999,-36.51833333333333,13.939,14.299,109.2,3.8,29.1,3.59,288.2,259,314.4
2025-10-18 00:00:00.000,318.7470833333333,-36.475,14.017,14.299,104.5,3.9,29.1,2.97,299.8,258,314.5
2025-10-23 00:00:00.000,318.65791666666667,-36.42027777777778,14.096,14.299,99.8,3.9,29.1,2.5,316.3,256,314.6
2025-10-28 00:00:00.000,318.60416666666663,-36.355000000000004,14.177,14.299,95.1,4.0,29.1,2.28,337.7,254,314.6
2025-11-02 00:00:00.000,318.58624999999995,-36.28,14.258,14.299,90.4,4.0,29.1,2.38,359.8,253,314.6
2025-11-07 00:00:00.000,318.6033333333333,-36.19638888888888,14.339,14.299,85.7,4.0,29.1,2.76,17.8,251,314.5
2026-05-06 00:00:00.000,329.3783333333333,-34.504444444444445,14.312,14.279,86.1,4.0,29.1,5.02,139.7,288,301.1
2026-05-11 00:00:00.000,329.4941666666666,-34.638333333333335,14.231,14.278,90.6,4.1,29.1,4.87,149.5,291,301.1
2026-05-16 00:00:00.000,329.57833333333326,-34.78444444444444,14.151,14.277,95.1,4.0,29.1,4.85,159.8,293,301.1
2026-05-21 00:00:00.000,329.6295833333333,-34.94166666666666,14.072,14.276,99.6,4.0,29.1,4.96,170.0,296,301.2
2026-05-26 00:00:00.000,329.6479166666666,-35.11,13.994,14.274,104.1,3.9,29.1,5.19,179.6,298,301.3
2026-05-31 00:00:00.000,329.63291666666663,-35.28777777777778,13.918,14.273,108.6,3.9,29.0,5.53,188.1,300,301.5
2026-06-05 00:00:00.000,329.5841666666666,-35.474444444444444,13.844,14.272,113.1,3.7,29.0,5.94,195.7,303,301.7
2026-06-10 00:00:00.000,329.5012499999999,-35.66861111111111,13.773,14.271,117.5,3.6,29.0,6.41,202.3,305,301.9
2026-06-15 00:00:00.000,329.38499999999993,-35.869166666666665,13.706,14.27,122.0,3.5,29.0,6.91,207.9,306,302.2
2026-06-20 00:00:00.000,329.23541666666665,-36.07472222222223,13.642,14.268,126.4,3.3,29.0,7.41,212.9,308,302.5
2026-06-25 00:00:00.000,329.05375,-36.28361111111111,13.583,14.267,130.7,3.1,28.9,7.91,217.2,310,302.8
2026-09-18 00:00:00.000,323.30291666666665,-38.82972222222222,13.535,14.241,133.2,3.0,28.9,7.43,262.4,303,311.3
2026-09-23 00:00:00.000,322.99958333333325,-38.85388888888889,13.589,14.239,128.8,3.1,28.9,6.81,265.9,301,311.7
2026-09-28 00:00:00.000,322.72249999999997,-38.86194444444445,13.648,14.237,124.3,3.3,29.0,6.15,270.0,299,312.1
2026-10-03 00:00:00.000,322.47375,-38.85416666666667,13.711,14.235,119.8,3.5,29.0,5.48,274.9,297,312.4
2026-10-08 00:00:00.000,322.2558333333333,-38.83111111111111,13.779,14.234,115.2,3.6,29.0,4.81,281.0,295,312.6
2026-10-13 00:00:00.000,322.0704166666666,-38.79333333333333,13.849,14.232,110.6,3.8,29.0,4.16,288.8,293,312.8
2026-10-18 00:00:00.000,321.91958333333326,-38.742222222222225,13.922,14.23,106.0,3.9,29.0,3.57,299.1,291,313.0
2026-10-23 00:00:00.000,321.8041666666666,-38.67805555555555,13.997,14.228,101.4,3.9,29.1,3.1,312.6,289,313.1
2026-10-28 00:00:00.000,321.7245833333333,-38.602222222222224,14.074,14.226,96.8,4.0,29.1,2.83,329.5,287,313.1
2026-11-02 00:00:00.000,321.6816666666666,-38.51583333333333,14.152,14.224,92.2,4.0,29.1,2.8,348.1,285,313.1
2026-11-07 00:00:00.000,321.67541666666665,-38.41972222222222,14.23,14.222,87.6,4.0,29.1,3.03,5.3,283,313.0
2027-05-11 00:00:00.000,332.89833333333326,-36.55166666666666,14.117,14.127,88.5,4.1,29.1,5.46,144.5,328,298.7
2027-05-16 00:00:00.000,333.01416666666665,-36.70611111111111,14.036,14.124,92.9,4.1,29.1,5.38,153.6,331,298.8
2027-05-21 00:00:00.000,333.0970833333333,-36.87305555555555,13.956,14.121,97.3,4.1,29.0,5.43,162.9,334,298.8
2027-05-26 00:00:00.000,333.1466666666666,-37.05166666666666,13.877,14.118,101.7,4.0,29.0,5.58,172.0,337,298.9
2027-05-31 00:00:00.000,333.16208333333327,-37.24138888888889,13.8,14.115,106.1,4.0,29.0,5.84,180.5,340,299.1
2027-06-05 00:00:00.000,333.1424999999999,-37.440555555555555,13.724,14.112,110.5,3.9,29.0,6.18,188.2,343,299.2
2027-06-10 00:00:00.000,333.0879166666666,-37.64861111111111,13.652,14.108,114.8,3.7,29.0,6.58,195.1,345,299.5
2027-06-15 00:00:00.000,332.99791666666664,-37.86388888888889,13.582,14.105,119.2,3.6,29.0,7.02,201.2,347,299.8
2027-06-20 00:00:00.000,332.8733333333333,-38.084722222222226,13.516,14.102,123.4,3.4,28.9,7.48,206.5,349,300.1
2027-06-25 00:00:00.000,332.715,-38.309444444444445,13.455,14.099,127.6,3.3,28.9,7.95,211.3,351,300.4
2027-06-30 00:00:00.000,332.5229166666666,-38.536944444444444,13.398,14.095,131.8,3.1,28.9,8.41,215.5,353,300.8
