Date,RA,Dec,Delta,r,Elongation,Phase,V,Proper motion,Direction,Uncertainty 3sig,Unc. P.A.
2023-07-01 00:00:00.000,235.45374999999999,-3.0574999999999997,15.97,16.68,133.0,2.6,22.7,4.77,254.1,1.0,298.7
2023-07-06 00:00:00.000,235.3095833333333,-3.105277777777778,16.035,16.686,128.5,2.7,22.7,4.33,248.8,1.0,299.5
2023-07-11 00:00:00.000,235.1841666666666,-3.1616666666666666,16.104,16.693,123.9,2.9,22.8,3.91,242.2,1.0,300.4
2023-07-16 00:00:00.000,235.07916666666662,-3.226388888888889,16.177,16.699,119.3,3.0,22.8,3.51,233.9,1.0,301.3
2023-07-21 00:00:00.000,234.99541666666664,-3.2991666666666664,16.254,16.705,114.7,3.2,22.8,3.17,223.5,1.0,302.1
2023-07-26 00:00:00.000,234.93374999999997,-3.379722222222222,16.334,16.711,110.1,3.3,22.8,2.93,210.9,1.0,302.9
2023-07-31 00:00:00.000,234.89499999999998,-3.4669444444444446,16.416,16.717,105.6,3.4,22.8,2.84,196.7,1.0,303.7
2023-08-05 00:00:00.000,234.8795833333333,-3.561111111111111,16.5,16.723,101.0,3.4,22.8,2.92,182.4,1.0,304.4
2023-08-10 00:00:00.000,234.88708333333332,-3.661111111111111,16.586,16.729,96.4,3.5,22.9,3.14,169.3,1.0,305.0
2023-08-15 00:00:00.000,234.91875,-3.7666666666666666,16.673,16.735,91.8,3.5,22.9,3.5,158.2,1.0,305.6
2023-08-20 00:00:00.000,234.97374999999997,-3.877222222222222,16.759,16.742,87.3,3.5,22.9,3.93,149.4,1.0,306.0
2024-02-21 00:00:00.000,244.0995833333333,-6.520833333333333,16.973,16.971,88.2,3.3,22.9,2.93,67.1,,
2024-02-26 00:00:00.000,244.17749999999992,-6.480555555555556,16.896,16.977,93.0,3.3,22.9,2.35,56.9,,
2024-03-02 00:00:00.000,244.23124999999996,-6.435555555555556,16.82,16.983,97.8,3.3,22.9,1.87,41.0,,
2024-03-07 00:00:00.000,244.26000000000002,-6.386388888888889,16.744,16.989,102.6,3.3,22.9,1.6,17.5,,
2024-03-12 00:00:00.000,244.26374999999996,-6.333888888888889,16.671,16.995,107.5,3.2,22.9,1.64,350.8,,
2024-03-17 00:00:00.000,244.24249999999995,-6.278611111111111,16.599,17.002,112.3,3.1,22.9,1.97,329.7,,
2024-03-22 00:00:00.000,244.1970833333333,-6.221111111111111,16.531,17.008,117.1,3.0,22.9,2.44,315.8,,
