Date,RA,Dec,Delta,r,Elongation,Phase,V,Proper motion,Direction,Uncertainty 3sig,Unc. P.A.
2023-07-21 00:00:00.000,250.07291666666666,-19.595,19.573,20.286,133.5,2.1,21.8,3.46,282.0,1,78.5
2023-07-26 00:00:00.000,249.9616666666666,-19.572499999999998,19.643,20.292,128.6,2.2,21.9,2.96,282.4,1,78.3
2023-07-31 00:00:00.000,249.86833333333328,-19.552777777777777,19.717,20.299,123.8,2.4,21.9,2.44,283.0,1,78.2
2023-08-05 00:00:00.000,249.79416666666663,-19.53611111111111,19.795,20.305,118.9,2.5,21.9,1.89,284.0,1,78.1
2023-08-10 00:00:00.000,249.73916666666662,-19.522222222222222,19.877,20.312,114.1,2.6,21.9,1.32,286.0,1,78.0
2023-08-15 00:00:00.000,249.70416666666662,-19.511666666666667,19.962,20.318,109.3,2.7,21.9,0.74,291.4,1,77.9
2023-08-20 00:00:00.000,249.68999999999997,-19.504166666666666,20.049,20.325,104.4,2.8,21.9,0.21,330.8,1,77.8
2023-08-25 00:00:00.000,249.6970833333333,-19.499722222222225,20.138,20.331,99.6,2.8,22.0,0.51,079.9,1,77.8
2023-08-30 00:00:00.000,249.72541666666663,-19.498333333333335,20.228,20.338,94.8,2.8,22.0,1.09,090.0,1,77.8
2023-09-04 00:00:00.000,249.77458333333325,-19.499722222222225,20.318,20.344,90.1,2.8,22.0,1.69,092.8,1,77.9
2023-09-09 00:00:00.000,249.8445833333333,-19.503888888888888,20.409,20.351,85.3,2.8,22.0,2.28,094.1,1,77.9
2024-03-07 00:00:00.000,257.76666666666665,-19.767777777777777,20.593,20.584,88.1,2.8,22.0,2.04,070.0,1,81.3
2024-03-12 00:00:00.000,257.8233333333333,-19.74361111111111,20.514,20.59,93.0,2.8,22.0,1.5,059.8,1,81.3
2024-03-17 00:00:00.000,257.85875,-19.717499999999998,20.435,20.597,98.0,2.7,22.0,1.06,040.1,1,81.2
2024-03-22 00:00:00.000,257.8720833333333,-19.689444444444444,20.357,20.603,102.9,2.7,22.0,0.87,004.7,1,81.1
2024-03-27 00:00:00.000,257.86375,-19.66,20.281,20.61,107.9,2.6,22.0,1.06,329.6,1,81.0
2024-04-01 00:00:00.000,257.83416666666665,-19.628888888888888,20.207,20.616,112.8,2.6,22.0,1.48,310.3,1,80.9
2024-04-06 00:00:00.000,257.78416666666664,-19.59638888888889,20.137,20.623,117.8,2.5,22.0,1.98,300.2,1,80.8
2024-04-11 00:00:00.000,257.71375,-19.56277777777778,20.069,20.629,122.8,2.3,21.9,2.49,294.4,1,80.7
2024-04-16 00:00:00.000,257.62375,-19.52777777777778,20.006,20.636,127.8,2.2,21.9,2.99,290.7,1,80.6
2024-04-21 00:00:00.000,257.51625,-19.491944444444446,19.947,20.642,132.7,2.0,21.9,3.47,288.2,1,80.5
2024-07-25 00:00:00.000,254.2333333333333,-18.89,20.063,20.765,132.7,2.1,21.9,3.33,278.3,1,77.6
2024-07-30 00:00:00.000,254.12541666666664,-18.87527777777778,20.133,20.772,127.9,2.2,22.0,2.85,278.1,1,77.5
2024-08-04 00:00:00.000,254.03499999999997,-18.863333333333333,20.208,20.778,123.0,2.3,22.0,2.33,278.0,1,77.4
2024-08-09 00:00:00.000,253.96333333333334,-18.85388888888889,20.287,20.785,118.2,2.5,22.0,1.78,277.8,1,77.3
2024-08-14 00:00:00.000,253.9108333333333,-18.846944444444443,20.369,20.791,113.3,2.6,22.0,1.22,277.7,1,77.3
2024-08-19 00:00:00.000,253.87791666666666,-18.842777777777776,20.454,20.798,108.5,2.6,22.0,0.65,277.8,1,77.2
2024-08-24 00:00:00.000,253.86541666666662,-18.84111111111111,20.542,20.804,103.7,2.7,22.0,0.06,7   280.6,1,77.2
2024-08-29 00:00:00.000,253.87333333333333,-18.841944444444444,20.631,20.811,98.9,2.7,22.1,0.52,096.7,1,77.2
2024-09-03 00:00:00.000,253.90208333333334,-18.845277777777778,20.721,20.817,94.1,2.8,22.1,1.12,096.8,1,77.3
2024-09-08 00:00:00.000,253.95166666666668,-18.850555555555555,20.812,20.824,89.3,2.8,22.1,1.71,096.6,1,77.3
2025-03-12 00:00:00.000,261.68583333333333,-18.924166666666668,21.055,21.064,89.2,2.7,22.1,1.9,063.1,1,79.6
2025-03-17 00:00:00.000,261.735,-18.895,20.976,21.071,94.1,2.7,22.1,1.42,050.6,1,79.5
2025-03-22 00:00:00.000,261.7629166666666,-18.86416666666667,20.898,21.077,99.1,2.7,22.1,1.06,027.9,1,79.5
2025-03-27 00:00:00.000,261.77,-18.8325,20.82,21.084,104.0,2.6,22.1,0.97,353.9,1,79.4
2025-04-01 00:00:00.000,261.75583333333327,-18.799722222222226,20.745,21.09,108.9,2.6,22.1,1.22,325.0,1,79.3
2025-04-06 00:00:00.000,261.7208333333333,-18.766111111111112,20.672,21.097,113.9,2.5,22.1,1.63,308.6,2,79.2
2025-04-11 00:00:00.000,261.66624999999993,-18.731944444444444,20.602,21.103,118.8,2.4,22.1,2.11,299.5,2,79.1
2025-04-16 00:00:00.000,261.5920833333333,-18.696944444444444,20.536,21.11,123.8,2.3,22.0,2.59,293.9,2,79.0
2025-04-21 00:00:00.000,261.4995833333333,-18.661944444444444,20.473,21.116,128.7,2.1,22.0,3.07,290.2,2,78.9
2025-04-26 00:00:00.000,261.38958333333335,-18.62666666666667,20.416,21.123,133.7,2.0,22.0,3.53,287.5,2,78.8
2025-07-30 00:00:00.000,258.16249999999997,-18.134166666666665,20.557,21.247,131.8,2.0,22.0,3.2,274.6,1,76.6
2025-08-04 00:00:00.000,258.0591666666666,-18.126944444444444,20.628,21.253,126.9,2.2,22.1,2.71,273.9,1,76.5
2025-08-09 00:00:00.000,257.9729166666666,-18.121944444444445,20.704,21.26,122.1,2.3,22.1,2.21,273.0,1,76.5
2025-08-14 00:00:00.000,257.9045833333333,-18.11916666666667,20.783,21.266,117.2,2.4,22.1,1.68,271.6,1,76.4
2025-08-19 00:00:00.000,257.85541666666666,-18.11861111111111,20.866,21.273,112.4,2.5,22.1,1.13,269.1,1,76.4
2025-08-24 00:00:00.000,257.8254166666666,-18.12027777777778,20.952,21.279,107.6,2.6,22.1,0.57,261.7,1,76.4
2025-08-29 00:00:00.000,257.81583333333333,-18.124166666666667,21.04,21.286,102.8,2.7,22.1,0.14,177.2,1,76.4
2025-09-03 00:00:00.000,257.82625,-18.129722222222224,21.129,21.292,98.0,2.7,22.2,0.62,108.8,1,76.4
2025-09-08 00:00:00.000,257.8566666666666,-18.13722222222222,21.219,21.299,93.2,2.7,22.2,1.19,102.2,1,76.5
2025-09-13 00:00:00.000,257.90749999999997,-18.14638888888889,21.31,21.305,88.4,2.7,22.2,1.76,099.8,1,76.5
2026-03-12 00:00:00.000,265.3295833333333,-18.073055555555555,21.594,21.539,85.5,2.6,22.2,2.27,064.8,2,78.1
2026-03-17 00:00:00.000,265.39124999999996,-18.040555555555557,21.515,21.546,90.4,2.6,22.2,1.77,055.8,2,78.1
2026-03-22 00:00:00.000,265.43249999999995,-18.006944444444443,21.437,21.552,95.4,2.6,22.2,1.34,040.6,2,78.0
2026-03-27 00:00:00.000,265.4529166666666,-17.972499999999997,21.359,21.559,100.3,2.6,22.2,1.08,015.5,2,77.9
2026-04-01 00:00:00.000,265.4525,-17.93777777777778,21.282,21.565,105.2,2.6,22.2,1.09,344.4,2,77.9
2026-04-06 00:00:00.000,265.43249999999995,-17.9025,21.207,21.572,110.1,2.5,22.2,1.37,320.8,2,77.8
2026-04-11 00:00:00.000,265.3920833333333,-17.86722222222222,21.135,21.578,115.0,2.4,22.2,1.78,306.7,2,77.7
2026-04-16 00:00:00.000,265.3325,-17.831666666666667,21.066,21.585,120.0,2.3,22.1,2.24,298.3,2,77.6
