Date,RA,Dec,Delta,r,Elongation,Phase,V,Proper motion,Direction,Uncertainty 3sig,Unc. P.A.
2023-10-24 00:00:00.000,124.00416666666665,8.770833333333334,5.194,5.217,85.8,11.0,22.7,14.62,120.3,3,278.5
2023-10-29 00:00:00.000,124.39541666666663,8.530277777777778,5.116,5.216,90.3,11.0,22.7,12.71,123.7,3,278.7
2023-11-03 00:00:00.000,124.71583333333332,8.301111111111112,5.037,5.215,94.8,10.9,22.7,10.75,128.4,3,278.7
2023-11-08 00:00:00.000,124.96208333333331,8.085555555555556,4.959,5.214,99.5,10.8,22.6,8.78,135.3,3,278.8
2023-11-13 00:00:00.000,125.13124999999998,7.885833333333333,4.882,5.213,104.2,10.6,22.6,6.91,146.0,3,278.9
2023-11-18 00:00:00.000,125.22124999999998,7.704166666666667,4.806,5.212,109.0,10.3,22.5,5.36,163.9,3,279.0
2023-11-23 00:00:00.000,125.23125,7.543055555555555,4.733,5.211,113.8,10.0,22.5,4.6,191.2,3,279.0
2023-11-28 00:00:00.000,125.16125,7.404166666666667,4.663,5.21,118.8,9.6,22.4,5.03,220.6,3,279.1
2023-12-03 00:00:00.000,125.01124999999999,7.289166666666667,4.596,5.209,123.8,9.0,22.4,6.42,241.4,3,279.1
2023-12-08 00:00:00.000,124.78291666666665,7.2,4.533,5.208,128.9,8.5,22.3,8.27,254.0,3,279.1
2023-12-13 00:00:00.000,124.47833333333332,7.138333333333334,4.475,5.207,134.0,7.8,22.3,10.27,262.0,3,279.1
2024-03-02 00:00:00.000,115.95041666666665,9.433055555555555,4.46,5.191,133.4,8.0,22.3,10.85,310.5,3,277.6
2024-03-07 00:00:00.000,115.71041666666666,9.665277777777778,4.515,5.19,128.4,8.6,22.3,9.08,319.2,3,277.5
2024-03-12 00:00:00.000,115.55041666666666,9.890277777777778,4.576,5.189,123.4,9.2,22.4,7.5,332.1,3,277.3
2024-03-17 00:00:00.000,115.47291666666666,10.105833333333333,4.64,5.188,118.4,9.7,22.4,6.39,350.4,3,277.2
2024-03-22 00:00:00.000,115.47833333333332,10.31,4.708,5.187,113.5,10.1,22.5,6.08,13.0,3,277.1
2024-03-27 00:00:00.000,115.56583333333333,10.500555555555556,4.779,5.186,108.8,10.5,22.5,6.67,34.4,3,277.0
2024-04-01 00:00:00.000,115.73333333333332,10.676388888888889,4.851,5.185,104.1,10.8,22.6,7.93,50.5,3,276.9
2024-04-06 00:00:00.000,115.97999999999999,10.836111111111112,4.926,5.184,99.4,11.0,22.6,9.55,61.6,3,276.9
2024-04-11 00:00:00.000,116.30333333333333,10.97861111111111,5.001,5.183,94.9,11.1,22.6,11.35,69.3,3,276.8
2024-04-16 00:00:00.000,116.69999999999999,11.103055555555555,5.077,5.182,90.4,11.2,22.7,13.19,74.8,3,276.8
2024-04-21 00:00:00.000,117.16666666666664,11.208333333333332,5.153,5.182,86.0,11.2,22.7,15.0,79.0,3,276.8
2024-11-27 00:00:00.000,157.06541666666664,1.4597222222222221,5.108,5.146,86.7,11.0,22.7,14.08,118.8,4,282.4
2024-12-02 00:00:00.000,157.4433333333333,1.2461111111111112,5.028,5.145,91.3,11.0,22.6,11.94,120.4,4,282.4
2024-12-07 00:00:00.000,157.75166666666667,1.0583333333333333,4.948,5.144,95.9,11.0,22.6,9.71,122.5,4,282.4
2024-12-12 00:00:00.000,157.98833333333332,0.898611111111111,4.869,5.144,100.7,10.8,22.6,7.42,126.0,4,282.5
2024-12-17 00:00:00.000,158.15125,0.7686111111111111,4.791,5.143,105.5,10.6,22.5,5.1,132.3,4,282.5
2024-12-22 00:00:00.000,158.23874999999998,0.6702777777777778,4.715,5.142,110.4,10.3,22.5,2.86,148.9,4,282.5
2024-12-27 00:00:00.000,158.2495833333333,0.6058333333333333,4.642,5.142,115.4,9.9,22.4,1.65,210.7,4,282.5
2025-01-01 00:00:00.000,158.18291666666664,0.5766666666666667,4.571,5.141,120.5,9.5,22.4,3.18,264.0,5,282.6
2025-01-06 00:00:00.000,158.03958333333333,0.5838888888888889,4.504,5.14,125.7,8.9,22.3,5.49,278.1,5,282.6
2025-01-11 00:00:00.000,157.82166666666666,0.6283333333333334,4.442,5.14,130.9,8.3,22.2,7.85,284.0,5,282.6
2025-04-06 00:00:00.000,149.76999999999998,5.053611111111111,4.388,5.13,133.6,8.1,22.2,10.33,319.2,5,281.7
2025-04-11 00:00:00.000,149.58124999999998,5.3025,4.445,5.129,128.5,8.8,22.3,8.41,327.5,5,281.6
2025-04-16 00:00:00.000,149.46791666666664,5.526111111111111,4.507,5.129,123.5,9.4,22.3,6.7,340.3,4,281.5
2025-04-21 00:00:00.000,149.43041666666664,5.722777777777778,4.572,5.128,118.5,9.9,22.4,5.49,0.3,4,281.4
2025-04-26 00:00:00.000,149.46999999999997,5.891388888888889,4.64,5.128,113.7,10.4,22.4,5.18,26.7,4,281.3
2025-05-01 00:00:00.000,149.58625,6.030833333333334,4.711,5.127,108.9,10.7,22.5,5.92,50.9,4,281.3
2025-05-06 00:00:00.000,149.77749999999997,6.140277777777778,4.784,5.127,104.3,11.0,22.5,7.37,67.4,4,281.2
2025-05-11 00:00:00.000,150.04166666666666,6.219722222222222,4.859,5.127,99.7,11.2,22.6,9.14,77.8,4,281.2
2025-05-16 00:00:00.000,150.37541666666664,6.269444444444445,4.935,5.126,95.2,11.3,22.6,11.02,84.5,4,281.2
2025-05-21 00:00:00.000,150.77624999999998,6.29,5.012,5.126,90.7,11.4,22.6,12.92,89.2,4,281.2
2025-05-26 00:00:00.000,151.24124999999998,6.2813888888888885,5.088,5.125,86.4,11.4,22.7,14.81,92.7,4,281.2
2026-01-01 00:00:00.000,190.60916666666665,-6.4375,5.054,5.114,87.9,11.1,22.6,13.79,106.2,5,281.9
2026-01-06 00:00:00.000,191.02041666666662,-6.550277777777778,4.974,5.114,92.6,11.1,22.6,11.63,104.6,5,281.9
2026-01-11 00:00:00.000,191.36291666666665,-6.6322222222222225,4.894,5.114,97.4,11.0,22.6,9.37,102.1,5,281.9
2026-01-16 00:00:00.000,191.63416666666666,-6.681111111111111,4.815,5.114,102.2,10.8,22.5,7.05,97.9,5,281.9
2026-01-21 00:00:00.000,191.83124999999998,-6.695833333333334,4.737,5.114,107.1,10.6,22.5,4.74,89.1,5,281.9
2026-01-26 00:00:00.000,191.95208333333332,-6.675833333333333,4.662,5.114,112.1,10.3,22.4,2.71,65.2,5,281.9
2026-01-31 00:00:00.000,191.99624999999997,-6.620277777777778,4.589,5.114,117.1,9.9,22.4,2.21,4.3,5,281.9
2026-02-05 00:00:00.000,191.9633333333333,-6.528888888888889,4.519,5.114,122.3,9.4,22.3,3.9,327.1,5,281.9
2026-02-10 00:00:00.000,191.85416666666666,-6.401666666666667,4.453,5.114,127.5,8.8,22.3,6.18,314.7,5,281.9
2026-02-15 00:00:00.000,191.66958333333332,-6.239166666666667,4.391,5.114,132.8,8.2,22.2,8.53,309.3,6,282.0
2026-05-11 00:00:00.000,183.94666666666666,-1.1683333333333334,4.36,5.115,134.1,8.1,22.2,9.31,310.2,6,282.1
2026-05-16 00:00:00.000,183.74416666666662,-0.9844444444444443,4.418,5.115,129.0,8.8,22.2,7.1,315.0,5,282.1
2026-05-21 00:00:00.000,183.61291666666662,-0.8344444444444444,4.48,5.115,124.0,9.4,22.3,4.9,324.3,5,282.0
2026-05-26 00:00:00.000,183.55374999999995,-0.7188888888888889,4.545,5.115,119.1,10.0,22.4,3.02,347.0,5,282.0
2026-05-31 00:00:00.000,183.56749999999997,-0.6383333333333333,4.614,5.116,114.3,10.4,22.4,2.42,38.2,5,282.0
2026-06-05 00:00:00.000,183.65333333333328,-0.5919444444444445,4.686,5.116,109.6,10.8,22.5,3.75,76.4,5,281.9
2026-06-10 00:00:00.000,183.81041666666664,-0.5791666666666666,4.76,5.116,104.9,11.1,22.5,5.76,91.2,5,281.9
2026-06-15 00:00:00.000,184.03708333333333,-0.5997222222222223,4.835,5.116,100.4,11.3,22.5,7.91,98.0,5,281.9
2026-06-20 00:00:00.000,184.33208333333332,-0.6522222222222223,4.911,5.116,95.9,11.4,22.6,10.06,101.8,5,281.9
2026-06-25 00:00:00.000,184.6925,-0.7358333333333332,4.989,5.117,91.5,11.5,22.6,12.13,104.1,5,281.8
2026-06-30 00:00:00.000,185.1158333333333,-0.8483333333333334,5.066,5.117,87.1,11.4,22.7,14.12,105.6,5,281.8
2027-02-05 00:00:00.000,225.18666666666664,-12.127777777777778,5.051,5.135,89.3,11.1,22.6,14.02,87.6,5,277.3
2027-02-10 00:00:00.000,225.62916666666663,-12.095,4.972,5.136,94.0,11.1,22.6,11.99,83.4,5,277.3
2027-02-15 00:00:00.000,225.9983333333333,-12.036666666666667,4.894,5.136,98.7,11.0,22.6,9.97,77.6,5,277.2
2027-02-20 00:00:00.000,226.29208333333332,-11.952499999999999,4.816,5.137,103.4,10.8,22.5,8.04,68.8,5,277.2
2027-02-25 00:00:00.000,226.50874999999996,-11.843055555555557,4.741,5.137,108.3,10.5,22.5,6.36,54.8,5,277.2
2027-03-02 00:00:00.000,226.64541666666662,-11.70861111111111,4.667,5.138,113.2,10.2,22.4,5.24,32.8,5,277.2
2027-03-07 00:00:00.000,226.70124999999996,-11.549722222222222,4.596,5.139,118.1,9.8,22.4,5.14,4.9,6,277.2
2027-03-12 00:00:00.000,226.67541666666662,-11.3675,4.528,5.139,123.2,9.3,22.3,6.13,341.4,6,277.2
2027-03-17 00:00:00.000,226.56916666666663,-11.163055555555555,4.464,5.14,128.2,8.7,22.3,7.74,326.3,6,277.3
2027-03-22 00:00:00.000,226.38458333333332,-10.938333333333334,4.405,5.141,133.4,8.1,22.2,9.61,317.0,6,277.3
2027-06-15 00:00:00.000,218.18416666666664,-6.9622222222222225,4.392,5.153,134.2,8.1,22.2,8.78,284.9,6,278.5
2027-06-20 00:00:00.000,217.9333333333333,-6.902500000000001,4.449,5.153,129.3,8.8,22.3,6.57,281.7,6,278.5
2027-06-25 00:00:00.000,217.7525,-6.873333333333334,4.511,5.154,124.4,9.4,22.3,4.33,275.6,6,278.5
2027-06-30 00:00:00.000,217.64416666666665,-6.874166666666667,4.576,5.155,119.6,9.9,22.4,2.19,257.4,6,278.5
2027-07-05 00:00:00.000,217.60958333333332,-6.904722222222222,4.645,5.156,114.9,10.3,22.4,1.35,176.6,5,278.5
2027-07-10 00:00:00.000,217.6495833333333,-6.9638888888888895,4.716,5.156,110.2,10.7,22.5,3.17,133.6,5,278.5
2027-07-15 00:00:00.000,217.76375,-7.05,4.79,5.157,105.6,10.9,22.5,5.38,123.6,5,278.5
2027-07-20 00:00:00.000,217.95,-7.161944444444445,4.865,5.158,101.1,11.1,22.6,7.58,119.4,5,278.5
2027-07-25 00:00:00.000,218.20666666666662,-7.2975,4.941,5.159,96.7,11.3,22.6,9.73,116.9,5,278.4
2027-07-30 00:00:00.000,218.53249999999997,-7.455277777777778,5.019,5.16,92.3,11.3,22.6,11.83,115.3,5,278.4
2027-08-04 00:00:00.000,218.92541666666665,-7.633611111111111,5.096,5.161,88.0,11.3,22.7,13.86,114.0,5,278.4
