Date,RA,Dec,Delta,r,Elongation,Phase,V,Proper motion,Direction,Uncertainty 3sig,Unc. P.A.
2023-07-16 00:00:00.000,245.02333333333328,-11.296944444444444,21.837,22.523,131.4,1.9,22.6,3.17,259.0,0.0,288.6
2023-07-21 00:00:00.000,244.92458333333332,-11.319444444444445,21.904,22.525,126.7,2.1,22.6,2.78,254.6,0.0,288.4
2023-07-26 00:00:00.000,244.84124999999995,-11.346111111111112,21.974,22.528,121.9,2.2,22.7,2.38,248.6,0.0,288.2
2023-07-31 00:00:00.000,244.77416666666662,-11.376944444444446,22.048,22.53,117.2,2.3,22.7,2.0,240.3,0.0,288.0
2023-08-05 00:00:00.000,244.72375,-11.411944444444444,22.126,22.533,112.5,2.4,22.7,1.66,228.1,0.0,287.8
2023-08-10 00:00:00.000,244.69041666666666,-11.450833333333332,22.206,22.535,107.7,2.5,22.7,1.42,210.5,0.0,287.7
2023-08-15 00:00:00.000,244.67499999999998,-11.493611111111111,22.288,22.538,103.0,2.5,22.7,1.35,188.2,0.0,287.5
2023-08-20 00:00:00.000,244.67749999999995,-11.539722222222222,22.372,22.54,98.3,2.5,22.7,1.47,166.5,0.0,287.3
2023-08-25 00:00:00.000,244.6983333333333,-11.58888888888889,22.457,22.543,93.6,2.6,22.7,1.76,150.0,0.0,287.2
2023-08-30 00:00:00.000,244.73749999999998,-11.641388888888889,22.543,22.546,88.9,2.6,22.7,2.14,138.7,0.0,287.0
2024-03-02 00:00:00.000,251.6170833333333,-12.993888888888888,22.624,22.64,89.7,2.5,22.8,1.73,70.6,,
2024-03-07 00:00:00.000,251.6633333333333,-12.973611111111111,22.542,22.643,94.6,2.5,22.8,1.26,58.9,,
2024-03-12 00:00:00.000,251.6908333333333,-12.950833333333332,22.46,22.646,99.5,2.5,22.7,0.88,35.6,,
2024-03-17 00:00:00.000,251.69874999999993,-12.925833333333333,22.38,22.648,104.4,2.4,22.7,0.77,356.7,,
2024-03-22 00:00:00.000,251.6879166666666,-12.899444444444445,22.301,22.651,109.3,2.4,22.7,1.01,324.1,,
2024-03-27 00:00:00.000,251.65833333333327,-12.87138888888889,22.225,22.653,114.2,2.3,22.7,1.42,307.2,,
2024-04-01 00:00:00.000,251.61083333333332,-12.842222222222222,22.152,22.656,119.1,2.2,22.7,1.87,298.3,,
2024-04-06 00:00:00.000,251.5458333333333,-12.812222222222223,22.083,22.659,124.0,2.1,22.7,2.34,292.8,,
2024-04-11 00:00:00.000,251.46374999999998,-12.781944444444445,22.018,22.661,128.9,2.0,22.7,2.79,289.2,,
2024-04-16 00:00:00.000,251.36624999999998,-12.751388888888888,21.957,22.664,133.8,1.8,22.6,3.21,286.5,,
2024-07-20 00:00:00.000,248.46541666666664,-12.553611111111111,22.04,22.714,130.6,1.9,22.7,3.06,257.7,,
2024-07-25 00:00:00.000,248.37083333333328,-12.577222222222222,22.107,22.717,125.9,2.1,22.7,2.67,253.3,,
2024-07-30 00:00:00.000,248.29124999999996,-12.604444444444445,22.178,22.719,121.1,2.2,22.7,2.27,247.3,,
2024-08-04 00:00:00.000,248.22791666666663,-12.635555555555555,22.254,22.722,116.3,2.3,22.7,1.88,238.4,,
2024-08-09 00:00:00.000,248.18166666666664,-12.670277777777777,22.332,22.725,111.6,2.4,22.7,1.55,225.2,,
