Date,RA,Dec,Delta,r,Elongation,Phase,V,Proper motion,Direction,Uncertainty 3sig,Unc. P.A.
2023-07-16 00:00:00.000,15.38458333333333,29.598055555555554,8.409,8.42,87.2,6.9,26.7,8.15,14.7,4642,62.6
2023-07-21 00:00:00.000,15.438749999999999,29.853611111111114,8.323,8.411,91.5,6.9,26.6,7.48,5.8,4745,62.1
2023-07-26 00:00:00.000,15.441666666666665,30.09361111111111,8.238,8.401,95.8,6.9,26.6,6.97,355.2,4841,61.7
2023-07-31 00:00:00.000,15.39333333333333,30.315833333333334,8.153,8.392,100.2,6.8,26.6,6.67,343.3,4931,61.2
2023-08-05 00:00:00.000,15.293333333333331,30.519166666666667,8.07,8.383,104.6,6.7,26.6,6.65,330.6,5013,60.6
2023-08-10 00:00:00.000,15.140833333333331,30.70138888888889,7.988,8.373,109.0,6.6,26.5,6.9,318.0,5086,60.0
2023-08-15 00:00:00.000,14.935833333333331,30.860277777777778,7.909,8.363,113.4,6.4,26.5,7.39,306.6,5151,59.4
2023-08-20 00:00:00.000,14.680416666666664,30.994444444444447,7.833,8.354,117.9,6.1,26.5,8.08,296.7,5204,58.8
2023-08-25 00:00:00.000,14.374999999999996,31.101666666666667,7.76,8.344,122.3,5.9,26.4,8.9,288.4,5247,58.1
2023-08-30 00:00:00.000,14.02375,31.180555555555557,7.691,8.334,126.7,5.6,26.4,9.79,281.4,5278,57.4
2023-09-04 00:00:00.000,13.62875,31.230277777777776,7.627,8.325,131.1,5.2,26.3,10.71,275.5,5297,56.7
2023-11-23 00:00:00.000,6.029999999999999,28.32027777777778,7.462,8.16,132.3,5.1,26.2,11.26,218.0,4231,48.5
2023-11-28 00:00:00.000,5.794583333333333,28.0275,7.507,8.149,127.8,5.5,26.3,10.29,212.4,4143,48.7
2023-12-03 00:00:00.000,5.614166666666666,27.7425,7.557,8.138,123.2,5.8,26.3,9.32,205.8,4062,48.9
2023-12-08 00:00:00.000,5.489999999999999,27.468888888888888,7.611,8.127,118.5,6.1,26.3,8.4,197.6,3990,49.3
2023-12-13 00:00:00.000,5.422916666666666,27.209722222222222,7.669,8.116,113.8,6.4,26.4,7.6,187.7,3928,49.9
2023-12-18 00:00:00.000,5.413749999999999,26.967777777777776,7.73,8.105,109.1,6.6,26.4,6.99,175.7,3877,50.5
2023-12-23 00:00:00.000,5.461666666666666,26.745555555555555,7.793,8.094,104.4,6.8,26.4,6.67,162.3,3838,51.2
2023-12-28 00:00:00.000,5.5649999999999995,26.544444444444448,7.859,8.083,99.7,6.9,26.4,6.69,148.3,3811,52.0
2024-01-02 00:00:00.000,5.7229166666666655,26.366666666666667,7.925,8.071,95.1,7.0,26.4,7.03,135.2,3797,52.9
2024-01-07 00:00:00.000,5.933333333333334,26.2125,7.993,8.06,90.4,7.0,26.5,7.64,123.7,3795,53.8
2024-01-12 00:00:00.000,6.194583333333333,26.083888888888886,8.06,8.049,85.8,7.0,26.5,8.46,114.3,3807,54.8
2024-07-30 00:00:00.000,28.439999999999994,34.831944444444446,7.509,7.543,88.1,7.7,26.2,9.11,19.3,10425,68.9
2024-08-04 00:00:00.000,28.532499999999995,35.111666666666665,7.419,7.529,92.3,7.7,26.2,8.32,10.7,10633,68.7
2024-08-09 00:00:00.000,28.564999999999994,35.376111111111115,7.33,7.515,96.7,7.7,26.2,7.68,0.2,10834,68.3
2024-08-14 00:00:00.000,28.534999999999993,35.623333333333335,7.242,7.501,101.0,7.6,26.1,7.29,348.2,11024,68.0
2024-08-19 00:00:00.000,28.44208333333333,35.850833333333334,7.155,7.487,105.4,7.5,26.1,7.19,335.1,11204,67.6
