Date,RA,Dec,Delta,r,Elongation,Phase,V,Proper motion,Direction,Uncertainty 3sig,Unc. P.A.
2023-07-01 00:00:00.000,340.07125,-13.929166666666665,13.273,13.84,122.1,3.6,22.6,3.04,217.9,2.0,77.6
2023-07-06 00:00:00.000,339.9941666666666,-14.01361111111111,13.211,13.846,126.9,3.4,22.6,3.73,224.4,2.0,77.9
2023-07-11 00:00:00.000,339.8920833333333,-14.106388888888889,13.153,13.851,131.8,3.1,22.6,4.42,228.9,2.0,78.2
2023-10-14 00:00:00.000,335.99583333333334,-16.080277777777777,13.27,13.952,131.6,3.1,22.6,4.07,250.3,,
2023-10-19 00:00:00.000,335.87499999999994,-16.120555555555555,13.342,13.958,126.5,3.3,22.6,3.28,251.7,,
2023-10-24 00:00:00.000,335.7799999999999,-16.148888888888887,13.418,13.963,121.5,3.5,22.6,2.46,254.0,,
2023-10-29 00:00:00.000,335.71124999999995,-16.165555555555553,13.497,13.969,116.5,3.6,22.7,1.62,258.4,,
2023-11-03 00:00:00.000,335.6704166666666,-16.170555555555556,13.58,13.974,111.5,3.8,22.7,0.78,272.0,,
2023-11-08 00:00:00.000,335.6579166666666,-16.16361111111111,13.666,13.98,106.5,3.9,22.7,0.38,7.6,,
2023-11-13 00:00:00.000,335.6741666666666,-16.14527777777778,13.754,13.985,101.5,4.0,22.7,1.15,50.8,,
2023-11-18 00:00:00.000,335.71958333333333,-16.11527777777778,13.843,13.991,96.6,4.0,22.7,2.04,58.4,,
2023-11-23 00:00:00.000,335.79458333333326,-16.073888888888888,13.933,13.996,91.6,4.0,22.8,2.94,61.5,,
2023-11-28 00:00:00.000,335.89833333333326,-16.021944444444443,14.024,14.002,86.7,4.0,22.8,3.81,63.2,,
2024-05-31 00:00:00.000,347.4808333333333,-12.263333333333334,14.244,14.21,86.0,4.1,22.8,4.09,91.9,,
2024-06-05 00:00:00.000,347.60749999999996,-12.273611111111112,14.167,14.216,90.7,4.1,22.8,3.36,98.2,,
2024-06-10 00:00:00.000,347.7075,-12.295277777777777,14.091,14.221,95.4,4.1,22.8,2.68,107.9,,
2024-06-15 00:00:00.000,347.78125,-12.32861111111111,14.015,14.227,100.0,4.0,22.8,2.11,123.3,,
2024-06-20 00:00:00.000,347.8283333333333,-12.372777777777777,13.94,14.233,104.8,4.0,22.8,1.79,146.5,,
2024-06-25 00:00:00.000,347.8483333333333,-12.427777777777777,13.867,14.239,109.5,3.9,22.8,1.82,173.5,,
2024-06-30 00:00:00.000,347.8420833333333,-12.493333333333332,13.797,14.245,114.3,3.7,22.8,2.19,195.1,,
2024-07-05 00:00:00.000,347.8095833333333,-12.56861111111111,13.729,14.25,119.0,3.6,22.7,2.75,209.0,,
2024-07-10 00:00:00.000,347.75124999999997,-12.653611111111111,13.665,14.256,123.8,3.4,22.7,3.39,217.8,,
2024-07-15 00:00:00.000,347.66791666666666,-12.747222222222222,13.605,14.262,128.7,3.2,22.7,4.05,223.6,,
2024-07-20 00:00:00.000,347.56083333333333,-12.848611111111111,13.549,14.268,133.5,3.0,22.7,4.69,227.8,,
2024-10-18 00:00:00.000,343.9008333333333,-14.749166666666666,13.661,14.374,134.3,2.8,22.7,4.46,252.0,,
2024-10-23 00:00:00.000,343.7658333333333,-14.789444444444444,13.73,14.38,129.3,3.1,22.7,3.74,254.1,,
2024-10-28 00:00:00.000,343.65333333333325,-14.817499999999999,13.804,14.386,124.2,3.3,22.8,2.98,257.2,,
2024-11-02 00:00:00.000,343.5658333333333,-14.833333333333334,13.882,14.392,119.2,3.5,22.8,2.19,262.3,,
2024-11-07 00:00:00.000,343.5041666666666,-14.836944444444445,13.964,14.398,114.2,3.6,22.8,1.4,273.2,,
2024-11-12 00:00:00.000,343.4695833333333,-14.828055555555554,14.048,14.404,109.2,3.7,22.8,0.76,306.1,,
2024-11-17 00:00:00.000,343.4620833333333,-14.807222222222222,14.136,14.41,104.2,3.8,22.8,0.83,13.2,,
2024-11-22 00:00:00.000,343.48249999999996,-14.774444444444445,14.225,14.416,99.2,3.9,22.9,1.53,40.7,,
