Date,RA,Dec,Delta,r,Elongation,Phase,V,Proper motion,Direction,Uncertainty 3sig,Unc. P.A.
2023-07-01 00:00:00.000,333.3349999999999,-13.947777777777778,11.589,12.245,128.3,3.7,22.2,4.94,226.8,0.0,270.9
2023-07-06 00:00:00.000,333.19749999999993,-14.065277777777778,11.526,12.245,133.2,3.5,22.1,5.73,230.2,0.0,271.0
2023-10-04 00:00:00.000,328.6858333333333,-16.591388888888886,11.518,12.244,134.8,3.3,22.1,5.75,241.7,0.0,279.7
2023-10-09 00:00:00.000,328.52333333333326,-16.67638888888889,11.581,12.244,129.7,3.6,22.2,4.89,240.9,0.0,280.1
2023-10-14 00:00:00.000,328.38916666666665,-16.749444444444446,11.649,12.244,124.7,3.8,22.2,3.97,239.6,0.0,280.4
2023-10-19 00:00:00.000,328.2854166666666,-16.810277777777777,11.721,12.244,119.6,4.1,22.2,3.01,237.1,0.0,280.6
2023-10-24 00:00:00.000,328.21375,-16.858333333333334,11.797,12.244,114.6,4.2,22.2,2.03,231.8,0.0,280.8
2023-10-29 00:00:00.000,328.17499999999995,-16.89388888888889,11.875,12.244,109.5,4.4,22.3,1.09,216.3,0.0,281.0
2023-11-03 00:00:00.000,328.1691666666666,-16.916666666666668,11.957,12.243,104.5,4.5,22.3,0.59,147.3,0.0,281.1
2023-11-08 00:00:00.000,328.1975,-16.926944444444445,12.04,12.243,99.6,4.6,22.3,1.3,95.4,0.0,281.0
2023-11-13 00:00:00.000,328.2595833333333,-16.925,12.124,12.243,94.6,4.6,22.3,2.28,83.8,0.0,281.0
2023-11-18 00:00:00.000,328.35541666666666,-16.910833333333333,12.209,12.243,89.7,4.6,22.3,3.3,79.4,0.0,280.9
2024-05-26 00:00:00.000,341.77125,-13.679166666666665,12.248,12.235,86.9,4.7,22.3,4.53,100.2,,
2024-05-31 00:00:00.000,341.90916666666664,-13.712499999999999,12.165,12.235,91.6,4.8,22.3,3.77,108.5,,
2024-06-05 00:00:00.000,342.01624999999996,-13.759166666666667,12.082,12.235,96.3,4.7,22.3,3.11,120.8,,
2024-06-10 00:00:00.000,342.0925,-13.818888888888889,12.0,12.234,101.0,4.7,22.3,2.66,138.6,,
2024-06-15 00:00:00.000,342.1370833333333,-13.891666666666666,11.92,12.234,105.7,4.6,22.3,2.52,160.6,,
2024-06-20 00:00:00.000,342.15,-13.977500000000001,11.841,12.234,110.5,4.5,22.2,2.76,181.6,,
2024-06-25 00:00:00.000,342.1316666666666,-14.075277777777778,11.765,12.233,115.3,4.3,22.2,3.27,197.5,,
2024-06-30 00:00:00.000,342.0825,-14.185277777777777,11.692,12.233,120.1,4.1,22.2,3.94,208.5,,
2024-07-05 00:00:00.000,342.00291666666664,-14.306111111111111,11.622,12.233,124.9,3.9,22.2,4.69,216.0,,
2024-07-10 00:00:00.000,341.8933333333333,-14.4375,11.557,12.233,129.8,3.7,22.1,5.45,221.4,,
2024-07-15 00:00:00.000,341.7558333333333,-14.578333333333333,11.496,12.232,134.7,3.4,22.1,6.19,225.3,,
2024-10-13 00:00:00.000,337.2908333333333,-17.188055555555557,11.53,12.226,132.4,3.5,22.1,5.35,246.0,,
2024-10-18 00:00:00.000,337.13374999999996,-17.253611111111113,11.595,12.225,127.4,3.7,22.2,4.46,246.8,,
2024-10-23 00:00:00.000,337.0054166666666,-17.305,11.664,12.225,122.3,3.9,22.2,3.51,247.7,,
2024-10-28 00:00:00.000,336.90749999999997,-17.342222222222222,11.737,12.225,117.3,4.1,22.2,2.53,249.0,,
2024-11-02 00:00:00.000,336.84124999999995,-17.36527777777778,11.813,12.224,112.3,4.3,22.2,1.51,251.7,,
2024-11-07 00:00:00.000,336.8079166666666,-17.37388888888889,11.893,12.224,107.3,4.4,22.3,0.48,264.5,,
2024-11-12 00:00:00.000,336.8083333333333,-17.368333333333332,11.974,12.223,102.3,4.5,22.3,0.61,52.7,,
2024-11-17 00:00:00.000,336.8420833333333,-17.349166666666665,12.057,12.223,97.3,4.6,22.3,1.64,61.9,,
2024-11-22 00:00:00.000,336.9091666666666,-17.316944444444445,12.141,12.222,92.4,4.6,22.3,2.68,64.2,,
2024-11-27 00:00:00.000,337.00999999999993,-17.271666666666665,12.225,12.222,87.5,4.6,22.3,3.7,65.4,,
2025-06-05 00:00:00.000,350.39625,-13.671388888888888,12.187,12.203,88.5,4.8,22.3,4.65,107.6,,
2025-06-10 00:00:00.000,350.53374999999994,-13.725277777777778,12.105,12.202,93.1,4.8,22.3,4.0,117.1,,
2025-06-15 00:00:00.000,350.6408333333333,-13.793055555555556,12.023,12.202,97.8,4.7,22.3,3.49,130.0,,
2025-06-20 00:00:00.000,350.71666666666664,-13.874444444444444,11.942,12.201,102.4,4.7,22.3,3.18,146.3,,
2025-06-25 00:00:00.000,350.7616666666666,-13.969444444444445,11.862,12.201,107.1,4.6,22.3,3.16,164.5,,
2025-06-30 00:00:00.000,350.7745833333333,-14.0775,11.785,12.2,111.9,4.4,22.2,3.43,181.3,,
2025-07-05 00:00:00.000,350.7566666666666,-14.197777777777778,11.71,12.199,116.6,4.3,22.2,3.91,194.5,,
2025-07-10 00:00:00.000,350.7075,-14.329722222222221,11.639,12.199,121.4,4.1,22.2,4.52,204.4,,
2025-07-15 00:00:00.000,350.62791666666664,-14.472222222222223,11.571,12.198,126.2,3.9,22.2,5.2,211.8,,
2025-07-20 00:00:00.000,350.5191666666666,-14.624166666666667,11.507,12.198,131.0,3.6,22.1,5.91,217.3,,
2025-10-23 00:00:00.000,345.94374999999997,-17.409166666666664,11.522,12.185,130.0,3.6,22.1,5.04,252.0,,
2025-10-28 00:00:00.000,345.7904166666666,-17.453055555555554,11.588,12.185,125.0,3.8,22.2,4.13,254.9,,
2025-11-02 00:00:00.000,345.66624999999993,-17.481111111111108,11.658,12.184,120.0,4.0,22.2,3.18,259.1,,
2025-11-07 00:00:00.000,345.5725,-17.493333333333336,11.731,12.183,115.0,4.2,22.2,2.24,266.7,,
2025-11-12 00:00:00.000,345.5104166666667,-17.489722222222223,11.808,12.183,110.0,4.4,22.2,1.36,284.4,,
2025-11-17 00:00:00.000,345.4808333333333,-17.47083333333333,11.887,12.182,105.1,4.5,22.2,0.88,335.2,,
2025-11-22 00:00:00.000,345.4845833333333,-17.436944444444446,11.969,12.181,100.1,4.6,22.3,1.38,25.7,,
2025-11-27 00:00:00.000,345.5225,-17.388333333333332,12.051,12.18,95.2,4.6,22.3,2.29,43.2,,
2025-12-02 00:00:00.000,345.59375,-17.32611111111111,12.134,12.18,90.3,4.6,22.3,3.26,50.6,,
