Date,RA,Dec,Delta,r,Elongation,Phase,V,Proper motion,Direction,Uncertainty 3sig,Unc. P.A.
2023-10-19 00:00:00.000,133.29166666666666,50.803888888888885,8.918,8.891,85.2,6.4,22.7,4.15,26.2,12,28.0
2023-10-24 00:00:00.000,133.35375,50.937777777777775,8.842,8.888,89.4,6.4,22.7,4.32,6.7,12,28.1
2023-10-29 00:00:00.000,133.34374999999997,51.08972222222222,8.765,8.885,93.7,6.4,22.6,4.9,349.6,12,28.1
2023-11-03 00:00:00.000,133.25874999999996,51.25833333333333,8.689,8.882,98.0,6.4,22.6,5.78,336.2,12,28.1
2023-11-08 00:00:00.000,133.0945833333333,51.44138888888889,8.614,8.879,102.3,6.3,22.6,6.86,326.1,12,28.0
2023-11-13 00:00:00.000,132.84833333333333,51.63666666666666,8.541,8.876,106.7,6.1,22.6,8.06,318.2,12,27.9
2023-11-18 00:00:00.000,132.51666666666665,51.84111111111111,8.47,8.873,111.1,6.0,22.5,9.34,311.9,12,27.8
2023-11-23 00:00:00.000,132.09833333333333,52.05138888888889,8.401,8.87,115.4,5.8,22.5,10.63,306.7,12,27.6
2023-11-28 00:00:00.000,131.59291666666667,52.263333333333335,8.336,8.867,119.7,5.5,22.5,11.91,302.2,12,27.3
2023-12-03 00:00:00.000,131.0008333333333,52.473333333333336,8.276,8.864,123.9,5.3,22.5,13.18,298.2,13,27.1
2023-12-08 00:00:00.000,130.3225,52.676944444444445,8.22,8.861,128.1,5.0,22.4,14.4,294.5,13,26.8
2023-12-13 00:00:00.000,129.56083333333333,52.86972222222222,8.169,8.858,132.0,4.7,22.4,15.56,291.0,13,26.4
2024-02-16 00:00:00.000,116.06416666666665,52.66972222222222,8.12,8.815,132.3,4.8,22.4,18.61,245.6,13,19.4
2024-02-21 00:00:00.000,115.16708333333332,52.39805555555556,8.164,8.812,128.3,5.1,22.4,17.95,241.4,13,18.9
2024-02-26 00:00:00.000,114.34416666666667,52.097500000000004,8.214,8.808,124.2,5.3,22.4,17.25,236.9,13,18.5
2024-03-02 00:00:00.000,113.60041666666665,51.771388888888886,8.269,8.805,119.9,5.6,22.5,16.52,232.2,13,18.0
2024-03-07 00:00:00.000,112.94,51.42361111111111,8.328,8.801,115.5,5.8,22.5,15.78,227.1,13,17.7
2024-03-12 00:00:00.000,112.36499999999998,51.05722222222222,8.391,8.798,111.1,6.0,22.5,15.05,221.7,13,17.3
