Date,RA,Dec,Delta,r,Elongation,Phase,V,Proper motion,Direction,Uncertainty 3sig,Unc. P.A.
2023-10-14 00:00:00.000,116.59124999999999,31.353611111111114,7.617,7.635,87.3,7.5,26.5,5.06,93.0,396,313.3
2023-10-19 00:00:00.000,116.75833333333333,31.35,7.522,7.622,92.0,7.5,26.4,3.49,89.4,402,313.2
2023-10-24 00:00:00.000,116.86333333333332,31.35611111111111,7.427,7.61,96.8,7.5,26.4,1.91,80.1,408,313.2
2023-10-29 00:00:00.000,116.90416666666665,31.371666666666666,7.333,7.597,101.7,7.4,26.4,0.64,19.9,414,313.1
2023-11-03 00:00:00.000,116.87958333333331,31.39611111111111,7.24,7.584,106.6,7.2,26.3,1.72,299.9,419,313.1
2023-11-08 00:00:00.000,116.7875,31.428333333333335,7.15,7.571,111.6,7.0,26.3,3.41,288.6,425,313.0
2023-11-13 00:00:00.000,116.62666666666665,31.468055555555555,7.061,7.558,116.7,6.7,26.2,5.16,284.4,430,312.9
2023-11-18 00:00:00.000,116.39708333333331,31.513333333333332,6.977,7.545,121.8,6.4,26.2,6.9,282.0,434,312.9
2023-11-23 00:00:00.000,116.09916666666665,31.56277777777778,6.896,7.532,127.0,6.0,26.1,8.61,280.3,439,312.8
2023-11-28 00:00:00.000,115.73541666666667,31.614722222222223,6.82,7.519,132.3,5.6,26.1,10.25,278.8,442,312.7
2024-02-21 00:00:00.000,105.19374999999998,31.12611111111111,6.597,7.285,131.1,5.9,26.0,12.01,248.6,416,313.1
2024-02-26 00:00:00.000,104.79083333333332,30.97472222222222,6.647,7.271,125.8,6.3,26.0,10.61,243.8,411,313.3
2024-03-02 00:00:00.000,104.45458333333333,30.81388888888889,6.701,7.256,120.6,6.8,26.0,9.23,237.5,407,313.5
2024-03-07 00:00:00.000,104.18708333333333,30.645,6.759,7.242,115.5,7.1,26.1,7.91,229.2,403,313.7
2024-03-12 00:00:00.000,103.99083333333333,30.469166666666666,6.821,7.227,110.4,7.4,26.1,6.78,217.8,400,313.9
2024-03-17 00:00:00.000,103.86583333333333,30.28805555555556,6.885,7.212,105.4,7.6,26.1,5.98,202.8,397,314.1
2024-03-22 00:00:00.000,103.81124999999999,30.102500000000003,6.951,7.198,100.4,7.8,26.2,5.65,185.1,394,314.3
2024-03-27 00:00:00.000,103.82624999999999,29.913055555555555,7.018,7.183,95.5,7.9,26.2,5.86,167.4,391,314.4
2024-04-01 00:00:00.000,103.90916666666666,29.72111111111111,7.086,7.168,90.7,8.0,26.2,6.54,152.5,389,314.6
2024-04-06 00:00:00.000,104.05749999999999,29.526666666666667,7.154,7.153,86.0,8.0,26.2,7.52,141.2,387,314.7
2024-10-28 00:00:00.000,129.10166666666666,20.750555555555554,6.427,6.479,88.5,8.8,25.8,7.2,129.0,637,315.4
2024-11-02 00:00:00.000,129.26875,20.605555555555558,6.326,6.461,93.4,8.8,25.8,5.63,137.8,650,315.4
2024-11-07 00:00:00.000,129.36999999999998,20.473055555555554,6.225,6.443,98.2,8.8,25.7,4.23,153.5,662,315.4
2024-11-12 00:00:00.000,129.4025,20.353333333333335,6.126,6.424,103.2,8.6,25.7,3.4,181.2,675,315.4
2024-11-17 00:00:00.000,129.36416666666665,20.246666666666666,6.028,6.406,108.2,8.4,25.6,3.65,214.8,687,315.4
2024-11-22 00:00:00.000,129.25375,20.153333333333332,5.932,6.388,113.4,8.2,25.6,4.9,237.8,699,315.5
2024-11-27 00:00:00.000,129.06958333333333,20.073055555555555,5.838,6.369,118.6,7.8,25.5,6.62,250.5,711,315.5
2024-12-02 00:00:00.000,128.81083333333333,20.00583333333333,5.749,6.351,123.9,7.4,25.4,8.54,257.6,722,315.5
2024-12-07 00:00:00.000,128.47791666666666,19.950833333333332,5.663,6.332,129.2,6.9,25.4,10.51,262.0,732,315.6
2024-12-12 00:00:00.000,128.07333333333332,19.9075,5.583,6.314,134.7,6.4,25.3,12.45,264.8,741,315.6
2025-03-02 00:00:00.000,117.29041666666666,19.550833333333333,5.271,6.005,134.3,6.8,25.1,14.17,261.9,713,318.7
2025-03-07 00:00:00.000,116.82958333333332,19.47972222222222,5.313,5.985,128.9,7.4,25.1,12.22,259.3,704,319.0
2025-03-12 00:00:00.000,116.44208333333331,19.398888888888887,5.359,5.965,123.5,8.0,25.2,10.23,255.5,695,319.3
2025-03-17 00:00:00.000,116.13083333333333,19.308611111111112,5.409,5.945,118.3,8.5,25.2,8.23,249.7,687,319.5
2025-03-22 00:00:00.000,115.89708333333331,19.20888888888889,5.463,5.925,113.1,8.9,25.3,6.34,240.4,679,319.7
2025-03-27 00:00:00.000,115.74208333333331,19.099722222222223,5.519,5.905,108.0,9.2,25.3,4.73,223.8,671,319.9
2025-04-01 00:00:00.000,115.66624999999999,18.981111111111108,5.578,5.884,103.0,9.5,25.3,3.84,195.7,665,320.1
2025-04-06 00:00:00.000,115.66833333333332,18.853055555555557,5.638,5.864,98.1,9.7,25.3,4.15,163.8,659,320.2
2025-04-11 00:00:00.000,115.74666666666666,18.715555555555554,5.699,5.843,93.3,9.9,25.4,5.38,142.5,653,320.3
2025-04-16 00:00:00.000,115.89833333333333,18.56833333333333,5.761,5.823,88.6,9.9,25.4,7.02,130.5,649,320.4
2025-11-17 00:00:00.000,146.90541666666664,2.0875000000000004,4.825,4.861,86.2,11.7,24.7,18.05,150.4,1268,315.7
2025-11-22 00:00:00.000,147.16583333333332,1.5680555555555555,4.722,4.837,90.7,11.8,24.6,16.84,156.6,1305,315.8
2025-11-27 00:00:00.000,147.34999999999997,1.0575,4.619,4.812,95.3,11.8,24.6,15.77,164.1,1343,315.9
2025-12-02 00:00:00.000,147.45333333333332,0.5580555555555556,4.517,4.788,100.0,11.7,24.5,14.91,172.8,1381,316.0
2025-12-07 00:00:00.000,147.47291666666663,0.07194444444444445,4.416,4.764,104.8,11.5,24.4,14.38,182.8,1420,316.1
2025-12-12 00:00:00.000,147.4045833333333,-0.39861111111111114,4.318,4.739,109.6,11.3,24.4,14.26,193.8,1459,316.2
2025-12-17 00:00:00.000,147.245,-0.8505555555555555,4.221,4.715,114.5,11.0,24.3,14.61,205.0,1498,316.4
2025-12-22 00:00:00.000,146.9920833333333,-1.2805555555555554,4.128,4.69,119.4,10.5,24.2,15.44,215.7,1537,316.6
2025-12-27 00:00:00.000,146.64499999999998,-1.6861111111111111,4.039,4.666,124.4,10.0,24.1,16.68,225.2,1575,316.9
2026-01-01 00:00:00.000,146.20416666666662,-2.0638888888888887,3.954,4.641,129.4,9.4,24.0,18.22,233.3,1611,317.2
2026-01-06 00:00:00.000,145.67166666666665,-2.411388888888889,3.874,4.616,134.4,8.7,24.0,19.96,240.1,1645,317.5
2026-03-22 00:00:00.000,133.22541666666666,-3.333888888888889,3.502,4.237,132.2,10.0,23.6,17.08,282.6,1683,325.8
2026-03-27 00:00:00.000,132.71916666666667,-3.209166666666667,3.531,4.211,127.3,10.9,23.6,14.14,285.3,1658,326.3
2026-04-01 00:00:00.000,132.3158333333333,-3.0875000000000004,3.564,4.185,122.4,11.6,23.7,11.1,288.7,1632,326.6
2026-04-06 00:00:00.000,132.01791666666665,-2.9733333333333336,3.6,4.159,117.6,12.3,23.7,8.01,294.0,1607,326.9
2026-04-11 00:00:00.000,131.82749999999996,-2.8713888888888888,3.64,4.133,112.8,12.9,23.7,4.99,304.8,1583,327.1
2026-04-16 00:00:00.000,131.74416666666664,-2.7847222222222223,3.682,4.107,108.2,13.4,23.8,2.48,339.1,1559,327.3
2026-04-21 00:00:00.000,131.76791666666665,-2.717777777777778,3.726,4.081,103.6,13.8,23.8,2.84,53.7,1537,327.3
2026-04-26 00:00:00.000,131.89583333333331,-2.6738888888888885,3.771,4.055,99.1,14.2,23.8,5.45,79.9,1516,327.3
2026-05-01 00:00:00.000,132.12458333333333,-2.655,3.818,4.029,94.8,14.4,23.8,8.32,88.9,1498,327.2
2026-05-06 00:00:00.000,132.45,-2.663333333333333,3.864,4.003,90.5,14.6,23.9,11.18,93.5,1482,327.0
2026-05-11 00:00:00.000,132.8683333333333,-2.7008333333333336,3.91,3.976,86.4,14.7,23.9,13.97,96.5,1468,326.8
2027-02-10 00:00:00.000,217.5345833333333,-53.197222222222216,2.468,2.614,87.3,22.1,22.2,54.82,140.4,4578,279.2
2027-02-15 00:00:00.000,219.46333333333334,-54.59444444444445,2.404,2.595,89.8,22.4,22.1,53.22,141.4,4721,277.6
2027-02-20 00:00:00.000,221.35041666666666,-55.96944444444445,2.341,2.577,92.3,22.5,22.1,51.47,142.6,4868,276.0
2027-02-25 00:00:00.000,223.18416666666664,-57.31777777777778,2.28,2.559,94.7,22.7,22.0,49.52,143.9,5021,274.5
2027-03-02 00:00:00.000,224.94749999999996,-58.635,2.22,2.542,97.2,22.8,21.9,47.36,145.4,5180,273.0
2027-03-07 00:00:00.000,226.61958333333328,-59.915277777777774,2.161,2.525,99.6,22.8,21.9,44.95,147.2,5344,271.6
2027-03-12 00:00:00.000,228.17791666666662,-61.151944444444446,2.104,2.508,102.1,22.8,21.8,42.32,149.3,5514,270.4
2027-03-17 00:00:00.000,229.5995833333333,-62.33777777777778,2.05,2.492,104.5,22.7,21.7,39.47,151.7,5688,89.2
2027-03-22 00:00:00.000,230.85875,-63.465833333333336,1.996,2.477,106.9,22.6,21.7,36.43,154.5,5867,88.2
2027-03-27 00:00:00.000,231.92666666666665,-64.5275,1.945,2.462,109.3,22.5,21.6,33.18,158.0,6050,87.4
2027-04-01 00:00:00.000,232.77083333333331,-65.51361111111112,1.896,2.448,111.7,22.3,21.5,29.72,162.4,6235,86.9
