Date,RA,Dec,Delta,r,Elongation,Phase,V,Proper motion,Direction,Uncertainty 3sig,Unc. P.A.
2023-07-01 00:00:00.000,338.7670833333333,9.689722222222223,20.04,20.463,113.3,2.6,19.8,2.23,294.6,0.0,76.0
2023-07-06 00:00:00.000,338.69041666666664,9.715833333333332,19.958,20.453,117.8,2.5,19.8,2.6,284.4,0.0,75.4
2023-07-11 00:00:00.000,338.5970833333333,9.732777777777779,19.88,20.443,122.4,2.4,19.8,3.01,276.9,0.0,74.9
2023-07-16 00:00:00.000,338.48875,9.739722222222222,19.806,20.432,126.9,2.3,19.8,3.43,271.1,0.0,74.4
2023-07-21 00:00:00.000,338.36583333333334,9.736944444444443,19.736,20.422,131.4,2.1,19.8,3.84,266.5,0.0,74.0
2023-10-19 00:00:00.000,335.4816666666666,8.361944444444443,19.545,20.237,132.9,2.1,19.7,4.29,221.4,0.0,286.3
2023-10-24 00:00:00.000,335.39458333333334,8.255833333333333,19.596,20.227,128.2,2.2,19.7,3.91,216.6,0.0,295.9
2023-10-29 00:00:00.000,335.325,8.152777777777779,19.651,20.216,123.5,2.3,19.8,3.53,210.6,0.0,306.6
2023-11-03 00:00:00.000,335.27416666666664,8.053611111111111,19.71,20.206,118.7,2.5,19.8,3.16,203.1,0.0,316.1
2023-11-08 00:00:00.000,335.24208333333326,7.9591666666666665,19.773,20.196,114.0,2.6,19.8,2.83,193.5,0.0,323.9
2023-11-13 00:00:00.000,335.22958333333327,7.870277777777778,19.839,20.185,109.1,2.7,19.8,2.58,181.6,0.0,329.7
2023-11-18 00:00:00.000,335.23708333333326,7.7875,19.907,20.175,104.3,2.7,19.8,2.43,167.5,0.0,333.1
2023-11-23 00:00:00.000,335.265,7.711944444444445,19.978,20.164,99.5,2.8,19.8,2.43,152.4,0.0,335.4
2023-11-28 00:00:00.000,335.31291666666664,7.644166666666666,20.049,20.154,94.7,2.8,19.8,2.58,138.1,0.0,335.6
2023-12-03 00:00:00.000,335.3808333333333,7.5841666666666665,20.122,20.144,89.9,2.8,19.8,2.85,125.9,0.0,335.2
2023-12-08 00:00:00.000,335.4683333333333,7.532777777777778,20.194,20.133,85.1,2.8,19.8,3.21,116.0,0.0,333.8
2024-06-05 00:00:00.000,342.63833333333326,10.101388888888888,19.792,19.759,86.6,2.9,19.8,2.66,27.7,,
2024-06-10 00:00:00.000,342.6704166666666,10.176388888888889,19.701,19.748,91.2,2.9,19.8,2.23,17.4,,
2024-06-15 00:00:00.000,342.6833333333332,10.243333333333332,19.61,19.738,95.7,2.9,19.7,1.89,3.1,,
2024-06-20 00:00:00.000,342.6774999999999,10.302222222222223,19.52,19.727,100.3,2.9,19.7,1.7,344.3,,
2024-06-25 00:00:00.000,342.6524999999999,10.3525,19.432,19.717,104.9,2.9,19.7,1.71,323.6,,
2024-06-30 00:00:00.000,342.60874999999993,10.393888888888888,19.345,19.706,109.4,2.8,19.7,1.91,305.1,,
2024-07-05 00:00:00.000,342.54708333333326,10.425555555555555,19.26,19.696,114.0,2.7,19.7,2.24,291.1,,
2024-07-10 00:00:00.000,342.4675,10.4475,19.179,19.685,118.6,2.6,19.7,2.65,281.1,,
2024-07-15 00:00:00.000,342.3708333333333,10.459444444444443,19.101,19.675,123.2,2.5,19.6,3.09,273.8,,
2024-07-20 00:00:00.000,342.25874999999996,10.46111111111111,19.026,19.664,127.7,2.3,19.6,3.53,268.4,,
2024-07-25 00:00:00.000,342.1316666666666,10.452777777777778,18.957,19.654,132.2,2.2,19.6,3.97,264.1,,
2024-10-23 00:00:00.000,339.18041666666664,8.966666666666667,18.781,19.465,132.3,2.2,19.6,4.34,220.2,,
2024-10-28 00:00:00.000,339.09458333333333,8.857777777777777,18.833,19.454,127.5,2.3,19.6,3.94,215.2,,
2024-11-02 00:00:00.000,339.0275,8.7525,18.889,19.444,122.8,2.5,19.6,3.54,208.9,,
2024-11-07 00:00:00.000,338.97958333333327,8.651666666666667,18.949,19.433,118.0,2.6,19.6,3.15,200.9,,
2024-11-12 00:00:00.000,338.9520833333333,8.55638888888889,19.012,19.422,113.1,2.7,19.6,2.81,190.7,,
2024-11-17 00:00:00.000,338.94458333333324,8.4675,19.079,19.412,108.3,2.8,19.6,2.57,178.0,,
2024-11-22 00:00:00.000,338.9579166666666,8.385555555555555,19.148,19.401,103.4,2.8,19.6,2.45,163.3,,
2024-11-27 00:00:00.000,338.99208333333326,8.311111111111112,19.219,19.391,98.6,2.9,19.7,2.49,147.8,,
2024-12-02 00:00:00.000,339.04749999999996,8.245,19.291,19.38,93.7,2.9,19.7,2.69,133.6,,
2024-12-07 00:00:00.000,339.12333333333333,8.187777777777779,19.363,19.37,88.9,2.9,19.7,3.01,121.7,,
2025-06-10 00:00:00.000,346.7441666666666,10.863888888888889,19.003,18.977,87.0,3.1,19.6,2.67,30.0,,
2025-06-15 00:00:00.000,346.7795833333333,10.936944444444444,18.912,18.967,91.5,3.1,19.6,2.21,19.9,,
2025-06-20 00:00:00.000,346.79499999999996,11.001944444444444,18.821,18.956,96.1,3.1,19.6,1.83,5.2,,
2025-06-25 00:00:00.000,346.7908333333333,11.058333333333334,18.731,18.945,100.7,3.0,19.6,1.61,344.8,,
2025-06-30 00:00:00.000,346.76666666666665,11.105555555555556,18.642,18.935,105.3,3.0,19.5,1.62,321.7,,
2025-07-05 00:00:00.000,346.7229166666666,11.143055555555556,18.554,18.924,109.9,2.9,19.5,1.85,302.0,,
