Date,RA,Dec,Delta,r,Elongation,Phase,V,Proper motion,Direction
2023-07-01 00:00:00.000,330.44124999999997,3.8986111111111112,25.233,25.806,123.4,1.9,24.0,2.71,283.5
2023-07-06 00:00:00.000,330.3474999999999,3.9163888888888887,25.18,25.818,127.9,1.8,24.0,3.01,278.1
2023-07-11 00:00:00.000,330.24249999999995,3.926944444444444,25.132,25.829,132.5,1.7,24.0,3.31,273.8
2023-10-09 00:00:00.000,327.8175,3.218888888888889,25.333,26.037,134.0,1.6,24.0,3.16,235.5
2023-10-14 00:00:00.000,327.73708333333326,3.1599999999999997,25.405,26.048,129.3,1.7,24.0,2.82,231.9
2023-10-19 00:00:00.000,327.66958333333326,3.1033333333333335,25.482,26.06,124.5,1.8,24.0,2.46,227.3
2023-10-24 00:00:00.000,327.6166666666666,3.0491666666666664,25.564,26.071,119.7,1.9,24.0,2.09,221.1
2023-10-29 00:00:00.000,327.5779166666666,2.9983333333333335,25.649,26.083,114.9,2.0,24.1,1.74,212.4
2023-11-03 00:00:00.000,327.5541666666666,2.9511111111111115,25.737,26.094,110.1,2.0,24.1,1.43,199.6
2023-11-08 00:00:00.000,327.5458333333333,2.908333333333333,25.828,26.106,105.2,2.1,24.1,1.22,181.0
2023-11-13 00:00:00.000,327.5529166666666,2.870277777777778,25.921,26.117,100.4,2.1,24.1,1.16,157.2
2023-11-18 00:00:00.000,327.57583333333326,2.8375000000000004,26.015,26.129,95.5,2.2,24.1,1.29,134.6
2023-11-23 00:00:00.000,327.6137499999999,2.8099999999999996,26.11,26.14,90.7,2.2,24.1,1.56,117.9
2023-11-28 00:00:00.000,327.66749999999996,2.7888888888888888,26.205,26.152,85.8,2.2,24.1,1.91,106.7
2024-05-26 00:00:00.000,332.71875,5.123611111111111,26.574,26.565,88.4,2.2,24.2,2.09,12.8
2024-05-31 00:00:00.000,332.7270833333333,5.188888888888889,26.505,26.577,93.0,2.2,24.2,1.87,1.0
2024-06-05 00:00:00.000,332.7208333333333,5.248611111111111,26.435,26.588,97.6,2.2,24.2,1.75,346.8
