Date,RA,Dec,Delta,r,Elongation,Phase,V,Proper motion,Direction,Uncertainty 3sig,Unc. P.A.
2024-01-12 00:00:00.000,187.99291666666664,-37.721944444444446,7.333,7.358,87.6,7.7,24.8,13.29,175.0,256,289.9
2024-01-17 00:00:00.000,188.0083333333333,-38.15416666666667,7.254,7.35,91.7,7.7,24.8,12.69,181.9,258,289.8
2024-01-22 00:00:00.000,187.95624999999998,-38.56666666666667,7.175,7.342,95.9,7.7,24.8,12.21,189.5,261,289.8
2024-01-27 00:00:00.000,187.8358333333333,-38.95638888888889,7.098,7.334,100.1,7.6,24.7,11.88,197.7,263,289.8
2024-02-01 00:00:00.000,187.64624999999998,-39.32,7.022,7.326,104.2,7.5,24.7,11.71,206.4,266,289.8
2024-02-06 00:00:00.000,187.38791666666663,-39.654444444444444,6.948,7.318,108.3,7.3,24.7,11.71,215.3,268,290.0
2024-02-11 00:00:00.000,187.06166666666664,-39.95638888888889,6.876,7.31,112.4,7.2,24.6,11.87,224.1,271,290.1
2024-02-16 00:00:00.000,186.67,-40.221944444444446,6.808,7.302,116.4,7.0,24.6,12.18,232.6,273,290.3
2024-02-21 00:00:00.000,186.21791666666664,-40.44833333333333,6.743,7.293,120.4,6.7,24.6,12.61,240.6,276,290.6
2024-02-26 00:00:00.000,185.70916666666665,-40.63333333333333,6.683,7.285,124.2,6.5,24.5,13.13,248.1,278,290.9
2024-03-02 00:00:00.000,185.14999999999998,-40.774166666666666,6.626,7.277,127.9,6.2,24.5,13.69,255.0,280,291.2
2024-03-07 00:00:00.000,184.54708333333332,-40.869166666666665,6.575,7.268,131.3,5.9,24.5,14.28,261.4,282,291.6
2024-03-12 00:00:00.000,183.9083333333333,-40.91638888888889,6.529,7.26,134.5,5.6,24.4,14.83,267.3,284,292.0
2024-05-06 00:00:00.000,177.25374999999997,-38.63583333333333,6.423,7.164,134.3,5.8,24.4,14.2,320.7,283,296.2
2024-05-11 00:00:00.000,176.90249999999997,-38.265,6.449,7.155,131.2,6.1,24.4,13.51,326.3,281,296.3
2024-05-16 00:00:00.000,176.61833333333334,-37.888333333333335,6.48,7.146,127.9,6.4,24.4,12.78,332.4,279,296.5
2024-05-21 00:00:00.000,176.40291666666664,-37.51138888888889,6.516,7.136,124.4,6.7,24.4,12.06,339.1,277,296.6
2024-05-26 00:00:00.000,176.25666666666663,-37.138333333333335,6.556,7.127,120.8,7.0,24.5,11.39,346.5,274,296.6
2024-05-31 00:00:00.000,176.18041666666664,-36.774166666666666,6.6,7.118,117.0,7.3,24.5,10.81,354.7,272,296.6
2024-06-05 00:00:00.000,176.17374999999998,-36.42222222222222,6.647,7.109,113.2,7.5,24.5,10.35,3.7,269,296.5
2024-06-10 00:00:00.000,176.23541666666662,-36.08694444444445,6.697,7.099,109.4,7.8,24.5,10.05,13.3,266,296.4
2024-06-15 00:00:00.000,176.36416666666665,-35.771388888888886,6.75,7.09,105.5,7.9,24.6,9.95,23.3,264,296.3
2024-06-20 00:00:00.000,176.55791666666667,-35.47833333333333,6.805,7.081,101.7,8.1,24.6,10.06,33.1,261,296.1
2024-06-25 00:00:00.000,176.81375,-35.21027777777778,6.861,7.071,97.8,8.2,24.6,10.38,42.5,258,295.9
2024-06-30 00:00:00.000,177.12916666666666,-34.96888888888889,6.918,7.062,94.0,8.3,24.6,10.88,51.1,256,295.6
2024-07-05 00:00:00.000,177.50166666666667,-34.75555555555555,6.976,7.052,90.1,8.3,24.6,11.53,58.9,253,295.3
2024-07-10 00:00:00.000,177.92916666666662,-34.57166666666667,7.034,7.042,86.3,8.3,24.7,12.3,65.7,251,295.0
2025-01-31 00:00:00.000,208.6158333333333,-47.00277777777778,6.582,6.604,87.0,8.6,24.4,14.87,165.8,255,274.3
2025-02-05 00:00:00.000,208.75166666666664,-47.475833333333334,6.502,6.592,91.0,8.6,24.3,14.08,172.2,258,274.2
2025-02-10 00:00:00.000,208.80249999999998,-47.931666666666665,6.422,6.581,94.9,8.6,24.3,13.39,179.4,261,274.2
2025-02-15 00:00:00.000,208.76541666666662,-48.367222222222225,6.342,6.569,98.9,8.5,24.3,12.82,187.3,264,274.2
2025-02-20 00:00:00.000,208.63833333333332,-48.77833333333333,6.264,6.557,102.9,8.5,24.3,12.42,196.0,267,274.3
2025-02-25 00:00:00.000,208.4195833333333,-49.16166666666666,6.188,6.545,106.9,8.3,24.2,12.2,205.2,270,274.4
2025-03-02 00:00:00.000,208.10916666666665,-49.51277777777778,6.114,6.533,110.8,8.2,24.2,12.17,214.7,273,274.7
2025-03-07 00:00:00.000,207.70916666666665,-49.827222222222225,6.044,6.521,114.7,7.9,24.1,12.33,224.2,275,275.0
2025-03-12 00:00:00.000,207.22291666666666,-50.10138888888889,5.976,6.509,118.5,7.7,24.1,12.67,233.3,278,275.4
2025-03-17 00:00:00.000,206.6558333333333,-50.331388888888895,5.912,6.497,122.2,7.4,24.1,13.15,241.9,281,275.8
2025-03-22 00:00:00.000,206.0145833333333,-50.513333333333335,5.852,6.484,125.7,7.2,24.0,13.73,249.9,283,276.3
2025-03-27 00:00:00.000,205.3070833333333,-50.64416666666666,5.797,6.472,129.1,6.9,24.0,14.37,257.4,285,276.9
2025-04-01 00:00:00.000,204.54416666666665,-50.72083333333334,5.747,6.46,132.2,6.6,23.9,15.02,264.4,287,277.5
2025-05-26 00:00:00.000,196.33041666666665,-48.14722222222222,5.573,6.322,134.2,6.6,23.8,16.11,325.3,285,283.8
2025-05-31 00:00:00.000,195.91541666666666,-47.698611111111106,5.593,6.309,131.4,6.9,23.9,15.56,331.2,283,284.0
2025-06-05 00:00:00.000,195.5895833333333,-47.23972222222222,5.617,6.296,128.3,7.3,23.9,14.98,337.6,281,284.2
2025-06-10 00:00:00.000,195.355,-46.77722222222222,5.645,6.283,125.0,7.6,23.9,14.41,344.4,278,284.3
2025-06-15 00:00:00.000,195.2120833333333,-46.31638888888889,5.679,6.27,121.5,7.9,23.9,13.89,351.7,275,284.3
2025-06-20 00:00:00.000,195.16041666666663,-45.86277777777778,5.716,6.257,118.0,8.2,23.9,13.45,359.4,273,284.2
2025-06-25 00:00:00.000,195.19874999999996,-45.42111111111111,5.756,6.244,114.3,8.5,24.0,13.14,7.7,270,284.1
2025-06-30 00:00:00.000,195.32625,-44.99638888888889,5.8,6.231,110.6,8.8,24.0,12.97,16.2,267,283.9
2025-07-05 00:00:00.000,195.53999999999996,-44.592222222222226,5.846,6.217,106.8,9.0,24.0,12.98,24.9,264,283.6
2025-07-10 00:00:00.000,195.8358333333333,-44.212500000000006,5.895,6.204,103.1,9.2,24.0,13.17,33.3,261,283.3
2025-07-15 00:00:00.000,196.21124999999998,-43.85888888888889,5.945,6.191,99.3,9.3,24.0,13.56,41.3,258,282.9
2025-07-20 00:00:00.000,196.6620833333333,-43.53388888888889,5.997,6.178,95.5,9.4,24.1,14.11,48.7,255,282.5
2025-07-25 00:00:00.000,197.18541666666664,-43.23888888888889,6.049,6.164,91.7,9.5,24.1,14.8,55.5,253,282.0
2025-07-30 00:00:00.000,197.77749999999997,-42.975833333333334,6.102,6.151,88.0,9.5,24.1,15.6,61.7,250,281.4
2026-03-02 00:00:00.000,245.5758333333333,-52.21666666666667,5.47,5.531,88.4,10.3,23.7,15.63,141.3,276,68.1
2026-03-07 00:00:00.000,246.05708333333328,-52.62083333333334,5.386,5.516,92.3,10.4,23.6,14.37,147.0,280,67.8
2026-03-12 00:00:00.000,246.43249999999998,-53.01972222222222,5.302,5.5,96.3,10.3,23.6,13.18,154.0,284,67.6
2026-03-17 00:00:00.000,246.695,-53.41,5.219,5.485,100.3,10.3,23.5,12.11,162.5,288,67.5
2026-03-22 00:00:00.000,246.83791666666664,-53.78861111111111,5.138,5.469,104.3,10.2,23.5,11.24,172.6,292,67.5
2026-03-27 00:00:00.000,246.8570833333333,-54.151666666666664,5.058,5.454,108.3,10.0,23.5,10.65,184.2,296,67.6
2026-04-01 00:00:00.000,246.74916666666664,-54.49527777777778,4.98,5.438,112.3,9.8,23.4,10.41,196.7,300,67.8
2026-04-06 00:00:00.000,246.51291666666663,-54.81472222222222,4.906,5.423,116.2,9.5,23.4,10.55,209.6,304,68.1
2026-04-11 00:00:00.000,246.14666666666662,-55.10527777777778,4.834,5.407,120.1,9.2,23.3,11.06,222.0,308,68.5
2026-04-16 00:00:00.000,245.65166666666664,-55.361111111111114,4.767,5.392,124.0,8.9,23.3,11.87,233.3,312,69.0
2026-04-21 00:00:00.000,245.03291666666664,-55.57638888888889,4.703,5.376,127.7,8.5,23.2,12.88,243.3,315,69.7
2026-04-26 00:00:00.000,244.29875,-55.74527777777778,4.644,5.36,131.2,8.1,23.1,14.0,252.0,318,70.4
2026-05-01 00:00:00.000,243.45999999999992,-55.86277777777778,4.589,5.345,134.6,7.7,23.1,15.17,259.7,320,71.1
2026-06-30 00:00:00.000,232.02249999999998,-52.615,4.394,5.154,134.2,8.1,22.9,19.52,328.7,314,80.0
2026-07-05 00:00:00.000,231.52666666666664,-52.049166666666665,4.416,5.138,130.8,8.6,23.0,19.0,335.1,311,80.2
2026-07-10 00:00:00.000,231.15499999999997,-51.469166666666666,4.442,5.122,127.2,9.1,23.0,18.47,341.8,307,80.3
2026-07-15 00:00:00.000,230.91041666666663,-50.88194444444444,4.474,5.105,123.5,9.6,23.0,17.98,349.0,304,80.3
2026-07-20 00:00:00.000,230.79291666666663,-50.294444444444444,4.51,5.089,119.6,10.0,23.1,17.59,356.6,300,80.2
2026-07-25 00:00:00.000,230.8008333333333,-49.71333333333334,4.549,5.073,115.7,10.4,23.1,17.34,4.5,297,79.9
2026-07-30 00:00:00.000,230.93041666666664,-49.14361111111111,4.592,5.057,111.8,10.7,23.1,17.28,12.4,293,79.6
2026-08-04 00:00:00.000,231.17708333333331,-48.589444444444446,4.637,5.041,107.8,11.0,23.1,17.43,20.2,290,79.2
2026-08-09 00:00:00.000,231.53666666666663,-48.05444444444444,4.685,5.024,103.8,11.3,23.2,17.79,27.9,286,78.7
2026-08-14 00:00:00.000,232.00499999999997,-47.541666666666664,4.735,5.008,99.8,11.5,23.2,18.36,35.1,283,78.2
2026-08-19 00:00:00.000,232.5770833333333,-47.05333333333333,4.786,4.992,95.9,11.6,23.2,19.1,41.7,280,77.6
2026-08-24 00:00:00.000,233.24624999999997,-46.59111111111111,4.838,4.976,91.9,11.7,23.2,19.99,47.6,277,76.9
2026-08-29 00:00:00.000,234.00791666666663,-46.155277777777776,4.891,4.959,88.0,11.7,23.2,20.99,52.9,274,76.3
2027-04-11 00:00:00.000,297.7049999999999,-37.48527777777778,4.138,4.223,88.0,13.7,22.6,18.37,78.9,374,41.4
2027-04-16 00:00:00.000,298.41458333333327,-37.3725,4.049,4.207,92.1,13.8,22.5,16.07,78.4,383,41.2
2027-04-21 00:00:00.000,299.02416666666664,-37.269999999999996,3.96,4.192,96.3,13.8,22.5,13.65,77.7,392,41.1
2027-04-26 00:00:00.000,299.5295833333333,-37.17805555555555,3.872,4.176,100.6,13.7,22.4,11.09,76.4,402,41.0
2027-05-01 00:00:00.000,299.9245833333333,-37.09638888888889,3.785,4.16,104.9,13.5,22.4,8.4,74.1,411,41.0
2027-05-06 00:00:00.000,300.2033333333333,-37.02388888888889,3.699,4.144,109.3,13.3,22.3,5.62,68.7,422,41.0
2027-05-11 00:00:00.000,300.36041666666665,-36.95944444444445,3.616,4.129,113.8,12.9,22.2,2.93,51.1,432,41.2
2027-05-16 00:00:00.000,300.3924999999999,-36.900277777777774,3.535,4.113,118.4,12.5,22.2,1.87,336.4,442,41.4
2027-05-21 00:00:00.000,300.29708333333326,-36.84388888888889,3.457,4.098,123.0,12.0,22.1,4.19,293.6,452,41.6
2027-05-26 00:00:00.000,300.0720833333333,-36.78722222222222,3.383,4.082,127.7,11.3,22.0,7.19,284.1,462,41.9
2027-05-31 00:00:00.000,299.71624999999995,-36.726111111111116,3.312,4.067,132.5,10.6,21.9,10.31,280.9,472,42.3
