Date,RA,Dec,Delta,r,Elongation,Phase,V,Proper motion,Direction,Uncertainty 3sig,Unc. P.A.
2023-12-18 00:00:00.000,175.39416666666665,-8.626944444444446,12.403,12.378,86.3,4.6,23.7,4.52,162.7,1,321.2
2023-12-23 00:00:00.000,175.42333333333332,-8.764444444444445,12.335,12.395,91.2,4.6,23.7,3.96,174.4,1,321.3
2023-12-28 00:00:00.000,175.42,-8.889444444444443,12.267,12.411,96.2,4.5,23.7,3.59,189.3,1,321.3
2024-01-02 00:00:00.000,175.38416666666666,-9.000555555555556,12.2,12.428,101.2,4.5,23.7,3.49,206.4,1,321.4
2024-01-07 00:00:00.000,175.31541666666664,-9.097777777777779,12.134,12.444,106.2,4.4,23.7,3.69,223.0,1,321.5
2024-01-12 00:00:00.000,175.21416666666664,-9.180277777777777,12.07,12.461,111.3,4.2,23.7,4.13,237.1,1,321.6
2024-01-17 00:00:00.000,175.08124999999998,-9.247499999999999,12.01,12.477,116.3,4.1,23.6,4.74,247.8,1,321.7
2024-01-22 00:00:00.000,174.91833333333332,-9.299444444444445,11.952,12.494,121.4,3.9,23.6,5.43,255.8,1,321.9
2024-01-27 00:00:00.000,174.72624999999996,-9.336111111111112,11.899,12.51,126.5,3.6,23.6,6.16,261.9,1,322.1
2024-02-01 00:00:00.000,174.50708333333333,-9.3575,11.85,12.527,131.6,3.4,23.6,6.88,266.6,1,322.2
2024-05-01 00:00:00.000,169.3058333333333,-8.023333333333333,12.13,12.82,131.5,3.4,23.7,5.84,297.4,1,326.0
2024-05-06 00:00:00.000,169.14541666666665,-7.9375,12.208,12.836,126.7,3.6,23.7,5.0,299.6,1,326.1
2024-05-11 00:00:00.000,169.01375,-7.859444444444444,12.291,12.852,121.8,3.8,23.7,4.12,302.5,1,326.2
2024-05-16 00:00:00.000,168.91166666666663,-7.790277777777778,12.378,12.868,117.0,4.0,23.8,3.23,306.6,1,326.2
2024-05-21 00:00:00.000,168.8395833333333,-7.731111111111111,12.467,12.884,112.2,4.2,23.8,2.34,313.7,1,326.3
2024-05-26 00:00:00.000,168.79791666666665,-7.682777777777778,12.56,12.901,107.5,4.3,23.8,1.52,328.2,1,326.3
2024-05-31 00:00:00.000,168.78583333333333,-7.645277777777777,12.655,12.917,102.8,4.4,23.9,0.95,5.4,1,326.3
2024-06-05 00:00:00.000,168.80374999999998,-7.619722222222222,12.751,12.933,98.1,4.5,23.9,1.14,58.9,1,326.2
2024-06-10 00:00:00.000,168.85125,-7.606388888888889,12.848,12.949,93.4,4.5,23.9,1.86,83.3,1,326.2
2024-06-15 00:00:00.000,168.92749999999998,-7.605555555555555,12.946,12.965,88.8,4.5,23.9,2.69,93.5,1,326.1
2024-12-22 00:00:00.000,178.86999999999995,-13.514444444444445,13.596,13.562,86.0,4.1,24.1,4.43,167.1,2,320.6
2024-12-27 00:00:00.000,178.88874999999996,-13.652777777777779,13.527,13.578,90.8,4.2,24.1,3.98,178.5,2,320.6
2025-01-01 00:00:00.000,178.8770833333333,-13.779166666666667,13.459,13.593,95.8,4.1,24.1,3.69,192.3,2,320.7
2025-01-06 00:00:00.000,178.83499999999998,-13.892777777777777,13.391,13.608,100.7,4.1,24.1,3.62,207.5,2,320.7
2025-01-11 00:00:00.000,178.76249999999996,-13.992777777777777,13.325,13.624,105.7,4.0,24.1,3.78,222.2,2,320.8
2025-01-16 00:00:00.000,178.66041666666666,-14.079166666666666,13.261,13.639,110.7,3.9,24.0,4.14,235.0,2,321.0
2025-01-21 00:00:00.000,178.5295833333333,-14.151111111111112,13.199,13.654,115.7,3.7,24.0,4.64,245.3,2,321.1
2025-01-26 00:00:00.000,178.3708333333333,-14.208333333333332,13.141,13.67,120.7,3.6,24.0,5.23,253.4,2,321.2
2025-01-31 00:00:00.000,178.18583333333333,-14.250277777777777,13.087,13.685,125.7,3.4,24.0,5.85,259.8,2,321.4
2025-02-05 00:00:00.000,177.9758333333333,-14.277222222222223,13.038,13.7,130.7,3.1,24.0,6.47,264.9,2,321.6
2025-05-06 00:00:00.000,173.11041666666665,-12.923055555555555,13.281,13.973,131.8,3.1,24.1,5.67,303.0,2,325.2
2025-05-11 00:00:00.000,172.96083333333334,-12.823055555555555,13.356,13.988,127.1,3.3,24.1,4.94,306.1,2,325.3
2025-05-16 00:00:00.000,172.8375,-12.729444444444445,13.436,14.003,122.3,3.5,24.1,4.2,310.0,2,325.4
2025-05-21 00:00:00.000,172.74124999999998,-12.643611111111111,13.52,14.018,117.6,3.7,24.1,3.44,315.5,2,325.4
2025-05-26 00:00:00.000,172.67291666666665,-12.566111111111113,13.608,14.033,112.9,3.8,24.2,2.71,323.9,2,325.4
2025-05-31 00:00:00.000,172.6325,-12.498055555555554,13.698,14.048,108.2,3.9,24.2,2.04,337.8,2,325.4
2025-06-05 00:00:00.000,172.61999999999998,-12.440555555555555,13.79,14.063,103.6,4.0,24.2,1.57,1.8,2,325.4
2025-06-10 00:00:00.000,172.63583333333332,-12.393611111111111,13.885,14.078,98.9,4.1,24.2,1.5,34.8,2,325.4
2025-06-15 00:00:00.000,172.6783333333333,-12.358333333333333,13.98,14.093,94.3,4.1,24.2,1.87,61.7,2,325.3
2025-06-20 00:00:00.000,172.74791666666664,-12.334444444444445,14.075,14.108,89.8,4.1,24.3,2.48,77.6,2,325.3
2025-06-25 00:00:00.000,172.84375,-12.322777777777777,14.171,14.123,85.2,4.1,24.3,3.19,87.0,2,325.2
2025-12-27 00:00:00.000,181.95499999999998,-17.61861111111111,14.693,14.662,86.3,3.8,24.4,4.28,171.6,2,319.7
2026-01-01 00:00:00.000,181.96291666666664,-17.754444444444445,14.624,14.677,91.1,3.8,24.4,3.91,182.8,2,319.8
2026-01-06 00:00:00.000,181.94208333333333,-17.879166666666666,14.555,14.691,96.0,3.8,24.4,3.7,195.7,2,319.8
2026-01-11 00:00:00.000,181.89249999999998,-17.991666666666667,14.487,14.705,100.9,3.8,24.4,3.67,209.6,2,319.9
2026-01-16 00:00:00.000,181.815,-18.091388888888886,14.421,14.719,105.8,3.7,24.4,3.83,223.1,2,320.0
2026-01-21 00:00:00.000,181.70916666666665,-18.178055555555556,14.356,14.734,110.7,3.6,24.4,4.16,234.9,2,320.1
2026-01-26 00:00:00.000,181.57666666666663,-18.250555555555554,14.295,14.748,115.7,3.5,24.4,4.59,244.7,2,320.3
2026-01-31 00:00:00.000,181.41833333333332,-18.308611111111112,14.237,14.762,120.6,3.3,24.3,5.1,252.6,2,320.4
2026-02-05 00:00:00.000,181.23541666666662,-18.352222222222224,14.182,14.776,125.5,3.1,24.3,5.64,258.9,2,320.6
2026-02-10 00:00:00.000,181.02999999999997,-18.38111111111111,14.133,14.79,130.3,2.9,24.3,6.18,264.0,2,320.8
2026-05-11 00:00:00.000,176.41958333333332,-17.01722222222222,14.357,15.043,131.4,2.9,24.4,5.46,307.3,2,324.3
2026-05-16 00:00:00.000,176.28041666666664,-16.909166666666664,14.43,15.057,126.8,3.1,24.4,4.82,311.0,2,324.4
2026-05-21 00:00:00.000,176.16666666666663,-16.806944444444444,14.509,15.071,122.1,3.3,24.4,4.16,315.7,2,324.5
2026-05-26 00:00:00.000,176.07833333333332,-16.711111111111112,14.591,15.085,117.5,3.4,24.4,3.5,322.0,2,324.5
2026-05-31 00:00:00.000,176.01666666666662,-16.623055555555556,14.676,15.099,112.9,3.5,24.5,2.88,330.8,2,324.5
2026-06-05 00:00:00.000,175.98083333333332,-16.54388888888889,14.764,15.113,108.2,3.7,24.5,2.34,343.9,2,324.5
