Date,RA,Dec,Delta,r,Elongation,Phase,V,Proper motion,Direction,Uncertainty 3sig,Unc. P.A.
2023-08-30 00:00:00.000,66.685,8.975277777777778,22.634,22.651,89.7,2.6,23.1,1.8,120.8,5,71.6
2023-09-04 00:00:00.000,66.72833333333334,8.942777777777778,22.55,22.649,94.4,2.5,23.1,1.44,134.9,5,71.7
2023-09-09 00:00:00.000,66.75333333333333,8.9075,22.466,22.647,99.1,2.5,23.1,1.2,156.5,5,71.8
2023-09-14 00:00:00.000,66.76041666666666,8.869722222222222,22.383,22.644,103.8,2.5,23.1,1.17,183.4,5,72.0
2023-09-19 00:00:00.000,66.74874999999999,8.829722222222221,22.302,22.642,108.6,2.4,23.1,1.38,206.4,5,72.1
2023-09-24 00:00:00.000,66.71916666666667,8.787777777777778,22.223,22.639,113.4,2.3,23.1,1.72,221.8,5,72.1
2023-09-29 00:00:00.000,66.67166666666667,8.744444444444444,22.147,22.637,118.2,2.2,23.1,2.12,231.7,5,72.2
2023-10-04 00:00:00.000,66.60708333333334,8.700277777777776,22.074,22.634,123.0,2.1,23.0,2.55,238.3,5,72.3
2023-10-09 00:00:00.000,66.52583333333332,8.655555555555557,22.006,22.632,127.8,2.0,23.0,2.98,243.1,5,72.3
2023-10-14 00:00:00.000,66.42833333333333,8.610555555555555,21.942,22.63,132.6,1.9,23.0,3.39,246.7,5,72.4
2024-01-12 00:00:00.000,63.61125,8.289444444444444,21.929,22.586,131.0,1.9,23.0,3.43,282.7,5,70.0
2024-01-17 00:00:00.000,63.50624999999999,8.317222222222222,21.991,22.584,126.0,2.0,23.0,3.03,287.6,5,69.8
2024-01-22 00:00:00.000,63.4175,8.350555555555555,22.058,22.582,121.0,2.1,23.0,2.63,294.1,4,69.5
2024-01-27 00:00:00.000,63.34499999999999,8.38861111111111,22.129,22.579,116.1,2.2,23.0,2.25,302.9,4,69.3
2024-02-01 00:00:00.000,63.28999999999999,8.431666666666667,22.203,22.577,111.1,2.3,23.1,1.93,315.0,4,69.1
2024-02-06 00:00:00.000,63.25333333333332,8.479444444444445,22.28,22.574,106.1,2.4,23.1,1.7,331.4,4,68.9
2024-02-11 00:00:00.000,63.235416666666666,8.53138888888889,22.36,22.572,101.2,2.5,23.1,1.64,351.0,4,68.7
2024-02-16 00:00:00.000,63.23624999999999,8.587222222222223,22.44,22.57,96.3,2.5,23.1,1.76,10.1,4,68.5
2024-02-21 00:00:00.000,63.25624999999999,8.646666666666667,22.522,22.567,91.4,2.5,23.1,2.03,25.4,4,68.3
2024-02-26 00:00:00.000,63.294583333333335,8.709444444444443,22.604,22.565,86.5,2.5,23.1,2.39,36.6,4,68.1
2024-08-29 00:00:00.000,70.10458333333332,10.119166666666667,22.527,22.478,85.9,2.6,23.1,2.13,112.4,6,72.1
2024-09-03 00:00:00.000,70.16208333333333,10.090555555555556,22.442,22.475,90.6,2.6,23.1,1.69,122.2,7,72.3
2024-09-08 00:00:00.000,70.20125,10.059166666666668,22.357,22.473,95.3,2.6,23.1,1.32,138.0,7,72.4
2024-09-13 00:00:00.000,70.22166666666666,10.025555555555556,22.273,22.471,100.1,2.5,23.1,1.1,162.4,7,72.5
2024-09-18 00:00:00.000,70.22375,9.989722222222222,22.191,22.468,104.8,2.5,23.1,1.12,191.0,7,72.6
2024-09-23 00:00:00.000,70.20708333333333,9.951944444444443,22.11,22.466,109.6,2.4,23.0,1.38,213.4,7,72.6
2024-09-28 00:00:00.000,70.1725,9.913055555555555,22.031,22.464,114.4,2.3,23.0,1.76,227.6,7,72.7
2024-10-03 00:00:00.000,70.11958333333334,9.873055555555556,21.956,22.462,119.2,2.2,23.0,2.19,236.4,7,72.8
2024-10-08 00:00:00.000,70.04916666666666,9.8325,21.884,22.459,124.1,2.1,23.0,2.63,242.4,7,72.8
2024-10-13 00:00:00.000,69.96208333333333,9.791944444444445,21.816,22.457,128.9,2.0,23.0,3.07,246.6,7,72.8
2024-10-18 00:00:00.000,69.85875,9.751388888888888,21.754,22.455,133.8,1.8,23.0,3.48,249.8,7,72.8
2025-01-11 00:00:00.000,67.12124999999999,9.494444444444444,21.71,22.416,134.9,1.8,23.0,3.73,280.7,6,70.7
2025-01-16 00:00:00.000,67.00458333333333,9.520000000000001,21.769,22.413,129.9,1.9,23.0,3.34,284.6,6,70.5
2025-01-21 00:00:00.000,66.90291666666666,9.550555555555556,21.833,22.411,125.0,2.1,23.0,2.94,289.6,6,70.3
2025-01-26 00:00:00.000,66.81791666666666,9.585833333333333,21.901,22.409,120.0,2.2,23.0,2.53,296.5,6,70.1
2025-01-31 00:00:00.000,66.75,9.625555555555556,21.973,22.406,115.0,2.3,23.0,2.15,306.0,6,69.9
2025-02-05 00:00:00.000,66.70041666666667,9.669722222222221,22.048,22.404,110.0,2.4,23.0,1.83,319.3,6,69.7
2025-02-10 00:00:00.000,66.66916666666667,9.718055555555555,22.126,22.402,105.0,2.4,23.0,1.64,337.0,6,69.5
2025-02-15 00:00:00.000,66.65708333333333,9.770000000000001,22.206,22.4,100.1,2.5,23.1,1.61,357.2,6,69.4
2025-02-20 00:00:00.000,66.66416666666666,9.825277777777778,22.287,22.397,95.2,2.5,23.1,1.78,15.9,6,69.2
2025-02-25 00:00:00.000,66.69041666666666,9.883888888888889,22.369,22.395,90.3,2.5,23.1,2.08,30.4,6,69.1
2025-03-02 00:00:00.000,66.73541666666667,9.945,22.451,22.393,85.4,2.5,23.1,2.48,40.9,6,69.0
2025-09-03 00:00:00.000,73.66166666666668,11.212777777777777,22.343,22.31,86.8,2.6,23.1,2.01,113.2,8,72.9
2025-09-08 00:00:00.000,73.71499999999999,11.185277777777777,22.258,22.308,91.5,2.6,23.1,1.56,123.5,8,73.0
2025-09-13 00:00:00.000,73.75,11.155555555555557,22.173,22.305,96.3,2.6,23.0,1.19,140.8,8,73.1
2025-09-18 00:00:00.000,73.76625,11.123888888888889,22.089,22.303,101.0,2.5,23.0,1.0,168.7,8,73.2
2025-09-23 00:00:00.000,73.76333333333332,11.090555555555556,22.007,22.301,105.8,2.5,23.0,1.09,199.5,8,73.2
2025-09-28 00:00:00.000,73.74166666666666,11.055833333333334,21.926,22.299,110.6,2.4,23.0,1.4,220.9,8,73.3
2025-10-03 00:00:00.000,73.70125,11.020000000000001,21.848,22.297,115.5,2.3,23.0,1.81,233.5,8,73.3
2025-10-08 00:00:00.000,73.64291666666666,10.983888888888888,21.773,22.294,120.3,2.2,23.0,2.26,241.2,8,73.4
2025-10-13 00:00:00.000,73.56708333333334,10.947777777777778,21.702,22.292,125.2,2.1,23.0,2.71,246.3,8,73.4
2025-10-18 00:00:00.000,73.47458333333331,10.911388888888888,21.636,22.29,130.1,2.0,23.0,3.16,250.1,8,73.4
2026-01-16 00:00:00.000,70.59083333333332,10.707777777777777,21.557,22.251,133.9,1.8,22.9,3.66,282.3,7,71.3
2026-01-21 00:00:00.000,70.47708333333333,10.73611111111111,21.617,22.249,128.9,2.0,22.9,3.25,286.3,7,71.1
2026-01-26 00:00:00.000,70.37916666666665,10.76888888888889,21.682,22.246,123.9,2.1,23.0,2.83,291.7,7,70.9
2026-01-31 00:00:00.000,70.29833333333333,10.805833333333334,21.752,22.244,118.9,2.2,23.0,2.42,298.9,7,70.7
2026-02-05 00:00:00.000,70.23541666666667,10.846666666666668,21.825,22.242,113.9,2.3,23.0,2.04,309.0,7,70.6
