Date,RA,Dec,Delta,r,Elongation,Phase,V,Proper motion,Direction,Uncertainty 3sig,Unc. P.A.
2023-07-01 00:00:00.000,204.85083333333333,-15.6,10.563,10.953,110.0,5.0,26.9,2.71,323.4,57,282.9
2023-07-06 00:00:00.000,204.81291666666664,-15.534166666666666,10.642,10.953,105.2,5.1,27.0,1.86,342.3,57,282.8
2023-07-11 00:00:00.000,204.81166666666664,-15.481666666666667,10.723,10.953,100.4,5.2,27.0,1.45,19.5,57,282.7
2023-07-16 00:00:00.000,204.84624999999997,-15.442777777777778,10.805,10.952,95.7,5.3,27.0,1.8,58.1,56,282.6
2023-07-21 00:00:00.000,204.91708333333332,-15.418055555555554,10.887,10.952,91.0,5.3,27.0,2.62,78.2,56,282.5
2023-07-26 00:00:00.000,205.02333333333328,-15.407222222222222,10.97,10.952,86.3,5.3,27.0,3.57,88.0,56,282.4
2024-02-01 00:00:00.000,218.48708333333332,-19.576944444444443,10.886,10.913,89.0,5.2,27.0,2.83,121.5,86,280.7
2024-02-06 00:00:00.000,218.55291666666665,-19.62027777777778,10.799,10.911,94.0,5.2,27.0,1.72,130.7,87,280.7
2024-02-11 00:00:00.000,218.57916666666662,-19.65138888888889,10.712,10.909,99.0,5.1,27.0,0.77,167.5,88,280.7
2024-02-16 00:00:00.000,218.5645833333333,-19.67,10.626,10.907,104.0,5.0,26.9,1.04,249.5,88,280.7
2024-02-21 00:00:00.000,218.51,-19.675833333333333,10.542,10.905,109.1,4.9,26.9,2.11,270.6,89,280.8
2024-02-26 00:00:00.000,218.41583333333332,-19.668333333333333,10.46,10.903,114.2,4.8,26.9,3.25,277.4,90,280.8
2024-03-02 00:00:00.000,218.2820833333333,-19.647777777777776,10.382,10.901,119.3,4.5,26.9,4.39,280.7,90,280.9
2024-03-07 00:00:00.000,218.11041666666662,-19.61388888888889,10.307,10.899,124.5,4.3,26.8,5.52,282.8,91,280.9
2024-03-12 00:00:00.000,217.90208333333334,-19.566666666666666,10.236,10.897,129.7,4.0,26.8,6.6,284.2,91,281.0
2024-03-17 00:00:00.000,217.65874999999997,-19.50638888888889,10.17,10.895,134.8,3.7,26.8,7.61,285.3,92,281.1
2024-06-15 00:00:00.000,211.46791666666664,-17.20583333333333,10.156,10.849,131.0,4.1,26.8,7.05,299.3,81,281.5
2024-06-20 00:00:00.000,211.27041666666665,-17.095555555555553,10.217,10.847,126.1,4.3,26.8,6.05,301.4,80,281.4
2024-06-25 00:00:00.000,211.10791666666663,-16.995833333333334,10.283,10.844,121.1,4.6,26.8,5.03,304.2,79,281.3
2024-06-30 00:00:00.000,210.98125,-16.9075,10.353,10.841,116.2,4.8,26.9,3.98,308.5,78,281.3
2024-07-05 00:00:00.000,210.89124999999999,-16.83111111111111,10.426,10.838,111.4,5.0,26.9,2.94,315.8,78,281.2
2024-07-10 00:00:00.000,210.83874999999998,-16.7675,10.501,10.834,106.6,5.2,26.9,1.97,330.6,77,281.1
2024-07-15 00:00:00.000,210.82375,-16.716666666666665,10.578,10.831,101.8,5.3,26.9,1.33,4.7,77,281.0
2024-07-20 00:00:00.000,210.84624999999997,-16.67888888888889,10.657,10.828,97.0,5.3,26.9,1.5,51.5,76,281.0
2024-07-25 00:00:00.000,210.90541666666664,-16.654444444444444,10.737,10.825,92.3,5.4,27.0,2.29,76.4,76,280.9
2024-07-30 00:00:00.000,211.00041666666664,-16.642777777777777,10.816,10.822,87.6,5.4,27.0,3.26,87.4,76,280.8
2025-02-05 00:00:00.000,224.96999999999997,-20.50777777777778,10.662,10.668,87.7,5.3,26.9,3.27,113.7,113,278.5
2025-02-10 00:00:00.000,225.05666666666664,-20.546111111111113,10.572,10.663,92.6,5.3,26.9,2.1,117.9,115,278.6
2025-02-15 00:00:00.000,225.1020833333333,-20.573333333333334,10.482,10.658,97.6,5.3,26.9,0.95,132.6,116,278.6
2025-02-20 00:00:00.000,225.10625,-20.58888888888889,10.393,10.653,102.7,5.2,26.9,0.55,237.4,117,278.6
2025-02-25 00:00:00.000,225.06874999999997,-20.592777777777776,10.305,10.648,107.7,5.1,26.8,1.64,272.1,118,278.6
2025-03-02 00:00:00.000,224.9895833333333,-20.584722222222222,10.22,10.643,112.8,4.9,26.8,2.85,278.6,119,278.6
2025-03-07 00:00:00.000,224.86874999999995,-20.564444444444444,10.137,10.638,117.9,4.7,26.8,4.04,281.3,120,278.7
2025-03-12 00:00:00.000,224.70791666666665,-20.531944444444445,10.058,10.633,123.1,4.5,26.7,5.2,282.9,121,278.7
2025-03-17 00:00:00.000,224.50874999999996,-20.487222222222222,9.983,10.628,128.2,4.2,26.7,6.32,283.9,122,278.8
2025-03-22 00:00:00.000,224.27249999999995,-20.430555555555557,9.913,10.623,133.4,3.9,26.7,7.38,284.8,122,278.8
2025-06-20 00:00:00.000,217.83208333333332,-18.252222222222223,9.807,10.522,132.6,4.1,26.6,7.52,296.2,109,279.4
2025-06-25 00:00:00.000,217.61249999999998,-18.14638888888889,9.864,10.516,127.6,4.4,26.7,6.5,297.8,108,279.4
2025-06-30 00:00:00.000,217.42916666666662,-18.050555555555555,9.926,10.51,122.7,4.7,26.7,5.43,300.0,106,279.3
2025-07-05 00:00:00.000,217.2833333333333,-17.965833333333332,9.991,10.504,117.8,4.9,26.7,4.33,303.3,105,279.3
2025-07-10 00:00:00.000,217.17541666666665,-17.8925,10.06,10.498,112.9,5.1,26.7,3.23,308.7,104,279.2
2025-07-15 00:00:00.000,217.10666666666665,-17.83111111111111,10.132,10.491,108.1,5.3,26.8,2.18,319.6,104,279.1
2025-07-20 00:00:00.000,217.07666666666663,-17.781944444444445,10.205,10.485,103.3,5.4,26.8,1.32,347.2,103,279.1
2025-07-25 00:00:00.000,217.08624999999998,-17.74527777777778,10.281,10.479,98.5,5.5,26.8,1.23,42.6,102,279.0
2025-07-30 00:00:00.000,217.135,-17.721666666666664,10.357,10.473,93.7,5.6,26.8,2.01,75.0,102,278.9
2025-08-04 00:00:00.000,217.22208333333333,-17.710555555555555,10.434,10.466,89.0,5.6,26.8,3.04,87.3,101,278.9
2026-02-10 00:00:00.000,232.10875,-21.266944444444444,10.217,10.193,85.8,5.5,26.7,4.06,106.1,151,276.1
2026-02-15 00:00:00.000,232.2270833333333,-21.299444444444447,10.123,10.185,90.8,5.6,26.7,2.84,107.0,153,276.1
2026-02-20 00:00:00.000,232.30249999999998,-21.321944444444444,10.03,10.176,95.7,5.5,26.7,1.58,109.2,155,276.1
2026-02-25 00:00:00.000,232.33374999999998,-21.334166666666665,9.937,10.168,100.7,5.5,26.7,0.34,128.0,157,276.1
2026-03-02 00:00:00.000,232.32124999999996,-21.335555555555555,9.846,10.16,105.8,5.4,26.6,0.98,276.6,158,276.1
