Date,RA,Dec,Delta,r,Elongation,Phase,V,Proper motion,Direction,Uncertainty 3sig,Unc. P.A.
2023-07-01 00:00:00.000,226.3575,-68.03027777777778,19.003,19.602,124.9,2.4,30.4,8.07,319.4,6076,310.8
2023-07-06 00:00:00.000,225.91625,-67.82222222222222,19.054,19.621,122.6,2.5,30.4,7.89,323.5,6103,311.3
2023-07-11 00:00:00.000,225.52958333333328,-67.60777777777777,19.11,19.641,120.2,2.6,30.4,7.69,327.8,6127,311.7
2023-07-16 00:00:00.000,225.1983333333333,-67.38916666666667,19.169,19.661,117.6,2.6,30.5,7.48,332.1,6148,312.1
2023-07-21 00:00:00.000,224.9233333333333,-67.16777777777779,19.232,19.68,114.8,2.7,30.5,7.26,336.7,6166,312.4
2023-07-26 00:00:00.000,224.7045833333333,-66.94555555555556,19.299,19.7,111.9,2.7,30.5,7.03,341.4,6181,312.8
2023-07-31 00:00:00.000,224.5408333333333,-66.72444444444444,19.368,19.72,108.8,2.8,30.5,6.8,346.2,6194,313.0
2023-08-05 00:00:00.000,224.43124999999995,-66.50583333333333,19.441,19.739,105.7,2.8,30.5,6.58,351.3,6203,313.3
2023-08-10 00:00:00.000,224.37416666666664,-66.29138888888889,19.515,19.759,102.5,2.9,30.5,6.37,356.6,6210,313.5
2023-08-15 00:00:00.000,224.3683333333333,-66.0825,19.591,19.778,99.2,2.9,30.5,6.18,2.2,6214,313.7
2023-08-20 00:00:00.000,224.4120833333333,-65.88027777777778,19.668,19.798,95.9,2.9,30.6,6.01,7.9,6215,313.9
2023-08-25 00:00:00.000,224.50291666666664,-65.68611111111112,19.747,19.817,92.5,2.9,30.6,5.86,13.9,6213,314.0
2023-08-30 00:00:00.000,224.63833333333332,-65.50111111111111,19.826,19.837,89.2,2.9,30.6,5.74,19.9,6209,314.1
2023-09-04 00:00:00.000,224.81583333333327,-65.32638888888889,19.905,19.856,85.8,2.9,30.6,5.66,26.0,6203,314.1
2024-02-26 00:00:00.000,236.17499999999995,-66.67805555555556,20.57,20.531,86.4,2.8,30.7,4.81,199.1,5732,306.7
2024-03-02 00:00:00.000,236.0158333333333,-66.82694444444444,20.528,20.55,89.9,2.8,30.7,4.9,206.6,5746,306.7
