Date,RA,Dec,Delta,r,Elongation,Phase,V,Proper motion,Direction,Uncertainty 3sig,Unc. P.A.
2023-10-29 00:00:00.000,131.37333333333333,19.480833333333333,14.021,13.994,86.4,4.1,25.7,2.82,97.0,1627,292.2
2023-11-03 00:00:00.000,131.45666666666665,19.473333333333333,13.947,14.005,91.3,4.1,25.7,1.94,93.1,1627,292.3
2023-11-08 00:00:00.000,131.51000000000002,19.473888888888887,13.873,14.016,96.3,4.0,25.7,1.07,82.6,1628,292.3
2023-11-13 00:00:00.000,131.53125,19.482499999999998,13.799,14.027,101.3,4.0,25.7,0.42,23.5,1630,67.6
2023-11-18 00:00:00.000,131.52166666666668,19.499166666666667,13.727,14.038,106.4,3.9,25.7,0.96,310.7,1633,67.6
2023-11-23 00:00:00.000,131.48041666666666,19.523888888888887,13.657,14.048,111.4,3.8,25.7,1.82,298.2,1637,292.5
2023-11-28 00:00:00.000,131.4083333333333,19.55638888888889,13.59,14.059,116.6,3.6,25.6,2.7,293.8,1642,292.5
2023-12-03 00:00:00.000,131.3058333333333,19.59638888888889,13.526,14.07,121.7,3.4,25.6,3.56,291.5,1649,292.5
2023-12-08 00:00:00.000,131.17416666666665,19.643333333333334,13.467,14.081,126.9,3.2,25.6,4.39,290.2,1656,292.6
2023-12-13 00:00:00.000,131.0145833333333,19.696944444444444,13.411,14.091,132.2,3.0,25.6,5.18,289.2,1665,292.6
2024-03-12 00:00:00.000,126.35916666666665,20.909444444444443,13.599,14.283,132.1,3.0,25.6,4.98,282.7,1887,292.8
2024-03-17 00:00:00.000,126.19916666666667,20.942777777777778,13.674,14.294,126.9,3.2,25.7,4.2,282.3,1891,67.2
2024-03-22 00:00:00.000,126.06708333333333,20.969166666666666,13.754,14.304,121.8,3.4,25.7,3.38,281.7,1894,67.3
2024-03-27 00:00:00.000,125.96333333333332,20.988333333333333,13.838,14.315,116.8,3.6,25.7,2.54,280.8,1894,292.7
2024-04-01 00:00:00.000,125.88874999999997,21.000833333333333,13.925,14.325,111.8,3.7,25.7,1.68,279.1,1892,292.7
2024-04-06 00:00:00.000,125.8445833333333,21.00611111111111,14.015,14.336,106.8,3.8,25.8,0.82,273.9,1889,292.6
2024-04-11 00:00:00.000,125.83083333333332,21.004444444444445,14.107,14.346,101.9,3.9,25.8,0.16,164.4,1883,292.6
2024-04-16 00:00:00.000,125.8475,20.995833333333334,14.2,14.357,97.0,4.0,25.8,0.97,112.0,1875,292.6
2024-04-21 00:00:00.000,125.8945833333333,20.980555555555554,14.294,14.367,92.2,4.0,25.8,1.82,108.0,1865,292.5
2024-04-26 00:00:00.000,125.97124999999997,20.95861111111111,14.389,14.378,87.4,4.0,25.8,2.66,106.5,1854,292.5
2024-11-02 00:00:00.000,136.92791666666665,18.31361111111111,14.807,14.767,85.8,3.8,26.0,2.69,97.7,1326,292.7
2024-11-07 00:00:00.000,137.00708333333333,18.305555555555557,14.732,14.777,90.7,3.8,25.9,1.85,93.4,1323,292.7
2024-11-12 00:00:00.000,137.05749999999998,18.30638888888889,14.656,14.787,95.7,3.8,25.9,1.03,81.9,1322,292.7
2024-11-17 00:00:00.000,137.07833333333332,18.31527777777778,14.582,14.797,100.7,3.8,25.9,0.44,25.2,1321,292.7
2024-11-22 00:00:00.000,137.07041666666663,18.33277777777778,14.509,14.807,105.8,3.7,25.9,0.92,315.1,1321,292.7
2024-11-27 00:00:00.000,137.03291666666667,18.358611111111113,14.437,14.817,110.9,3.6,25.9,1.73,301.3,1322,292.7
2024-12-02 00:00:00.000,136.96666666666667,18.392777777777777,14.369,14.827,116.0,3.4,25.9,2.57,296.4,1324,292.7
2024-12-07 00:00:00.000,136.87166666666664,18.434722222222224,14.304,14.837,121.2,3.3,25.9,3.39,293.9,1327,292.7
2024-12-12 00:00:00.000,136.74916666666664,18.483888888888888,14.242,14.847,126.4,3.1,25.8,4.18,292.3,1331,292.7
2024-12-17 00:00:00.000,136.60041666666666,18.540000000000003,14.186,14.857,131.6,2.8,25.8,4.92,291.3,1336,292.8
2025-03-17 00:00:00.000,132.19416666666666,19.828055555555554,14.34,15.035,132.9,2.8,25.9,4.95,284.0,1501,293.0
2025-03-22 00:00:00.000,132.03625,19.864444444444445,14.414,15.044,127.8,3.0,25.9,4.22,283.5,1507,293.1
2025-03-27 00:00:00.000,131.90374999999997,19.89361111111111,14.492,15.054,122.7,3.2,25.9,3.46,282.7,1512,293.1
2025-04-01 00:00:00.000,131.79749999999999,19.915277777777778,14.574,15.064,117.6,3.4,25.9,2.67,281.6,1516,293.1
2025-04-06 00:00:00.000,131.71874999999997,19.929444444444446,14.66,15.074,112.6,3.5,26.0,1.85,279.6,1518,293.1
2025-04-11 00:00:00.000,131.66791666666666,19.93611111111111,14.749,15.083,107.7,3.6,26.0,1.04,274.6,1519,293.1
2025-04-16 00:00:00.000,131.64541666666665,19.935,14.839,15.093,102.8,3.7,26.0,0.28,239.3,1518,293.1
2025-04-21 00:00:00.000,131.65125,19.92666666666667,14.932,15.103,97.9,3.8,26.0,0.67,122.8,1516,293.1
2025-04-26 00:00:00.000,131.685,19.910833333333333,15.025,15.112,93.1,3.8,26.0,1.47,113.2,1512,293.1
2025-05-01 00:00:00.000,131.7470833333333,19.888055555555557,15.119,15.122,88.3,3.8,26.1,2.28,110.4,1507,293.0
2025-11-07 00:00:00.000,141.9020833333333,17.114722222222223,15.524,15.481,85.7,3.7,26.2,2.52,98.1,1100,292.3
2025-11-12 00:00:00.000,141.9758333333333,17.107222222222223,15.448,15.49,90.6,3.7,26.1,1.73,93.2,1097,292.3
2025-11-17 00:00:00.000,142.0220833333333,17.108611111111113,15.372,15.499,95.6,3.6,26.1,0.95,79.8,1095,292.3
2025-11-22 00:00:00.000,142.0408333333333,17.11861111111111,15.296,15.509,100.6,3.6,26.1,0.45,17.6,1093,292.2
2025-11-27 00:00:00.000,142.03166666666664,17.13722222222222,15.222,15.518,105.7,3.5,26.1,0.96,316.4,1092,292.2
