Date,RA,Dec,Delta,r,Elongation,Phase,V,Proper motion,Direction,Uncertainty 3sig,Unc. P.A.
2024-01-02 00:00:00.000,187.89374999999998,-15.708333333333332,14.938,14.923,87.3,3.8,21.5,3.77,140.4,0.0,287.5
2024-01-07 00:00:00.000,187.96333333333334,-15.799444444444445,14.856,14.926,92.2,3.8,21.5,3.04,147.9,0.0,287.7
2024-01-12 00:00:00.000,188.00541666666663,-15.879722222222222,14.774,14.928,97.1,3.7,21.5,2.38,159.8,0.0,288.0
2024-01-17 00:00:00.000,188.01999999999998,-15.948333333333334,14.694,14.931,102.1,3.7,21.5,1.87,179.0,0.0,288.2
2024-01-22 00:00:00.000,188.00791666666666,-16.004444444444445,14.615,14.933,107.0,3.6,21.5,1.68,206.4,0.0,288.4
2024-01-27 00:00:00.000,187.96874999999997,-16.048055555555557,14.539,14.935,112.0,3.5,21.5,1.87,233.3,0.0,288.7
2024-02-01 00:00:00.000,187.90374999999997,-16.079166666666666,14.465,14.938,117.0,3.4,21.4,2.36,251.9,0.0,288.9
2024-02-06 00:00:00.000,187.81375,-16.096944444444443,14.395,14.94,122.0,3.2,21.4,2.97,263.5,0.0,289.1
2024-02-11 00:00:00.000,187.69958333333332,-16.10138888888889,14.328,14.943,127.0,3.0,21.4,3.62,271.0,0.0,289.3
2024-02-16 00:00:00.000,187.5633333333333,-16.092499999999998,14.267,14.945,132.0,2.8,21.4,4.26,276.2,,
2024-05-16 00:00:00.000,184.02291666666665,-14.433333333333334,14.284,14.992,133.1,2.8,21.4,4.52,316.1,,
2024-05-21 00:00:00.000,183.92624999999995,-14.3275,14.346,14.995,128.3,3.0,21.4,3.94,321.3,,
2024-05-26 00:00:00.000,183.85333333333332,-14.22861111111111,14.414,14.998,123.6,3.2,21.4,3.37,328.2,,
2024-05-31 00:00:00.000,183.8045833333333,-14.136944444444444,14.485,15.0,118.8,3.4,21.5,2.84,338.0,,
2024-06-05 00:00:00.000,183.78041666666664,-14.053611111111111,14.56,15.003,114.1,3.5,21.5,2.39,352.0,,
2024-06-10 00:00:00.000,183.78166666666664,-13.979444444444445,14.638,15.006,109.4,3.7,21.5,2.12,11.2,,
2024-06-15 00:00:00.000,183.80874999999997,-13.915000000000001,14.718,15.008,104.7,3.8,21.5,2.12,33.1,,
2024-06-20 00:00:00.000,183.86124999999996,-13.860833333333334,14.8,15.011,100.1,3.8,21.5,2.4,52.3,,
2024-06-25 00:00:00.000,183.93916666666664,-13.817499999999999,14.883,15.014,95.4,3.9,21.5,2.87,66.5,,
2024-06-30 00:00:00.000,184.04166666666666,-13.785,14.967,15.017,90.8,3.9,21.6,3.45,76.4,,
2024-07-05 00:00:00.000,184.16875,-13.76361111111111,15.051,15.019,86.3,3.9,21.6,4.08,83.4,,
2025-01-11 00:00:00.000,194.99041666666662,-17.940555555555555,15.102,15.132,89.9,3.7,21.6,3.21,140.9,,
2025-01-16 00:00:00.000,195.04749999999999,-18.01833333333333,15.021,15.135,94.8,3.7,21.6,2.5,150.1,,
2025-01-21 00:00:00.000,195.07749999999996,-18.084999999999997,14.94,15.138,99.8,3.7,21.6,1.89,165.8,,
2025-01-26 00:00:00.000,195.08041666666662,-18.140555555555554,14.861,15.142,104.7,3.6,21.5,1.51,191.9,,
2025-01-31 00:00:00.000,195.0558333333333,-18.183888888888887,14.784,15.145,109.7,3.5,21.5,1.55,224.0,,
2025-02-05 00:00:00.000,195.00458333333333,-18.21472222222222,14.709,15.148,114.7,3.4,21.5,1.97,247.8,,
2025-02-10 00:00:00.000,194.92791666666662,-18.233611111111113,14.638,15.151,119.7,3.2,21.5,2.56,261.7,,
2025-02-15 00:00:00.000,194.8270833333333,-18.239722222222223,14.57,15.154,124.7,3.1,21.5,3.21,270.1,,
2025-02-20 00:00:00.000,194.70291666666665,-18.233055555555556,14.506,15.158,129.7,2.9,21.4,3.87,275.7,,
2025-02-25 00:00:00.000,194.5570833333333,-18.214166666666667,14.448,15.161,134.7,2.7,21.4,4.51,279.6,,
2025-05-26 00:00:00.000,191.03374999999997,-16.526944444444442,14.535,15.22,131.1,2.9,21.5,4.21,317.2,,
2025-05-31 00:00:00.000,190.9458333333333,-16.426944444444445,14.601,15.224,126.3,3.1,21.5,3.63,322.9,,
2025-06-05 00:00:00.000,190.88166666666666,-16.333888888888886,14.671,15.227,121.6,3.3,21.5,3.07,330.8,,
2025-06-10 00:00:00.000,190.84208333333333,-16.248611111111114,14.745,15.23,116.8,3.4,21.5,2.56,342.1,,
2025-06-15 00:00:00.000,190.8270833333333,-16.171944444444446,14.823,15.234,112.1,3.5,21.5,2.17,358.2,,
2025-06-20 00:00:00.000,190.83749999999998,-16.104166666666668,14.902,15.237,107.4,3.6,21.6,2.0,19.3,,
2025-06-25 00:00:00.000,190.87291666666667,-16.046111111111113,14.984,15.241,102.7,3.7,21.6,2.12,41.3,,
2025-06-30 00:00:00.000,190.93416666666664,-15.998333333333333,15.068,15.244,98.1,3.8,21.6,2.48,59.0,,
2025-07-05 00:00:00.000,191.02041666666662,-15.96111111111111,15.152,15.248,93.5,3.8,21.6,3.01,71.4,,
2025-07-10 00:00:00.000,191.13166666666663,-15.934444444444445,15.237,15.251,88.9,3.8,21.6,3.61,79.9,,
2026-01-16 00:00:00.000,201.94624999999996,-19.769444444444442,15.394,15.389,87.9,3.7,21.7,3.35,134.5,,
2026-01-21 00:00:00.000,202.01708333333332,-19.842777777777776,15.313,15.393,92.8,3.7,21.6,2.61,141.7,,
2026-01-26 00:00:00.000,202.06083333333333,-19.90583333333333,15.233,15.396,97.8,3.6,21.6,1.92,154.2,,
2026-01-31 00:00:00.000,202.07666666666665,-19.958055555555553,15.153,15.4,102.7,3.6,21.6,1.41,177.1,,
2026-02-05 00:00:00.000,202.0658333333333,-19.999444444444446,15.076,15.404,107.7,3.5,21.6,1.27,212.7,,
2026-02-10 00:00:00.000,202.02791666666664,-20.029722222222222,15.0,15.408,112.7,3.4,21.6,1.61,243.0,,
2026-02-15 00:00:00.000,201.96416666666664,-20.048055555555557,14.928,15.412,117.7,3.3,21.6,2.19,260.1,,
2026-02-20 00:00:00.000,201.8754166666666,-20.054722222222225,14.859,15.416,122.7,3.1,21.6,2.85,269.6,,
2026-02-25 00:00:00.000,201.76249999999996,-20.049444444444447,14.794,15.419,127.7,2.9,21.5,3.52,275.4,,
2026-03-02 00:00:00.000,201.6270833333333,-20.032777777777778,14.734,15.423,132.7,2.7,21.5,4.16,279.4,,
2026-05-31 00:00:00.000,198.07041666666663,-18.425833333333333,14.777,15.494,133.6,2.7,21.5,4.42,313.4,,
2026-06-05 00:00:00.000,197.9683333333333,-18.3275,14.841,15.498,128.9,2.9,21.5,3.86,318.0,,
2026-06-10 00:00:00.000,197.8895833333333,-18.235,14.91,15.502,124.1,3.1,21.6,3.29,324.3,,
2026-06-15 00:00:00.000,197.83416666666665,-18.149722222222223,14.983,15.506,119.3,3.3,21.6,2.74,333.3,,
2026-06-20 00:00:00.000,197.8033333333333,-18.072499999999998,15.06,15.51,114.6,3.4,21.6,2.26,346.7,,
2026-06-25 00:00:00.000,197.79791666666665,-18.003333333333334,15.139,15.514,109.9,3.5,21.6,1.95,5.9,,
2026-06-30 00:00:00.000,197.8175,-17.94361111111111,15.221,15.518,105.2,3.6,21.7,1.9,29.0,,
2026-07-05 00:00:00.000,197.86208333333332,-17.893055555555556,15.305,15.522,100.5,3.7,21.7,2.14,50.1,,
2026-07-10 00:00:00.000,197.9320833333333,-17.852222222222224,15.39,15.526,95.8,3.7,21.7,2.59,65.5,,
2026-07-15 00:00:00.000,198.0270833333333,-17.821666666666665,15.476,15.53,91.2,3.8,21.7,3.16,76.0,,
2026-07-20 00:00:00.000,198.14666666666665,-17.80138888888889,15.562,15.534,86.6,3.7,21.7,3.79,83.2,,
2027-01-21 00:00:00.000,208.78499999999997,-21.273888888888887,15.726,15.69,86.1,3.6,21.7,3.44,128.6,,
2027-01-26 00:00:00.000,208.86749999999998,-21.340833333333332,15.646,15.695,91.1,3.6,21.7,2.69,134.1,,
2027-01-31 00:00:00.000,208.9233333333333,-21.398611111111112,15.566,15.699,96.0,3.6,21.7,1.97,143.7,,
2027-02-05 00:00:00.000,208.95124999999996,-21.446666666666665,15.486,15.703,101.0,3.5,21.7,1.35,162.7,,
2027-02-10 00:00:00.000,208.95208333333332,-21.484722222222224,15.408,15.708,106.0,3.5,21.7,1.05,200.1,,
2027-02-15 00:00:00.000,208.9258333333333,-21.51222222222222,15.332,15.712,111.0,3.4,21.7,1.29,238.9,,
2027-02-20 00:00:00.000,208.8733333333333,-21.528888888888886,15.259,15.717,116.0,3.2,21.7,1.86,259.2,,
2027-02-25 00:00:00.000,208.79541666666663,-21.53527777777778,15.189,15.721,121.0,3.1,21.6,2.52,269.4,,
2027-03-02 00:00:00.000,208.6933333333333,-21.530555555555555,15.123,15.725,126.0,2.9,21.6,3.19,275.4,,
2027-03-07 00:00:00.000,208.56791666666663,-21.51527777777778,15.061,15.73,131.0,2.7,21.6,3.85,279.3,,
2027-06-10 00:00:00.000,204.87333333333333,-19.911944444444444,15.129,15.815,131.1,2.8,21.6,4.03,313.4,,
2027-06-15 00:00:00.000,204.7808333333333,-19.822499999999998,15.197,15.819,126.3,3.0,21.6,3.46,318.5,,
2027-06-20 00:00:00.000,204.71124999999998,-19.739444444444445,15.269,15.824,121.6,3.1,21.7,2.89,325.8,,
2027-06-25 00:00:00.000,204.6658333333333,-19.66333333333333,15.344,15.829,116.8,3.3,21.7,2.37,336.5,,
2027-06-30 00:00:00.000,204.64499999999995,-19.595,15.423,15.833,112.1,3.4,21.7,1.95,352.8,,
2027-07-05 00:00:00.000,204.64874999999998,-19.535,15.505,15.838,107.3,3.5,21.7,1.74,15.7,,
2027-07-10 00:00:00.000,204.67791666666665,-19.483611111111113,15.589,15.842,102.6,3.6,21.7,1.84,40.1,,
2027-07-15 00:00:00.000,204.73249999999996,-19.441111111111113,15.674,15.847,98.0,3.6,21.8,2.21,59.2,,
2027-07-20 00:00:00.000,204.8120833333333,-19.40833333333333,15.76,15.851,93.3,3.7,21.8,2.73,71.9,,
2027-07-25 00:00:00.000,204.91583333333332,-19.384722222222223,15.847,15.856,88.7,3.7,21.8,3.33,80.3,,
