Date,RA,Dec,Delta,r,Elongation,Phase,V,Proper motion,Direction,Uncertainty 3sig,Unc. P.A.
2023-10-04 00:00:00.000,106.81333333333332,32.23888888888889,16.273,16.232,85.9,3.5,21.4,3.27,80.1,8.0,288.0
2023-10-09 00:00:00.000,106.92541666666665,32.259166666666665,16.193,16.235,90.6,3.5,21.4,2.56,75.0,8.0,287.9
2023-10-14 00:00:00.000,107.00833333333333,32.282777777777774,16.113,16.238,95.5,3.5,21.4,1.87,66.3,8.0,287.9
2023-10-19 00:00:00.000,107.06041666666667,32.309444444444445,16.033,16.241,100.3,3.5,21.4,1.26,48.3,9.0,287.8
2023-10-24 00:00:00.000,107.08249999999998,32.33833333333334,15.955,16.244,105.2,3.4,21.3,0.92,10.3,9.0,287.8
2023-10-29 00:00:00.000,107.07374999999999,32.36944444444445,15.879,16.247,110.1,3.3,21.3,1.14,328.0,9.0,287.7
2023-11-03 00:00:00.000,107.035,32.402499999999996,15.805,16.25,115.0,3.2,21.3,1.69,306.5,9.0,287.7
2023-11-08 00:00:00.000,106.96666666666664,32.43666666666666,15.735,16.253,120.0,3.0,21.3,2.34,296.2,9.0,287.6
2023-11-13 00:00:00.000,106.86916666666664,32.47138888888889,15.668,16.256,125.0,2.9,21.3,3.01,290.3,9.0,287.5
2023-11-18 00:00:00.000,106.74374999999999,32.50611111111111,15.606,16.259,130.0,2.7,21.2,3.66,286.5,9.0,287.5
2024-02-16 00:00:00.000,102.53124999999999,32.53944444444444,15.623,16.318,133.5,2.5,21.2,4.34,251.9,,
2024-02-21 00:00:00.000,102.38083333333333,32.49194444444444,15.688,16.321,128.4,2.7,21.3,3.78,246.9,,
2024-02-26 00:00:00.000,102.25666666666666,32.44027777777777,15.758,16.324,123.4,2.9,21.3,3.23,240.0,,
2024-03-02 00:00:00.000,102.15999999999998,32.38444444444444,15.833,16.328,118.4,3.1,21.3,2.71,230.3,,
2024-03-07 00:00:00.000,102.09249999999999,32.325,15.911,16.331,113.4,3.2,21.3,2.27,216.3,,
2024-03-12 00:00:00.000,102.05416666666665,32.2625,15.992,16.335,108.5,3.3,21.4,2.01,196.9,,
2024-03-17 00:00:00.000,102.04624999999999,32.19694444444444,16.076,16.338,103.6,3.4,21.4,2.01,174.7,,
2024-03-22 00:00:00.000,102.06875,32.12888888888889,16.161,16.341,98.7,3.5,21.4,2.28,155.3,,
2024-03-27 00:00:00.000,102.12124999999999,32.058611111111105,16.247,16.345,93.9,3.5,21.4,2.74,141.2,,
2024-04-01 00:00:00.000,102.20333333333332,31.986666666666668,16.334,16.348,89.0,3.5,21.4,3.29,131.5,,
2024-10-13 00:00:00.000,114.07041666666665,29.942777777777778,16.481,16.492,88.9,3.5,21.4,2.65,84.6,,
2024-10-18 00:00:00.000,114.15791666666665,29.953333333333333,16.401,16.496,93.7,3.5,21.4,1.93,78.8,,
2024-10-23 00:00:00.000,114.21624999999997,29.967777777777776,16.322,16.5,98.6,3.4,21.4,1.25,66.5,,
2024-10-28 00:00:00.000,114.24541666666666,29.98638888888889,16.243,16.504,103.5,3.4,21.4,0.72,32.2,,
2024-11-02 00:00:00.000,114.24583333333331,30.008333333333333,16.167,16.508,108.5,3.3,21.4,0.8,331.8,,
2024-11-07 00:00:00.000,114.21666666666664,30.033333333333335,16.092,16.512,113.4,3.2,21.4,1.39,305.2,,
2024-11-12 00:00:00.000,114.15874999999997,30.06138888888889,16.021,16.516,118.4,3.0,21.4,2.06,295.0,,
2024-11-17 00:00:00.000,114.07291666666666,30.091388888888886,15.954,16.52,123.5,2.9,21.3,2.74,289.9,,
2024-11-22 00:00:00.000,113.96041666666665,30.123333333333335,15.89,16.524,128.5,2.7,21.3,3.4,286.6,,
2024-11-27 00:00:00.000,113.82208333333331,30.15611111111111,15.831,16.528,133.6,2.5,21.3,4.04,284.3,,
2025-02-25 00:00:00.000,109.74083333333333,30.293055555555558,15.943,16.602,130.4,2.6,21.3,3.9,253.9,,
2025-03-02 00:00:00.000,109.60874999999999,30.254444444444445,16.013,16.606,125.3,2.8,21.4,3.33,248.3,,
2025-03-07 00:00:00.000,109.50291666666665,30.211111111111112,16.087,16.61,120.3,3.0,21.4,2.76,240.2,,
2025-03-12 00:00:00.000,109.42416666666665,30.163055555555555,16.165,16.614,115.3,3.1,21.4,2.26,228.3,,
2025-03-17 00:00:00.000,109.37291666666665,30.110833333333336,16.246,16.618,110.3,3.2,21.4,1.89,210.5,,
2025-03-22 00:00:00.000,109.35041666666665,30.054722222222225,16.33,16.623,105.4,3.3,21.4,1.76,187.1,,
2025-03-27 00:00:00.000,109.35624999999999,29.994722222222222,16.416,16.627,100.5,3.4,21.5,1.92,164.0,,
2025-04-01 00:00:00.000,109.39124999999999,29.93138888888889,16.503,16.631,95.7,3.4,21.5,2.33,146.6,,
2025-04-06 00:00:00.000,109.45499999999998,29.865000000000002,16.591,16.636,90.8,3.4,21.5,2.87,135.1,,
2025-04-11 00:00:00.000,109.54666666666665,29.795833333333334,16.679,16.64,86.1,3.4,21.5,3.47,127.5,,
2025-10-18 00:00:00.000,120.6283333333333,27.364722222222223,16.826,16.811,87.4,3.4,21.5,2.72,92.8,,
2025-10-23 00:00:00.000,120.71666666666665,27.363055555555558,16.747,16.816,92.3,3.4,21.5,1.99,89.4,,
2025-10-28 00:00:00.000,120.7775,27.366388888888892,16.667,16.821,97.2,3.4,21.5,1.26,82.1,,
2025-11-02 00:00:00.000,120.81041666666665,27.374444444444446,16.589,16.825,102.1,3.3,21.5,0.6,58.1,,
2025-11-07 00:00:00.000,120.81541666666666,27.38722222222222,16.512,16.83,107.1,3.2,21.5,0.51,332.7,,
2025-11-12 00:00:00.000,120.79291666666666,27.404166666666665,16.438,16.835,112.1,3.1,21.5,1.13,300.7,,
2025-11-17 00:00:00.000,120.74291666666664,27.42527777777778,16.366,16.84,117.1,3.0,21.4,1.83,292.1,,
2025-11-22 00:00:00.000,120.66583333333332,27.45,16.297,16.844,122.2,2.8,21.4,2.53,288.2,,
2025-11-27 00:00:00.000,120.56291666666664,27.477777777777778,16.233,16.849,127.3,2.7,21.4,3.2,285.9,,
2025-12-02 00:00:00.000,120.43500000000002,27.508055555555554,16.173,16.854,132.4,2.5,21.4,3.83,284.2,,
2026-03-02 00:00:00.000,116.50583333333331,27.801111111111112,16.262,16.942,132.0,2.5,21.4,3.97,260.1,,
2026-03-07 00:00:00.000,116.37041666666664,27.775555555555556,16.332,16.947,127.0,2.7,21.4,3.4,255.6,,
2026-03-12 00:00:00.000,116.25874999999998,27.744722222222222,16.405,16.952,121.9,2.9,21.5,2.82,249.2,,
2026-03-17 00:00:00.000,116.17208333333332,27.70888888888889,16.483,16.957,116.9,3.0,21.5,2.27,239.3,,
2026-03-22 00:00:00.000,116.11208333333332,27.66777777777778,16.564,16.962,111.9,3.1,21.5,1.8,223.6,,
