Date,RA,Dec,Delta,r,Elongation,Phase,V,Proper motion,Direction
2023-07-31 00:00:00.000,257.43708333333325,-18.478055555555553,14.945,15.626,130.7,2.8,27.9,7.92,269.1
2023-08-05 00:00:00.000,257.17124999999993,-18.483888888888888,15.026,15.639,125.7,3.0,28.0,7.2,268.3
2023-08-10 00:00:00.000,256.93125,-18.492222222222225,15.111,15.652,120.7,3.2,28.0,6.45,267.4
2023-08-15 00:00:00.000,256.71875,-18.503611111111113,15.199,15.665,115.7,3.3,28.0,5.67,266.1
2023-08-20 00:00:00.000,256.53375,-18.517777777777777,15.291,15.678,110.7,3.5,28.0,4.87,264.5
2023-08-25 00:00:00.000,256.3775,-18.534444444444446,15.386,15.691,105.8,3.6,28.1,4.07,262.3
2023-08-30 00:00:00.000,256.25041666666664,-18.55388888888889,15.483,15.704,100.8,3.6,28.1,3.27,259.0
2023-09-04 00:00:00.000,256.1520833333333,-18.575833333333332,15.581,15.717,95.9,3.7,28.1,2.49,253.8
2023-09-09 00:00:00.000,256.0825,-18.60027777777778,15.68,15.73,91.0,3.7,28.1,1.75,244.0
2023-09-14 00:00:00.000,256.04166666666663,-18.626944444444444,15.779,15.743,86.1,3.7,28.1,1.13,222.4
2024-03-12 00:00:00.000,261.68541666666664,-19.28388888888889,16.177,16.198,89.4,3.5,28.2,1.38,291.3
2024-03-17 00:00:00.000,261.6258333333333,-19.26638888888889,16.103,16.211,94.5,3.5,28.2,2.16,284.7
2024-03-22 00:00:00.000,261.53749999999997,-19.247222222222224,16.028,16.223,99.5,3.5,28.2,2.97,281.6
2024-03-27 00:00:00.000,261.4208333333333,-19.226666666666667,15.956,16.235,104.6,3.4,28.2,3.77,279.7
2024-04-01 00:00:00.000,261.27583333333337,-19.204722222222223,15.885,16.247,109.6,3.3,28.2,4.56,278.5
2024-04-06 00:00:00.000,261.10249999999996,-19.18166666666667,15.816,16.26,114.7,3.2,28.2,5.35,277.7
2024-04-11 00:00:00.000,260.9020833333333,-19.1575,15.751,16.272,119.8,3.1,28.2,6.11,277.0
2024-04-16 00:00:00.000,260.67499999999995,-19.13222222222222,15.689,16.284,124.9,2.9,28.1,6.83,276.5
2024-04-21 00:00:00.000,260.42333333333335,-19.10611111111111,15.632,16.296,130.0,2.7,28.1,7.52,276.1
2024-07-25 00:00:00.000,253.88458333333332,-18.685833333333335,15.824,16.526,132.4,2.6,28.2,7.61,271.2
2024-07-30 00:00:00.000,253.6283333333333,-18.681944444444447,15.902,16.538,127.4,2.8,28.2,6.95,270.6
2024-08-04 00:00:00.000,253.39583333333331,-18.68138888888889,15.984,16.55,122.4,3.0,28.2,6.26,269.8
2024-08-09 00:00:00.000,253.1883333333333,-18.683888888888887,16.07,16.562,117.4,3.1,28.2,5.53,268.7
2024-08-14 00:00:00.000,253.0070833333333,-18.689444444444444,16.16,16.573,112.5,3.2,28.3,4.78,267.4
2024-08-19 00:00:00.000,252.85208333333333,-18.698333333333334,16.252,16.585,107.5,3.3,28.3,4.03,265.6
2024-08-24 00:00:00.000,252.72416666666663,-18.71,16.347,16.597,102.6,3.4,28.3,3.28,262.9
2024-08-29 00:00:00.000,252.6233333333333,-18.724999999999998,16.443,16.609,97.7,3.5,28.3,2.53,258.7
2024-09-03 00:00:00.000,252.5495833333333,-18.743055555555557,16.541,16.621,92.8,3.5,28.3,1.8,251.2
2024-09-08 00:00:00.000,252.50291666666664,-18.76388888888889,16.639,16.633,87.9,3.5,28.3,1.15,234.7
2025-03-07 00:00:00.000,257.9383333333333,-19.529166666666665,17.058,17.047,87.7,3.3,28.4,0.96,294.9
2025-03-12 00:00:00.000,257.89416666666665,-19.514722222222222,16.982,17.058,92.7,3.3,28.4,1.7,286.1
2025-03-17 00:00:00.000,257.8225,-19.497777777777777,16.906,17.069,97.8,3.3,28.4,2.46,282.6
2025-03-22 00:00:00.000,257.72375,-19.478888888888886,16.832,17.081,102.8,3.3,28.4,3.23,280.7
2025-03-27 00:00:00.000,257.5983333333333,-19.458055555555553,16.759,17.092,107.9,3.2,28.4,3.99,279.5
2025-04-01 00:00:00.000,257.4458333333333,-19.435,16.688,17.103,113.0,3.1,28.4,4.74,278.6
2025-04-06 00:00:00.000,257.2670833333333,-19.410555555555554,16.621,17.114,118.1,3.0,28.4,5.47,278.0
2025-04-11 00:00:00.000,257.06291666666664,-19.384166666666665,16.557,17.125,123.2,2.8,28.4,6.17,277.5
2025-04-16 00:00:00.000,256.835,-19.35666666666667,16.497,17.136,128.3,2.6,28.3,6.83,277.2
2025-04-21 00:00:00.000,256.58458333333334,-19.3275,16.442,17.147,133.4,2.4,28.3,7.46,276.9
2025-07-20 00:00:00.000,250.6795833333333,-18.81527777777778,16.619,17.345,134.4,2.4,28.4,7.42,273.1
2025-07-25 00:00:00.000,250.42916666666665,-18.803333333333335,16.693,17.356,129.4,2.6,28.4,6.81,272.6
2025-07-30 00:00:00.000,250.20125000000002,-18.794722222222223,16.772,17.367,124.4,2.8,28.4,6.16,271.9
2025-08-04 00:00:00.000,249.99624999999997,-18.789444444444445,16.856,17.377,119.5,2.9,28.4,5.48,271.1
2025-08-09 00:00:00.000,249.81541666666664,-18.7875,16.943,17.388,114.5,3.0,28.5,4.79,270.0
2025-08-14 00:00:00.000,249.6591666666666,-18.789166666666667,17.033,17.399,109.6,3.1,28.5,4.08,268.6
2025-08-19 00:00:00.000,249.5283333333333,-18.794444444444448,17.126,17.41,104.7,3.2,28.5,3.36,266.5
2025-08-24 00:00:00.000,249.42333333333332,-18.802777777777777,17.22,17.42,99.8,3.3,28.5,2.64,263.3
2025-08-29 00:00:00.000,249.34416666666667,-18.815,17.316,17.431,94.9,3.3,28.5,1.93,257.7
2025-09-03 00:00:00.000,249.29041666666663,-18.830277777777777,17.413,17.442,90.0,3.3,28.5,1.26,246.4
2025-09-08 00:00:00.000,249.26249999999996,-18.84861111111111,17.509,17.453,85.1,3.3,28.6,0.74,216.5
2026-03-02 00:00:00.000,254.53458333333327,-19.684722222222224,17.866,17.818,85.6,3.2,28.6,0.56,302.9
2026-03-07 00:00:00.000,254.5054166666666,-19.673333333333336,17.789,17.828,90.6,3.2,28.6,1.25,287.9
2026-03-12 00:00:00.000,254.44999999999993,-19.659166666666664,17.712,17.838,95.7,3.2,28.6,1.98,283.6
2026-03-17 00:00:00.000,254.36874999999995,-19.642222222222223,17.636,17.848,100.7,3.1,28.6,2.72,281.5
2026-03-22 00:00:00.000,254.26124999999996,-19.623055555555556,17.561,17.859,105.8,3.1,28.6,3.46,280.3
2026-03-27 00:00:00.000,254.12833333333333,-19.601111111111113,17.489,17.869,110.9,3.0,28.6,4.18,279.5
2026-04-01 00:00:00.000,253.97,-19.577222222222222,17.419,17.879,116.0,2.9,28.6,4.88,278.9
2026-04-06 00:00:00.000,253.7875,-19.550833333333333,17.352,17.889,121.1,2.7,28.5,5.56,278.5
