Date,RA,Dec,Delta,r,Elongation,Phase,V,Proper motion,Direction
2023-11-23 00:00:00.000,152.49666666666664,7.104166666666666,17.529,17.526,88.2,3.2,23.4,2.27,117.1
2023-11-28 00:00:00.000,152.5533333333333,7.073888888888889,17.453,17.535,93.2,3.2,23.3,1.55,120.1
2023-12-03 00:00:00.000,152.5870833333333,7.052222222222222,17.378,17.545,98.2,3.2,23.3,0.84,128.2
2023-12-08 00:00:00.000,152.5975,7.039444444444444,17.303,17.555,103.2,3.1,23.3,0.25,187.0
2023-12-13 00:00:00.000,152.58499999999998,7.035555555555556,17.231,17.565,108.3,3.1,23.3,0.72,271.9
2023-12-18 00:00:00.000,152.54958333333332,7.0408333333333335,17.16,17.574,113.4,2.9,23.3,1.42,282.0
2023-12-23 00:00:00.000,152.49208333333334,7.0552777777777775,17.093,17.584,118.5,2.8,23.3,2.11,285.5
2023-12-28 00:00:00.000,152.41333333333333,7.078333333333333,17.029,17.594,123.7,2.7,23.3,2.78,287.3
2024-01-02 00:00:00.000,152.31416666666667,7.110277777777777,16.97,17.604,128.9,2.5,23.2,3.42,288.4
2024-01-07 00:00:00.000,152.1958333333333,7.150555555555556,16.915,17.613,134.1,2.3,23.2,4.02,289.2
2024-04-06 00:00:00.000,149.01708333333332,8.537777777777778,17.108,17.789,131.7,2.4,23.3,3.74,301.6
2024-04-11 00:00:00.000,148.91916666666665,8.6,17.182,17.799,126.7,2.6,23.3,3.16,304.2
2024-04-16 00:00:00.000,148.84124999999997,8.655833333333334,17.261,17.809,121.7,2.7,23.3,2.55,308.1
2024-04-21 00:00:00.000,148.78374999999997,8.705,17.343,17.819,116.8,2.9,23.3,1.95,314.5
2024-04-26 00:00:00.000,148.7475,8.746944444444443,17.429,17.829,111.9,3.0,23.4,1.38,326.7
2024-05-01 00:00:00.000,148.73291666666665,8.78138888888889,17.518,17.838,107.0,3.1,23.4,0.93,353.0
2024-05-06 00:00:00.000,148.73999999999998,8.808611111111112,17.608,17.848,102.2,3.2,23.4,0.88,37.8
2024-05-11 00:00:00.000,148.76916666666665,8.8275,17.7,17.858,97.4,3.2,23.4,1.27,69.1
2024-05-16 00:00:00.000,148.82,8.838611111111112,17.794,17.868,92.6,3.2,23.4,1.85,83.3
2024-05-21 00:00:00.000,148.89249999999996,8.841944444444445,17.887,17.878,87.9,3.2,23.4,2.46,90.5
2024-11-27 00:00:00.000,157.42291666666662,6.056111111111111,18.261,18.254,88.0,3.1,23.5,2.13,115.2
2024-12-02 00:00:00.000,157.47624999999996,6.030277777777778,18.185,18.264,93.0,3.1,23.5,1.42,117.0
2024-12-07 00:00:00.000,157.50791666666666,6.013055555555556,18.11,18.274,98.1,3.1,23.5,0.72,122.1
2024-12-12 00:00:00.000,157.51708333333332,6.004722222222222,18.035,18.284,103.1,3.0,23.5,0.12,202.4
2024-12-17 00:00:00.000,157.50458333333333,6.0055555555555555,17.962,18.294,108.2,2.9,23.5,0.71,282.3
2024-12-22 00:00:00.000,157.4708333333333,6.015,17.892,18.303,113.3,2.8,23.5,1.4,287.4
2024-12-27 00:00:00.000,157.41541666666666,6.033333333333333,17.824,18.313,118.5,2.7,23.5,2.07,289.2
2025-01-01 00:00:00.000,157.3395833333333,6.060277777777777,17.761,18.323,123.6,2.6,23.4,2.73,290.2
2025-01-06 00:00:00.000,157.24458333333334,6.096111111111111,17.701,18.333,128.8,2.4,23.4,3.34,290.9
2025-01-11 00:00:00.000,157.1308333333333,6.139722222222223,17.646,18.343,134.0,2.2,23.4,3.92,291.4
2025-04-11 00:00:00.000,154.06708333333333,7.532777777777778,17.836,18.523,132.1,2.3,23.5,3.68,300.8
2025-04-16 00:00:00.000,153.96999999999997,7.592499999999999,17.91,18.533,127.1,2.5,23.5,3.12,303.0
2025-04-21 00:00:00.000,153.89124999999999,7.645833333333333,17.989,18.543,122.2,2.6,23.5,2.55,306.1
2025-04-26 00:00:00.000,153.83166666666665,7.692222222222222,18.071,18.553,117.2,2.8,23.5,1.95,311.2
2025-05-01 00:00:00.000,153.7925,7.7316666666666665,18.157,18.563,112.3,2.9,23.5,1.37,320.9
2025-05-06 00:00:00.000,153.77374999999998,7.763055555555556,18.245,18.573,107.5,3.0,23.6,0.87,343.4
2025-05-11 00:00:00.000,153.7758333333333,7.786944444444444,18.336,18.583,102.6,3.0,23.6,0.7,31.6
