Date,RA,Dec,Delta,r,Elongation,Phase,V,Proper motion,Direction,Uncertainty 3sig,Unc. P.A.
2023-11-13 00:00:00.000,153.57124999999996,32.30361111111111,21.7,21.664,86.6,2.6,22.4,3.13,53.0,0,283.3
2023-11-18 00:00:00.000,153.65916666666664,32.370555555555555,21.624,21.669,91.3,2.6,22.4,2.89,42.6,0,283.0
2023-11-23 00:00:00.000,153.7258333333333,32.44555555555555,21.547,21.673,96.0,2.6,22.4,2.75,30.9,0,282.6
2023-11-28 00:00:00.000,153.77083333333331,32.527499999999996,21.472,21.677,100.7,2.6,22.4,2.71,18.4,0,282.3
2023-12-03 00:00:00.000,153.79374999999996,32.61666666666667,21.397,21.681,105.5,2.5,22.4,2.78,6.1,0,281.9
2023-12-08 00:00:00.000,153.79416666666665,32.71194444444445,21.325,21.686,110.2,2.4,22.4,2.96,354.9,0,281.4
2023-12-13 00:00:00.000,153.77291666666665,32.812777777777775,21.256,21.69,115.0,2.4,22.4,3.2,345.1,0,281.0
2023-12-18 00:00:00.000,153.72916666666663,32.918055555555554,21.19,21.694,119.7,2.3,22.4,3.5,336.9,0,280.5
2023-12-23 00:00:00.000,153.66374999999996,33.02722222222222,21.127,21.698,124.4,2.1,22.4,3.83,330.2,0,280.1
2023-12-28 00:00:00.000,153.57791666666665,33.13916666666667,21.07,21.703,129.1,2.0,22.3,4.16,324.6,0,279.6
2024-01-02 00:00:00.000,153.4725,33.25277777777778,21.017,21.707,133.7,1.9,22.3,4.49,319.8,0,279.1
2024-03-22 00:00:00.000,150.4475,34.50555555555555,21.065,21.774,134.5,1.9,22.3,4.24,274.5,0,272.1
2024-03-27 00:00:00.000,150.28375,34.51166666666666,21.123,21.779,130.0,2.0,22.4,3.87,270.4,0,271.9
2024-04-01 00:00:00.000,150.13458333333332,34.5075,21.187,21.783,125.5,2.1,22.4,3.49,265.5,0,271.8
2024-04-06 00:00:00.000,150.00208333333333,34.49333333333333,21.255,21.787,121.0,2.3,22.4,3.11,259.4,0,271.8
2024-04-11 00:00:00.000,149.8875,34.46944444444445,21.326,21.791,116.4,2.4,22.4,2.74,251.7,0,272.0
2024-04-16 00:00:00.000,149.7920833333333,34.43611111111111,21.402,21.795,111.9,2.4,22.4,2.41,241.8,0,272.2
2024-04-21 00:00:00.000,149.71625,34.39361111111111,21.479,21.8,107.3,2.5,22.4,2.14,229.2,0,272.4
2024-04-26 00:00:00.000,149.66125,34.34277777777778,21.559,21.804,102.8,2.6,22.4,1.99,214.1,0,272.7
2024-05-01 00:00:00.000,149.62666666666667,34.284166666666664,21.641,21.808,98.2,2.6,22.5,1.97,197.5,0,273.1
2024-05-06 00:00:00.000,149.61333333333332,34.217777777777776,21.724,21.812,93.7,2.6,22.5,2.1,181.8,0,273.4
2024-05-11 00:00:00.000,149.62124999999997,34.144444444444446,21.807,21.816,89.2,2.7,22.5,2.34,168.5,0,274.0
2024-11-17 00:00:00.000,157.3295833333333,31.93888888888889,21.984,21.972,88.0,2.6,22.5,3.07,50.3,0,283.9
2024-11-22 00:00:00.000,157.41166666666663,32.00833333333333,21.908,21.976,92.7,2.6,22.5,2.87,39.7,0,283.7
2024-11-27 00:00:00.000,157.4733333333333,32.08583333333333,21.832,21.98,97.4,2.6,22.5,2.76,27.9,0,283.4
2024-12-02 00:00:00.000,157.51291666666665,32.17055555555555,21.756,21.985,102.1,2.5,22.5,2.75,15.5,0,283.0
2024-12-07 00:00:00.000,157.53124999999997,32.26222222222222,21.683,21.989,106.8,2.5,22.5,2.85,3.7,0,282.7
2024-12-12 00:00:00.000,157.52749999999997,32.36,21.612,21.993,111.6,2.4,22.5,3.04,353.0,0,282.3
2024-12-17 00:00:00.000,157.50208333333333,32.46277777777778,21.543,21.997,116.3,2.3,22.4,3.29,343.9,0,282.0
2024-12-22 00:00:00.000,157.45583333333332,32.57027777777778,21.479,22.001,121.0,2.2,22.4,3.58,336.2,0,281.6
2024-12-27 00:00:00.000,157.38791666666663,32.68138888888889,21.418,22.005,125.6,2.1,22.4,3.9,329.8,0,281.2
2025-01-01 00:00:00.000,157.30041666666665,32.79472222222222,21.361,22.009,130.2,2.0,22.4,4.23,324.3,0,280.7
2025-01-06 00:00:00.000,157.19291666666663,32.91,21.31,22.013,134.7,1.8,22.4,4.54,319.7,0,280.3
2025-03-27 00:00:00.000,154.22208333333333,34.140277777777776,21.385,22.077,132.9,1.9,22.4,4.12,273.2,0,274.8
2025-04-01 00:00:00.000,154.0633333333333,34.14277777777778,21.445,22.081,128.5,2.0,22.4,3.76,268.7,0,274.7
2025-04-06 00:00:00.000,153.92,34.13472222222222,21.509,22.085,124.0,2.2,22.4,3.39,263.3,0,274.7
2025-04-11 00:00:00.000,153.79291666666666,34.11666666666667,21.577,22.089,119.5,2.3,22.4,3.03,256.7,0,274.8
2025-04-16 00:00:00.000,153.68291666666664,34.08861111111111,21.649,22.093,115.0,2.4,22.5,2.69,248.5,0,274.9
2025-04-21 00:00:00.000,153.5916666666666,34.051111111111105,21.724,22.096,110.5,2.4,22.5,2.39,238.2,0,275.1
2025-04-26 00:00:00.000,153.51999999999995,34.00472222222222,21.802,22.1,106.0,2.5,22.5,2.17,225.3,0,275.3
2025-05-01 00:00:00.000,153.46791666666664,33.94944444444444,21.882,22.104,101.5,2.6,22.5,2.06,210.2,0,275.6
2025-05-06 00:00:00.000,153.43666666666664,33.88611111111111,21.963,22.108,97.0,2.6,22.5,2.08,194.5,0,275.9
2025-05-11 00:00:00.000,153.42624999999998,33.81527777777777,22.045,22.112,92.5,2.6,22.5,2.23,180.2,0,276.3
2025-05-16 00:00:00.000,153.43624999999997,33.73777777777778,22.128,22.116,88.0,2.6,22.5,2.48,168.1,0,276.7
2025-11-22 00:00:00.000,160.95833333333331,31.47972222222222,22.25,22.264,89.5,2.5,22.6,3.01,47.3,0,284.8
2025-11-27 00:00:00.000,161.0345833333333,31.551944444444445,22.174,22.267,94.2,2.5,22.5,2.84,36.4,0,284.6
2025-12-02 00:00:00.000,161.08999999999997,31.631666666666668,22.098,22.271,98.8,2.5,22.5,2.76,24.6,0,284.4
2025-12-07 00:00:00.000,161.1245833333333,31.718888888888888,22.024,22.275,103.5,2.5,22.5,2.79,12.7,0,284.1
2025-12-12 00:00:00.000,161.13791666666663,31.81277777777778,21.951,22.279,108.2,2.4,22.5,2.91,1.3,0,283.8
2025-12-17 00:00:00.000,161.1295833333333,31.912777777777777,21.881,22.283,112.9,2.3,22.5,3.11,351.2,0,283.5
2025-12-22 00:00:00.000,161.10041666666666,32.01777777777777,21.814,22.286,117.6,2.2,22.5,3.37,342.5,0,283.1
2025-12-27 00:00:00.000,161.05041666666665,32.12694444444445,21.75,22.29,122.2,2.1,22.5,3.67,335.2,0,282.8
2026-01-01 00:00:00.000,160.9795833333333,32.239444444444445,21.691,22.294,126.8,2.0,22.5,3.98,329.1,0,282.4
2026-01-06 00:00:00.000,160.8895833333333,32.35416666666667,21.636,22.298,131.4,1.9,22.4,4.29,323.9,0,282.1
