Date,RA,Dec,Delta,r,Elongation,Phase,V,Proper motion,Direction,Uncertainty 3sig,Unc. P.A.
2023-11-13 00:00:00.000,147.08708333333334,13.5875,19.005,18.95,85.3,3.0,23.0,2.28,130.7,1.0,306.3
2023-11-18 00:00:00.000,147.13541666666666,13.541666666666666,18.922,18.953,90.3,3.0,23.0,1.68,139.2,1.0,306.4
2023-11-23 00:00:00.000,147.16208333333333,13.503055555555555,18.839,18.956,95.3,3.0,23.0,1.14,156.7,1.0,306.5
2023-11-28 00:00:00.000,147.16625,13.471666666666668,18.757,18.959,100.3,2.9,23.0,0.85,193.0,1.0,306.6
2023-12-03 00:00:00.000,147.14875,13.447777777777778,18.676,18.962,105.4,2.9,23.0,1.03,233.9,1.0,306.8
2023-12-08 00:00:00.000,147.10916666666668,13.430833333333332,18.597,18.965,110.5,2.8,23.0,1.53,255.1,1.0,307.1
2023-12-13 00:00:00.000,147.04749999999999,13.421388888888888,18.521,18.968,115.7,2.7,23.0,2.11,265.2,1.0,307.5
2023-12-18 00:00:00.000,146.96499999999997,13.419166666666666,18.449,18.972,120.8,2.6,22.9,2.72,270.6,1.0,307.9
2023-12-23 00:00:00.000,146.86166666666665,13.423333333333332,18.38,18.975,126.0,2.4,22.9,3.31,273.9,1.0,308.5
2023-12-28 00:00:00.000,146.73916666666668,13.43388888888889,18.315,18.978,131.2,2.2,22.9,3.87,276.1,1.0,309.1
2024-03-27 00:00:00.000,143.23541666666665,14.037222222222223,18.322,19.035,134.5,2.1,22.9,4.18,276.9,,
2024-04-01 00:00:00.000,143.10166666666666,14.051111111111112,18.387,19.038,129.5,2.3,22.9,3.65,275.3,,
2024-04-06 00:00:00.000,142.98583333333335,14.059444444444445,18.458,19.041,124.4,2.5,23.0,3.09,273.0,,
2024-04-11 00:00:00.000,142.88958333333332,14.061944444444444,18.532,19.044,119.4,2.6,23.0,2.51,269.5,,
2024-04-16 00:00:00.000,142.81375,14.058055555555557,18.61,19.047,114.4,2.7,23.0,1.92,263.7,,
2024-04-21 00:00:00.000,142.75833333333333,14.047777777777778,18.691,19.051,109.5,2.8,23.0,1.36,252.7,,
2024-04-26 00:00:00.000,142.72416666666663,14.030833333333334,18.775,19.054,104.6,2.9,23.0,0.91,228.8,,
2024-05-01 00:00:00.000,142.71124999999998,14.0075,18.86,19.057,99.8,3.0,23.0,0.8,184.9,,
2024-05-06 00:00:00.000,142.71958333333333,13.977500000000001,18.947,19.06,94.9,3.0,23.0,1.14,151.0,,
2024-05-11 00:00:00.000,142.74916666666664,13.94111111111111,19.034,19.063,90.1,3.0,23.1,1.67,135.6,,
2024-05-16 00:00:00.000,142.8,13.897777777777778,19.122,19.067,85.4,3.0,23.1,2.26,128.1,,
2024-11-17 00:00:00.000,150.09791666666666,10.279444444444445,19.225,19.184,86.2,2.9,23.1,2.25,139.0,,
2024-11-22 00:00:00.000,150.1375,10.22638888888889,19.142,19.188,91.2,2.9,23.1,1.71,150.0,,
2024-11-27 00:00:00.000,150.1558333333333,10.180833333333332,19.059,19.191,96.2,2.9,23.1,1.28,170.1,,
2024-12-02 00:00:00.000,150.15249999999997,10.1425,18.977,19.194,101.3,2.9,23.1,1.11,202.2,,
2024-12-07 00:00:00.000,150.12749999999997,10.112222222222222,18.897,19.197,106.4,2.8,23.0,1.32,232.9,,
2024-12-12 00:00:00.000,150.08124999999998,10.089444444444444,18.818,19.2,111.5,2.7,23.0,1.77,251.2,,
2024-12-17 00:00:00.000,150.01375,10.074166666666667,18.743,19.204,116.6,2.6,23.0,2.31,261.4,,
2024-12-22 00:00:00.000,149.92666666666665,10.066111111111113,18.671,19.207,121.8,2.5,23.0,2.88,267.5,,
2024-12-27 00:00:00.000,149.81958333333333,10.065555555555557,18.603,19.21,126.9,2.3,23.0,3.45,271.4,,
2025-01-01 00:00:00.000,149.69375,10.071944444444444,18.54,19.213,132.2,2.2,23.0,3.99,274.2,,
2025-04-01 00:00:00.000,146.2775,10.716944444444444,18.568,19.271,133.7,2.1,23.0,4.02,280.6,,
2025-04-06 00:00:00.000,146.1520833333333,10.739166666666666,18.634,19.274,128.6,2.3,23.0,3.48,279.7,,
2025-04-11 00:00:00.000,146.04499999999996,10.755833333333333,18.705,19.278,123.6,2.5,23.0,2.91,278.2,,
2025-04-16 00:00:00.000,145.95666666666665,10.766666666666667,18.78,19.281,118.6,2.6,23.0,2.33,275.9,,
2025-04-21 00:00:00.000,145.88833333333332,10.771666666666668,18.858,19.284,113.7,2.7,23.0,1.73,271.7,,
2025-04-26 00:00:00.000,145.83958333333334,10.770277777777778,18.94,19.287,108.8,2.8,23.1,1.14,262.9,,
