Date,RA,Dec,Delta,r,Elongation,Phase,V,Proper motion,Direction,Uncertainty 3sig,Unc. P.A.
2023-07-01 00:00:00.000,353.19083333333333,-7.057222222222222,7.439,7.807,107.6,7.1,26.3,0.73,227.9,274,55.8
2023-07-06 00:00:00.000,353.1483333333333,-7.083611111111111,7.355,7.799,112.4,6.9,26.3,2.28,241.6,277,55.8
2023-07-11 00:00:00.000,353.05583333333334,-7.129444444444444,7.273,7.792,117.3,6.7,26.3,3.87,244.3,280,55.8
2023-07-16 00:00:00.000,352.91374999999994,-7.195,7.195,7.784,122.2,6.3,26.2,5.45,245.6,283,55.9
2023-07-21 00:00:00.000,352.7229166666666,-7.279444444444445,7.12,7.776,127.2,6.0,26.2,6.99,246.4,286,55.9
2023-07-26 00:00:00.000,352.48374999999993,-7.381666666666666,7.049,7.768,132.2,5.6,26.1,8.48,247.0,288,56.0
2023-10-24 00:00:00.000,344.6424999999999,-9.983055555555556,6.913,7.614,131.9,5.6,26.1,9.02,259.8,291,57.6
2023-10-29 00:00:00.000,344.36625,-10.025833333333335,6.97,7.605,126.7,6.0,26.1,7.51,262.6,288,57.7
2023-11-03 00:00:00.000,344.13874999999996,-10.0475,7.03,7.596,121.5,6.4,26.1,5.97,266.9,285,57.7
2023-11-08 00:00:00.000,343.9633333333333,-10.047222222222222,7.095,7.587,116.4,6.7,26.2,4.42,274.3,282,57.8
2023-11-13 00:00:00.000,343.8408333333333,-10.025,7.163,7.578,111.2,7.0,26.2,2.99,289.4,279,57.8
2023-11-18 00:00:00.000,343.7725,-9.980833333333333,7.233,7.568,106.2,7.2,26.2,2.05,323.8,276,57.8
2023-11-23 00:00:00.000,343.75875,-9.915000000000001,7.306,7.559,101.1,7.4,26.2,2.33,9.9,272,57.8
2023-11-28 00:00:00.000,343.7991666666667,-9.828055555555554,7.38,7.549,96.2,7.5,26.3,3.53,34.1,269,57.8
2023-12-03 00:00:00.000,343.8925,-9.720555555555556,7.454,7.54,91.2,7.5,26.3,5.0,45.1,266,57.8
2023-12-08 00:00:00.000,344.0383333333333,-9.592777777777778,7.529,7.53,86.3,7.5,26.3,6.53,50.8,262,57.8
2024-06-25 00:00:00.000,4.714583333333333,0.7819444444444444,7.042,7.097,89.0,8.2,26.1,6.68,60.1,237,55.9
2024-06-30 00:00:00.000,4.882916666666666,0.8830555555555556,6.949,7.085,93.5,8.2,26.0,5.1,57.8,239,55.9
2024-07-05 00:00:00.000,5.001666666666666,0.9630555555555556,6.857,7.073,98.2,8.2,26.0,3.48,53.1,241,55.9
2024-07-10 00:00:00.000,5.067916666666666,1.0219444444444443,6.765,7.061,102.9,8.1,26.0,1.87,39.9,244,56.0
2024-07-15 00:00:00.000,5.081249999999999,1.0586111111111112,6.674,7.048,107.6,7.9,25.9,0.87,332.0,247,56.0
2024-07-20 00:00:00.000,5.040416666666665,1.0733333333333333,6.586,7.036,112.4,7.7,25.9,2.04,273.1,249,56.0
2024-07-25 00:00:00.000,4.945416666666666,1.0658333333333334,6.5,7.024,117.3,7.4,25.8,3.71,261.4,252,56.0
2024-07-30 00:00:00.000,4.795416666666666,1.036388888888889,6.418,7.011,122.2,7.0,25.8,5.45,257.1,255,56.1
2024-08-04 00:00:00.000,4.59125,0.9847222222222222,6.339,6.999,127.2,6.6,25.7,7.19,254.9,258,56.1
2024-08-09 00:00:00.000,4.333333333333332,0.9116666666666667,6.264,6.986,132.2,6.2,25.7,8.88,253.6,261,56.1
2024-11-07 00:00:00.000,355.88999999999993,-1.8408333333333335,6.059,6.748,130.8,6.4,25.5,9.26,255.6,265,56.9
2024-11-12 00:00:00.000,355.6183333333333,-1.906111111111111,6.112,6.734,125.5,6.9,25.6,7.47,257.6,262,57.0
2024-11-17 00:00:00.000,355.40374999999995,-1.9472222222222222,6.168,6.72,120.2,7.3,25.6,5.63,261.0,258,57.0
2024-11-22 00:00:00.000,355.24833333333333,-1.9644444444444444,6.229,6.706,115.0,7.7,25.7,3.78,267.9,255,57.0
2024-11-27 00:00:00.000,355.1525,-1.956388888888889,6.292,6.692,109.9,8.0,25.7,2.05,287.5,252,57.0
2024-12-02 00:00:00.000,355.11791666666664,-1.9233333333333331,6.358,6.678,104.8,8.2,25.7,1.38,355.0,248,57.0
2024-12-07 00:00:00.000,355.14458333333334,-1.8647222222222224,6.426,6.664,99.8,8.4,25.7,2.73,38.6,245,57.0
2024-12-12 00:00:00.000,355.23125,-1.781111111111111,6.495,6.65,94.8,8.5,25.8,4.52,50.5,241,57.0
2024-12-17 00:00:00.000,355.3766666666666,-1.6733333333333331,6.564,6.636,89.9,8.5,25.8,6.34,55.5,237,57.0
2024-12-22 00:00:00.000,355.5791666666666,-1.5419444444444443,6.633,6.621,85.1,8.5,25.8,8.14,58.1,234,57.0
2025-07-15 00:00:00.000,21.043749999999996,11.394444444444444,5.911,5.976,88.7,9.8,25.4,9.83,53.0,188,58.9
2025-07-20 00:00:00.000,21.282083333333333,11.581666666666667,5.815,5.959,93.2,9.8,25.3,8.13,49.1,190,58.9
2025-07-25 00:00:00.000,21.461249999999996,11.74861111111111,5.719,5.942,97.8,9.8,25.3,6.4,42.9,192,59.0
2025-07-30 00:00:00.000,21.577916666666667,11.893888888888888,5.623,5.924,102.4,9.6,25.2,4.73,31.8,194,59.1
2025-08-04 00:00:00.000,21.629999999999995,12.016388888888889,5.529,5.907,107.1,9.5,25.2,3.38,9.8,196,59.2
2025-08-09 00:00:00.000,21.616666666666667,12.115833333333333,5.437,5.89,111.8,9.2,25.1,2.96,332.3,198,59.3
2025-08-14 00:00:00.000,21.535833333333333,12.19111111111111,5.347,5.872,116.6,8.9,25.1,3.86,299.3,201,59.3
2025-08-19 00:00:00.000,21.386666666666663,12.241388888888888,5.261,5.855,121.6,8.5,25.0,5.5,281.8,203,59.4
2025-08-24 00:00:00.000,21.168749999999996,12.265833333333333,5.178,5.837,126.6,8.0,25.0,7.4,272.6,206,59.4
2025-08-29 00:00:00.000,20.883333333333333,12.264166666666666,5.099,5.819,131.6,7.5,24.9,9.36,267.3,209,59.5
2025-11-22 00:00:00.000,11.382499999999999,9.680277777777777,4.771,5.509,134.5,7.3,24.6,11.67,249.6,216,59.0
2025-11-27 00:00:00.000,11.047916666666666,9.55638888888889,4.813,5.49,129.1,8.0,24.7,9.45,249.3,213,59.0
2025-12-02 00:00:00.000,10.785833333333333,9.458055555555555,4.861,5.471,123.8,8.6,24.7,7.13,249.0,210,59.0
2025-12-07 00:00:00.000,10.598749999999999,9.386388888888888,4.912,5.452,118.6,9.1,24.8,4.74,248.6,207,59.0
2025-12-12 00:00:00.000,10.488333333333332,9.343333333333334,4.966,5.433,113.4,9.6,24.8,2.3,248.1,203,59.0
2025-12-17 00:00:00.000,10.455,9.329444444444444,5.024,5.414,108.3,9.9,24.8,0.17,76.0,200,59.0
2025-12-22 00:00:00.000,10.499166666666666,9.346111111111112,5.083,5.394,103.2,10.2,24.8,2.63,68.6,196,59.0
2025-12-27 00:00:00.000,10.619999999999997,9.393333333333333,5.144,5.375,98.3,10.4,24.9,5.06,68.2,192,59.0
2026-01-01 00:00:00.000,10.815416666666666,9.471111111111112,5.206,5.356,93.4,10.6,24.9,7.41,68.0,188,59.1
2026-01-06 00:00:00.000,11.08333333333333,9.57861111111111,5.269,5.337,88.6,10.6,24.9,9.69,67.8,184,59.1
2026-08-19 00:00:00.000,52.429583333333326,26.89527777777778,4.307,4.406,89.0,13.3,24.2,18.48,55.7,75,74.1
2026-08-24 00:00:00.000,52.96166666666666,27.23777777777778,4.21,4.385,93.2,13.3,24.1,16.6,52.4,74,74.7
2026-08-29 00:00:00.000,53.41416666666666,27.56972222222222,4.115,4.363,97.5,13.3,24.0,14.67,48.1,74,75.4
2026-09-03 00:00:00.000,53.78124999999999,27.890277777777776,4.02,4.341,101.9,13.1,24.0,12.72,42.1,73,76.2
2026-09-08 00:00:00.000,54.055833333333325,28.198055555555555,3.926,4.319,106.4,12.9,23.9,10.83,33.6,72,76.9
2026-09-13 00:00:00.000,54.23208333333333,28.491666666666667,3.834,4.298,110.9,12.6,23.8,9.19,21.1,72,77.6
2026-09-18 00:00:00.000,54.305416666666666,28.76888888888889,3.745,4.276,115.6,12.2,23.8,8.07,3.8,72,78.2
2026-09-23 00:00:00.000,54.27166666666666,29.02777777777778,3.658,4.254,120.3,11.7,23.7,7.83,342.8,72,78.9
2026-09-28 00:00:00.000,54.12791666666666,29.26638888888889,3.575,4.232,125.2,11.2,23.6,8.58,322.6,72,79.5
2026-10-03 00:00:00.000,53.87291666666666,29.481666666666666,3.495,4.21,130.1,10.5,23.5,10.15,306.8,73,80.1
2026-12-27 00:00:00.000,41.436249999999994,28.299166666666668,3.112,3.837,131.7,11.0,23.1,11.21,236.0,74,80.1
2027-01-01 00:00:00.000,41.147499999999994,28.099444444444444,3.148,3.815,126.5,12.0,23.1,8.24,226.3,71,80.1
2027-01-06 00:00:00.000,40.9875,27.921111111111113,3.187,3.793,121.3,12.8,23.2,5.58,206.6,69,80.2
2027-01-11 00:00:00.000,40.95875,27.76833333333333,3.231,3.771,116.3,13.5,23.2,4.27,166.6,66,80.3
2027-01-16 00:00:00.000,41.06166666666666,27.64472222222222,3.277,3.75,111.4,14.1,23.3,5.52,126.1,63,80.6
2027-01-21 00:00:00.000,41.293749999999996,27.552222222222223,3.325,3.728,106.6,14.7,23.3,8.18,106.3,59,80.9
2027-01-26 00:00:00.000,41.65124999999999,27.491944444444446,3.376,3.706,101.9,15.1,23.3,11.22,96.7,56,81.4
2027-01-31 00:00:00.000,42.12999999999999,27.464444444444442,3.427,3.685,97.3,15.4,23.4,14.34,91.4,52,82.0
2027-02-05 00:00:00.000,42.72708333333333,27.46944444444444,3.479,3.663,92.9,15.6,23.4,17.43,87.9,48,82.7
2027-02-10 00:00:00.000,43.4375,27.50611111111111,3.532,3.642,88.5,15.7,23.4,20.43,85.6,44,83.6
