Date,RA,Dec,Delta,r,Elongation,Phase,V,Proper motion,Direction,Uncertainty 3sig,Unc. P.A.
2023-07-01 00:00:00.000,7.970000000000001,-17.15222222222222,10.052,10.241,97.9,5.6,23.8,5.44,140.1,4,74.0
2023-07-06 00:00:00.000,8.072916666666666,-17.299722222222226,9.984,10.25,102.4,5.6,23.8,5.25,152.7,4,74.1
2023-07-11 00:00:00.000,8.138333333333332,-17.463055555555556,9.917,10.258,106.9,5.4,23.8,5.3,165.6,4,74.2
2023-07-16 00:00:00.000,8.164583333333333,-17.641111111111112,9.852,10.266,111.4,5.3,23.8,5.56,177.9,4,74.3
2023-07-21 00:00:00.000,8.152083333333334,-17.833055555555557,9.79,10.274,115.9,5.1,23.7,6.02,188.7,4,74.5
2023-07-26 00:00:00.000,8.100833333333332,-18.037222222222223,9.731,10.282,120.4,4.9,23.7,6.6,197.8,5,74.7
2023-07-31 00:00:00.000,8.011249999999999,-18.25138888888889,9.676,10.29,124.9,4.6,23.7,7.25,205.2,5,74.8
2023-08-05 00:00:00.000,7.884166666666666,-18.473888888888887,9.625,10.298,129.3,4.4,23.7,7.95,211.3,5,75.0
2023-08-10 00:00:00.000,7.7212499999999995,-18.703055555555554,9.578,10.306,133.8,4.1,23.6,8.65,216.5,5,75.2
2023-10-29 00:00:00.000,2.5649999999999995,-21.358055555555556,9.709,10.43,134.5,3.9,23.7,8.06,265.7,4,78.4
2023-11-03 00:00:00.000,2.29125,-21.366111111111113,9.773,10.437,129.9,4.2,23.7,7.25,270.8,4,78.5
2023-11-08 00:00:00.000,2.047083333333333,-21.351111111111113,9.841,10.445,125.3,4.4,23.8,6.43,277.2,4,78.5
2023-11-13 00:00:00.000,1.8358333333333332,-21.31277777777778,9.914,10.452,120.6,4.7,23.8,5.63,285.3,4,78.5
2023-11-18 00:00:00.000,1.6591666666666667,-21.251944444444444,9.991,10.46,115.8,4.9,23.8,4.92,296.0,4,78.5
2023-11-23 00:00:00.000,1.52,-21.169722222222223,10.071,10.467,111.1,5.1,23.8,4.37,309.6,4,78.4
2023-11-28 00:00:00.000,1.4187499999999997,-21.066944444444445,10.154,10.475,106.4,5.2,23.9,4.08,325.9,4,78.4
2023-12-03 00:00:00.000,1.3566666666666665,-20.94472222222222,10.239,10.482,101.6,5.3,23.9,4.11,343.2,4,78.2
2023-12-08 00:00:00.000,1.3341666666666665,-20.804722222222225,10.326,10.489,96.9,5.4,23.9,4.47,359.0,4,78.1
2023-12-13 00:00:00.000,1.3512499999999998,-20.6475,10.413,10.497,92.2,5.4,23.9,5.06,11.9,4,77.9
2023-12-18 00:00:00.000,1.4087499999999997,-20.474999999999998,10.501,10.504,87.5,5.4,24.0,5.81,21.8,4,77.7
2024-06-25 00:00:00.000,16.01083333333333,-14.804166666666667,10.802,10.764,85.2,5.4,24.1,6.64,114.3,5,71.7
2024-06-30 00:00:00.000,16.20333333333333,-14.90388888888889,10.731,10.771,89.5,5.4,24.1,6.04,122.5,5,71.8
2024-07-05 00:00:00.000,16.36208333333333,-15.020833333333334,10.66,10.777,93.9,5.4,24.0,5.56,132.5,5,71.9
2024-07-10 00:00:00.000,16.48583333333333,-15.15388888888889,10.59,10.784,98.3,5.4,24.0,5.23,144.0,5,72.0
2024-07-15 00:00:00.000,16.574166666666667,-15.3025,10.52,10.79,102.7,5.3,24.0,5.1,156.5,5,72.1
2024-07-20 00:00:00.000,16.62625,-15.465555555555556,10.452,10.796,107.2,5.2,24.0,5.19,169.1,6,72.2
2024-07-25 00:00:00.000,16.642083333333336,-15.641944444444444,10.387,10.802,111.6,5.0,24.0,5.47,180.8,6,72.3
2024-07-30 00:00:00.000,16.62125,-15.830277777777777,10.324,10.809,116.1,4.8,24.0,5.92,191.1,6,72.4
2024-08-04 00:00:00.000,16.563333333333333,-16.028888888888886,10.264,10.815,120.5,4.6,23.9,6.49,199.8,6,72.6
2024-08-09 00:00:00.000,16.469166666666663,-16.236666666666668,10.208,10.821,125.0,4.4,23.9,7.12,207.0,6,72.7
2024-08-14 00:00:00.000,16.33958333333333,-16.45111111111111,10.156,10.827,129.4,4.1,23.9,7.77,213.0,6,72.9
2024-08-19 00:00:00.000,16.175416666666663,-16.670555555555556,10.109,10.833,133.8,3.9,23.9,8.42,218.0,6,73.1
2024-11-07 00:00:00.000,11.182083333333331,-19.06361111111111,10.225,10.928,133.3,3.8,23.9,7.88,269.1,5,75.5
2024-11-12 00:00:00.000,10.917499999999999,-19.05611111111111,10.287,10.934,128.7,4.0,23.9,7.13,274.5,5,75.6
2024-11-17 00:00:00.000,10.681249999999999,-19.02611111111111,10.354,10.94,124.1,4.3,24.0,6.39,281.1,5,75.6
2024-11-22 00:00:00.000,10.475833333333332,-18.973888888888887,10.426,10.945,119.5,4.5,24.0,5.69,289.4,5,75.5
2024-11-27 00:00:00.000,10.303749999999999,-18.900555555555552,10.501,10.951,114.8,4.7,24.0,5.08,299.8,5,75.5
2024-12-02 00:00:00.000,10.165833333333332,-18.80611111111111,10.579,10.957,110.1,4.8,24.0,4.62,312.7,5,75.4
2024-12-07 00:00:00.000,10.064999999999998,-18.692222222222224,10.66,10.962,105.3,5.0,24.1,4.38,327.6,5,75.3
2024-12-12 00:00:00.000,10.000833333333333,-18.560000000000002,10.743,10.968,100.6,5.1,24.1,4.42,343.1,5,75.2
2024-12-17 00:00:00.000,9.974583333333333,-18.410555555555554,10.828,10.973,95.9,5.1,24.1,4.73,357.4,5,75.1
2024-12-22 00:00:00.000,9.985833333333332,-18.245555555555555,10.913,10.979,91.3,5.1,24.1,5.24,9.4,5,74.9
2024-12-27 00:00:00.000,10.034583333333332,-18.066111111111113,10.999,10.984,86.6,5.1,24.1,5.91,19.0,5,74.7
2025-07-05 00:00:00.000,23.742916666666662,-12.675555555555555,11.198,11.176,86.2,5.2,24.2,6.22,118.1,6,70.2
2025-07-10 00:00:00.000,23.914166666666667,-12.781111111111112,11.125,11.181,90.5,5.2,24.2,5.68,126.9,7,70.2
2025-07-15 00:00:00.000,24.052916666666665,-12.9025,11.053,11.185,94.9,5.2,24.2,5.26,137.2,7,70.3
2025-07-20 00:00:00.000,24.158333333333335,-13.038611111111111,10.981,11.19,99.3,5.1,24.2,5.01,149.0,7,70.4
2025-07-25 00:00:00.000,24.229166666666664,-13.18888888888889,10.911,11.194,103.7,5.1,24.2,4.96,161.7,7,70.5
2025-07-30 00:00:00.000,24.264999999999997,-13.351944444444444,10.842,11.199,108.1,4.9,24.1,5.11,174.1,7,70.6
2025-08-04 00:00:00.000,24.264999999999997,-13.526944444444446,10.775,11.203,112.5,4.8,24.1,5.43,185.4,7,70.7
2025-08-09 00:00:00.000,24.22958333333333,-13.711944444444443,10.712,11.208,117.0,4.6,24.1,5.9,195.2,7,70.8
2025-08-14 00:00:00.000,24.159166666666664,-13.905833333333334,10.651,11.212,121.4,4.4,24.1,6.46,203.3,7,71.0
2025-08-19 00:00:00.000,24.054166666666664,-14.106944444444444,10.594,11.216,125.8,4.2,24.1,7.08,210.2,7,71.1
2025-08-24 00:00:00.000,23.915,-14.313333333333334,10.542,11.221,130.1,3.9,24.0,7.72,215.9,7,71.3
