Date,RA,Dec,Delta,r,Elongation,Phase,V,Proper motion,Direction,Uncertainty 3sig,Unc. P.A.
2023-09-24 00:00:00.000,315.92875,-12.015833333333333,11.029,11.752,134.3,3.5,24.9,5.91,244.3,23,76.6
2023-09-29 00:00:00.000,315.7620833333333,-12.0975,11.097,11.756,129.2,3.8,24.9,5.02,242.2,23,76.7
2023-10-04 00:00:00.000,315.6266666666666,-12.171666666666667,11.169,11.76,124.2,4.0,25.0,4.09,239.0,23,76.8
2023-10-09 00:00:00.000,315.52374999999995,-12.237499999999999,11.245,11.764,119.2,4.3,25.0,3.13,233.9,23,76.8
2023-10-14 00:00:00.000,315.4541666666666,-12.294722222222221,11.325,11.768,114.2,4.4,25.0,2.19,224.1,22,76.9
2023-10-19 00:00:00.000,315.41999999999996,-12.342222222222222,11.408,11.773,109.2,4.6,25.0,1.38,201.0,22,76.9
2023-10-24 00:00:00.000,315.4208333333333,-12.380277777777778,11.493,11.777,104.2,4.7,25.1,1.13,151.1,22,77.0
2023-10-29 00:00:00.000,315.4570833333333,-12.408055555555556,11.58,11.781,99.3,4.8,25.1,1.72,113.3,22,77.0
2023-11-03 00:00:00.000,315.5283333333333,-12.425555555555555,11.668,11.785,94.3,4.8,25.1,2.62,98.1,22,77.0
2023-11-08 00:00:00.000,315.63416666666666,-12.4325,11.757,11.789,89.4,4.8,25.1,3.61,90.9,22,77.0
2024-05-16 00:00:00.000,328.7854166666666,-8.381388888888889,11.939,11.934,87.3,4.9,25.2,3.75,59.8,27,74.2
2024-05-21 00:00:00.000,328.87874999999997,-8.323888888888888,11.859,11.937,92.0,4.9,25.2,2.78,55.9,28,74.1
2024-05-26 00:00:00.000,328.94041666666664,-8.277777777777779,11.78,11.941,96.7,4.8,25.2,1.82,48.0,28,74.1
2024-05-31 00:00:00.000,328.96958333333333,-8.243055555555555,11.702,11.944,101.4,4.8,25.1,0.95,24.3,28,74.1
2024-06-05 00:00:00.000,328.96666666666664,-8.22,11.625,11.948,106.2,4.7,25.1,0.76,311.3,28,74.1
2024-06-10 00:00:00.000,328.93125,-8.209444444444443,11.549,11.951,111.0,4.5,25.1,1.54,275.2,29,74.1
2024-06-15 00:00:00.000,328.86375,-8.210833333333333,11.477,11.955,115.8,4.4,25.1,2.48,264.8,29,74.1
2024-06-20 00:00:00.000,328.765,-8.224444444444444,11.407,11.958,120.7,4.2,25.1,3.43,260.2,29,74.1
2024-06-25 00:00:00.000,328.6366666666666,-8.249722222222221,11.342,11.962,125.6,4.0,25.0,4.36,257.5,29,74.1
2024-06-30 00:00:00.000,328.47916666666663,-8.286944444444444,11.28,11.965,130.5,3.7,25.0,5.25,255.8,29,74.1
2024-10-03 00:00:00.000,323.42833333333334,-10.153611111111111,11.33,12.027,132.4,3.5,25.0,5.54,242.2,28,75.3
2024-10-08 00:00:00.000,323.27708333333334,-10.235277777777776,11.398,12.03,127.3,3.8,25.0,4.64,240.0,28,75.4
2024-10-13 00:00:00.000,323.1566666666667,-10.308055555555557,11.471,12.033,122.2,4.0,25.1,3.7,236.5,27,75.4
2024-10-18 00:00:00.000,323.0683333333333,-10.37138888888889,11.548,12.036,117.2,4.2,25.1,2.75,230.7,27,75.5
2024-10-23 00:00:00.000,323.0125,-10.424444444444443,11.628,12.039,112.2,4.4,25.1,1.84,218.7,27,75.5
2024-10-28 00:00:00.000,322.99041666666665,-10.466944444444444,11.711,12.042,107.2,4.5,25.1,1.12,187.8,27,75.6
2024-11-02 00:00:00.000,323.0020833333333,-10.498333333333333,11.797,12.045,102.2,4.6,25.2,1.16,132.2,27,75.6
2024-11-07 00:00:00.000,323.04833333333335,-10.51888888888889,11.883,12.048,97.2,4.7,25.2,1.92,103.2,27,75.6
2024-11-12 00:00:00.000,323.12875,-10.527500000000002,11.971,12.051,92.3,4.7,25.2,2.86,91.9,26,75.6
2024-11-17 00:00:00.000,323.2420833333333,-10.525,12.059,12.054,87.4,4.7,25.2,3.84,86.3,26,75.6
2025-05-26 00:00:00.000,335.84999999999997,-6.21,12.125,12.156,89.3,4.8,25.3,3.2,58.8,33,73.2
2025-05-31 00:00:00.000,335.9262499999999,-6.160833333333334,12.045,12.158,94.0,4.8,25.2,2.22,54.3,33,73.2
2025-06-05 00:00:00.000,335.97124999999994,-6.123611111111111,11.965,12.16,98.7,4.7,25.2,1.28,43.1,33,73.2
2025-06-10 00:00:00.000,335.98499999999996,-6.0986111111111105,11.886,12.163,103.5,4.7,25.2,0.57,354.2,34,73.2
2025-06-15 00:00:00.000,335.9675,-6.086111111111111,11.808,12.165,108.3,4.5,25.2,1.0,280.9,34,73.2
2025-06-20 00:00:00.000,335.91874999999993,-6.086111111111111,11.733,12.167,113.1,4.4,25.2,1.92,264.4,34,73.2
2025-06-25 00:00:00.000,335.8395833333333,-6.0986111111111105,11.661,12.17,117.9,4.2,25.1,2.87,258.6,34,73.2
2025-06-30 00:00:00.000,335.73041666666666,-6.123611111111111,11.592,12.172,122.8,4.0,25.1,3.81,255.7,35,73.2
2025-07-05 00:00:00.000,335.5925,-6.161111111111111,11.526,12.174,127.7,3.8,25.1,4.72,254.0,35,73.2
