Date,RA,Dec,Delta,r,Elongation,Phase,V,Proper motion,Direction,Uncertainty 3sig,Unc. P.A.
2023-09-09 00:00:00.000,77.52,23.299166666666668,8.491,8.502,87.2,6.8,26.5,4.69,76.3,100195,77.3
2023-09-14 00:00:00.000,77.66041666666666,23.334444444444443,8.402,8.495,91.9,6.8,26.5,3.32,72.4,99012,77.5
2023-09-19 00:00:00.000,77.74874999999999,23.366111111111113,8.312,8.489,96.7,6.8,26.4,1.93,62.4,97709,77.7
2023-09-24 00:00:00.000,77.78416666666666,23.394166666666667,8.224,8.482,101.6,6.7,26.4,0.82,16.7,96323,77.9
2023-09-29 00:00:00.000,77.76583333333332,23.418333333333333,8.137,8.476,106.5,6.5,26.4,1.43,298.1,94893,78.0
2023-10-04 00:00:00.000,77.6925,23.43888888888889,8.051,8.469,111.5,6.3,26.4,2.82,281.3,93453,78.0
2023-10-09 00:00:00.000,77.56458333333333,23.455277777777777,7.969,8.462,116.5,6.1,26.3,4.31,275.8,92035,78.0
2023-10-14 00:00:00.000,77.38125,23.467499999999998,7.889,8.455,121.6,5.8,26.3,5.8,273.0,90671,78.0
2023-10-19 00:00:00.000,77.14375,23.475555555555555,7.814,8.448,126.8,5.4,26.2,7.27,271.3,89389,77.9
2023-10-24 00:00:00.000,76.85416666666666,23.478888888888886,7.743,8.441,132.0,5.0,26.2,8.67,270.2,88211,77.7
2024-01-17 00:00:00.000,68.59833333333333,22.97111111111111,7.597,8.314,134.3,4.9,26.1,9.58,264.4,89534,70.7
2024-01-22 00:00:00.000,68.27833333333332,22.942777777777778,7.652,8.306,129.0,5.3,26.2,8.16,264.6,90748,70.2
2024-01-27 00:00:00.000,68.01083333333332,22.92,7.712,8.298,123.6,5.7,26.2,6.68,265.0,92064,69.7
2024-02-01 00:00:00.000,67.7975,22.903888888888886,7.777,8.29,118.4,6.0,26.2,5.14,265.7,93480,69.3
2024-02-06 00:00:00.000,67.64041666666665,22.894444444444446,7.844,8.282,113.1,6.3,26.2,3.57,267.2,94993,68.9
2024-02-11 00:00:00.000,67.53999999999999,22.8925,7.915,8.273,108.0,6.5,26.3,1.97,271.6,96604,68.5
2024-02-16 00:00:00.000,67.49749999999999,22.898055555555555,7.989,8.265,102.9,6.7,26.3,0.48,306.6,98310,68.1
2024-02-21 00:00:00.000,67.51208333333334,22.911388888888887,8.063,8.257,97.9,6.8,26.3,1.29,66.6,100110,67.7
2024-02-26 00:00:00.000,67.58291666666666,22.932222222222222,8.139,8.248,92.9,6.9,26.3,2.81,74.8,102003,67.3
2024-03-02 00:00:00.000,67.70833333333333,22.960555555555555,8.215,8.24,88.0,6.9,26.4,4.32,77.2,103989,67.0
2024-09-18 00:00:00.000,89.57666666666665,25.416666666666668,7.862,7.85,85.6,7.3,26.2,6.13,77.4,269821,67.5
2024-09-23 00:00:00.000,89.77041666666665,25.461666666666666,7.769,7.839,90.3,7.4,26.2,4.71,73.2,274286,67.7
