Date,RA,Dec,Delta,r,Elongation,Phase,V,Proper motion,Direction,Uncertainty 3sig,Unc. P.A.
2023-08-15 00:00:00.000,283.3374999999999,8.8325,12.153,12.872,133.5,3.3,23.4,6.79,237.8,21584,288.4
2023-08-20 00:00:00.000,283.1558333333333,8.706388888888888,12.205,12.879,130.0,3.5,23.4,6.38,231.9,21678,288.4
2023-08-25 00:00:00.000,282.9995833333333,8.570833333333333,12.262,12.886,126.3,3.6,23.4,5.97,225.2,21774,288.4
2023-08-30 00:00:00.000,282.87041666666664,8.426666666666666,12.323,12.894,122.5,3.8,23.5,5.58,217.6,21869,288.4
2023-09-04 00:00:00.000,282.7704166666667,8.276111111111112,12.389,12.901,118.5,3.9,23.5,5.26,208.9,21964,288.4
2023-09-09 00:00:00.000,282.69999999999993,8.120555555555557,12.457,12.908,114.5,4.1,23.5,5.01,199.1,22057,288.4
2023-09-14 00:00:00.000,282.6604166666666,7.961111111111111,12.529,12.915,110.5,4.2,23.5,4.87,188.3,22149,288.4
2023-09-19 00:00:00.000,282.6529166666666,7.799722222222222,12.604,12.923,106.4,4.3,23.5,4.86,177.1,22239,288.4
2023-09-24 00:00:00.000,282.67749999999995,7.638055555555555,12.68,12.93,102.2,4.3,23.6,4.99,166.0,22325,288.5
2023-09-29 00:00:00.000,282.73416666666657,7.4775,12.758,12.937,98.1,4.4,23.6,5.25,155.7,22407,288.5
2023-10-04 00:00:00.000,282.8225,7.319722222222222,12.837,12.945,93.9,4.4,23.6,5.62,146.5,22484,288.5
2023-10-09 00:00:00.000,282.9425,7.165555555555556,12.917,12.952,89.8,4.4,23.6,6.09,138.4,22556,288.5
2023-10-14 00:00:00.000,283.09416666666664,7.016666666666667,12.997,12.959,85.6,4.4,23.6,6.62,131.4,22622,288.5
2024-04-16 00:00:00.000,295.67208333333326,9.677222222222222,13.249,13.234,86.9,4.3,23.7,7.15,22.0,21020,288.4
2024-04-21 00:00:00.000,295.74749999999995,9.896388888888888,13.185,13.241,91.0,4.4,23.7,6.75,15.2,20994,288.4
2024-04-26 00:00:00.000,295.79208333333327,10.110833333333334,13.121,13.249,95.1,4.3,23.7,6.41,7.7,20975,288.4
2024-05-01 00:00:00.000,295.8058333333333,10.319166666666666,13.058,13.256,99.2,4.3,23.7,6.15,359.6,20962,288.4
2024-05-06 00:00:00.000,295.78874999999994,10.520555555555557,12.996,13.264,103.3,4.2,23.7,5.99,350.9,20956,288.4
2024-05-11 00:00:00.000,295.7416666666666,10.712777777777777,12.936,13.271,107.3,4.2,23.6,5.92,342.0,20957,288.4
2024-05-16 00:00:00.000,295.66499999999996,10.895,12.878,13.279,111.3,4.1,23.6,5.94,333.1,20964,288.4
2024-05-21 00:00:00.000,295.56,11.065833333333334,12.822,13.286,115.3,3.9,23.6,6.05,324.7,20978,288.4
2024-05-26 00:00:00.000,295.42791666666665,11.223611111111111,12.771,13.294,119.2,3.8,23.6,6.23,316.8,20998,288.4
2024-05-31 00:00:00.000,295.2704166666667,11.368055555555555,12.722,13.301,123.0,3.7,23.6,6.47,309.4,21025,288.4
2024-06-05 00:00:00.000,295.08875,11.497222222222222,12.678,13.309,126.7,3.5,23.6,6.74,302.7,21058,288.5
2024-06-10 00:00:00.000,294.88499999999993,11.610555555555555,12.638,13.316,130.2,3.3,23.6,7.03,296.6,21097,288.5
2024-06-15 00:00:00.000,294.66166666666663,11.706944444444444,12.603,13.324,133.6,3.2,23.5,7.31,291.1,21142,288.5
2024-08-24 00:00:00.000,291.09416666666664,11.198055555555555,12.723,13.429,132.7,3.2,23.6,6.77,231.2,22262,288.7
2024-08-29 00:00:00.000,290.92708333333326,11.051944444444445,12.775,13.437,129.3,3.3,23.6,6.42,225.3,22361,288.8
2024-09-03 00:00:00.000,290.78499999999997,10.897222222222222,12.832,13.445,125.7,3.5,23.6,6.08,218.7,22461,288.8
2024-09-08 00:00:00.000,290.66999999999996,10.73611111111111,12.893,13.452,121.9,3.6,23.6,5.75,211.2,22559,288.8
2024-09-13 00:00:00.000,290.5833333333333,10.57,12.958,13.46,118.0,3.8,23.7,5.47,202.9,22657,288.8
2024-09-18 00:00:00.000,290.5258333333333,10.400833333333333,13.026,13.467,114.1,3.9,23.7,5.26,193.8,22751,288.8
2024-09-23 00:00:00.000,290.49875,10.23,13.098,13.475,110.1,4.0,23.7,5.15,184.0,22843,288.8
