Date,RA,Dec,Delta,r,Elongation,Phase,V,Proper motion,Direction,Uncertainty 3sig,Unc. P.A.
2023-08-20 00:00:00.000,60.01208333333333,1.365,14.23,14.237,88.4,4.1,25.3,4.5,146.5,3,284.9
2023-08-25 00:00:00.000,60.08125,1.2361111111111112,14.165,14.252,92.9,4.1,25.3,4.3,157.5,3,285.0
2023-08-30 00:00:00.000,60.121666666666655,1.1005555555555557,14.1,14.266,97.4,4.0,25.3,4.24,169.2,3,285.0
2023-09-04 00:00:00.000,60.13375,0.9588888888888888,14.037,14.281,102.0,4.0,25.3,4.33,180.8,3,285.1
2023-09-09 00:00:00.000,60.11749999999999,0.8119444444444445,13.975,14.295,106.6,3.9,25.3,4.57,191.7,3,285.2
2023-09-14 00:00:00.000,60.072083333333325,0.6608333333333334,13.915,14.31,111.2,3.8,25.2,4.93,201.3,3,285.3
2023-09-19 00:00:00.000,59.99833333333333,0.5061111111111111,13.858,14.325,115.8,3.6,25.2,5.37,209.4,3,285.5
2023-09-24 00:00:00.000,59.89666666666666,0.3491666666666666,13.804,14.339,120.4,3.5,25.2,5.86,216.2,3,285.6
2023-09-29 00:00:00.000,59.76791666666666,0.19083333333333333,13.754,14.353,125.1,3.3,25.2,6.38,221.9,3,285.7
2023-10-04 00:00:00.000,59.61291666666666,0.03277777777777778,13.709,14.368,129.6,3.1,25.2,6.9,226.7,3,285.9
2023-10-09 00:00:00.000,59.433749999999996,-0.12416666666666668,13.668,14.382,134.2,2.9,25.2,7.41,230.8,3,286.0
2023-12-28 00:00:00.000,55.176666666666655,-1.5769444444444445,13.921,14.61,133.0,2.8,25.2,6.46,271.3,3,288.2
2024-01-02 00:00:00.000,54.97208333333333,-1.5655555555555556,13.994,14.624,128.3,3.0,25.3,5.82,275.2,3,288.3
2024-01-07 00:00:00.000,54.790833333333325,-1.5419444444444443,14.071,14.638,123.6,3.2,25.3,5.16,280.0,3,288.3
2024-01-12 00:00:00.000,54.63374999999999,-1.5058333333333334,14.153,14.652,118.8,3.4,25.3,4.49,286.2,3,288.3
2024-01-17 00:00:00.000,54.50333333333333,-1.458611111111111,14.238,14.666,114.0,3.5,25.3,3.85,294.3,3,288.3
2024-01-22 00:00:00.000,54.39999999999999,-1.4005555555555556,14.326,14.68,109.2,3.6,25.4,3.28,305.2,3,288.3
2024-01-27 00:00:00.000,54.32416666666666,-1.3327777777777778,14.417,14.694,104.5,3.7,25.4,2.85,319.7,3,288.3
2024-02-01 00:00:00.000,54.27708333333332,-1.2561111111111112,14.51,14.708,99.7,3.8,25.4,2.62,337.8,3,288.2
2024-02-06 00:00:00.000,54.258333333333326,-1.1711111111111112,14.605,14.722,94.9,3.8,25.4,2.66,357.2,3,288.2
2024-02-11 00:00:00.000,54.26833333333333,-1.0791666666666666,14.699,14.736,90.2,3.8,25.4,2.95,14.3,3,288.1
2024-02-16 00:00:00.000,54.30708333333333,-0.9811111111111112,14.794,14.75,85.5,3.8,25.5,3.41,27.5,3,288.0
2024-08-24 00:00:00.000,63.74291666666666,-0.008888888888888889,15.241,15.262,89.3,3.8,25.6,4.36,151.7,4,284.9
2024-08-29 00:00:00.000,63.79875,-0.13999999999999999,15.176,15.276,93.8,3.8,25.6,4.21,162.4,4,285.0
2024-09-03 00:00:00.000,63.82749999999999,-0.2763888888888889,15.111,15.289,98.3,3.7,25.6,4.2,173.6,4,285.1
2024-09-08 00:00:00.000,63.82958333333332,-0.41805555555555557,15.047,15.302,102.8,3.7,25.6,4.32,184.6,4,285.2
2024-09-13 00:00:00.000,63.80458333333333,-0.5633333333333334,14.985,15.315,107.3,3.6,25.5,4.56,194.7,4,285.3
2024-09-18 00:00:00.000,63.7525,-0.7116666666666667,14.925,15.328,111.9,3.5,25.5,4.89,203.6,4,285.4
2024-09-23 00:00:00.000,63.67416666666666,-0.8616666666666667,14.868,15.341,116.4,3.4,25.5,5.29,211.2,4,285.5
2024-09-28 00:00:00.000,63.57,-1.0130555555555556,14.814,15.354,121.0,3.2,25.5,5.74,217.7,4,285.7
2024-10-03 00:00:00.000,63.440416666666664,-1.1638888888888888,14.764,15.367,125.5,3.0,25.5,6.21,223.3,4,285.8
2024-10-08 00:00:00.000,63.286249999999995,-1.313611111111111,14.719,15.38,130.0,2.9,25.5,6.67,228.1,4,285.9
2024-10-13 00:00:00.000,63.10958333333333,-1.4608333333333332,14.679,15.393,134.4,2.7,25.5,7.12,232.2,4,286.1
2025-01-01 00:00:00.000,59.054583333333326,-2.6566666666666667,14.929,15.597,131.4,2.7,25.5,6.09,275.8,4,288.1
2025-01-06 00:00:00.000,58.86249999999999,-2.63,15.0,15.61,126.8,2.9,25.5,5.52,280.2,4,288.2
2025-01-11 00:00:00.000,58.692499999999995,-2.5919444444444446,15.076,15.622,122.2,3.1,25.6,4.93,285.5,3,288.2
2025-01-16 00:00:00.000,58.54583333333333,-2.542777777777778,15.156,15.635,117.5,3.2,25.6,4.35,292.1,3,288.2
2025-01-21 00:00:00.000,58.42374999999999,-2.4833333333333334,15.24,15.648,112.8,3.3,25.6,3.81,300.5,3,288.2
2025-01-26 00:00:00.000,58.32749999999999,-2.4141666666666666,15.326,15.66,108.1,3.4,25.6,3.34,311.4,3,288.2
2025-01-31 00:00:00.000,58.25708333333333,-2.3361111111111112,15.416,15.673,103.4,3.5,25.7,2.99,325.3,3,288.1
2025-02-05 00:00:00.000,58.21375,-2.2505555555555556,15.506,15.685,98.7,3.6,25.7,2.82,341.6,3,288.1
2025-02-10 00:00:00.000,58.1975,-2.1577777777777776,15.598,15.698,94.0,3.6,25.7,2.87,358.4,3,288.0
2025-02-15 00:00:00.000,58.20833333333333,-2.0594444444444444,15.691,15.71,89.3,3.6,25.7,3.12,13.4,3,287.9
2025-08-24 00:00:00.000,66.98375,-1.0913888888888887,16.207,16.17,86.1,3.6,25.8,4.43,147.4,4,284.9
2025-08-29 00:00:00.000,67.05083333333333,-1.218888888888889,16.141,16.182,90.5,3.6,25.8,4.23,157.2,4,284.9
2025-09-03 00:00:00.000,67.09291666666667,-1.351388888888889,16.075,16.194,95.0,3.6,25.8,4.14,167.6,4,285.0
2025-09-08 00:00:00.000,67.11,-1.4883333333333333,16.01,16.206,99.4,3.5,25.8,4.17,178.2,4,285.1
2025-09-13 00:00:00.000,67.10166666666666,-1.6288888888888888,15.946,16.217,103.9,3.5,25.8,4.31,188.5,4,285.2
2025-09-18 00:00:00.000,67.0675,-1.7722222222222221,15.884,16.229,108.4,3.4,25.8,4.56,198.0,4,285.3
2025-09-23 00:00:00.000,67.00791666666666,-1.9174999999999998,15.824,16.241,112.9,3.3,25.8,4.88,206.4,4,285.4
2025-09-28 00:00:00.000,66.92291666666665,-2.063611111111111,15.767,16.252,117.4,3.1,25.8,5.26,213.6,4,285.5
2025-10-03 00:00:00.000,66.81375,-2.209166666666667,15.714,16.264,121.8,3.0,25.7,5.67,219.8,4,285.7
2025-10-08 00:00:00.000,66.68124999999999,-2.3533333333333335,15.665,16.276,126.2,2.8,25.7,6.09,225.2,4,285.8
2025-10-13 00:00:00.000,66.52625,-2.495,15.62,16.287,130.6,2.7,25.7,6.51,229.8,4,285.9
2025-10-18 00:00:00.000,66.35,-2.6330555555555555,15.581,16.299,134.9,2.5,25.7,6.91,233.9,4,286.1
2026-01-01 00:00:00.000,62.65874999999999,-3.631111111111111,15.772,16.47,134.0,2.5,25.7,6.25,276.0,4,288.0
2026-01-06 00:00:00.000,62.46,-3.6033333333333335,15.838,16.482,129.6,2.6,25.8,5.76,280.1,4,288.0
2026-01-11 00:00:00.000,62.280833333333334,-3.5641666666666665,15.908,16.493,125.1,2.8,25.8,5.24,284.8,4,288.0
