Date,RA,Dec,Delta,r,Elongation,Phase,V,Proper motion,Direction,Uncertainty 3sig,Unc. P.A.
2023-09-09 00:00:00.000,80.07791666666665,-10.099166666666667,6.314,6.357,87.9,9.1,24.3,6.1,144.4,228862,301.0
2023-09-14 00:00:00.000,80.16583333333331,-10.270000000000001,6.233,6.346,91.9,9.1,24.3,5.51,162.8,225828,300.0
2023-09-19 00:00:00.000,80.18708333333332,-10.449166666666667,6.152,6.335,95.9,9.1,24.3,5.49,184.0,222911,299.0
2023-09-24 00:00:00.000,80.13916666666665,-10.633888888888889,6.072,6.324,100.0,9.0,24.2,6.11,203.7,220108,298.1
2023-09-29 00:00:00.000,80.01999999999998,-10.820833333333333,5.993,6.313,104.1,8.9,24.2,7.24,219.2,217416,297.3
2023-10-04 00:00:00.000,79.82791666666665,-11.006666666666666,5.915,6.302,108.3,8.7,24.1,8.72,230.7,214833,296.5
2023-10-09 00:00:00.000,79.56166666666665,-11.188055555555556,5.84,6.291,112.5,8.4,24.1,10.41,239.2,212355,295.7
2023-10-14 00:00:00.000,79.22,-11.360277777777778,5.768,6.279,116.6,8.2,24.1,12.22,245.9,209979,295.0
2023-10-19 00:00:00.000,78.80375,-11.519444444444446,5.699,6.268,120.8,7.8,24.0,14.07,251.2,207702,294.3
2023-10-24 00:00:00.000,78.31416666666665,-11.660277777777779,5.635,6.257,124.9,7.5,24.0,15.91,255.8,205523,293.6
2023-10-29 00:00:00.000,77.755,-11.77888888888889,5.575,6.245,128.8,7.1,23.9,17.71,259.7,203438,293.0
2023-11-03 00:00:00.000,77.12916666666666,-11.870555555555557,5.519,6.234,132.6,6.7,23.9,19.44,263.2,201442,292.4
2024-01-02 00:00:00.000,67.28875,-9.730277777777777,5.378,6.092,133.1,6.8,23.8,25.63,301.6,183660,292.0
2024-01-07 00:00:00.000,66.57833333333332,-9.26361111111111,5.412,6.08,129.1,7.2,23.8,24.87,305.8,182626,292.1
2024-01-12 00:00:00.000,65.92833333333333,-8.762222222222222,5.451,6.068,124.9,7.6,23.8,24.02,310.2,181652,292.1
2024-01-17 00:00:00.000,65.34374999999999,-8.230555555555556,5.495,6.056,120.6,8.0,23.9,23.11,315.1,180736,292.1
2024-01-22 00:00:00.000,64.83041666666665,-7.673055555555556,5.544,6.043,116.2,8.4,23.9,22.2,320.3,179876,292.1
2024-01-27 00:00:00.000,64.39041666666665,-7.0938888888888885,5.597,6.031,111.7,8.7,23.9,21.34,325.8,179069,292.1
2024-02-01 00:00:00.000,64.02541666666666,-6.497222222222223,5.653,6.018,107.2,9.0,24.0,20.57,331.7,178314,292.0
2024-02-06 00:00:00.000,63.73708333333333,-5.886944444444444,5.713,6.006,102.6,9.2,24.0,19.92,338.0,177608,292.0
2024-02-11 00:00:00.000,63.525833333333324,-5.266666666666667,5.775,5.993,98.1,9.4,24.0,19.42,344.6,176950,291.9
2024-02-16 00:00:00.000,63.39041666666665,-4.6402777777777775,5.838,5.981,93.5,9.5,24.0,19.08,351.2,176338,291.9
2024-02-21 00:00:00.000,63.33,-4.011111111111111,5.902,5.968,89.0,9.5,24.1,18.91,357.8,175768,291.8
2024-09-18 00:00:00.000,86.40166666666666,11.529444444444445,5.312,5.386,88.9,10.7,23.7,6.12,37.6,145365,286.1
2024-09-23 00:00:00.000,86.49041666666665,11.693333333333333,5.215,5.372,93.6,10.7,23.6,5.19,16.4,144373,286.1
2024-09-28 00:00:00.000,86.49958333333332,11.862222222222222,5.119,5.357,98.3,10.7,23.6,5.25,349.6,143387,286.1
2024-10-03 00:00:00.000,86.42416666666665,12.038055555555555,5.023,5.341,103.2,10.5,23.5,6.42,327.1,142406,286.2
2024-10-08 00:00:00.000,86.26083333333332,12.2225,4.929,5.326,108.2,10.3,23.5,8.35,312.8,141430,286.2
2024-10-13 00:00:00.000,86.00583333333333,12.417222222222222,4.837,5.311,113.3,9.9,23.4,10.68,304.3,140458,286.2
2024-10-18 00:00:00.000,85.6575,12.623611111111112,4.747,5.296,118.5,9.5,23.3,13.22,298.9,139491,286.2
2024-10-23 00:00:00.000,85.21416666666667,12.843055555555557,4.662,5.281,123.8,9.0,23.3,15.89,295.3,138527,286.2
2024-10-28 00:00:00.000,84.67499999999998,13.076666666666666,4.581,5.265,129.2,8.4,23.2,18.62,292.8,137567,286.2
2024-11-02 00:00:00.000,84.03999999999998,13.325,4.504,5.25,134.7,7.7,23.1,21.33,291.1,136610,286.2
2025-01-16 00:00:00.000,69.00999999999999,18.595277777777778,4.279,5.015,134.3,8.1,22.9,26.22,297.9,122273,285.3
2025-01-21 00:00:00.000,68.24,19.00611111111111,4.326,4.999,128.6,8.9,23.0,23.96,301.1,121286,285.1
2025-01-26 00:00:00.000,67.56541666666665,19.420833333333334,4.379,4.983,122.9,9.5,23.0,21.65,305.2,120288,284.9
2025-01-31 00:00:00.000,66.99125,19.83861111111111,4.436,4.967,117.4,10.1,23.1,19.39,310.5,119280,284.7
2025-02-05 00:00:00.000,66.52083333333333,20.259722222222223,4.497,4.951,112.0,10.6,23.1,17.3,317.1,118259,284.5
2025-02-10 00:00:00.000,66.155,20.683611111111112,4.562,4.935,106.6,11.0,23.2,15.5,325.3,117225,284.2
2025-02-15 00:00:00.000,65.89208333333333,21.110000000000003,4.628,4.92,101.4,11.4,23.2,14.12,335.2,116177,283.9
2025-02-20 00:00:00.000,65.73124999999999,21.538611111111113,4.696,4.904,96.3,11.6,23.2,13.26,346.5,115113,283.6
2025-02-25 00:00:00.000,65.67041666666665,21.96944444444444,4.765,4.888,91.3,11.7,23.2,12.97,358.5,114033,283.3
2025-03-02 00:00:00.000,65.70624999999998,22.402777777777775,4.834,4.872,86.3,11.7,23.3,13.23,10.0,112935,283.0
2025-10-03 00:00:00.000,105.20541666666665,45.35388888888889,4.111,4.203,88.3,13.8,22.7,31.93,24.1,90853,89.5
2025-10-08 00:00:00.000,105.77499999999999,46.35138888888889,4.022,4.188,92.6,13.8,22.6,32.53,19.3,90848,90.0
2025-10-13 00:00:00.000,106.23791666666666,47.401666666666664,3.934,4.173,96.8,13.7,22.6,33.34,14.3,90797,270.4
2025-10-18 00:00:00.000,106.57874999999999,48.50555555555555,3.848,4.158,101.1,13.6,22.5,34.34,9.1,90701,270.8
2025-10-23 00:00:00.000,106.78124999999999,49.66166666666666,3.765,4.143,105.5,13.4,22.4,35.54,4.0,90557,271.2
2025-10-28 00:00:00.000,106.82749999999999,50.867777777777775,3.685,4.128,109.7,13.1,22.4,36.89,358.9,90367,271.5
2025-11-02 00:00:00.000,106.69916666666664,52.11888888888889,3.608,4.113,114.0,12.7,22.3,38.37,353.9,90129,271.8
2025-11-07 00:00:00.000,106.37624999999997,53.40861111111111,3.537,4.098,118.1,12.3,22.2,39.92,349.0,89845,272.1
2025-11-12 00:00:00.000,105.83624999999998,54.72777777777778,3.47,4.083,122.1,11.8,22.2,41.5,344.1,89514,272.3
2025-11-17 00:00:00.000,105.05458333333333,56.06444444444444,3.408,4.069,126.0,11.3,22.1,43.01,339.2,89137,272.4
2025-11-22 00:00:00.000,104.00833333333333,57.40361111111111,3.353,4.054,129.5,10.8,22.0,44.38,334.4,88715,272.6
2025-11-27 00:00:00.000,102.67708333333331,58.72638888888889,3.305,4.04,132.7,10.3,22.0,45.51,329.6,88248,272.7
2026-01-06 00:00:00.000,82.27208333333333,66.19555555555556,3.182,3.926,133.7,10.4,21.8,39.72,287.1,82965,272.4
2026-01-11 00:00:00.000,79.18041666666666,66.51194444444444,3.199,3.912,130.7,11.0,21.9,37.0,281.5,82120,272.3
2026-01-16 00:00:00.000,76.23499999999999,66.69055555555556,3.222,3.898,127.4,11.6,21.9,33.94,275.8,81235,272.1
2026-01-21 00:00:00.000,73.51458333333332,66.74861111111112,3.25,3.885,123.8,12.1,21.9,30.62,270.3,80310,271.8
2026-01-26 00:00:00.000,71.08166666666666,66.7075,3.283,3.871,120.1,12.7,22.0,27.1,264.7,79346,271.5
2026-01-31 00:00:00.000,68.97499999999998,66.59055555555555,3.32,3.858,116.2,13.2,22.0,23.49,259.1,78344,271.2
2026-02-05 00:00:00.000,67.21416666666667,66.41944444444445,3.361,3.844,112.3,13.7,22.0,19.87,253.2,77304,270.9
2026-02-10 00:00:00.000,65.80499999999999,66.21444444444445,3.405,3.831,108.3,14.2,22.1,16.28,246.6,76226,270.5
2026-02-15 00:00:00.000,64.74291666666666,65.99333333333334,3.45,3.818,104.4,14.5,22.1,12.79,238.3,75111,270.1
2026-02-20 00:00:00.000,64.01583333333332,65.7713888888889,3.498,3.805,100.5,14.8,22.1,9.55,226.8,73959,89.6
2026-02-25 00:00:00.000,63.60624999999999,65.5611111111111,3.546,3.792,96.7,15.0,22.2,6.83,208.0,72771,89.1
2026-03-02 00:00:00.000,63.4925,65.37194444444444,3.595,3.779,93.0,15.2,22.2,5.3,176.3,71549,88.6
2026-03-07 00:00:00.000,63.65333333333333,65.21027777777778,3.644,3.766,89.4,15.3,22.2,5.72,140.1,70292,87.9
2026-03-12 00:00:00.000,64.07041666666666,65.08083333333333,3.692,3.754,85.9,15.3,22.3,7.61,116.3,69003,87.3
2027-02-25 00:00:00.000,263.53166666666664,45.031666666666666,3.272,3.345,85.6,17.2,21.8,18.1,52.6,41120,85.9
2027-03-02 00:00:00.000,264.13124999999997,45.4175,3.248,3.348,87.1,17.2,21.8,16.34,42.0,40182,87.1
2027-03-07 00:00:00.000,264.56749999999994,45.83861111111111,3.223,3.351,88.7,17.2,21.8,14.99,29.3,39215,88.3
2027-03-12 00:00:00.000,264.8291666666666,46.28666666666666,3.197,3.354,90.4,17.2,21.8,14.21,14.5,38222,89.5
2027-03-17 00:00:00.000,264.9070833333333,46.7525,3.171,3.357,92.1,17.2,21.7,14.14,358.6,37205,270.6
2027-03-22 00:00:00.000,264.7933333333333,47.226111111111116,3.145,3.361,93.8,17.2,21.7,14.86,343.1,36165,271.8
2027-03-27 00:00:00.000,264.4791666666667,47.69611111111111,3.119,3.365,95.5,17.2,21.7,16.28,328.9,35105,272.9
2027-04-01 00:00:00.000,263.9579166666666,48.151111111111106,3.093,3.369,97.3,17.1,21.7,18.28,316.6,34027,274.1
2027-04-06 00:00:00.000,263.22249999999997,48.57666666666667,3.069,3.374,99.0,17.0,21.7,20.69,306.0,32931,275.2
2027-04-11 00:00:00.000,262.27125,48.95666666666667,3.045,3.378,100.8,16.9,21.7,23.37,296.8,31819,276.4
2027-04-16 00:00:00.000,261.10708333333326,49.27388888888889,3.022,3.383,102.4,16.8,21.6,26.21,288.7,30695,277.6
2027-04-21 00:00:00.000,259.73875,49.51138888888889,3.001,3.388,104.1,16.7,21.6,29.14,281.4,29560,278.8
2027-04-26 00:00:00.000,258.1795833333333,49.652499999999996,2.982,3.394,105.6,16.6,21.6,32.12,274.7,28415,280.0
2027-05-01 00:00:00.000,256.4491666666666,49.680277777777775,2.966,3.399,107.0,16.5,21.6,35.11,268.3,27262,281.2
2027-05-06 00:00:00.000,254.5741666666666,49.578611111111115,2.952,3.405,108.3,16.3,21.6,38.03,262.2,26103,282.4
2027-05-11 00:00:00.000,252.58749999999992,49.3325,2.941,3.411,109.3,16.2,21.6,40.82,256.3,24939,283.7
2027-05-16 00:00:00.000,250.5304166666666,48.931666666666665,2.934,3.418,110.2,16.1,21.6,43.43,250.6,23773,285.0
2027-05-21 00:00:00.000,248.44416666666663,48.36972222222222,2.931,3.424,110.9,16.0,21.6,45.85,245.1,22607,286.3
