Date,RA,Dec,Delta,r,Elongation,Phase,V,Proper motion,Direction,Uncertainty 3sig,Unc. P.A.
2023-09-29 00:00:00.000,99.3075,14.667499999999999,10.058,10.041,86.2,5.7,26.3,3.84,113.4,39,78.0
2023-10-04 00:00:00.000,99.40833333333333,14.6175,9.974,10.041,91.0,5.7,26.3,2.75,122.4,39,78.1
2023-10-09 00:00:00.000,99.46708333333333,14.569444444444445,9.891,10.041,95.8,5.7,26.2,1.77,142.6,40,78.2
2023-10-14 00:00:00.000,99.48208333333332,14.523888888888889,9.808,10.041,100.7,5.6,26.2,1.33,188.7,40,78.2
2023-10-19 00:00:00.000,99.45291666666667,14.481944444444444,9.727,10.04,105.6,5.5,26.2,1.91,231.0,40,78.3
2023-10-24 00:00:00.000,99.37958333333333,14.443888888888889,9.647,10.04,110.6,5.3,26.2,2.97,248.7,41,78.3
2023-10-29 00:00:00.000,99.2625,14.410277777777779,9.57,10.039,115.6,5.1,26.1,4.14,256.9,41,78.3
2023-11-03 00:00:00.000,99.10208333333331,14.381666666666668,9.497,10.039,120.7,4.9,26.1,5.34,261.6,41,78.2
2023-11-08 00:00:00.000,98.89958333333331,14.358333333333333,9.427,10.038,125.8,4.6,26.1,6.53,264.6,42,78.2
2023-11-13 00:00:00.000,98.65541666666665,14.341111111111111,9.361,10.038,130.9,4.3,26.0,7.68,266.8,42,78.1
2024-02-06 00:00:00.000,91.93333333333332,15.052222222222223,9.3,10.021,134.9,4.0,26.0,8.85,287.2,39,74.3
2024-02-11 00:00:00.000,91.66083333333331,15.14111111111111,9.36,10.02,129.7,4.3,26.0,7.81,290.3,39,74.0
2024-02-16 00:00:00.000,91.42833333333331,15.232222222222223,9.425,10.018,124.5,4.7,26.1,6.72,294.3,38,73.8
2024-02-21 00:00:00.000,91.23833333333332,15.325277777777778,9.495,10.017,119.4,4.9,26.1,5.64,299.9,38,73.6
2024-02-26 00:00:00.000,91.09124999999999,15.419722222222221,9.568,10.015,114.3,5.2,26.1,4.6,308.2,38,73.4
2024-03-02 00:00:00.000,90.98874999999998,15.514722222222222,9.644,10.014,109.2,5.4,26.2,3.68,320.9,37,73.3
2024-03-07 00:00:00.000,90.93083333333333,15.61,9.723,10.012,104.2,5.5,26.2,3.03,340.3,37,73.1
2024-03-12 00:00:00.000,90.91791666666666,15.705,9.803,10.011,99.2,5.6,26.2,2.85,5.7,37,73.0
2024-03-17 00:00:00.000,90.95041666666665,15.799166666666666,9.885,10.009,94.3,5.7,26.2,3.21,29.3,36,72.9
2024-03-22 00:00:00.000,91.02624999999999,15.891666666666666,9.967,10.007,89.5,5.7,26.3,3.94,45.7,36,72.8
2024-10-08 00:00:00.000,107.13,16.100555555555555,9.883,9.904,88.3,5.8,26.2,3.29,109.5,49,80.6
2024-10-13 00:00:00.000,107.21624999999999,16.06638888888889,9.795,9.901,93.2,5.8,26.2,2.09,117.4,50,80.6
2024-10-18 00:00:00.000,107.25874999999999,16.03666666666667,9.708,9.897,98.0,5.7,26.2,1.0,143.8,51,80.7
2024-10-23 00:00:00.000,107.25666666666666,16.0125,9.623,9.894,103.0,5.6,26.1,0.95,227.3,51,80.7
2024-10-28 00:00:00.000,107.21,15.994166666666667,9.538,9.89,108.0,5.5,26.1,2.05,257.1,52,80.7
2024-11-02 00:00:00.000,107.11791666666667,15.982222222222223,9.456,9.886,113.0,5.3,26.1,3.32,265.5,52,80.7
2024-11-07 00:00:00.000,106.98124999999999,15.976666666666667,9.377,9.883,118.1,5.1,26.1,4.6,269.3,52,80.6
2024-11-12 00:00:00.000,106.79999999999997,15.97861111111111,9.301,9.879,123.3,4.8,26.0,5.85,271.6,53,80.6
2024-11-17 00:00:00.000,106.57624999999999,15.987499999999999,9.23,9.875,128.5,4.5,26.0,7.06,273.1,53,80.5
2024-11-22 00:00:00.000,106.31124999999997,16.003888888888888,9.163,9.871,133.7,4.1,26.0,8.23,274.2,53,80.4
2025-02-15 00:00:00.000,99.46041666666666,17.16111111111111,9.104,9.8,132.6,4.3,25.9,8.41,289.0,49,76.1
2025-02-20 00:00:00.000,99.20333333333332,17.251944444444444,9.164,9.795,127.4,4.6,26.0,7.3,291.9,49,75.8
2025-02-25 00:00:00.000,98.98833333333332,17.342222222222222,9.228,9.791,122.2,4.9,26.0,6.15,295.9,48,75.6
2025-03-02 00:00:00.000,98.81708333333333,17.430833333333336,9.296,9.786,117.0,5.2,26.0,5.0,301.9,48,75.4
2025-03-07 00:00:00.000,98.69208333333331,17.517777777777777,9.368,9.781,111.9,5.4,26.1,3.9,311.3,48,75.3
2025-03-12 00:00:00.000,98.61291666666665,17.602222222222224,9.442,9.776,106.8,5.6,26.1,2.97,327.4,47,75.1
2025-03-17 00:00:00.000,98.57999999999998,17.684166666666666,9.518,9.772,101.9,5.7,26.1,2.43,353.4,47,75.0
2025-03-22 00:00:00.000,98.59333333333332,17.763055555555557,9.596,9.767,96.9,5.8,26.1,2.54,24.0,47,74.9
2025-03-27 00:00:00.000,98.65208333333332,17.83861111111111,9.675,9.762,92.0,5.9,26.1,3.21,46.4,46,74.9
2025-04-01 00:00:00.000,98.75583333333331,17.910555555555554,9.754,9.757,87.2,5.9,26.2,4.16,59.8,46,74.8
2025-10-13 00:00:00.000,115.51916666666666,17.314722222222223,9.56,9.529,85.2,6.0,26.1,4.34,100.5,63,83.4
2025-10-18 00:00:00.000,115.64666666666666,17.291944444444447,9.469,9.522,90.0,6.0,26.0,3.07,100.9,64,83.4
2025-10-23 00:00:00.000,115.72916666666666,17.27638888888889,9.378,9.515,94.9,6.0,26.0,1.75,101.6,65,83.5
2025-10-28 00:00:00.000,115.76625,17.26861111111111,9.288,9.508,99.9,5.9,26.0,0.41,105.1,66,83.5
2025-11-02 00:00:00.000,115.75666666666666,17.269166666666667,9.199,9.502,104.8,5.8,26.0,0.96,279.1,66,83.5
2025-11-07 00:00:00.000,115.69999999999999,17.27861111111111,9.111,9.495,109.9,5.6,25.9,2.33,280.3,67,83.5
2025-11-12 00:00:00.000,115.59666666666665,17.297222222222224,9.027,9.488,115.0,5.4,25.9,3.7,280.7,68,83.5
2025-11-17 00:00:00.000,115.44624999999999,17.32472222222222,8.945,9.481,120.2,5.2,25.9,5.06,281.0,68,83.4
2025-11-22 00:00:00.000,115.24999999999999,17.36138888888889,8.867,9.474,125.4,4.9,25.8,6.4,281.2,69,83.3
2025-11-27 00:00:00.000,115.00874999999999,17.4075,8.794,9.466,130.7,4.5,25.8,7.68,281.4,69,83.2
2026-02-25 00:00:00.000,107.64375,19.108611111111113,8.656,9.33,130.6,4.6,25.7,8.15,290.2,64,78.2
2026-03-02 00:00:00.000,107.39583333333333,19.200277777777778,8.714,9.322,125.3,5.0,25.8,6.93,292.7,63,78.0
2026-03-07 00:00:00.000,107.19333333333333,19.287222222222223,8.777,9.314,120.1,5.3,25.8,5.68,296.5,63,77.8
2026-03-12 00:00:00.000,107.0375,19.36888888888889,8.843,9.306,115.0,5.6,25.8,4.42,302.5,62,77.6
2026-03-17 00:00:00.000,106.92999999999998,19.445555555555554,8.912,9.298,109.9,5.8,25.9,3.23,313.3,62,77.4
2026-03-22 00:00:00.000,106.87124999999999,19.51638888888889,8.984,9.29,104.9,5.9,25.9,2.26,334.8,61,77.3
2026-03-27 00:00:00.000,106.8620833333333,19.581666666666667,9.058,9.282,99.9,6.1,25.9,1.91,12.8,61,77.2
2026-04-01 00:00:00.000,106.90083333333331,19.640833333333333,9.133,9.273,95.0,6.2,25.9,2.45,46.6,60,77.2
