Date,RA,Dec,Delta,r,Elongation,Phase,V,Proper motion,Direction,Uncertainty 3sig,Unc. P.A.
2023-07-01 00:00:00.000,229.0970833333333,-21.075,1.52,2.34,133.6,18.3,24.3,29.16,281.8,13151,292.5
2023-07-06 00:00:00.000,228.19791666666663,-20.897777777777776,1.56,2.328,128.0,20.1,24.4,22.31,282.0,12696,292.9
2023-07-11 00:00:00.000,227.5383333333333,-20.767777777777777,1.604,2.316,122.6,21.7,24.5,15.5,281.7,12293,293.1
2023-07-16 00:00:00.000,227.11374999999995,-20.68861111111111,1.65,2.302,117.4,23.1,24.6,8.82,280.5,11951,293.2
2023-07-21 00:00:00.000,226.9170833333333,-20.661388888888887,1.698,2.288,112.5,24.2,24.7,2.43,270.9,11675,293.2
2023-07-26 00:00:00.000,226.93666666666664,-20.685555555555556,1.748,2.273,107.7,25.2,24.8,3.79,113.0,11465,293.1
2023-07-31 00:00:00.000,227.1608333333333,-20.759166666666665,1.799,2.258,103.2,26.0,24.8,9.47,107.9,11321,292.9
2023-08-05 00:00:00.000,227.575,-20.878611111111113,1.85,2.242,98.8,26.6,24.9,14.78,106.7,11241,292.7
2023-08-10 00:00:00.000,228.16749999999996,-21.040555555555557,1.9,2.225,94.6,27.0,24.9,19.76,106.0,11221,292.3
2023-08-15 00:00:00.000,228.9283333333333,-21.241111111111113,1.951,2.207,90.6,27.3,25.0,24.43,105.6,11259,291.9
2023-08-20 00:00:00.000,229.84791666666663,-21.476666666666667,2.0,2.188,86.6,27.5,25.0,28.79,105.2,11352,291.3
2025-03-02 00:00:00.000,254.19124999999997,-22.529722222222222,2.285,2.424,85.9,24.1,25.4,29.98,101.5,8292,285.1
2025-03-07 00:00:00.000,255.1879166666666,-22.721666666666664,2.216,2.428,90.0,24.1,25.4,26.36,102.2,9020,284.2
2025-03-12 00:00:00.000,256.0495833333333,-22.901666666666664,2.147,2.43,94.1,24.1,25.3,22.46,103.5,9792,283.5
2025-03-17 00:00:00.000,256.76458333333335,-23.07111111111111,2.078,2.432,98.5,23.9,25.2,18.26,105.7,10608,282.9
2025-03-22 00:00:00.000,257.31874999999997,-23.231666666666666,2.009,2.434,102.9,23.5,25.2,13.75,110.0,11469,282.4
2025-03-27 00:00:00.000,257.69708333333335,-23.384444444444444,1.94,2.434,107.5,23.0,25.1,9.02,119.7,12370,282.0
2025-04-01 00:00:00.000,257.8829166666667,-23.529999999999998,1.873,2.434,112.3,22.3,25.0,4.86,151.3,13306,281.7
2025-04-06 00:00:00.000,257.86249999999995,-23.668333333333333,1.807,2.433,117.2,21.5,24.9,5.36,221.1,14267,281.6
2025-04-11 00:00:00.000,257.6225,-23.79888888888889,1.744,2.432,122.3,20.4,24.7,10.42,248.7,15242,281.6
2025-04-16 00:00:00.000,257.15124999999995,-23.919722222222223,1.683,2.429,127.6,19.1,24.6,16.57,258.0,16213,281.7
2025-04-21 00:00:00.000,256.43749999999994,-24.0275,1.626,2.427,133.2,17.6,24.5,23.14,262.6,17159,281.9
2025-07-05 00:00:00.000,231.09291666666664,-22.031666666666666,1.497,2.299,131.3,19.4,24.3,27.35,281.9,16251,292.6
2025-07-10 00:00:00.000,230.25499999999997,-21.865000000000002,1.537,2.285,125.8,21.1,24.4,20.34,282.3,15659,292.9
2025-07-15 00:00:00.000,229.66333333333333,-21.744722222222222,1.579,2.27,120.5,22.7,24.5,13.44,282.4,15136,293.1
2025-07-20 00:00:00.000,229.31041666666664,-21.673333333333336,1.624,2.255,115.4,24.0,24.5,6.73,281.8,14688,293.2
2025-07-25 00:00:00.000,229.18791666666667,-21.652777777777775,1.67,2.238,110.5,25.2,24.6,0.32,245.0,14319,293.2
2025-07-30 00:00:00.000,229.2858333333333,-21.681944444444447,1.718,2.221,105.8,26.1,24.7,5.89,105.8,14031,293.1
2025-08-04 00:00:00.000,229.59041666666664,-21.75888888888889,1.766,2.203,101.3,26.8,24.8,11.64,104.9,13823,292.9
2025-08-09 00:00:00.000,230.0883333333333,-21.880277777777778,1.815,2.184,97.0,27.4,24.8,16.98,104.5,13690,292.6
