Date,RA,Dec,Delta,r,Elongation,Phase,V,Proper motion,Direction,Uncertainty 3sig,Unc. P.A.
2024-01-02 00:00:00.000,187.28041666666664,-12.740833333333333,7.783,7.828,89.0,7.2,25.2,6.96,149.9,8.0,304.8
2024-01-07 00:00:00.000,187.3745833333333,-12.932222222222222,7.697,7.825,93.9,7.2,25.1,5.82,159.9,9.0,304.9
2024-01-12 00:00:00.000,187.41666666666663,-13.104444444444445,7.611,7.822,98.8,7.1,25.1,4.89,174.5,9.0,304.9
2024-01-17 00:00:00.000,187.4066666666666,-13.256388888888889,7.526,7.819,103.8,7.0,25.1,4.37,194.2,9.0,305.0
2024-01-22 00:00:00.000,187.3433333333333,-13.386666666666667,7.443,7.816,108.8,6.8,25.0,4.43,216.2,9.0,305.1
2024-01-27 00:00:00.000,187.2270833333333,-13.49472222222222,7.363,7.813,113.8,6.6,25.0,5.06,235.1,9.0,305.2
2024-02-01 00:00:00.000,187.05916666666664,-13.579444444444444,7.285,7.81,118.9,6.3,25.0,6.07,248.9,9.0,305.4
2024-02-06 00:00:00.000,186.8395833333333,-13.640277777777778,7.211,7.806,124.1,6.0,24.9,7.28,258.4,9.0,305.5
2024-02-11 00:00:00.000,186.57041666666666,-13.676666666666666,7.142,7.803,129.2,5.6,24.9,8.57,265.2,9.0,305.7
2024-02-16 00:00:00.000,186.2545833333333,-13.687777777777779,7.077,7.8,134.4,5.2,24.8,9.86,270.2,9.0,305.9
2024-05-11 00:00:00.000,178.82666666666663,-11.32611111111111,7.023,7.736,132.1,5.6,24.8,8.82,302.8,,
2024-05-16 00:00:00.000,178.59833333333333,-11.17361111111111,7.079,7.732,127.1,6.0,24.9,7.41,306.1,,
2024-05-21 00:00:00.000,178.41999999999996,-11.035833333333333,7.14,7.727,122.2,6.4,24.9,5.96,310.7,,
2024-05-26 00:00:00.000,178.29166666666666,-10.914722222222222,7.204,7.723,117.4,6.7,24.9,4.53,318.1,,
2024-05-31 00:00:00.000,178.21416666666667,-10.811388888888889,7.272,7.719,112.6,7.0,25.0,3.21,331.5,,
2024-06-05 00:00:00.000,178.18791666666667,-10.727222222222222,7.343,7.714,107.8,7.2,25.0,2.23,359.4,,
2024-06-10 00:00:00.000,178.21249999999998,-10.663055555555555,7.416,7.71,103.1,7.4,25.0,2.19,42.3,,
2024-06-15 00:00:00.000,178.28749999999997,-10.619444444444445,7.49,7.706,98.5,7.5,25.0,3.1,71.4,,
2024-06-20 00:00:00.000,178.41124999999997,-10.597222222222223,7.565,7.701,93.9,7.6,25.1,4.37,85.4,,
2024-06-25 00:00:00.000,178.58208333333332,-10.596111111111112,7.64,7.697,89.4,7.6,25.1,5.74,92.9,,
2025-01-16 00:00:00.000,199.62416666666667,-21.129444444444445,7.412,7.471,89.6,7.6,25.0,8.04,152.4,,
2025-01-21 00:00:00.000,199.72958333333332,-21.358333333333334,7.324,7.465,94.4,7.6,24.9,6.94,161.9,,
2025-01-26 00:00:00.000,199.7783333333333,-21.56888888888889,7.236,7.458,99.3,7.5,24.9,6.05,174.7,,
2025-01-31 00:00:00.000,199.76958333333332,-21.759444444444444,7.149,7.452,104.2,7.4,24.9,5.51,191.1,,
2025-02-05 00:00:00.000,199.70208333333332,-21.928611111111113,7.064,7.445,109.1,7.2,24.8,5.45,209.6,,
2025-02-10 00:00:00.000,199.57625,-22.075,6.981,7.438,114.0,7.0,24.8,5.9,226.8,,
2025-02-15 00:00:00.000,199.39333333333332,-22.1975,6.902,7.432,119.0,6.7,24.8,6.74,240.6,,
2025-02-20 00:00:00.000,199.15374999999997,-22.295,6.826,7.425,124.0,6.3,24.7,7.83,251.1,,
2025-02-25 00:00:00.000,198.85999999999999,-22.366111111111113,6.755,7.418,129.1,5.9,24.7,9.05,259.0,,
2025-03-02 00:00:00.000,198.5145833333333,-22.41,6.688,7.411,134.1,5.5,24.6,10.3,265.0,,
2025-05-26 00:00:00.000,190.54916666666662,-19.952777777777776,6.579,7.288,131.4,6.0,24.6,9.21,309.7,,
2025-05-31 00:00:00.000,190.325,-19.762777777777778,6.631,7.28,126.6,6.4,24.6,7.81,314.7,,
2025-06-05 00:00:00.000,190.1566666666666,-19.586944444444445,6.687,7.273,121.8,6.8,24.6,6.42,321.7,,
2025-06-10 00:00:00.000,190.04416666666665,-19.427500000000002,6.747,7.265,117.0,7.1,24.7,5.11,332.2,,
2025-06-15 00:00:00.000,189.98833333333332,-19.28611111111111,6.81,7.257,112.3,7.4,24.7,4.03,348.8,,
2025-06-20 00:00:00.000,189.98874999999998,-19.164166666666667,6.876,7.249,107.7,7.7,24.7,3.45,13.6,,
2025-06-25 00:00:00.000,190.04541666666663,-19.063333333333333,6.944,7.242,103.1,7.9,24.8,3.61,41.5,,
2025-06-30 00:00:00.000,190.1570833333333,-18.984166666666667,7.013,7.234,98.5,8.0,24.8,4.44,62.7,,
2025-07-05 00:00:00.000,190.32291666666666,-18.92777777777778,7.083,7.226,94.0,8.1,24.8,5.62,76.1,,
2025-07-10 00:00:00.000,190.54125,-18.894444444444446,7.154,7.218,89.5,8.1,24.8,6.94,84.6,,
2025-07-15 00:00:00.000,190.80916666666664,-18.884166666666665,7.225,7.209,85.1,8.1,24.9,8.3,90.2,,
2026-01-31 00:00:00.000,215.78166666666664,-29.54416666666667,6.819,6.849,87.6,8.3,24.6,10.37,145.8,,
2026-02-05 00:00:00.000,215.97374999999997,-29.823055555555555,6.728,6.839,92.3,8.3,24.6,9.16,152.9,,
2026-02-10 00:00:00.000,216.10125,-30.086944444444445,6.638,6.829,97.0,8.2,24.6,8.06,162.3,,
2026-02-15 00:00:00.000,216.1620833333333,-30.334444444444443,6.549,6.819,101.7,8.2,24.5,7.18,174.5,,
2026-02-20 00:00:00.000,216.15416666666667,-30.563055555555557,6.462,6.809,106.5,8.0,24.5,6.65,189.5,,
2026-02-25 00:00:00.000,216.0770833333333,-30.77111111111111,6.376,6.799,111.3,7.8,24.4,6.59,206.0,,
2026-03-02 00:00:00.000,215.93041666666664,-30.95722222222222,6.294,6.789,116.1,7.5,24.4,7.0,221.7,,
2026-03-07 00:00:00.000,215.71541666666664,-31.11916666666667,6.214,6.778,121.0,7.2,24.4,7.8,235.0,,
2026-03-12 00:00:00.000,215.4333333333333,-31.255277777777778,6.138,6.768,125.8,6.8,24.3,8.87,245.5,,
2026-03-17 00:00:00.000,215.08666666666664,-31.363611111111112,6.067,6.758,130.7,6.4,24.3,10.09,253.8,,
2026-06-10 00:00:00.000,205.9733333333333,-29.11861111111111,5.837,6.576,133.4,6.4,24.1,10.73,312.9,,
2026-06-15 00:00:00.000,205.7058333333333,-28.879444444444445,5.881,6.565,128.7,6.9,24.1,9.35,318.7,,
2026-06-20 00:00:00.000,205.5045833333333,-28.65111111111111,5.93,6.553,124.1,7.4,24.2,7.98,326.5,,
2026-06-25 00:00:00.000,205.37166666666664,-28.436944444444446,5.983,6.542,119.4,7.8,24.2,6.73,337.1,,
2026-06-30 00:00:00.000,205.30666666666664,-28.23888888888889,6.039,6.531,114.8,8.1,24.2,5.73,351.8,,
2026-07-05 00:00:00.000,205.3095833333333,-28.059166666666666,6.098,6.52,110.2,8.4,24.3,5.18,10.8,,
2026-07-10 00:00:00.000,205.37999999999997,-27.9,6.16,6.508,105.7,8.6,24.3,5.24,31.7,,
2026-07-15 00:00:00.000,205.5170833333333,-27.762777777777778,6.223,6.497,101.2,8.8,24.3,5.89,50.1,,
2026-07-20 00:00:00.000,205.7195833333333,-27.648611111111112,6.288,6.486,96.7,9.0,24.4,6.95,63.8,,
2026-07-25 00:00:00.000,205.98541666666662,-27.558055555555555,6.353,6.474,92.3,9.0,24.4,8.23,73.4,,
2026-07-30 00:00:00.000,206.3120833333333,-27.491944444444446,6.419,6.463,88.0,9.0,24.4,9.62,80.3,,
2027-02-20 00:00:00.000,240.28916666666663,-37.05166666666666,5.955,5.955,85.2,9.5,24.1,13.94,130.9,,
2027-02-25 00:00:00.000,240.69291666666666,-37.35305555555556,5.864,5.942,89.7,9.6,24.0,12.51,135.6,,
2027-03-02 00:00:00.000,241.02083333333331,-37.6475,5.773,5.928,94.2,9.6,24.0,11.09,141.8,,
2027-03-07 00:00:00.000,241.26833333333326,-37.93388888888889,5.682,5.915,98.7,9.5,24.0,9.77,150.0,,
2027-03-12 00:00:00.000,241.43249999999995,-38.21055555555556,5.593,5.902,103.3,9.4,23.9,8.62,160.7,,
2027-03-17 00:00:00.000,241.50958333333335,-38.475833333333334,5.505,5.888,107.9,9.2,23.9,7.79,174.2,,
2027-03-22 00:00:00.000,241.49874999999994,-38.72694444444445,5.42,5.875,112.6,9.0,23.8,7.42,190.1,,
2027-03-27 00:00:00.000,241.39833333333328,-38.96222222222222,5.337,5.861,117.2,8.7,23.8,7.59,206.5,,
2027-04-01 00:00:00.000,241.20833333333331,-39.178888888888885,5.258,5.848,121.9,8.3,23.7,8.26,221.4,,
2027-04-06 00:00:00.000,240.92875,-39.37416666666667,5.182,5.834,126.6,7.9,23.7,9.31,233.7,,
2027-04-11 00:00:00.000,240.56208333333333,-39.54527777777778,5.111,5.821,131.3,7.4,23.6,10.58,243.4,,
2027-07-05 00:00:00.000,229.66833333333332,-37.655833333333334,4.855,5.585,131.9,7.8,23.4,11.64,318.2,,
2027-07-10 00:00:00.000,229.3858333333333,-37.36833333333333,4.895,5.571,127.4,8.3,23.5,10.27,326.4,,
2027-07-15 00:00:00.000,229.19249999999997,-37.08694444444445,4.941,5.557,122.8,8.8,23.5,9.05,336.9,,
2027-07-20 00:00:00.000,229.08958333333334,-36.81472222222222,4.989,5.543,118.2,9.3,23.5,8.11,350.2,,
2027-07-25 00:00:00.000,229.0775,-36.555277777777775,5.041,5.529,113.7,9.7,23.6,7.61,6.0,,
2027-07-30 00:00:00.000,229.15541666666664,-36.31083333333333,5.096,5.514,109.2,10.0,23.6,7.67,22.7,,
2027-08-04 00:00:00.000,229.3225,-36.08388888888889,5.153,5.5,104.8,10.3,23.6,8.3,38.2,,
