Date,RA,Dec,Delta,r,Elongation,Phase,V,Proper motion,Direction,Uncertainty 3sig,Unc. P.A.
2023-09-19 00:00:00.000,309.75541666666663,-14.151666666666667,14.02,14.721,132.8,2.9,22.9,10.34,251.7,0.0,74.3
2023-09-24 00:00:00.000,309.4308333333333,-14.256666666666666,14.102,14.736,127.6,3.1,23.0,9.54,251.3,0.0,74.3
2023-09-29 00:00:00.000,309.13375,-14.355277777777777,14.189,14.75,122.4,3.3,23.0,8.71,250.8,0.0,74.4
2023-10-04 00:00:00.000,308.86499999999995,-14.447222222222223,14.28,14.765,117.3,3.5,23.0,7.84,250.2,0.0,74.4
2023-10-09 00:00:00.000,308.6262499999999,-14.531944444444445,14.374,14.78,112.1,3.6,23.0,6.95,249.4,0.0,74.5
2023-10-14 00:00:00.000,308.4175,-14.609444444444444,14.472,14.794,107.0,3.7,23.1,6.03,248.5,0.0,74.5
2023-10-19 00:00:00.000,308.2395833333333,-14.679444444444444,14.572,14.809,101.8,3.8,23.1,5.11,247.1,0.0,74.5
2023-10-24 00:00:00.000,308.0929166666666,-14.741944444444444,14.674,14.823,96.7,3.8,23.1,4.19,245.3,0.0,74.5
2023-10-29 00:00:00.000,307.97708333333327,-14.796388888888888,14.776,14.838,91.6,3.8,23.1,3.29,242.5,0.0,74.5
2023-11-03 00:00:00.000,307.8916666666666,-14.843055555555557,14.879,14.853,86.6,3.8,23.1,2.42,237.9,0.0,74.5
2024-04-26 00:00:00.000,311.8875,-13.88861111111111,15.422,15.375,85.4,3.7,23.3,2.23,270.0,,
2024-05-01 00:00:00.000,311.79749999999996,-13.891944444444444,15.351,15.39,90.4,3.8,23.3,3.04,266.0,,
2024-05-06 00:00:00.000,311.6791666666666,-13.902777777777779,15.279,15.405,95.3,3.7,23.3,3.88,263.6,,
2024-05-11 00:00:00.000,311.53249999999997,-13.920833333333333,15.208,15.42,100.3,3.7,23.3,4.73,262.0,,
2024-05-16 00:00:00.000,311.3579166666666,-13.946666666666667,15.139,15.436,105.3,3.6,23.3,5.57,260.8,,
2024-05-21 00:00:00.000,311.15541666666667,-13.98,15.071,15.451,110.3,3.5,23.2,6.39,260.0,,
2024-05-26 00:00:00.000,310.9254166666666,-14.020833333333334,15.006,15.466,115.3,3.4,23.2,7.2,259.3,,
2024-05-31 00:00:00.000,310.6691666666666,-14.068888888888889,14.945,15.481,120.3,3.2,23.2,7.99,258.8,,
2024-06-05 00:00:00.000,310.3870833333333,-14.124444444444444,14.887,15.497,125.4,3.1,23.2,8.75,258.3,,
2024-06-10 00:00:00.000,310.08,-14.186944444444444,14.834,15.512,130.4,2.9,23.2,9.47,258.0,,
2024-09-13 00:00:00.000,302.62874999999997,-15.981666666666667,15.129,15.805,130.8,2.8,23.3,9.1,253.8,,
2024-09-18 00:00:00.000,302.3379166666666,-16.06361111111111,15.214,15.821,125.7,3.0,23.3,8.36,253.4,,
