Date,RA,Dec,Delta,r,Elongation,Phase,V,Proper motion,Direction,Uncertainty 3sig,Unc. P.A.
2023-12-18 00:00:00.000,186.54791666666665,20.951944444444443,8.725,8.752,88.3,6.5,23.2,7.07,75.0,97,314.0
2023-12-23 00:00:00.000,186.76958333333332,21.024166666666666,8.649,8.754,92.9,6.4,23.2,6.11,65.9,98,313.9
2023-12-28 00:00:00.000,186.9458333333333,21.118055555555557,8.574,8.757,97.5,6.4,23.2,5.3,53.8,99,313.9
2024-01-02 00:00:00.000,187.0745833333333,21.232499999999998,8.499,8.759,102.1,6.3,23.1,4.75,38.1,100,313.8
2024-01-07 00:00:00.000,187.15499999999997,21.366666666666667,8.427,8.762,106.8,6.2,23.1,4.57,19.9,101,313.8
2024-01-12 00:00:00.000,187.18541666666667,21.51861111111111,8.356,8.764,111.5,6.0,23.1,4.82,1.8,102,313.7
2024-01-17 00:00:00.000,187.16541666666666,21.686666666666667,8.288,8.767,116.2,5.8,23.1,5.41,346.5,103,313.7
2024-01-22 00:00:00.000,187.09541666666667,21.86861111111111,8.224,8.769,120.8,5.5,23.0,6.23,334.8,104,313.6
2024-01-27 00:00:00.000,186.97541666666663,22.061666666666667,8.163,8.772,125.5,5.2,23.0,7.17,325.9,105,313.5
2024-02-01 00:00:00.000,186.80624999999998,22.263333333333332,8.107,8.774,130.1,4.9,23.0,8.15,319.0,105,313.4
2024-02-06 00:00:00.000,186.58999999999997,22.470555555555553,8.056,8.776,134.6,4.6,22.9,9.14,313.4,106,313.3
2024-04-21 00:00:00.000,180.42666666666668,24.181944444444447,8.078,8.811,134.5,4.7,23.0,10.44,259.5,102,312.4
2024-04-26 00:00:00.000,180.06791666666663,24.105,8.132,8.814,130.1,5.0,23.0,9.75,253.8,101,312.5
2024-05-01 00:00:00.000,179.74458333333334,24.000555555555554,8.19,8.816,125.7,5.3,23.0,9.07,247.1,100,312.6
2024-05-06 00:00:00.000,179.45916666666665,23.869722222222222,8.253,8.818,121.2,5.6,23.1,8.45,239.3,100,312.6
2024-05-11 00:00:00.000,179.21541666666664,23.713055555555556,8.319,8.82,116.8,5.9,23.1,7.94,230.3,99,312.8
2024-05-16 00:00:00.000,179.015,23.5325,8.389,8.823,112.3,6.1,23.1,7.57,220.4,98,312.9
2024-05-21 00:00:00.000,178.85916666666665,23.329166666666666,8.462,8.825,107.8,6.3,23.1,7.4,209.7,97,313.0
2024-05-26 00:00:00.000,178.74916666666664,23.104722222222225,8.537,8.827,103.4,6.4,23.2,7.43,198.9,97,313.1
2024-05-31 00:00:00.000,178.6845833333333,22.860833333333336,8.614,8.829,99.0,6.5,23.2,7.68,188.6,96,313.3
2024-06-05 00:00:00.000,178.66583333333332,22.599166666666665,8.692,8.831,94.6,6.6,23.2,8.11,179.2,96,313.4
2024-06-10 00:00:00.000,178.69291666666663,22.320833333333333,8.77,8.833,90.3,6.6,23.2,8.69,170.9,95,313.6
2024-06-15 00:00:00.000,178.7645833333333,22.0275,8.849,8.835,85.9,6.6,23.3,9.37,163.8,95,313.8
2024-12-27 00:00:00.000,196.0620833333333,11.887777777777778,8.93,8.908,85.5,6.3,23.3,6.67,87.6,121,316.1
2025-01-01 00:00:00.000,196.26791666666665,11.9075,8.851,8.91,90.2,6.3,23.3,5.49,80.6,122,316.1
2025-01-06 00:00:00.000,196.4308333333333,11.9475,8.772,8.911,95.0,6.3,23.3,4.39,70.1,124,316.0
2025-01-11 00:00:00.000,196.54874999999996,12.006666666666666,8.694,8.913,99.7,6.2,23.2,3.48,53.7,125,316.0
2025-01-16 00:00:00.000,196.62166666666664,12.084444444444445,8.616,8.914,104.5,6.1,23.2,2.97,29.2,126,315.9
2025-01-21 00:00:00.000,196.64749999999995,12.179444444444444,8.541,8.916,109.4,6.0,23.2,3.1,1.5,128,315.9
2025-01-26 00:00:00.000,196.62666666666664,12.290555555555555,8.468,8.917,114.2,5.8,23.2,3.79,339.8,129,315.9
2025-01-31 00:00:00.000,196.5583333333333,12.416111111111112,8.398,8.919,119.1,5.5,23.1,4.79,325.8,130,315.8
2025-02-05 00:00:00.000,196.44291666666663,12.554166666666667,8.332,8.92,124.0,5.3,23.1,5.91,316.7,131,315.8
2025-02-10 00:00:00.000,196.2820833333333,12.702499999999999,8.27,8.922,128.8,4.9,23.1,7.06,310.5,132,315.7
2025-02-15 00:00:00.000,196.0770833333333,12.858888888888888,8.213,8.923,133.6,4.6,23.0,8.17,305.8,133,315.7
2025-05-11 00:00:00.000,189.54416666666665,14.300277777777778,8.258,8.947,130.5,4.9,23.1,9.09,254.9,128,316.1
