Date,RA,Dec,Delta,r,Elongation,Phase,V,Proper motion,Direction,Uncertainty 3sig,Unc. P.A.
2023-08-15 00:00:00.000,64.22749999999999,-18.698611111111113,20.321,20.261,85.2,2.9,22.8,4.91,139.4,27,67.4
2023-08-20 00:00:00.000,64.32958333333332,-18.825833333333332,20.252,20.256,88.8,2.9,22.8,4.71,146.2,28,67.7
2023-08-25 00:00:00.000,64.41166666666666,-18.959166666666665,20.182,20.252,92.5,2.9,22.8,4.55,153.4,28,67.9
2023-08-30 00:00:00.000,64.47333333333331,-19.096944444444443,20.114,20.247,96.2,2.8,22.7,4.44,161.0,28,68.2
2023-09-04 00:00:00.000,64.51374999999999,-19.238333333333333,20.046,20.243,99.8,2.8,22.7,4.37,168.9,28,68.5
2023-09-09 00:00:00.000,64.53291666666665,-19.3825,19.98,20.238,103.5,2.8,22.7,4.36,176.9,28,68.7
2023-09-14 00:00:00.000,64.53041666666667,-19.528055555555554,19.915,20.234,107.1,2.7,22.7,4.39,184.9,28,69.0
2023-09-19 00:00:00.000,64.50666666666666,-19.67388888888889,19.853,20.229,110.7,2.7,22.7,4.47,192.6,28,69.2
2023-09-24 00:00:00.000,64.46166666666666,-19.81861111111111,19.793,20.225,114.2,2.6,22.7,4.58,200.0,28,69.5
2023-09-29 00:00:00.000,64.39583333333331,-19.960555555555555,19.737,20.22,117.6,2.5,22.7,4.73,206.9,28,69.7
2023-10-04 00:00:00.000,64.30999999999999,-20.099166666666665,19.684,20.216,120.9,2.4,22.7,4.9,213.4,28,70.0
2023-10-09 00:00:00.000,64.20458333333333,-20.232777777777777,19.635,20.211,124.1,2.3,22.7,5.08,219.4,28,70.2
2023-10-14 00:00:00.000,64.08125,-20.360000000000003,19.59,20.207,127.1,2.3,22.6,5.26,225.1,28,70.4
2023-10-19 00:00:00.000,63.940416666666664,-20.47972222222222,19.55,20.202,129.8,2.2,22.6,5.43,230.4,28,70.6
2023-10-24 00:00:00.000,63.78374999999999,-20.590555555555554,19.515,20.198,132.3,2.1,22.6,5.59,235.4,28,70.7
2023-10-29 00:00:00.000,63.61291666666666,-20.691388888888888,19.485,20.193,134.5,2.0,22.6,5.74,240.1,28,70.9
2023-12-08 00:00:00.000,61.97083333333332,-21.028333333333332,19.451,20.157,134.8,2.0,22.6,5.89,275.0,27,71.1
2023-12-13 00:00:00.000,61.764166666666654,-21.003333333333334,19.473,20.153,132.6,2.1,22.6,5.78,279.8,27,71.0
2023-12-18 00:00:00.000,61.56499999999998,-20.962777777777777,19.5,20.148,130.1,2.1,22.6,5.65,284.8,27,70.8
2023-12-23 00:00:00.000,61.37499999999999,-20.90722222222222,19.532,20.144,127.3,2.2,22.6,5.5,290.1,27,70.7
2023-12-28 00:00:00.000,61.197083333333325,-20.836944444444445,19.569,20.139,124.2,2.3,22.6,5.34,295.8,27,70.5
2024-01-02 00:00:00.000,61.03249999999999,-20.7525,19.611,20.135,121.0,2.4,22.6,5.19,301.8,26,70.2
2024-01-07 00:00:00.000,60.88291666666665,-20.654999999999998,19.657,20.13,117.5,2.5,22.7,5.05,308.2,26,70.0
2024-01-12 00:00:00.000,60.74999999999999,-20.544444444444448,19.706,20.126,114.0,2.6,22.7,4.93,315.1,26,69.7
2024-01-17 00:00:00.000,60.63541666666666,-20.422222222222224,19.759,20.121,110.3,2.6,22.7,4.84,322.4,26,69.4
2024-01-22 00:00:00.000,60.540416666666665,-20.289444444444445,19.814,20.117,106.6,2.7,22.7,4.78,329.9,26,69.0
2024-01-27 00:00:00.000,60.46541666666666,-20.146944444444443,19.872,20.112,102.8,2.7,22.7,4.76,337.6,26,68.7
2024-02-01 00:00:00.000,60.41166666666666,-19.99638888888889,19.931,20.108,98.9,2.8,22.7,4.8,345.3,26,68.4
2024-02-06 00:00:00.000,60.37916666666665,-19.83833333333333,19.992,20.103,95.1,2.8,22.7,4.88,352.9,26,68.0
2024-02-11 00:00:00.000,60.36874999999999,-19.67388888888889,20.054,20.099,91.2,2.8,22.7,5.01,0.3,26,67.6
2024-02-16 00:00:00.000,60.38083333333333,-19.504722222222224,20.116,20.094,87.3,2.8,22.7,5.17,7.3,26,67.3
2024-08-24 00:00:00.000,68.30458333333333,-17.59722222222222,19.923,19.921,88.4,2.9,22.7,4.69,146.7,37,67.0
2024-08-29 00:00:00.000,68.38458333333332,-17.730555555555554,19.854,19.916,92.1,2.9,22.7,4.53,154.0,37,67.3
2024-09-03 00:00:00.000,68.44333333333333,-17.868055555555557,19.784,19.912,95.8,2.9,22.7,4.4,161.9,37,67.5
2024-09-08 00:00:00.000,68.48041666666666,-18.00888888888889,19.716,19.907,99.5,2.9,22.7,4.32,170.0,37,67.7
2024-09-13 00:00:00.000,68.49583333333332,-18.151666666666664,19.649,19.903,103.2,2.8,22.7,4.3,178.3,37,67.9
2024-09-18 00:00:00.000,68.48916666666665,-18.29527777777778,19.583,19.898,106.9,2.8,22.6,4.33,186.5,38,68.2
2024-09-23 00:00:00.000,68.46166666666666,-18.438333333333333,19.52,19.893,110.5,2.7,22.6,4.42,194.4,38,68.4
2024-09-28 00:00:00.000,68.41208333333333,-18.58,19.46,19.889,114.0,2.6,22.6,4.54,202.0,38,68.6
2024-10-03 00:00:00.000,68.34166666666665,-18.718888888888888,19.403,19.884,117.5,2.6,22.6,4.7,209.2,38,68.8
2024-10-08 00:00:00.000,68.25124999999998,-18.853333333333335,19.349,19.88,120.9,2.5,22.6,4.88,215.8,38,69.0
2024-10-13 00:00:00.000,68.14083333333333,-18.98222222222222,19.299,19.875,124.1,2.4,22.6,5.07,222.0,38,69.2
2024-10-18 00:00:00.000,68.01249999999999,-19.104166666666668,19.253,19.871,127.1,2.3,22.6,5.26,227.7,38,69.3
2024-10-23 00:00:00.000,67.86666666666666,-19.218055555555555,19.213,19.866,129.9,2.2,22.6,5.46,233.0,38,69.5
2024-10-28 00:00:00.000,67.70541666666665,-19.322777777777777,19.177,19.861,132.5,2.1,22.5,5.64,238.0,38,69.6
2024-11-02 00:00:00.000,67.52958333333332,-19.416944444444447,19.146,19.857,134.7,2.0,22.5,5.8,242.7,38,69.7
2024-12-17 00:00:00.000,65.65166666666664,-19.654444444444444,19.13,19.815,133.1,2.1,22.5,5.9,282.2,36,69.7
2024-12-22 00:00:00.000,65.45166666666665,-19.60527777777778,19.157,19.811,130.6,2.2,22.5,5.78,287.1,36,69.5
2024-12-27 00:00:00.000,65.26166666666666,-19.54138888888889,19.189,19.806,127.8,2.2,22.6,5.63,292.3,36,69.3
2025-01-01 00:00:00.000,65.08374999999998,-19.462777777777777,19.226,19.802,124.7,2.3,22.6,5.48,298.0,36,69.1
2025-01-06 00:00:00.000,64.91999999999999,-19.37027777777778,19.267,19.797,121.4,2.4,22.6,5.33,304.0,35,68.9
2025-01-11 00:00:00.000,64.77208333333333,-19.264722222222222,19.313,19.792,117.9,2.5,22.6,5.18,310.3,35,68.7
2025-01-16 00:00:00.000,64.64124999999999,-19.146944444444443,19.362,19.788,114.3,2.6,22.6,5.06,317.1,35,68.4
2025-01-21 00:00:00.000,64.52958333333332,-19.018055555555556,19.415,19.783,110.6,2.7,22.6,4.96,324.2,35,68.1
2025-01-26 00:00:00.000,64.43708333333333,-18.879166666666666,19.47,19.779,106.9,2.7,22.6,4.9,331.7,35,67.9
2025-01-31 00:00:00.000,64.36583333333333,-18.730833333333333,19.528,19.774,103.1,2.8,22.6,4.89,339.3,35,67.6
2025-02-05 00:00:00.000,64.31583333333333,-18.57472222222222,19.588,19.769,99.2,2.8,22.6,4.92,347.0,35,67.3
2025-02-10 00:00:00.000,64.28833333333333,-18.411944444444444,19.649,19.765,95.3,2.8,22.6,4.99,354.6,35,66.9
2025-02-15 00:00:00.000,64.28291666666665,-18.24388888888889,19.711,19.76,91.4,2.9,22.6,5.12,1.8,35,66.6
2025-02-20 00:00:00.000,64.29958333333332,-18.07138888888889,19.773,19.756,87.6,2.9,22.7,5.29,8.7,35,66.3
2025-08-29 00:00:00.000,72.35249999999999,-16.248611111111114,19.59,19.58,87.9,3.0,22.6,4.66,147.1,47,66.4
2025-09-03 00:00:00.000,72.42958333333331,-16.38138888888889,19.52,19.575,91.7,3.0,22.6,4.47,154.6,47,66.6
2025-09-08 00:00:00.000,72.48541666666665,-16.5175,19.45,19.57,95.4,2.9,22.6,4.33,162.6,48,66.8
2025-09-13 00:00:00.000,72.51958333333332,-16.656388888888888,19.38,19.566,99.2,2.9,22.6,4.25,171.0,48,67.0
2025-09-18 00:00:00.000,72.53166666666665,-16.796944444444446,19.312,19.561,102.9,2.9,22.6,4.23,179.6,48,67.2
2025-09-23 00:00:00.000,72.52166666666665,-16.93777777777778,19.246,19.556,106.6,2.8,22.6,4.26,188.2,48,67.3
2025-09-28 00:00:00.000,72.48958333333333,-17.07777777777778,19.182,19.552,110.3,2.8,22.6,4.35,196.5,48,67.5
2025-10-03 00:00:00.000,72.43583333333332,-17.21527777777778,19.12,19.547,113.9,2.7,22.5,4.48,204.4,49,67.7
2025-10-08 00:00:00.000,72.36083333333332,-17.349444444444444,19.062,19.542,117.4,2.6,22.5,4.65,211.7,49,67.9
2025-10-13 00:00:00.000,72.26583333333332,-17.47861111111111,19.007,19.538,120.9,2.5,22.5,4.85,218.4,49,68.0
2025-10-18 00:00:00.000,72.15083333333332,-17.601944444444445,18.956,19.533,124.1,2.4,22.5,5.06,224.7,49,68.2
2025-10-23 00:00:00.000,72.01708333333332,-17.718055555555555,18.91,19.528,127.3,2.3,22.5,5.27,230.5,49,68.3
2025-10-28 00:00:00.000,71.86666666666666,-17.825277777777778,18.868,19.524,130.2,2.2,22.5,5.48,235.9,49,68.4
2025-11-02 00:00:00.000,71.69999999999999,-17.922777777777778,18.831,19.519,132.8,2.1,22.5,5.67,240.9,49,68.5
2025-12-22 00:00:00.000,69.61333333333332,-18.16861111111111,18.778,19.473,133.9,2.1,22.5,6.05,284.5,47,68.4
2025-12-27 00:00:00.000,69.4125,-18.110555555555557,18.805,19.468,131.3,2.2,22.5,5.92,289.4,47,68.3
2026-01-01 00:00:00.000,69.2225,-18.03805555555556,18.837,19.463,128.4,2.3,22.5,5.77,294.5,46,68.1
2026-01-06 00:00:00.000,69.04541666666665,-17.95138888888889,18.873,19.459,125.3,2.4,22.5,5.61,300.0,46,67.9
2026-01-11 00:00:00.000,68.8825,-17.851111111111113,18.915,19.454,122.0,2.5,22.5,5.46,305.9,46,67.7
2026-01-16 00:00:00.000,68.73624999999998,-17.738333333333333,18.961,19.449,118.5,2.5,22.5,5.31,312.2,46,67.5
2026-01-21 00:00:00.000,68.60749999999999,-17.61388888888889,19.01,19.445,114.9,2.6,22.5,5.18,318.9,46,67.2
