Date,RA,Dec,Delta,r,Elongation,Phase,V,Proper motion,Direction,Uncertainty 3sig,Unc. P.A.
2023-10-29 00:00:00.000,131.33791666666664,16.734166666666667,17.378,17.333,85.7,3.3,24.5,2.18,96.1,4,89.6
2023-11-03 00:00:00.000,131.40125,16.72972222222222,17.307,17.347,90.7,3.3,24.5,1.46,91.5,4,89.6
2023-11-08 00:00:00.000,131.43999999999997,16.731666666666666,17.236,17.362,95.6,3.3,24.5,0.77,78.1,4,89.6
2023-11-13 00:00:00.000,131.45333333333332,16.740277777777777,17.166,17.376,100.7,3.2,24.5,0.36,5.3,4,89.6
2023-11-18 00:00:00.000,131.44208333333333,16.75583333333333,17.097,17.39,105.7,3.1,24.5,0.89,309.5,4,89.6
2023-11-23 00:00:00.000,131.40624999999997,16.77777777777778,17.03,17.405,110.8,3.0,24.5,1.58,298.8,4,89.6
2023-11-28 00:00:00.000,131.34583333333333,16.80666666666667,16.965,17.419,115.9,2.9,24.5,2.29,294.8,4,89.5
2023-12-03 00:00:00.000,131.26166666666666,16.841666666666665,16.904,17.433,121.1,2.8,24.4,2.98,292.8,4,89.4
2023-12-08 00:00:00.000,131.15499999999997,16.883333333333333,16.847,17.448,126.2,2.6,24.4,3.64,291.5,4,89.4
2023-12-13 00:00:00.000,131.02624999999998,16.930833333333336,16.795,17.462,131.4,2.4,24.4,4.27,290.7,4,89.3
2024-03-12 00:00:00.000,127.31291666666664,18.18138888888889,17.019,17.719,133.6,2.3,24.5,4.39,292.1,4,86.2
2024-03-17 00:00:00.000,127.18041666666666,18.233888888888888,17.097,17.733,128.5,2.5,24.5,3.79,293.3,4,86.0
2024-03-22 00:00:00.000,127.06916666666665,18.28111111111111,17.18,17.748,123.4,2.7,24.5,3.16,295.2,4,85.9
2024-03-27 00:00:00.000,126.97999999999996,18.323333333333334,17.266,17.762,118.3,2.8,24.5,2.51,298.1,4,85.8
2024-04-01 00:00:00.000,126.91374999999998,18.360000000000003,17.357,17.776,113.3,3.0,24.5,1.86,303.2,4,85.7
2024-04-06 00:00:00.000,126.87124999999997,18.391111111111112,17.45,17.79,108.4,3.1,24.6,1.22,314.0,4,85.7
2024-04-11 00:00:00.000,126.85249999999996,18.41638888888889,17.545,17.804,103.4,3.1,24.6,0.7,344.2,4,85.6
2024-04-16 00:00:00.000,126.85749999999997,18.43611111111111,17.642,17.819,98.5,3.2,24.6,0.7,44.6,4,85.6
2024-04-21 00:00:00.000,126.88708333333332,18.45,17.741,17.833,93.7,3.2,24.6,1.22,74.4,4,85.6
2024-04-26 00:00:00.000,126.93999999999997,18.458055555555553,17.839,17.847,88.8,3.2,24.6,1.84,85.1,4,85.6
2024-11-02 00:00:00.000,135.54749999999999,16.871666666666666,18.414,18.382,86.6,3.1,24.8,1.88,92.0,5,270.7
2024-11-07 00:00:00.000,135.60125,16.872777777777777,18.342,18.396,91.6,3.1,24.8,1.22,83.7,5,270.8
2024-11-12 00:00:00.000,135.63208333333333,16.880555555555556,18.27,18.41,96.6,3.1,24.7,0.64,58.3,5,270.8
2024-11-17 00:00:00.000,135.63916666666665,16.89527777777778,18.199,18.424,101.6,3.0,24.7,0.55,347.1,5,270.7
2024-11-22 00:00:00.000,135.62333333333333,16.916666666666668,18.13,18.438,106.7,2.9,24.7,1.08,313.1,5,270.7
2024-11-27 00:00:00.000,135.58416666666665,16.94472222222222,18.063,18.452,111.8,2.8,24.7,1.73,302.9,5,270.7
2024-12-02 00:00:00.000,135.5220833333333,16.979166666666664,17.998,18.466,116.9,2.7,24.7,2.39,298.4,5,270.6
2024-12-07 00:00:00.000,135.43791666666667,17.02027777777778,17.937,18.48,122.1,2.6,24.7,3.03,295.9,5,270.5
2024-12-12 00:00:00.000,135.33208333333332,17.06722222222222,17.881,18.493,127.3,2.4,24.7,3.65,294.3,5,270.5
