Date,RA,Dec,Delta,r,Elongation,Phase,V,Proper motion,Direction,Uncertainty 3sig,Unc. P.A.
2023-08-25 00:00:00.000,287.28749999999997,-7.3341666666666665,14.969,15.694,134.5,2.6,28.0,8.25,252.7,9,276.7
2023-08-30 00:00:00.000,287.03416666666664,-7.416944444444445,15.047,15.712,129.7,2.8,28.1,7.62,250.8,9,276.6
2023-09-04 00:00:00.000,286.8041666666667,-7.501111111111111,15.13,15.729,124.9,3.0,28.1,6.94,248.6,9,276.5
2023-09-09 00:00:00.000,286.5995833333333,-7.585555555555556,15.217,15.747,120.1,3.2,28.1,6.25,246.1,9,276.5
2023-09-14 00:00:00.000,286.4208333333333,-7.669722222222222,15.308,15.765,115.3,3.3,28.1,5.53,242.9,9,276.4
2023-09-19 00:00:00.000,286.2691666666666,-7.753055555555555,15.403,15.782,110.5,3.4,28.2,4.8,238.8,9,276.4
2023-09-24 00:00:00.000,286.14458333333334,-7.835,15.5,15.8,105.6,3.5,28.2,4.08,233.5,9,276.3
2023-09-29 00:00:00.000,286.04833333333335,-7.914722222222222,15.599,15.817,100.8,3.6,28.2,3.4,226.2,9,276.3
2023-10-04 00:00:00.000,285.9791666666667,-7.991944444444444,15.699,15.835,96.0,3.6,28.2,2.79,215.9,9,276.2
2023-10-09 00:00:00.000,285.93791666666664,-8.065555555555557,15.801,15.852,91.2,3.6,28.2,2.31,200.8,9,276.2
2023-10-14 00:00:00.000,285.9241666666667,-8.135555555555555,15.902,15.87,86.3,3.6,28.3,2.04,180.4,9,276.1
2024-04-11 00:00:00.000,291.6483333333333,-6.982777777777778,16.47,16.483,89.0,3.5,28.4,2.72,333.1,8,276.9
2024-04-16 00:00:00.000,291.59416666666664,-6.903888888888889,16.403,16.5,93.8,3.5,28.4,3.06,319.2,8,276.9
2024-04-21 00:00:00.000,291.51416666666665,-6.828333333333333,16.336,16.517,98.6,3.4,28.4,3.54,308.4,8,277.0
2024-04-26 00:00:00.000,291.4083333333333,-6.7572222222222225,16.271,16.533,103.4,3.4,28.4,4.09,300.3,8,277.1
2024-05-01 00:00:00.000,291.27666666666664,-6.690833333333334,16.208,16.55,108.2,3.3,28.4,4.7,294.1,8,277.2
2024-05-06 00:00:00.000,291.1204166666666,-6.629722222222223,16.147,16.567,113.0,3.2,28.4,5.32,289.2,8,277.2
2024-05-11 00:00:00.000,290.94,-6.574166666666667,16.089,16.583,117.8,3.1,28.3,5.95,285.3,8,277.3
2024-05-16 00:00:00.000,290.73583333333335,-6.525,16.034,16.6,122.5,2.9,28.3,6.57,282.1,9,277.3
2024-05-21 00:00:00.000,290.5095833333333,-6.482222222222222,15.984,16.616,127.3,2.8,28.3,7.16,279.5,9,277.4
2024-05-26 00:00:00.000,290.2625,-6.446388888888889,15.938,16.633,132.0,2.6,28.3,7.71,277.2,9,277.4
2024-08-24 00:00:00.000,284.6908333333333,-6.982777777777778,16.231,16.926,132.1,2.5,28.4,7.32,251.9,9,277.0
2024-08-29 00:00:00.000,284.4675,-7.059444444444444,16.31,16.942,127.4,2.7,28.4,6.73,249.8,9,276.9
2024-09-03 00:00:00.000,284.26666666666665,-7.1375,16.393,16.958,122.6,2.9,28.4,6.11,247.3,9,276.9
2024-09-08 00:00:00.000,284.08916666666664,-7.216388888888889,16.48,16.974,117.9,3.0,28.4,5.46,244.3,9,276.8
2024-09-13 00:00:00.000,283.93625,-7.295277777777778,16.571,16.991,113.1,3.1,28.5,4.81,240.5,9,276.8
2024-09-18 00:00:00.000,283.80791666666664,-7.373611111111111,16.665,17.007,108.3,3.2,28.5,4.16,235.8,9,276.7
2024-09-23 00:00:00.000,283.7049999999999,-7.4511111111111115,16.761,17.023,103.5,3.3,28.5,3.53,229.4,9,276.7
2024-09-28 00:00:00.000,283.62791666666664,-7.526666666666666,16.859,17.039,98.7,3.3,28.5,2.95,220.6,9,276.6
2024-10-03 00:00:00.000,283.57624999999996,-7.6002777777777775,16.958,17.055,93.9,3.4,28.5,2.45,208.1,9,276.5
2024-10-08 00:00:00.000,283.54999999999995,-7.670833333333333,17.057,17.071,89.1,3.4,28.5,2.11,190.9,9,276.5
2025-04-06 00:00:00.000,288.99125,-6.790555555555556,17.663,17.633,86.6,3.2,28.7,2.48,344.1,9,277.1
2025-04-11 00:00:00.000,288.95666666666665,-6.7122222222222225,17.595,17.648,91.4,3.3,28.7,2.7,328.8,9,277.2
2025-04-16 00:00:00.000,288.8975,-6.636666666666666,17.527,17.663,96.2,3.2,28.7,3.07,316.3,9,277.3
2025-04-21 00:00:00.000,288.8141666666666,-6.564444444444444,17.46,17.678,100.9,3.2,28.7,3.54,306.7,9,277.3
2025-04-26 00:00:00.000,288.70708333333334,-6.496111111111111,17.395,17.694,105.7,3.1,28.7,4.07,299.3,9,277.4
2025-05-01 00:00:00.000,288.57625,-6.4319444444444445,17.331,17.709,110.5,3.1,28.6,4.64,293.5,9,277.5
2025-05-06 00:00:00.000,288.42208333333326,-6.372777777777777,17.27,17.724,115.3,3.0,28.6,5.21,289.0,9,277.5
2025-05-11 00:00:00.000,288.24583333333334,-6.318611111111111,17.213,17.739,120.0,2.8,28.6,5.78,285.4,9,277.6
2025-05-16 00:00:00.000,288.0483333333333,-6.270555555555555,17.159,17.754,124.7,2.7,28.6,6.34,282.4,9,277.6
2025-05-21 00:00:00.000,287.83083333333326,-6.2283333333333335,17.109,17.769,129.4,2.5,28.6,6.88,279.8,9,277.7
2025-05-26 00:00:00.000,287.59458333333333,-6.192222222222222,17.065,17.785,134.1,2.3,28.6,7.38,277.6,9,277.7
2025-08-19 00:00:00.000,282.65374999999995,-6.5969444444444445,17.312,18.039,134.8,2.3,28.6,7.13,253.3,10,277.3
2025-08-24 00:00:00.000,282.43416666666667,-6.666666666666667,17.386,18.053,130.1,2.5,28.7,6.61,251.2,10,277.3
2025-08-29 00:00:00.000,282.2345833333333,-6.738888888888889,17.465,18.068,125.4,2.6,28.7,6.05,248.8,10,277.2
2025-09-03 00:00:00.000,282.05625,-6.812222222222222,17.548,18.083,120.7,2.8,28.7,5.46,246.0,10,277.2
2025-09-08 00:00:00.000,281.8995833333333,-6.886666666666666,17.635,18.098,115.9,2.9,28.7,4.87,242.6,10,277.1
2025-09-13 00:00:00.000,281.7658333333333,-6.961388888888889,17.725,18.112,111.1,3.0,28.7,4.27,238.3,10,277.0
2025-09-18 00:00:00.000,281.65541666666667,-7.036111111111111,17.818,18.127,106.4,3.0,28.8,3.69,232.8,10,277.0
2025-09-23 00:00:00.000,281.5691666666666,-7.109999999999999,17.913,18.142,101.6,3.1,28.8,3.12,225.3,10,276.9
2025-09-28 00:00:00.000,281.5066666666666,-7.1825,18.01,18.156,96.8,3.1,28.8,2.62,215.0,10,276.9
2025-10-03 00:00:00.000,281.46791666666667,-7.252777777777778,18.108,18.171,92.1,3.2,28.8,2.23,200.9,10,276.8
2025-10-08 00:00:00.000,281.4529166666666,-7.320833333333333,18.206,18.186,87.3,3.1,28.8,2.0,182.7,10,276.8
2026-04-06 00:00:00.000,286.63875,-6.534166666666667,18.697,18.701,88.7,3.1,28.9,2.44,339.8,9,277.4
2026-04-11 00:00:00.000,286.5991666666667,-6.458888888888889,18.628,18.715,93.4,3.1,28.9,2.7,325.6,9,277.5
2026-04-16 00:00:00.000,286.53666666666663,-6.386111111111112,18.56,18.729,98.2,3.0,28.9,3.08,314.1,9,277.6
2026-04-21 00:00:00.000,286.45124999999996,-6.316388888888889,18.492,18.743,103.0,3.0,28.9,3.54,305.3,9,277.6
2026-04-26 00:00:00.000,286.3429166666666,-6.250277777777778,18.426,18.757,107.7,2.9,28.9,4.04,298.5,9,277.7
2026-05-01 00:00:00.000,286.2129166666667,-6.188055555555556,18.363,18.771,112.5,2.8,28.9,4.57,293.2,10,277.8
2026-05-06 00:00:00.000,286.0616666666666,-6.130277777777778,18.302,18.785,117.2,2.7,28.9,5.11,289.0,10,277.8
2026-05-11 00:00:00.000,285.88958333333335,-6.0775,18.245,18.799,121.9,2.6,28.9,5.64,285.5,10,277.9
2026-05-16 00:00:00.000,285.69791666666663,-6.03,18.192,18.813,126.6,2.5,28.8,6.15,282.6,10,277.9
2026-05-21 00:00:00.000,285.48749999999995,-5.988333333333333,18.143,18.827,131.3,2.3,28.8,6.64,280.1,10,277.9
2026-08-19 00:00:00.000,280.63416666666666,-6.312777777777778,18.37,19.074,133.0,2.2,28.9,6.53,252.7,11,277.6
2026-08-24 00:00:00.000,280.43416666666667,-6.378888888888889,18.444,19.087,128.3,2.4,28.9,6.03,250.5,11,277.5
2026-08-29 00:00:00.000,280.25333333333333,-6.446944444444445,18.523,19.101,123.6,2.5,28.9,5.5,247.9,11,277.5
2026-09-03 00:00:00.000,280.0925,-6.516666666666667,18.606,19.115,118.9,2.6,28.9,4.96,244.8,11,277.4
2026-09-08 00:00:00.000,279.9520833333333,-6.587777777777777,18.693,19.128,114.2,2.8,29.0,4.41,240.9,11,277.3
