Date,RA,Dec,Delta,r,Elongation,Phase,V,Proper motion,Direction,Uncertainty 3sig,Unc. P.A.
2023-07-01 00:00:00.000,348.9383333333333,17.165555555555553,4.451,4.751,101.0,12.1,21.5,16.74,5.1,1,63.7
2023-07-06 00:00:00.000,348.94999999999993,17.708055555555553,4.384,4.753,105.2,11.9,21.5,15.87,357.0,1,63.5
2023-07-11 00:00:00.000,348.88041666666663,18.22138888888889,4.32,4.755,109.4,11.6,21.4,15.25,348.0,1,63.4
2023-07-16 00:00:00.000,348.72749999999996,18.70138888888889,4.258,4.757,113.6,11.3,21.4,14.92,338.3,1,63.2
2023-07-21 00:00:00.000,348.49208333333326,19.144166666666667,4.198,4.759,117.9,10.9,21.4,14.92,328.3,1,62.9
2023-07-26 00:00:00.000,348.1758333333333,19.54638888888889,4.143,4.762,122.2,10.4,21.3,15.22,318.6,1,62.7
2023-07-31 00:00:00.000,347.78125,19.904166666666665,4.09,4.764,126.4,9.9,21.3,15.79,309.5,1,62.4
2023-08-05 00:00:00.000,347.3129166666666,20.214444444444442,4.043,4.766,130.6,9.3,21.2,16.57,301.1,1,62.0
2023-08-10 00:00:00.000,346.7758333333333,20.474166666666665,4.0,4.768,134.8,8.7,21.2,17.47,293.6,1,61.7
2023-10-24 00:00:00.000,337.6520833333333,18.57638888888889,4.092,4.805,131.1,9.0,21.2,11.53,214.3,1,57.8
2023-10-29 00:00:00.000,337.46875,18.263333333333332,4.146,4.808,126.8,9.5,21.3,10.04,203.1,1,57.9
2023-11-03 00:00:00.000,337.37541666666664,17.962777777777777,4.205,4.81,122.4,10.0,21.3,8.89,188.9,1,58.1
2023-11-08 00:00:00.000,337.3725,17.679722222222225,4.267,4.813,118.0,10.5,21.4,8.26,171.6,1,58.3
2023-11-13 00:00:00.000,337.46,17.41916666666667,4.333,4.816,113.6,10.9,21.4,8.34,153.0,1,58.6
2023-11-18 00:00:00.000,337.63624999999996,17.185555555555556,4.402,4.818,109.2,11.2,21.5,9.1,136.2,1,58.9
2023-11-23 00:00:00.000,337.89874999999995,16.98222222222222,4.472,4.821,104.9,11.4,21.5,10.38,122.8,1,59.2
2023-11-28 00:00:00.000,338.24375,16.811666666666667,4.545,4.824,100.5,11.6,21.6,11.97,112.6,1,59.6
2023-12-03 00:00:00.000,338.6670833333333,16.675833333333333,4.619,4.826,96.2,11.7,21.6,13.73,105.0,1,60.0
2023-12-08 00:00:00.000,339.1658333333333,16.575833333333332,4.694,4.829,92.0,11.8,21.7,15.57,99.0,1,60.4
2023-12-13 00:00:00.000,339.73541666666665,16.513055555555557,4.769,4.832,87.8,11.7,21.7,17.42,94.3,1,60.9
2024-07-25 00:00:00.000,23.888749999999998,37.49,4.937,4.973,86.1,11.8,21.8,19.2,28.2,2,81.1
