Date,RA,Dec,Delta,r,Elongation,Phase,V,Proper motion,Direction,Uncertainty 3sig,Unc. P.A.
2023-07-01 00:00:00.000,329.2799999999999,-21.379722222222224,3.722,4.488,134.0,9.4,20.5,13.34,199.3,1.0,87.6
2023-09-24 00:00:00.000,320.60249999999996,-28.0125,3.711,4.452,132.7,9.5,20.4,8.44,245.4,1.0,274.1
2023-09-29 00:00:00.000,320.3583333333333,-28.10777777777778,3.767,4.451,127.7,10.3,20.5,5.69,247.2,1.0,274.3
2023-10-04 00:00:00.000,320.2075,-28.15972222222222,3.827,4.449,122.8,10.9,20.6,2.89,251.2,1.0,274.5
2023-10-09 00:00:00.000,320.1529166666666,-28.17027777777778,3.89,4.448,118.0,11.4,20.6,0.32,331.3,1.0,274.5
2023-10-14 00:00:00.000,320.19624999999996,-28.141388888888887,3.957,4.446,113.2,11.9,20.7,2.85,59.6,1.0,274.5
2023-10-19 00:00:00.000,320.3383333333333,-28.075,4.027,4.445,108.5,12.3,20.7,5.66,63.5,1.0,274.5
2023-10-24 00:00:00.000,320.5783333333333,-27.973611111111108,4.098,4.443,103.9,12.6,20.8,8.41,65.0,1.0,274.3
2023-10-29 00:00:00.000,320.9133333333333,-27.839166666666664,4.171,4.442,99.4,12.7,20.8,11.06,66.0,1.0,274.1
2023-11-03 00:00:00.000,321.33916666666664,-27.674166666666668,4.245,4.441,94.9,12.9,20.9,13.62,66.7,1.0,273.8
2023-11-08 00:00:00.000,321.8533333333333,-27.480555555555554,4.319,4.44,90.5,12.9,20.9,16.07,67.2,1.0,273.5
2023-11-13 00:00:00.000,322.45166666666665,-27.26,4.394,4.438,86.1,12.9,20.9,18.43,67.7,1.0,273.1
2024-06-25 00:00:00.000,15.126666666666665,-13.12888888888889,4.414,4.446,85.2,13.2,21.0,22.76,98.0,,
2024-06-30 00:00:00.000,15.8675,-13.255,4.345,4.448,89.1,13.2,20.9,21.18,102.0,,
2024-07-05 00:00:00.000,16.54375,-13.421944444444444,4.276,4.449,93.1,13.2,20.9,19.59,106.7,,
2024-07-10 00:00:00.000,17.15208333333333,-13.63,4.208,4.451,97.2,13.1,20.8,18.04,112.3,,
2024-07-15 00:00:00.000,17.6875,-13.87888888888889,4.141,4.452,101.2,12.9,20.8,16.6,119.1,,
2024-07-20 00:00:00.000,18.147499999999997,-14.167222222222222,4.075,4.454,105.4,12.7,20.8,15.33,127.0,,
2024-07-25 00:00:00.000,18.527916666666666,-14.493611111111111,4.012,4.456,109.6,12.4,20.7,14.31,136.4,,
2024-07-30 00:00:00.000,18.826249999999998,-14.857222222222221,3.95,4.457,113.8,12.0,20.7,13.62,147.1,,
2024-08-04 00:00:00.000,19.03791666666666,-15.255,3.891,4.459,118.1,11.6,20.6,13.33,158.6,,
2024-08-09 00:00:00.000,19.16166666666666,-15.68361111111111,3.836,4.461,122.3,11.1,20.6,13.47,170.3,,
2024-08-14 00:00:00.000,19.195416666666663,-16.13861111111111,3.784,4.463,126.6,10.5,20.5,14.0,181.3,,
2024-08-19 00:00:00.000,19.139999999999997,-16.614722222222223,3.736,4.465,130.9,9.9,20.5,14.83,191.2,,
2024-11-07 00:00:00.000,11.159166666666664,-21.40722222222222,3.786,4.504,131.5,9.5,20.5,12.07,287.4,,
2024-11-12 00:00:00.000,10.784166666666666,-21.25722222222222,3.84,4.507,127.1,10.1,20.6,10.84,299.8,,
2024-11-17 00:00:00.000,10.487916666666665,-21.049444444444447,3.899,4.51,122.7,10.6,20.6,10.05,314.6,,
2024-11-22 00:00:00.000,10.274166666666666,-20.78805555555556,3.961,4.513,118.2,11.1,20.7,9.86,330.9,,
2024-11-27 00:00:00.000,10.146666666666665,-20.476388888888888,4.027,4.516,113.7,11.5,20.7,10.34,346.8,,
2024-12-02 00:00:00.000,10.106666666666664,-20.118333333333332,4.096,4.519,109.3,11.9,20.8,11.39,0.6,,
2024-12-07 00:00:00.000,10.155416666666666,-19.71861111111111,4.168,4.522,104.9,12.2,20.8,12.85,11.8,,
2024-12-12 00:00:00.000,10.292083333333332,-19.281388888888888,4.241,4.525,100.5,12.4,20.9,14.55,20.5,,
2024-12-17 00:00:00.000,10.513749999999998,-18.811111111111114,4.315,4.528,96.2,12.5,20.9,16.37,27.2,,
2024-12-22 00:00:00.000,10.817916666666665,-18.311944444444446,4.39,4.532,91.9,12.5,21.0,18.24,32.6,,
2024-12-27 00:00:00.000,11.20208333333333,-17.787222222222223,4.466,4.535,87.7,12.5,21.0,20.12,36.9,,
2025-08-14 00:00:00.000,57.404999999999994,-0.5616666666666668,4.682,4.728,86.4,12.3,21.2,17.84,103.7,,
2025-08-19 00:00:00.000,57.94791666666666,-0.7155555555555555,4.616,4.732,90.4,12.3,21.2,16.03,108.2,,
2025-08-24 00:00:00.000,58.41916666666666,-0.8941666666666667,4.55,4.737,94.5,12.3,21.1,14.2,113.7,,
