Date,RA,Dec,Delta,r,Elongation,Phase,V,Proper motion,Direction,Uncertainty 3sig,Unc. P.A.
2024-03-07 00:00:00.000,258.2008333333333,-18.344166666666666,1.526,1.788,87.8,33.7,24.7,52.21,93.3,0,282.0
2024-03-12 00:00:00.000,259.9745833333333,-18.429444444444446,1.469,1.79,91.1,33.7,24.6,48.85,92.5,0,281.3
2024-03-17 00:00:00.000,261.62624999999997,-18.488333333333333,1.412,1.79,94.5,33.6,24.5,45.18,91.8,0,280.6
2024-03-22 00:00:00.000,263.14458333333334,-18.525277777777777,1.355,1.79,98.0,33.4,24.4,41.17,91.1,0,280.0
2024-03-27 00:00:00.000,264.5154166666666,-18.544722222222223,1.297,1.789,101.7,33.1,24.3,36.74,90.6,0,279.4
2024-04-01 00:00:00.000,265.7220833333333,-18.550555555555555,1.239,1.787,105.4,32.6,24.2,31.81,90.0,1,278.8
2024-04-06 00:00:00.000,266.74458333333325,-18.548055555555557,1.182,1.785,109.4,31.9,24.1,26.25,89.7,1,278.3
2024-04-11 00:00:00.000,267.56041666666664,-18.542222222222225,1.126,1.781,113.5,31.1,23.9,20.04,89.5,1,277.9
2024-04-16 00:00:00.000,268.14666666666665,-18.539444444444445,1.071,1.777,117.8,30.0,23.8,13.2,90.0,1,277.5
2024-04-21 00:00:00.000,268.48041666666666,-18.544722222222223,1.017,1.772,122.4,28.6,23.6,5.69,93.4,1,277.1
2024-04-26 00:00:00.000,268.5366666666666,-18.56361111111111,0.965,1.766,127.2,27.0,23.5,2.73,252.7,1,276.9
2024-05-01 00:00:00.000,268.28791666666666,-18.6,0.916,1.759,132.2,25.1,23.3,11.77,263.2,1,276.7
2024-07-10 00:00:00.000,239.79916666666662,-20.435833333333335,0.692,1.578,134.0,27.6,22.5,41.38,261.4,1,286.0
2024-07-15 00:00:00.000,238.54458333333332,-20.665,0.711,1.559,128.1,30.9,22.6,30.53,255.7,1,286.9
2024-07-20 00:00:00.000,237.68916666666664,-20.94,0.731,1.539,122.6,33.8,22.7,20.54,244.1,1,287.7
2024-07-25 00:00:00.000,237.22,-21.262777777777778,0.753,1.518,117.5,36.4,22.9,13.04,217.2,1,288.3
2024-07-30 00:00:00.000,237.11916666666664,-21.63277777777778,0.776,1.497,112.7,38.7,23.0,11.99,169.6,1,288.9
2024-08-04 00:00:00.000,237.3683333333333,-22.048055555555557,0.799,1.475,108.2,40.8,23.0,17.51,138.5,1,289.3
2024-08-09 00:00:00.000,237.9470833333333,-22.505,0.822,1.452,104.0,42.6,23.1,24.9,125.0,1,289.7
