Date,RA,Dec,Delta,r,Elongation,Phase,V,Proper motion,Direction,Uncertainty 3sig,Unc. P.A.
2023-07-21 00:00:00.000,249.18041666666667,-28.285555555555558,12.555,13.277,133.6,3.2,23.5,5.09,276.5,0.0,302.4
2023-07-26 00:00:00.000,249.00375,-28.266944444444444,12.629,13.288,128.8,3.4,23.5,4.3,277.2,0.0,302.7
2023-07-31 00:00:00.000,248.85791666666663,-28.249722222222225,12.706,13.299,123.9,3.6,23.5,3.47,278.1,0.0,302.9
2023-08-05 00:00:00.000,248.74416666666662,-28.234722222222224,12.788,13.31,119.0,3.8,23.6,2.61,279.3,0.0,303.0
2023-08-10 00:00:00.000,248.6633333333333,-28.221944444444443,12.873,13.321,114.2,4.0,23.6,1.73,281.3,0.0,303.1
2023-08-15 00:00:00.000,248.61624999999998,-28.21222222222222,12.962,13.332,109.4,4.1,23.6,0.83,287.2,0.0,303.2
2023-08-20 00:00:00.000,248.60374999999993,-28.20583333333333,13.052,13.344,104.6,4.2,23.6,0.19,42.3,0.0,303.2
2023-08-25 00:00:00.000,248.62583333333328,-28.203055555555554,13.144,13.355,99.9,4.3,23.6,1.04,88.8,0.0,303.2
2023-08-30 00:00:00.000,248.68208333333328,-28.204444444444444,13.238,13.366,95.1,4.3,23.7,1.94,92.9,0.0,303.1
2023-09-04 00:00:00.000,248.77249999999995,-28.209722222222222,13.332,13.377,90.4,4.3,23.7,2.84,94.6,0.0,302.9
2023-09-09 00:00:00.000,248.89624999999995,-28.21944444444444,13.426,13.388,85.7,4.3,23.7,3.73,95.5,0.0,302.8
2024-03-12 00:00:00.000,262.0220833333333,-30.54638888888889,13.784,13.794,88.5,4.1,23.8,3.63,131.3,,
2024-03-17 00:00:00.000,262.1099999999999,-30.625833333333333,13.711,13.805,93.4,4.1,23.8,2.98,142.5,,
2024-03-22 00:00:00.000,262.16249999999997,-30.703888888888887,13.638,13.816,98.2,4.1,23.8,2.49,158.8,,
2024-03-27 00:00:00.000,262.17999999999995,-30.780555555555555,13.566,13.827,103.1,4.0,23.8,2.28,180.2,,
2024-04-01 00:00:00.000,262.16208333333327,-30.855555555555558,13.496,13.838,108.0,3.9,23.8,2.4,202.4,,
2024-04-06 00:00:00.000,262.10874999999993,-30.928333333333335,13.428,13.849,113.0,3.8,23.7,2.81,220.2,,
2024-04-11 00:00:00.000,262.02124999999995,-30.998333333333335,13.362,13.859,117.9,3.7,23.7,3.39,232.5,,
2024-04-16 00:00:00.000,261.9004166666667,-31.065555555555555,13.301,13.87,122.8,3.5,23.7,4.04,240.9,,
2024-04-21 00:00:00.000,261.7470833333333,-31.129444444444445,13.243,13.881,127.8,3.3,23.7,4.71,246.8,,
2024-04-26 00:00:00.000,261.56374999999997,-31.189166666666665,13.19,13.892,132.7,3.1,23.7,5.37,251.1,,
2024-07-30 00:00:00.000,256.15374999999995,-31.38277777777778,13.416,14.097,130.5,3.1,23.7,4.51,279.7,,
2024-08-04 00:00:00.000,255.99499999999995,-31.3575,13.491,14.107,125.7,3.3,23.8,3.75,281.8,,
2024-08-09 00:00:00.000,255.86708333333334,-31.331666666666667,13.571,14.118,120.9,3.5,23.8,2.97,284.9,,
2024-08-14 00:00:00.000,255.77124999999998,-31.30666666666667,13.654,14.129,116.1,3.7,23.8,2.17,290.0,,
2024-08-19 00:00:00.000,255.70833333333334,-31.2825,13.741,14.139,111.3,3.8,23.8,1.38,300.7,,
2024-08-24 00:00:00.000,255.67875,-31.259722222222223,13.83,14.15,106.5,3.9,23.9,0.74,333.2,,
2024-08-29 00:00:00.000,255.68291666666664,-31.23888888888889,13.921,14.161,101.7,4.0,23.9,0.8,41.9,,
2024-09-03 00:00:00.000,255.72041666666667,-31.220277777777778,14.014,14.171,97.0,4.1,23.9,1.5,69.6,,
2024-09-08 00:00:00.000,255.7920833333333,-31.204166666666666,14.107,14.182,92.2,4.1,23.9,2.31,79.1,,
2024-09-13 00:00:00.000,255.89666666666665,-31.191111111111113,14.201,14.193,87.5,4.1,23.9,3.13,83.6,,
2025-03-17 00:00:00.000,268.57124999999996,-32.75611111111111,14.591,14.583,87.5,3.9,24.0,3.66,131.3,,
2025-03-22 00:00:00.000,268.6633333333333,-32.836666666666666,14.518,14.593,92.4,3.9,24.0,3.08,142.0,,
2025-03-27 00:00:00.000,268.7216666666666,-32.91777777777777,14.444,14.603,97.2,3.9,24.0,2.64,157.1,,
2025-04-01 00:00:00.000,268.74499999999995,-32.99861111111111,14.372,14.614,102.1,3.8,24.0,2.43,176.3,,
2025-04-06 00:00:00.000,268.73416666666657,-33.07916666666667,14.301,14.624,106.9,3.8,24.0,2.5,196.3,,
2025-04-11 00:00:00.000,268.6895833333333,-33.15861111111111,14.233,14.635,111.8,3.6,24.0,2.83,213.2,,
2025-04-16 00:00:00.000,268.61125,-33.236666666666665,14.167,14.645,116.7,3.5,24.0,3.31,225.7,,
2025-04-21 00:00:00.000,268.5008333333333,-33.312777777777775,14.105,14.655,121.5,3.4,23.9,3.89,234.7,,
2025-04-26 00:00:00.000,268.3583333333333,-33.38638888888889,14.046,14.666,126.4,3.2,23.9,4.5,241.2,,
2025-05-01 00:00:00.000,268.18625,-33.456944444444446,13.992,14.676,131.3,3.0,23.9,5.11,246.1,,
2025-08-04 00:00:00.000,262.8712499999999,-33.80583333333333,14.179,14.871,131.6,2.9,24.0,4.59,280.8,,
2025-08-09 00:00:00.000,262.7045833333333,-33.77638888888889,14.253,14.882,126.8,3.1,24.0,3.9,283.6,,
2025-08-14 00:00:00.000,262.5675,-33.74472222222222,14.33,14.892,122.0,3.3,24.0,3.2,287.6,,
2025-08-19 00:00:00.000,262.4608333333333,-33.71194444444445,14.412,14.902,117.2,3.5,24.0,2.48,293.8,,
2025-08-24 00:00:00.000,262.3858333333333,-33.67833333333333,14.497,14.912,112.4,3.6,24.1,1.78,304.7,,
2025-08-29 00:00:00.000,262.34333333333336,-33.644444444444446,14.585,14.922,107.6,3.7,24.1,1.2,327.6,,
2025-09-03 00:00:00.000,262.33416666666665,-33.61083333333333,14.675,14.933,102.9,3.8,24.1,1.01,10.4,,
2025-09-08 00:00:00.000,262.35791666666665,-33.57805555555556,14.767,14.943,98.1,3.8,24.1,1.4,46.1,,
2025-09-13 00:00:00.000,262.4145833333333,-33.546388888888885,14.859,14.953,93.4,3.9,24.1,2.05,63.1,,
2025-09-18 00:00:00.000,262.50416666666666,-33.51638888888889,14.952,14.963,88.7,3.8,24.1,2.78,71.6,,
2026-03-22 00:00:00.000,274.74041666666665,-34.43527777777778,15.352,15.334,87.1,3.7,24.2,3.61,131.4,,
2026-03-27 00:00:00.000,274.83374999999995,-34.51583333333333,15.279,15.344,91.9,3.7,24.2,3.09,142.1,,
2026-04-01 00:00:00.000,274.89416666666665,-34.59777777777778,15.206,15.354,96.7,3.7,24.2,2.71,156.4,,
2026-04-06 00:00:00.000,274.9216666666666,-34.68111111111111,15.133,15.364,101.5,3.7,24.2,2.52,173.9,,
2026-04-11 00:00:00.000,274.9158333333333,-34.764722222222225,15.062,15.374,106.3,3.6,24.2,2.58,192.3,,
2026-04-16 00:00:00.000,274.8770833333333,-34.84861111111111,14.993,15.383,111.1,3.5,24.2,2.86,208.4,,
2026-04-21 00:00:00.000,274.8058333333333,-34.93222222222222,14.927,15.393,115.9,3.4,24.2,3.29,220.8,,
2026-04-26 00:00:00.000,274.7025,-35.014722222222225,14.864,15.403,120.8,3.2,24.2,3.81,229.9,,
2026-05-01 00:00:00.000,274.5691666666666,-35.095555555555556,14.805,15.413,125.6,3.0,24.1,4.36,236.7,,
2026-05-06 00:00:00.000,274.40625,-35.174166666666665,14.75,15.423,130.4,2.9,24.1,4.92,241.9,,
2026-08-09 00:00:00.000,269.2020833333333,-35.66138888888889,14.911,15.608,132.0,2.8,24.2,4.61,281.1,,
2026-08-14 00:00:00.000,269.0304166666666,-35.63,14.983,15.618,127.3,3.0,24.2,3.97,284.5,,
2026-08-19 00:00:00.000,268.8870833333333,-35.59527777777778,15.06,15.627,122.5,3.1,24.2,3.32,289.1,,
2026-08-24 00:00:00.000,268.7733333333333,-35.55777777777777,15.14,15.637,117.8,3.3,24.2,2.67,295.8,,
2026-08-29 00:00:00.000,268.6908333333333,-35.518055555555556,15.224,15.647,113.0,3.4,24.3,2.04,306.6,,
2026-09-03 00:00:00.000,268.63916666666665,-35.47666666666667,15.311,15.656,108.3,3.5,24.3,1.53,325.4,,
2026-09-08 00:00:00.000,268.61999999999995,-35.43416666666666,15.4,15.666,103.5,3.6,24.3,1.29,356.4,,
2026-09-13 00:00:00.000,268.63291666666663,-35.39111111111111,15.49,15.676,98.8,3.6,24.3,1.48,28.9,,
2026-09-18 00:00:00.000,268.6783333333333,-35.34777777777778,15.582,15.685,94.1,3.7,24.3,1.99,49.4,,
