Date,RA,Dec,Delta,r,Elongation,Phase,V,Proper motion,Direction,Uncertainty 3sig,Unc. P.A.
2023-07-26 00:00:00.000,255.26958333333326,-8.380277777777778,13.719,14.405,130.9,3.1,23.9,4.34,260.5,0,71.6
2023-07-31 00:00:00.000,255.13749999999996,-8.407777777777778,13.792,14.415,126.2,3.3,23.9,3.68,255.6,0,71.4
2023-08-05 00:00:00.000,255.02958333333328,-8.44138888888889,13.869,14.426,121.6,3.4,23.9,3.03,248.6,0,71.4
2023-08-10 00:00:00.000,254.9475,-8.481111111111112,13.95,14.437,116.9,3.6,24.0,2.42,237.9,0,71.5
2023-08-15 00:00:00.000,254.89208333333332,-8.526666666666667,14.034,14.448,112.2,3.7,24.0,1.91,220.7,0,71.7
2023-08-20 00:00:00.000,254.86416666666665,-8.5775,14.121,14.459,107.6,3.8,24.0,1.64,194.7,0,72.1
2023-08-25 00:00:00.000,254.86416666666665,-8.6325,14.21,14.469,102.9,3.9,24.0,1.77,166.3,0,72.6
2023-08-30 00:00:00.000,254.89208333333332,-8.691666666666666,14.3,14.48,98.3,4.0,24.0,2.21,145.5,0,73.2
2023-09-04 00:00:00.000,254.94874999999996,-8.75388888888889,14.392,14.491,93.7,4.0,24.1,2.83,132.5,0,73.9
2023-09-09 00:00:00.000,255.03291666666664,-8.818888888888889,14.484,14.502,89.0,4.0,24.1,3.53,124.3,0,74.7
2024-03-12 00:00:00.000,266.2445833333333,-8.794166666666667,14.948,14.904,85.6,3.8,24.2,4.62,49.6,1,83.9
2024-03-17 00:00:00.000,266.34916666666663,-8.693333333333333,14.876,14.915,90.3,3.8,24.2,4.06,41.4,1,83.5
2024-03-22 00:00:00.000,266.42541666666665,-8.590833333333334,14.805,14.925,95.0,3.8,24.2,3.6,30.8,1,83.2
2024-03-27 00:00:00.000,266.4733333333333,-8.487499999999999,14.735,14.936,99.7,3.8,24.2,3.27,17.9,1,82.9
2024-04-01 00:00:00.000,266.4933333333333,-8.38361111111111,14.666,14.947,104.5,3.7,24.2,3.12,3.0,1,82.5
2024-04-06 00:00:00.000,266.4845833333333,-8.280000000000001,14.599,14.958,109.2,3.6,24.1,3.17,347.8,1,82.2
2024-04-11 00:00:00.000,266.4483333333333,-8.177222222222222,14.534,14.969,114.0,3.5,24.1,3.4,334.0,1,81.8
2024-04-16 00:00:00.000,266.3845833333333,-8.07611111111111,14.472,14.98,118.7,3.4,24.1,3.77,322.7,1,81.4
2024-04-21 00:00:00.000,266.29499999999996,-7.9775,14.414,14.991,123.4,3.2,24.1,4.21,313.8,1,81.0
2024-04-26 00:00:00.000,266.18041666666664,-7.881944444444445,14.36,15.002,128.1,3.0,24.1,4.7,306.9,1,80.6
2024-05-01 00:00:00.000,266.0425,-7.789722222222222,14.31,15.013,132.8,2.8,24.1,5.19,301.3,1,80.3
2024-07-30 00:00:00.000,262.10874999999993,-7.252222222222223,14.503,15.21,132.7,2.8,24.1,4.59,256.2,1,74.9
2024-08-04 00:00:00.000,261.96999999999997,-7.291666666666667,14.574,15.221,128.1,3.0,24.1,4.01,251.5,1,74.9
2024-08-09 00:00:00.000,261.85416666666663,-7.336944444444444,14.649,15.232,123.5,3.2,24.2,3.42,245.1,1,75.0
2024-08-14 00:00:00.000,261.7620833333333,-7.3875,14.728,15.243,118.9,3.3,24.2,2.85,236.1,1,75.1
2024-08-19 00:00:00.000,261.6954166666667,-7.4425,14.81,15.254,114.3,3.5,24.2,2.35,223.1,1,75.3
2024-08-24 00:00:00.000,261.65416666666664,-7.501666666666667,14.896,15.265,109.6,3.6,24.2,2.01,204.5,1,75.6
2024-08-29 00:00:00.000,261.63916666666665,-7.564444444444444,14.983,15.276,105.0,3.7,24.2,1.93,181.3,1,75.9
2024-09-03 00:00:00.000,261.65125,-7.630000000000001,15.073,15.287,100.4,3.7,24.3,2.14,159.3,1,76.2
2024-09-08 00:00:00.000,261.69041666666664,-7.697777777777778,15.164,15.298,95.7,3.8,24.3,2.59,142.8,1,76.6
2024-09-13 00:00:00.000,261.75624999999997,-7.767222222222222,15.256,15.309,91.1,3.8,24.3,3.16,131.6,1,77.1
2024-09-18 00:00:00.000,261.84916666666663,-7.837222222222222,15.348,15.32,86.5,3.8,24.3,3.79,123.9,1,77.5
2025-03-22 00:00:00.000,272.2804166666666,-7.359166666666666,15.713,15.727,89.0,3.6,24.4,4.02,39.3,1,81.4
2025-03-27 00:00:00.000,272.35249999999996,-7.255277777777778,15.643,15.738,93.6,3.6,24.4,3.58,29.2,1,81.2
2025-04-01 00:00:00.000,272.3979166666666,-7.1513888888888895,15.573,15.749,98.3,3.6,24.4,3.25,16.8,1,80.9
2025-04-06 00:00:00.000,272.41583333333324,-7.048333333333333,15.504,15.76,103.0,3.5,24.4,3.08,2.7,1,80.6
2025-04-11 00:00:00.000,272.40749999999997,-6.946388888888889,15.437,15.771,107.7,3.5,24.4,3.09,348.0,1,80.4
2025-04-16 00:00:00.000,272.37291666666664,-6.846666666666667,15.372,15.782,112.4,3.4,24.4,3.27,334.5,1,80.1
2025-04-21 00:00:00.000,272.3129166666666,-6.749722222222222,15.31,15.793,117.1,3.2,24.3,3.59,322.9,1,79.8
2025-04-26 00:00:00.000,272.2279166666666,-6.6561111111111115,15.251,15.804,121.8,3.1,24.3,3.99,313.6,1,79.5
2025-05-01 00:00:00.000,272.1191666666666,-6.566388888888889,15.196,15.815,126.4,2.9,24.3,4.44,306.2,1,79.2
2025-05-06 00:00:00.000,271.9883333333333,-6.481388888888889,15.146,15.826,131.0,2.8,24.3,4.9,300.3,1,78.9
2025-08-04 00:00:00.000,268.1920833333333,-6.151111111111112,15.304,16.024,133.9,2.6,24.3,4.7,252.5,1,75.7
2025-08-09 00:00:00.000,268.0520833333333,-6.200833333333334,15.373,16.035,129.4,2.8,24.4,4.17,247.9,1,75.7
2025-08-14 00:00:00.000,267.9333333333333,-6.255277777777778,15.446,16.046,124.8,3.0,24.4,3.64,242.0,1,75.8
2025-08-19 00:00:00.000,267.83666666666664,-6.314444444444444,15.523,16.057,120.3,3.1,24.4,3.13,234.1,1,75.9
2025-08-24 00:00:00.000,267.76374999999996,-6.3774999999999995,15.605,16.068,115.7,3.3,24.4,2.66,223.0,1,76.1
2025-08-29 00:00:00.000,267.715,-6.443888888888889,15.689,16.079,111.0,3.4,24.4,2.29,207.9,1,76.3
2025-09-03 00:00:00.000,267.6916666666666,-6.5125,15.776,16.09,106.4,3.4,24.5,2.12,188.6,1,76.5
2025-09-08 00:00:00.000,267.6937499999999,-6.583055555555555,15.865,16.101,101.8,3.5,24.5,2.19,168.4,1,76.8
2025-09-13 00:00:00.000,267.7216666666666,-6.655,15.955,16.112,97.2,3.6,24.5,2.48,151.0,1,77.1
2025-09-18 00:00:00.000,267.7745833333333,-6.7275,16.047,16.123,92.6,3.6,24.5,2.94,137.9,1,77.4
2025-09-23 00:00:00.000,267.8533333333333,-6.8,16.138,16.134,88.0,3.6,24.5,3.48,128.5,1,77.7
2026-03-27 00:00:00.000,277.59416666666664,-6.0938888888888885,16.544,16.542,88.2,3.5,24.6,3.89,36.7,2,80.0
2026-04-01 00:00:00.000,277.6595833333333,-5.990277777777778,16.474,16.553,92.8,3.5,24.6,3.48,27.0,2,79.8
2026-04-06 00:00:00.000,277.69999999999993,-5.887499999999999,16.404,16.564,97.5,3.4,24.6,3.17,15.0,2,79.6
2026-04-11 00:00:00.000,277.715,-5.786111111111111,16.335,16.575,102.1,3.4,24.6,3.01,1.3,2,79.4
2026-04-16 00:00:00.000,277.7045833333333,-5.687222222222222,16.268,16.586,106.8,3.3,24.6,3.01,346.9,2,79.1
2026-04-21 00:00:00.000,277.6695833333333,-5.591111111111111,16.203,16.597,111.4,3.2,24.6,3.16,333.4,2,78.9
2026-04-26 00:00:00.000,277.60999999999996,-5.498888888888889,16.141,16.608,116.1,3.1,24.6,3.45,321.9,2,78.7
2026-05-01 00:00:00.000,277.52708333333334,-5.410555555555556,16.082,16.619,120.7,3.0,24.5,3.81,312.5,2,78.5
2026-05-06 00:00:00.000,277.42208333333326,-5.327222222222222,16.027,16.63,125.3,2.8,24.5,4.22,305.0,2,78.2
2026-05-11 00:00:00.000,277.29625,-5.249444444444444,15.976,16.641,129.8,2.7,24.5,4.65,299.0,2,78.0
2026-05-16 00:00:00.000,277.15,-5.177222222222222,15.93,16.652,134.3,2.5,24.5,5.08,294.0,2,77.8
2026-08-09 00:00:00.000,273.6375,-5.099444444444444,16.11,16.838,134.6,2.5,24.5,4.73,249.4,2,75.8
2026-08-14 00:00:00.000,273.4987499999999,-5.157500000000001,16.178,16.849,130.2,2.6,24.6,4.25,244.8,2,75.9
2026-08-19 00:00:00.000,273.3804166666666,-5.219722222222222,16.25,16.86,125.7,2.8,24.6,3.75,239.1,2,76.0
2026-08-24 00:00:00.000,273.2833333333333,-5.285833333333334,16.326,16.871,121.1,2.9,24.6,3.27,231.7,2,76.1
2026-08-29 00:00:00.000,273.20874999999995,-5.3549999999999995,16.407,16.882,116.5,3.1,24.6,2.84,221.8,2,76.3
2026-09-03 00:00:00.000,273.1570833333333,-5.426388888888889,16.49,16.893,112.0,3.2,24.6,2.48,208.7,2,76.4
2026-09-08 00:00:00.000,273.1291666666666,-5.499722222222222,16.576,16.904,107.4,3.3,24.7,2.27,192.1,2,76.6
2026-09-13 00:00:00.000,273.12541666666664,-5.5744444444444445,16.665,16.915,102.7,3.3,24.7,2.26,173.5,2,76.8
2026-09-18 00:00:00.000,273.14624999999995,-5.649166666666666,16.755,16.926,98.1,3.4,24.7,2.46,156.2,2,77.1
2026-09-23 00:00:00.000,273.1916666666666,-5.723888888888889,16.845,16.937,93.5,3.4,24.7,2.82,142.3,2,77.3
2026-09-28 00:00:00.000,273.2616666666666,-5.7975,16.937,16.948,88.9,3.4,24.7,3.28,131.9,2,77.6
2027-04-01 00:00:00.000,282.39,-4.904722222222222,17.362,17.352,87.8,3.3,24.8,3.73,34.1,2,79.0
2027-04-06 00:00:00.000,282.44791666666663,-4.802222222222222,17.292,17.363,92.4,3.3,24.8,3.35,24.2,2,78.8
2027-04-11 00:00:00.000,282.4816666666666,-4.701666666666667,17.223,17.374,97.0,3.3,24.8,3.06,12.3,2,78.7
2027-04-16 00:00:00.000,282.49125,-4.603333333333333,17.154,17.385,101.7,3.2,24.8,2.91,358.7,2,78.5
2027-04-21 00:00:00.000,282.47749999999996,-4.508055555555556,17.087,17.396,106.3,3.2,24.8,2.91,344.7,2,78.3
